ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	S1.Rep1	S1.Rep2	S1.Rep3	S2.Rep1	S2.Rep2	S2.Rep3	eventID	s1reads	s2reads	readcountpass
1480	FBgn0032694	MESR3	chr2L	+	18631742	18631774	18617255	18617724	18649597	18649627	1480	299,455,384	18,6,10	189,305,273	52,68,33	106	74	0.0	0.0	0.921,0.981,0.964	0.717,0.758,0.852	0.18	0.921	0.981	0.964	0.717	0.758	0.852	chr2L:+:18617255-18617724:18631742-18631774:18649597-18649627	317,461,394	241,373,306	pass
1783	FBgn0024807	DIP1	chrX	-	21628919	21629792	21628360	21628754	21629973	21630148	1783	693,829,552	3,5,3	266,370,337	35,97,80	947	74	0.0	0.0	0.948,0.928,0.935	0.373,0.23,0.248	0.653	0.948	0.928	0.935	0.373	0.23	0.248	chrX:-:21628360-21628754:21628919-21629792:21629973-21630148	696,834,555	301,467,417	pass
1785	FBgn0024807	DIP1	chrX	-	21628843	21629792	21628360	21628754	21629973	21630148	1785	745,876,592	3,5,3	292,394,365	35,97,80	1023	74	0.0	0.0	0.947,0.927,0.935	0.376,0.227,0.248	0.653	0.947	0.927	0.935	0.376	0.227	0.248	chrX:-:21628360-21628754:21628843-21629792:21629973-21630148	748,881,595	327,491,445	pass
1786	FBgn0024807	DIP1	chrX	-	21628847	21629792	21628360	21628754	21629973	21630148	1786	747,901,608	3,5,3	306,406,368	35,97,80	1019	74	0.0	0.0	0.948,0.929,0.936	0.388,0.233,0.25	0.647	0.948	0.929	0.936	0.388	0.233	0.25	chrX:-:21628360-21628754:21628847-21629792:21629973-21630148	750,906,611	341,503,448	pass
196	FBgn0034282	Mapmodulin	chr2R	-	17867782	17868088	17867325	17867559	17868286	17868369	196	100,122,96	617,837,693	42,58,46	1220,1454,1226	380	74	0.0	0.0	0.031,0.028,0.026	0.007,0.008,0.007	0.021	0.031	0.028	0.026	0.007	0.008	0.007	chr2R:-:17867325-17867559:17867782-17868088:17868286-17868369	717,959,789	1262,1512,1272	pass
1982	FBgn0261113	Xrp1	chr3R	+	18919422	18919512	18918259	18918625	18925077	18925796	1982	796,953,703	7,5,3	396,614,581	22,41,41	164	74	0.0	0.0	0.981,0.989,0.991	0.89,0.871,0.865	0.112	0.981	0.989	0.991	0.89	0.871	0.865	chr3R:+:18918259-18918625:18919422-18919512:18925077-18925796	803,958,706	418,655,622	pass
2095	FBgn0260462	CG12163	chr3R	-	5243837	5244254	5239491	5239619	5251423	5251745	2095	327,411,350	418,435,365	60,108,108	618,700,728	491	74	0.0	0.0	0.105,0.125,0.126	0.014,0.023,0.022	0.099	0.105	0.125	0.126	0.014	0.023	0.022	chr3R:-:5239491-5239619:5243837-5244254:5251423-5251745	745,846,715	678,808,836	pass
243	FBgn0020279	lig	chr2R	+	8077259	8077292	8076292	8076448	8077730	8078815	243	388,475,408	144,164,122	112,112,144	113,158,139	107	74	0.0	0.0	0.651,0.667,0.698	0.407,0.329,0.417	0.288	0.651	0.667	0.698	0.407	0.329	0.417	chr2R:+:8076292-8076448:8077259-8077292:8077730-8078815	532,639,530	225,270,283	pass
2487	FBgn0263391	hts	chr2R	-	19406019	19406088	19399025	19399093	19407840	19407912	2487	214,258,167	92,92,76	119,165,187	176,191,236	143	74	0.0	0.0	0.546,0.592,0.532	0.259,0.309,0.291	0.27	0.546	0.592	0.532	0.259	0.309	0.291	chr2R:-:19399025-19399093:19406019-19406088:19407840-19407912	306,350,243	295,356,423	pass
2501	FBgn0015286	Rala	chrX	-	3707367	3707491	3704609	3706251	3708743	3708918	2501	1242,1531,1216	36,43,24	949,1070,1020	110,153,142	198	74	0.0	0.0	0.928,0.93,0.95	0.763,0.723,0.729	0.198	0.928	0.93	0.95	0.763	0.723	0.729	chrX:-:3704609-3706251:3707367-3707491:3708743-3708918	1278,1574,1240	1059,1223,1162	pass
