ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3509	"FBgn0262734"	"Rbp2"	chrX	+	16451701	16451791	16451274	16451559	16451918	16453615	3509	145,99,123	420,381,415	34,29,45	370,414,488	164	74	0.0	0.0	0.135,0.105,0.118	0.04,0.031,0.04	0.082
4358	"FBgn0004838"	"Hrb27C"	chr2L	+	6922730	6922826	6920703	6920861	6923783	6924400	4358	2045,1592,1082	217,156,115	1448,1317,1703	356,348,401	170	74	0.0	0.0	0.804,0.816,0.804	0.639,0.622,0.649	0.171
4361	"FBgn0004838"	"Hrb27C"	chr2L	+	6922734	6922826	6920703	6920861	6923783	6924400	4361	1468,1159,805	217,156,115	996,909,1190	356,348,401	166	74	0.0	0.0	0.751,0.768,0.757	0.555,0.538,0.57	0.204
886	"FBgn0030052"	"CG12065"	chrX	+	8586551	8586608	8585985	8586245	8587257	8587525	886	499,469,416	582,547,513	139,119,133	726,575,750	131	74	0.0	0.0	0.326,0.326,0.314	0.098,0.105,0.091	0.224
702	"FBgn0000370"	"crc"	chr2L	+	21311192	21311531	21310865	21311032	21311752	21312043	702	830,703,818	2088,1647,1812	486,379,477	2394,1907,2429	413	74	1.11022302463e-16	9.73850629771e-14	0.066,0.071,0.075	0.035,0.034,0.034	0.036
913	"FBgn0261041"	"stj"	chr2R	+	13816035	13816083	13815554	13815648	13816202	13816313	913	14,27,18	151,145,123	0,1,0	159,142,215	122	74	1.11022302463e-16	9.73850629771e-14	0.053,0.101,0.082	0.0,0.004,0.0	0.077
3337	"FBgn0051363"	"Jupiter"	chr3R	-	11593321	11593354	11592366	11592624	11593632	11593766	3337	195,195,179	1686,1380,1417	102,82,103	1845,1492,2028	107	74	3.77475828373e-15	2.83807897818e-12	0.074,0.089,0.08	0.037,0.037,0.034	0.045
5365	"FBgn0261556"	"CG42674"	chr3L	-	20156679	20157222	20155900	20155998	20158479	20158668	5365	83,55,54	69,60,47	19,17,19	70,61,93	617	74	5.55111512313e-15	3.65193986163e-12	0.126,0.099,0.121	0.032,0.032,0.024	0.086
4763	"FBgn0022764"	"Sin3A"	chr2R	-	12577453	12578551	12576567	12576993	12579128	12579356	4763	766,635,681	129,119,106	450,285,431	144,137,196	1172	74	7.43849426499e-15	4.34986614629e-12	0.273,0.252,0.289	0.165,0.116,0.122	0.137
2223	"FBgn0264693"	"ens"	chr3L	-	4130388	4130643	4129650	4129791	4131120	4131236	2223	124,95,90	114,108,78	39,45,52	119,125,146	329	74	3.67039731941e-13	1.93173010921e-10	0.197,0.165,0.206	0.069,0.075,0.074	0.117
4206	"FBgn0039465"	"Tsp97E"	chr3R	-	26962539	26963080	26961063	26962451	26963157	26963520	4206	90,90,98	91,82,95	45,32,33	132,78,119	615	74	8.02358179897e-13	3.83891918254e-10	0.106,0.117,0.11	0.039,0.047,0.032	0.072
4761	"FBgn0022764"	"Sin3A"	chr2R	-	12577453	12578285	12576567	12576993	12579128	12579356	4761	523,404,415	129,119,106	314,187,292	144,137,196	906	74	1.10589315483e-12	4.47716590298e-10	0.249,0.217,0.242	0.151,0.1,0.108	0.116
4848	"FBgn0001248"	"Idh"	chr3L	-	8358015	8358072	8356403	8357905	8358555	8358940	4848	45,46,40	61,59,51	13,6,14	61,58,82	131	74	1.06814557199e-12	4.47716590298e-10	0.294,0.306,0.307	0.107,0.055,0.088	0.219
6265	"FBgn0034971"	"CG3209"	chr2R	+	24071990	24072224	24069999	24070242	24072704	24072961	6265	1043,930,1127	37,18,34	955,789,957	86,46,73	308	74	6.50831610827e-11	2.44666197699e-08	0.871,0.925,0.888	0.727,0.805,0.759	0.131
892	"FBgn0030052"	"CG12065"	chrX	+	8584842	8584923	8584455	8584575	8585809	8585918	892	58,66,82	307,314,288	21,26,41	351,294,392	155	74	1.21987753232e-10	4.28014363507e-08	0.083,0.091,0.12	0.028,0.041,0.048	0.059
5904	"FBgn0030752"	"CG9947"	chrX	-	16439423	16439514	16437420	16439286	16439596	16439762	5904	55,39,55	455,395,498	17,17,15	557,341,481	165	74	1.60800595062e-10	5.28933457382e-08	0.051,0.042,0.047	0.014,0.022,0.014	0.03
2731	"FBgn0264953"	"Piezo"	chr2L	+	8181983	8182049	8179871	8180029	8182304	8182450	2731	257,243,158	28,24,19	242,209,305	7,7,4	140	74	9.9187180691e-10	3.07071842339e-07	0.829,0.843,0.815	0.948,0.94,0.976	-0.126
479	"FBgn0085432"	"pan"	chr4	+	104082	104528	99405	99475	107402	110059	479	28,44,28	54,34,32	5,15,15	52,60,55	520	74	2.30733987472e-09	6.74640542258e-07	0.069,0.156,0.111	0.013,0.034,0.037	0.084
2415	"FBgn0026375"	"RhoGAPp190"	chrX	-	17645886	17646012	17643680	17644178	17646519	17646585	2415	17,14,4	32,36,18	1,2,1	30,29,44	200	74	4.98122110226e-09	1.37979824533e-06	0.164,0.126,0.076	0.012,0.025,0.008	0.107
3182	"FBgn0264975"	"Nrg"	chrX	+	8549017	8549356	8548421	8548525	8550082	8551207	3182	12,9,9	17,10,21	0,1,1	17,28,21	413	74	6.04946881477e-09	1.59191771861e-06	0.112,0.139,0.071	0.0,0.006,0.008	0.103
2154	"FBgn0051158"	"Efa6"	chr3R	+	22602195	22602435	22600544	22601666	22602844	22603923	2154	46,52,41	67,69,57	17,9,22	53,63,86	314	74	3.27565284897e-08	8.20940997339e-06	0.139,0.151,0.145	0.07,0.033,0.057	0.092
5508	"FBgn0266410"	"CG45050"	chr3R	+	9342575	9342894	9341866	9342491	9354421	9354854	5508	496,332,510	323,243,209	312,248,291	323,282,371	393	74	3.76537477864e-08	9.0078033909e-06	0.224,0.205,0.315	0.154,0.142,0.129	0.106
3795	"FBgn0263396"	"sqd"	chr3R	-	13636970	13637078	13636365	13636525	13642298	13642427	3795	30,25,26	199,178,189	55,53,49	150,119,172	182	74	4.3287893936e-08	9.90539938196e-06	0.058,0.054,0.053	0.13,0.153,0.104	-0.074
1140	"FBgn0028341"	"l(1)G0232"	chrX	-	9638192	9638465	9630193	9631095	9640533	9640624	1140	27,9,11	3,3,2	10,11,14	0,0,0	347	74	5.54973834666e-08	1.2170113716e-05	0.657,0.39,0.54	1.0,1.0,1.0	-0.471
2213	"FBgn0264693"	"ens"	chr3L	-	4128307	4128973	4126988	4127162	4129650	4129791	2213	329,269,213	54,55,50	201,169,245	93,72,94	740	74	6.0787756051e-08	1.23048446191e-05	0.379,0.328,0.299	0.178,0.19,0.207	0.144
2726	"FBgn0264953"	"Piezo"	chr2L	+	8185125	8185278	8184814	8184850	8186116	8186255	2726	48,52,44	112,105,80	20,13,34	117,107,140	227	74	5.8552511728e-08	1.23048446191e-05	0.123,0.139,0.152	0.053,0.038,0.073	0.083
3294	"FBgn0030530"	"jub"	chrX	-	13828223	13828253	13827578	13827719	13828641	13830317	3294	13,12,9	33,39,46	2,0,2	44,38,31	104	74	7.61717137143e-08	1.48478418251e-05	0.219,0.18,0.122	0.031,0.0,0.044	0.149
4762	"FBgn0022764"	"Sin3A"	chr2R	-	12577453	12577709	12576567	12576993	12579128	12579356	4762	42,40,26	129,119,106	23,9,20	144,137,196	330	74	1.0951510987e-07	2.05849294016e-05	0.068,0.07,0.052	0.035,0.015,0.022	0.039
1819	"FBgn0010548"	"Aldh-III"	chr2R	-	7469109	7469225	7467690	7467826	7469359	7469557	1819	180,150,161	0,2,0	155,133,163	7,6,10	190	74	1.15379166332e-07	2.09393293933e-05	1.0,0.967,1.0	0.896,0.896,0.864	0.104
3415	"FBgn0053558"	"mim"	chr2R	-	6927389	6928148	6926669	6926821	6928508	6928836	3415	103,114,96	79,46,63	80,40,76	101,62,101	833	74	1.47801936023e-07	2.59293863096e-05	0.104,0.18,0.119	0.066,0.054,0.063	0.073
