ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1210	"FBgn0261608"	"RpL37A"	chr2L	+	5070999	5071157	5070999	5071030	5071102	5071157	1210	1527,1042,1620	279,258,394	1206,307,443	1313,958,1625	145	74	0.0	0.0	0.736,0.673,0.677	0.319,0.141,0.122	0.501
1283	"FBgn0261564"	"CG42678"	chr2R	+	22925106	22925612	22925106	22925484	22925548	22925612	1283	64,52,67	109,84,63	201,117,103	65,35,23	137	74	0.0	0.0	0.241,0.251,0.365	0.626,0.644,0.708	-0.374
1375	"FBgn0011272"	"RpL13"	chr2L	+	9967329	9967877	9967329	9967358	9967616	9967877	1375	4110,3051,4143	1770,1062,1809	3044,754,1057	5849,1121,1912	148	74	0.0	0.0	0.537,0.59,0.534	0.206,0.252,0.217	0.329
1377	"FBgn0010551"	"Phb2"	chr2R	+	18821183	18821839	18821183	18821283	18821489	18821839	1377	1734,1315,1839	96,97,97	1857,1119,807	15,13,12	148	74	0.0	0.0	0.9,0.871,0.905	0.984,0.977,0.971	-0.085
1415	"FBgn0027932"	"Akap200"	chr2L	+	8427614	8429462	8427614	8428067	8428319	8429462	1415	294,271,292	536,518,554	723,440,626	542,256,361	148	74	0.0	0.0	0.215,0.207,0.209	0.4,0.462,0.464	-0.232
747	"FBgn0037074"	"CG7324"	chr3L	-	21338869	21339555	21338869	21339220	21339325	21339555	747	728,664,722	47,30,39	632,321,341	150,74,58	148	74	0.0	0.0	0.886,0.917,0.902	0.678,0.684,0.746	0.199
775	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637927	16638232	16638303	775	4376,3094,4537	4046,2787,4261	1124,504,500	9008,2003,2986	148	74	0.0	0.0	0.351,0.357,0.347	0.059,0.112,0.077	0.269
776	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637949	16638232	16638303	776	4426,3132,4584	53,45,87	1188,582,588	110,46,64	148	74	0.0	0.0	0.977,0.972,0.963	0.844,0.864,0.821	0.128
859	"FBgn0015521"	"RpS21"	chr2L	+	2856376	2856705	2856376	2856568	2856630	2856705	859	5128,4462,5984	273,224,277	6781,3600,2999	107,10,9	135	74	0.0	0.0	0.911,0.916,0.922	0.972,0.995,0.995	-0.071
909	"FBgn0047135"	"CG32276"	chr3L	-	3198751	3199047	3198751	3198866	3198992	3199047	909	1476,1239,1420	420,296,455	1332,707,665	1330,628,869	148	74	0.0	0.0	0.637,0.677,0.609	0.334,0.36,0.277	0.317
1053	"FBgn0013305"	"Nmda1"	chr2R	-	12878384	12879222	12878384	12878710	12879196	12879222	1053	76,59,70	112,105,80	70,45,41	342,252,163	148	74	2.55351295664e-15	2.27688238634e-13	0.253,0.219,0.304	0.093,0.082,0.112	0.163
224	"FBgn0032000"	"CG8372"	chr2L	-	8212038	8212902	8212038	8212692	8212766	8212902	224	69,56,69	90,57,101	189,115,103	70,40,41	147	74	2.44249065418e-15	2.27688238634e-13	0.278,0.331,0.256	0.576,0.591,0.558	-0.287
43	"FBgn0039302"	"Nup358"	chr3R	+	25256354	25257057	25256354	25256855	25256924	25257057	43	616,548,530	34,26,39	1032,491,615	15,7,5	142	74	3.55049323275e-13	2.92232904542e-11	0.904,0.917,0.876	0.973,0.973,0.985	-0.078
661	"FBgn0032036"	"CG13384"	chr2L	+	8384699	8385097	8384699	8384895	8384996	8385097	661	253,168,203	361,267,293	166,56,59	469,231,201	148	74	1.74082970261e-11	1.33049127271e-09	0.259,0.239,0.257	0.15,0.108,0.128	0.123
687	"FBgn0024814"	"Clc"	chr3L	+	20242505	20243735	20242505	20242667	20242784	20243735	687	198,179,247	443,367,375	227,140,120	959,544,417	148	74	4.75751660289e-11	3.39369517673e-09	0.183,0.196,0.248	0.106,0.114,0.126	0.094
416	"FBgn0028325"	"l(1)G0334"	chrX	+	4702324	4702892	4702324	4702591	4702823	4702892	416	111,83,74	190,164,171	58,38,33	304,173,167	148	74	1.38362432622e-10	9.2529876816e-09	0.226,0.202,0.178	0.087,0.099,0.09	0.11
56	"FBgn0038294"	"Mf"	chr3R	-	15176363	15178489	15176363	15176433	15178279	15178489	56	167,193,188	1256,1166,1352	173,35,43	2273,575,678	148	74	1.67126756878e-10	1.05191546976e-08	0.062,0.076,0.065	0.037,0.03,0.031	0.035
1135	"FBgn0034138"	"RpS15"	chr2R	-	16570916	16571230	16570916	16571005	16571188	16571230	1135	1167,840,1291	9640,6854,11076	797,353,265	11895,4625,4259	148	74	2.54797405397e-10	1.51462902097e-08	0.057,0.058,0.055	0.032,0.037,0.03	0.024
1336	"FBgn0015756"	"RpL9"	chr2L	-	11004005	11004153	11004005	11004055	11004128	11004153	1336	212,162,239	285,268,486	305,123,130	846,348,599	146	74	6.5916350156e-10	3.71213129826e-08	0.274,0.235,0.2	0.154,0.152,0.099	0.101
942	"FBgn0010315"	"CycD"	chrX	-	15908536	15909676	15908536	15909222	15909530	15909676	942	36,28,42	186,139,143	64,55,39	128,61,55	148	74	1.7341152958e-09	9.27751683253e-08	0.088,0.092,0.128	0.2,0.311,0.262	-0.155
154	"FBgn0003256"	"rl"	chr2R	+	1071974	1072439	1071974	1072045	1072267	1072439	154	347,181,218	5,3,1	283,291,176	22,22,10	148	74	2.17421203264e-09	1.10781279758e-07	0.972,0.968,0.991	0.865,0.869,0.898	0.1
1249	"FBgn0034946"	"CG3065"	chr2R	+	23970304	23972233	23970304	23970685	23970755	23972233	1249	211,185,209	52,43,43	451,244,384	44,17,33	143	74	2.76475364824e-09	1.34467563801e-07	0.677,0.69,0.716	0.841,0.881,0.858	-0.166
221	"FBgn0020660"	"eIF-4B"	chr3L	-	27856365	27857935	27856365	27856707	27856783	27857935	221	16,22,25	87,67,65	9,6,8	79,109,152	148	74	9.36070876367e-09	4.17331599047e-07	0.084,0.141,0.161	0.054,0.027,0.026	0.093
399	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267918	27267255	27267455	27267513	27267918	399	587,421,504	78,59,74	512,410,321	142,104,107	131	74	9.17085496432e-09	4.17331599047e-07	0.81,0.801,0.794	0.671,0.69,0.629	0.138
