ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1649	"FBgn0032694"	"MESR3"	chr2L	+	18631742	18631774	18617255	18617724	18649597	18649627	1649	328,362,324	46,57,48	389,382,342	16,11,4	105	74	0.0	0.0	0.834,0.817,0.826	0.945,0.961,0.984	-0.138
1963	"FBgn0024807"	"DIP1"	chrX	-	21628847	21629792	21628360	21628754	21629973	21630148	1963	57,41,46	69,47,49	57,75,74	8,10,14	148	74	0.0	0.0	0.292,0.304,0.319	0.781,0.789,0.725	-0.46
2178	"FBgn0261113"	"Xrp1"	chr3R	+	18919422	18919512	18918259	18918625	18925077	18925796	2178	1014,1006,781	42,35,40	976,1175,977	6,6,10	148	74	0.0	0.0	0.923,0.935,0.907	0.988,0.99,0.98	-0.064
3064	"FBgn0021765"	"scu"	chrX	+	18091554	18091654	18091258	18091390	18091951	18092853	3064	37,22,46	273,243,283	7,8,5	365,386,310	148	74	0.0	0.0	0.063,0.043,0.075	0.009,0.01,0.008	0.051
3458	"FBgn0262734"	"Rbp2"	chrX	+	16451701	16451791	16451274	16451559	16451918	16453615	3458	129,85,103	420,381,415	1,10,8	436,519,433	148	74	0.0	0.0	0.133,0.1,0.11	0.001,0.01,0.009	0.108
4381	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13487973	13488132	13491434	13491593	4381	239,212,246	50,44,40	11,25,28	70,71,53	148	74	0.0	0.0	0.705,0.707,0.755	0.073,0.15,0.209	0.578
4759	"FBgn0259984"	"kuz"	chr2L	+	13558799	13558832	13551141	13551666	13609790	13609987	4759	450,338,167	35,28,13	358,492,365	2,5,1	106	74	0.0	0.0	0.9,0.894,0.9	0.992,0.986,0.996	-0.093
5293	"FBgn0042174"	"CR18854"	chr2L	-	9789674	9789732	9789366	9789615	9789790	9790309	5293	732,635,714	53,56,70	374,437,414	104,125,103	131	74	0.0	0.0	0.886,0.865,0.852	0.67,0.664,0.694	0.192
5676	"FBgn0033463"	"CG1513"	chr2R	-	9884084	9884206	9883896	9884002	9884621	9884708	5676	344,281,363	78,76,77	568,564,470	26,31,26	148	74	0.0	0.0	0.688,0.649,0.702	0.916,0.901,0.9	-0.226
6043	"FBgn0262125"	"Sec23"	chr3R	+	5651980	5652001	5651253	5651802	5652380	5652629	6043	44,54,58	511,438,470	114,111,101	327,325,285	94	74	0.0	0.0	0.063,0.088,0.089	0.215,0.212,0.218	-0.135
6049	"FBgn0038427"	"ema"	chr3R	-	16437792	16437999	16436879	16437338	16438064	16438650	6049	180,191,200	7,14,11	147,195,133	47,50,46	148	74	0.0	0.0	0.928,0.872,0.901	0.61,0.661,0.591	0.28
872	"FBgn0030052"	"CG12065"	chrX	+	8586551	8586608	8585985	8586245	8587257	8587525	872	499,469,416	582,547,513	204,264,166	615,757,547	130	74	0.0	0.0	0.328,0.328,0.316	0.159,0.166,0.147	0.167
877	"FBgn0030052"	"CG12065"	chrX	+	8584842	8584923	8584455	8584575	8585809	8585918	877	54,60,74	307,314,288	20,14,13	333,351,301	148	74	0.0	0.0	0.081,0.087,0.114	0.029,0.02,0.021	0.071
922	"FBgn0020660"	"eIF-4B"	chr3L	-	27847424	27847485	27844504	27844604	27856783	27857935	922	442,416,528	221,167,214	649,689,508	59,85,71	134	74	0.0	0.0	0.525,0.579,0.577	0.859,0.817,0.798	-0.264
5296	"FBgn0042693"	"PP2A-B'"	chr3R	+	18171273	18171312	18169483	18170098	18171528	18171703	5296	33,36,32	215,150,157	2,6,8	206,212,171	112	74	2.22044604925e-16	7.47402140178e-14	0.092,0.137,0.119	0.006,0.018,0.03	0.098
3103	"FBgn0031883"	"Caper"	chr2L	+	7034198	7034273	7032720	7033018	7035406	7035561	3103	10,10,10	200,213,207	38,33,31	134,155,101	148	74	1.7763568394e-15	5.60551605133e-13	0.024,0.023,0.024	0.124,0.096,0.133	-0.094
2693	"FBgn0264953"	"Piezo"	chr2L	+	8181983	8182049	8179871	8180029	8182304	8182450	2693	257,243,158	28,24,19	257,309,251	0,9,1	139	74	3.10862446895e-15	9.23261467278e-13	0.83,0.844,0.816	1.0,0.948,0.993	-0.15
3696	"FBgn0033212"	"CG1399"	chr2R	-	7677997	7678404	7676539	7677734	7678569	7678626	3696	203,178,230	110,98,84	218,237,211	29,34,27	148	74	7.88258347484e-15	2.21106466469e-12	0.48,0.476,0.578	0.79,0.777,0.796	-0.276
1960	"FBgn0024807"	"DIP1"	chrX	-	21628919	21629792	21628360	21628754	21629973	21630148	1960	45,32,31	69,47,49	36,48,43	8,10,14	148	74	2.62012633812e-14	6.96264099009e-12	0.246,0.254,0.24	0.692,0.706,0.606	-0.421
1962	"FBgn0024807"	"DIP1"	chrX	-	21628843	21629792	21628360	21628754	21629973	21630148	1962	48,38,37	69,47,49	40,52,47	8,10,14	148	74	3.1197266992e-14	7.50071433536e-12	0.258,0.288,0.274	0.714,0.722,0.627	-0.414
5846	"FBgn0040271"	"Sulf1"	chr3R	-	16321962	16322169	16314364	16315246	16330919	16330956	5846	144,122,71	219,160,133	58,75,58	230,313,261	148	74	3.10862446895e-14	7.50071433536e-12	0.247,0.276,0.211	0.112,0.107,0.1	0.138
2174	"FBgn0261113"	"Xrp1"	chr3R	+	18920412	18921319	18918259	18918625	18925077	18925796	2174	1510,1403,1254	42,35,40	1168,1503,1261	6,6,10	148	74	3.35287353437e-14	7.69484476138e-12	0.947,0.952,0.94	0.99,0.992,0.984	-0.042
3714	"FBgn0041210"	"HDAC4"	chrX	-	13282165	13282229	13276434	13276547	13285202	13285632	3714	93,93,52	32,24,8	96,150,134	1,2,6	137	74	4.70734562441e-14	1.03336469816e-11	0.611,0.677,0.778	0.981,0.976,0.923	-0.271
2209	"FBgn0264693"	"ens"	chr3L	-	4130388	4130643	4129650	4129791	4131120	4131236	2209	25,34,19	114,108,78	2,5,7	126,125,134	148	74	5.10702591328e-14	1.07439057651e-11	0.099,0.136,0.109	0.008,0.02,0.025	0.097
2199	"FBgn0264693"	"ens"	chr3L	-	4128307	4128973	4126988	4127162	4129650	4129791	2199	58,47,28	54,55,50	24,11,13	101,89,96	148	74	1.66533453694e-13	3.3633096308e-11	0.349,0.299,0.219	0.106,0.058,0.063	0.213
4148	"FBgn0013576"	"mtd"	chr3R	-	5291989	5292079	5274965	5275087	5292639	5292841	4148	18,20,33	159,149,135	2,2,3	136,145,139	148	74	2.58126853225e-13	5.01262493051e-11	0.054,0.063,0.109	0.007,0.007,0.011	0.067
251	"FBgn0000064"	"Ald"	chr3R	-	26256473	26256623	26255965	26256307	26256932	26257132	251	5,5,7	72,60,69	35,34,28	75,60,47	148	74	2.81663581347e-13	5.26710897119e-11	0.034,0.04,0.048	0.189,0.221,0.23	-0.173
2785	"FBgn0015286"	"Rala"	chrX	-	3707367	3707491	3704983	3706251	3708743	3708918	2785	777,685,606	176,167,159	788,939,762	78,105,84	148	74	6.42708108956e-13	1.15894044361e-10	0.688,0.672,0.656	0.835,0.817,0.819	-0.152
4938	"FBgn0037728"	"CG16817"	chr3R	+	9678561	9678648	9677926	9678086	9678719	9678976	4938	1821,1488,1786	33,27,32	1772,2049,1537	2,6,6	148	74	1.00919272938e-12	1.70127412158e-10	0.965,0.965,0.965	0.998,0.994,0.992	-0.03
5736	"FBgn0032198"	"eEF1delta"	chr2L	+	10233480	10233561	10232506	10232659	10233756	10234450	5736	1754,1576,1969	1134,1072,1322	2305,2500,2110	876,909,689	148	74	1.01085806392e-12	1.70127412158e-10	0.436,0.424,0.427	0.568,0.579,0.605	-0.155
