ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1138	"FBgn0001105"	"Gbeta13F"	chrX	+	15861235	15861492	15861376	15861492	15860114	15860250	1138	399,498,324	290,482,340	897,1016,767	356,391,282	215	74	0.0	0.0	0.321,0.262,0.247	0.464,0.472,0.484	-0.197
1388	"FBgn0263197"	"Patronin"	chr2R	-	17524703	17526416	17524703	17526317	17526833	17526980	1388	381,446,295	1,4,1	525,220,242	41,15,37	173	74	0.0	0.0	0.994,0.979,0.992	0.846,0.863,0.737	0.173
1390	"FBgn0263197"	"Patronin"	chr2R	-	17524703	17526413	17524703	17526317	17526833	17526980	1390	247,284,191	1,4,1	404,156,168	41,15,37	170	74	0.0	0.0	0.991,0.969,0.988	0.811,0.819,0.664	0.218
143	"FBgn0039187"	"CG6454"	chr3R	+	24350726	24352351	24352052	24352351	24349889	24350235	143	92,83,52	65,84,79	386,182,236	78,51,51	1400	74	0.0	0.0	0.07,0.05,0.034	0.207,0.159,0.197	-0.136
1479	"FBgn0033636"	"tou"	chr2R	-	11581627	11582145	11581627	11581749	11583014	11587025	1479	54,91,56	47,59,50	438,254,281	93,48,58	470	74	0.0	0.0	0.153,0.195,0.15	0.426,0.454,0.433	-0.272
1483	"FBgn0033212"	"CG1399"	chr2R	-	7677069	7678404	7677069	7677734	7678569	7678626	1483	3141,4339,3192	10,13,10	3688,2067,2176	57,37,33	744	74	0.0	0.0	0.969,0.971,0.969	0.866,0.847,0.868	0.109
1638	"FBgn0262582"	"cic"	chr3R	+	20297096	20298532	20298383	20298532	20296199	20296499	1638	13,25,11	63,58,68	324,222,291	91,32,29	1361	74	0.0	0.0	0.011,0.023,0.009	0.162,0.274,0.353	-0.249
1640	"FBgn0027549"	"CG7927"	chr3L	+	8112781	8113320	8113011	8113320	8112493	8112714	1640	9,18,26	154,201,184	97,83,53	234,148,135	304	74	0.0	0.0	0.014,0.021,0.033	0.092,0.12,0.087	-0.077
1977	"FBgn0002783"	"mor"	chr3R	-	15968574	15969594	15968574	15969402	15969881	15970092	1977	868,1171,993	42,40,54	1167,858,1114	154,145,220	266	74	0.0	0.0	0.852,0.891,0.836	0.678,0.622,0.585	0.231
2178	"FBgn0261602"	"RpL8"	chr3L	+	2587575	2587890	2587750	2587890	2587455	2587513	2178	534,823,642	3479,5515,4402	488,350,225	6811,4951,3980	249	74	0.0	0.0	0.044,0.042,0.042	0.021,0.021,0.017	0.023
2263	"FBgn0033463"	"CG1513"	chr2R	-	9883896	9884206	9883896	9884002	9884621	9884708	2263	403,583,417	9,11,10	485,399,450	88,79,118	278	74	0.0	0.0	0.923,0.934,0.917	0.595,0.573,0.504	0.367
2356	"FBgn0003261"	"Rm62"	chr3R	-	6008036	6008309	6008036	6008306	6008550	6008579	2356	26,72,51	8,21,9	166,52,87	321,105,198	77	74	0.0	0.0	0.757,0.767,0.845	0.332,0.322,0.297	0.473
573	"FBgn0051151"	"wge"	chr3R	-	22714533	22716664	22714533	22716631	22716933	22717050	573	10,39,19	52,73,46	179,79,89	55,28,17	107	74	0.0	0.0	0.117,0.27,0.222	0.692,0.661,0.784	-0.509
574	"FBgn0051151"	"wge"	chr3R	-	22714533	22716667	22714533	22716631	22716933	22717050	574	4,8,7	52,73,46	92,26,22	55,28,17	110	74	0.0	0.0	0.049,0.069,0.093	0.529,0.384,0.465	-0.389
634	"FBgn0020236"	"ATPCL"	chr2R	-	15996166	15996365	15996166	15996314	15996894	15997218	634	680,808,599	1,7,2	903,248,201	52,24,19	125	74	0.0	0.0	0.998,0.986,0.994	0.911,0.859,0.862	0.115
725	"FBgn0003495"	"spz"	chr3R	-	27066607	27066884	27066607	27066665	27067121	27067199	725	1155,1604,1274	366,520,364	588,364,393	451,353,265	293	74	0.0	0.0	0.444,0.438,0.469	0.248,0.207,0.272	0.208
954	"FBgn0010348"	"Arf79F"	chr3L	-	22869841	22870150	22869841	22870065	22871459	22871724	954	4890,7508,5580	61,92,73	8016,6033,6490	342,306,382	159	74	0.0	0.0	0.974,0.974,0.973	0.916,0.902,0.888	0.072
1139	"FBgn0001105"	"Gbeta13F"	chrX	+	15860988	15861492	15861376	15861492	15860114	15860250	1139	539,721,457	290,482,340	1229,1314,1031	356,391,282	462	74	1.11022302463e-16	9.07461240658e-15	0.229,0.193,0.177	0.356,0.35,0.369	-0.159
591	"FBgn0034914"	"CG5554"	chr2R	+	23846106	23847024	23846127	23847024	23845765	23845940	591	27,34,22	320,391,298	169,31,56	506,145,189	95	74	1.11022302463e-16	9.07461240658e-15	0.062,0.063,0.054	0.206,0.143,0.188	-0.119
2434	"FBgn0014163"	"fax"	chr3L	-	16405501	16405845	16405501	16405836	16407020	16407359	2434	381,537,403	113,176,135	1353,479,492	193,41,60	83	74	2.22044604925e-16	1.72417635724e-14	0.75,0.731,0.727	0.862,0.912,0.88	-0.149
1255	"FBgn0036493"	"CG7255"	chr3L	+	15308920	15311195	15310957	15311195	15308559	15308835	1255	451,670,551	68,82,62	2316,1439,1530	92,75,70	2111	74	7.77156117238e-16	5.74725452415e-14	0.189,0.223,0.238	0.469,0.402,0.434	-0.218
1058	"FBgn0250823"	"gish"	chr3R	+	16301804	16302372	16301822	16302372	16301244	16301351	1058	173,179,158	341,383,277	375,265,217	281,223,182	92	74	8.881784197e-16	6.26973220815e-14	0.29,0.273,0.315	0.518,0.489,0.49	-0.206
997	"FBgn0026086"	"Adar"	chrX	+	1775649	1775738	1775698	1775738	1773724	1774222	997	5,3,7	43,61,44	29,26,28	43,31,32	123	74	8.14903700075e-14	5.50237150529e-12	0.065,0.029,0.087	0.289,0.335,0.345	-0.263
818	"FBgn0051158"	"Efa6"	chr3R	+	22605817	22607308	22607196	22607308	22605352	22605570	818	118,191,108	224,305,228	348,294,246	216,219,269	1453	74	1.8396395518e-13	1.19040009331e-11	0.026,0.031,0.024	0.076,0.064,0.045	-0.035
1751	"FBgn0266186"	"Vamp7"	chr2R	-	9841846	9842225	9841846	9842167	9842300	9842502	1751	27,78,49	322,345,243	146,102,63	291,223,171	132	74	4.60076421405e-13	2.85799472977e-11	0.045,0.112,0.102	0.22,0.204,0.171	-0.112
1209	"FBgn0031883"	"Caper"	chr2L	+	7035074	7035561	7035406	7035561	7032903	7033018	1209	137,194,134	104,143,120	162,88,129	265,225,233	406	74	9.58233492554e-13	5.72360236129e-11	0.194,0.198,0.169	0.1,0.067,0.092	0.101
1060	"FBgn0034858"	"eIF2B-delta"	chr2R	+	23386941	23387612	23387006	23387612	23386520	23386622	1060	63,95,81	19,15,22	63,35,43	93,62,35	139	74	1.34547928354e-12	7.73899750866e-11	0.638,0.771,0.662	0.265,0.231,0.395	0.393
1895	"FBgn0036240"	"CG6928"	chr3L	+	12007493	12008051	12007615	12008051	12007220	12007400	1895	8,12,10	36,47,55	58,41,31	57,32,34	196	74	7.09932113097e-12	3.93758775586e-10	0.077,0.088,0.064	0.278,0.326,0.256	-0.21
2057	"FBgn0261822"	"Bsg"	chr2L	+	8089184	8089736	8089393	8089736	8083419	8083521	2057	367,456,362	32,39,20	272,409,329	72,99,59	283	74	8.24651458231e-12	4.41615074011e-10	0.75,0.754,0.826	0.497,0.519,0.593	0.24
1460	"FBgn0028399"	"TMS1"	chr3L	+	16414793	16414956	16414802	16414956	16414283	16414493	1460	292,331,311	52,85,68	425,191,175	191,104,104	83	74	1.56367141457e-11	8.09460568942e-10	0.834,0.776,0.803	0.665,0.621,0.6	0.176
