ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	S1.Rep1	S1.Rep2	S1.Rep3	S2.Rep1	S2.Rep2	S2.Rep3	eventID	s1reads	s2reads	readcountpass
1649	FBgn0032694	MESR3	chr2L	+	18631742	18631774	18617255	18617724	18649597	18649627	1649	328,362,324	46,57,48	389,382,342	16,11,4	105	74	0.0	0.0	0.834,0.817,0.826	0.945,0.961,0.984	-0.138	0.834	0.817	0.826	0.945	0.961	0.984	chr2L:+:18617255-18617724:18631742-18631774:18649597-18649627	374,419,372	405,393,346	pass
1963	FBgn0024807	DIP1	chrX	-	21628847	21629792	21628360	21628754	21629973	21630148	1963	57,41,46	69,47,49	57,75,74	8,10,14	148	74	0.0	0.0	0.292,0.304,0.319	0.781,0.789,0.725	-0.46	0.292	0.304	0.319	0.781	0.789	0.725	chrX:-:21628360-21628754:21628847-21629792:21629973-21630148	126,88,95	65,85,88	pass
2178	FBgn0261113	Xrp1	chr3R	+	18919422	18919512	18918259	18918625	18925077	18925796	2178	1014,1006,781	42,35,40	976,1175,977	6,6,10	148	74	0.0	0.0	0.923,0.935,0.907	0.988,0.99,0.98	-0.064	0.923	0.935	0.907	0.988	0.99	0.98	chr3R:+:18918259-18918625:18919422-18919512:18925077-18925796	1056,1041,821	982,1181,987	pass
3064	FBgn0021765	scu	chrX	+	18091554	18091654	18091258	18091390	18091951	18092853	3064	37,22,46	273,243,283	7,8,5	365,386,310	148	74	0.0	0.0	0.063,0.043,0.075	0.009,0.01,0.008	0.051	0.063	0.043	0.075	0.009	0.01	0.008	chrX:+:18091258-18091390:18091554-18091654:18091951-18092853	310,265,329	372,394,315	pass
3458	FBgn0262734	Rbp2	chrX	+	16451701	16451791	16451274	16451559	16451918	16453615	3458	129,85,103	420,381,415	1,10,8	436,519,433	148	74	0.0	0.0	0.133,0.1,0.11	0.001,0.01,0.009	0.108	0.133	0.1	0.11	0.001	0.01	0.009	chrX:+:16451274-16451559:16451701-16451791:16451918-16453615	549,466,518	437,529,441	pass
4381	FBgn0033844	bbc	chr2R	-	13488916	13489048	13487973	13488132	13491434	13491593	4381	239,212,246	50,44,40	11,25,28	70,71,53	148	74	0.0	0.0	0.705,0.707,0.755	0.073,0.15,0.209	0.578	0.705	0.707	0.755	0.073	0.15	0.209	chr2R:-:13487973-13488132:13488916-13489048:13491434-13491593	289,256,286	81,96,81	pass
4759	FBgn0259984	kuz	chr2L	+	13558799	13558832	13551141	13551666	13609790	13609987	4759	450,338,167	35,28,13	358,492,365	2,5,1	106	74	0.0	0.0	0.9,0.894,0.9	0.992,0.986,0.996	-0.093	0.9	0.894	0.9	0.992	0.986	0.996	chr2L:+:13551141-13551666:13558799-13558832:13609790-13609987	485,366,180	360,497,366	pass
5293	FBgn0042174	CR18854	chr2L	-	9789674	9789732	9789366	9789615	9789790	9790309	5293	732,635,714	53,56,70	374,437,414	104,125,103	131	74	0.0	0.0	0.886,0.865,0.852	0.67,0.664,0.694	0.192	0.886	0.865	0.852	0.67	0.664	0.694	chr2L:-:9789366-9789615:9789674-9789732:9789790-9790309	785,691,784	478,562,517	pass
5676	FBgn0033463	CG1513	chr2R	-	9884084	9884206	9883896	9884002	9884621	9884708	5676	344,281,363	78,76,77	568,564,470	26,31,26	148	74	0.0	0.0	0.688,0.649,0.702	0.916,0.901,0.9	-0.226	0.688	0.649	0.702	0.916	0.901	0.9	chr2R:-:9883896-9884002:9884084-9884206:9884621-9884708	422,357,440	594,595,496	pass
6043	FBgn0262125	Sec23	chr3R	+	5651980	5652001	5651253	5651802	5652380	5652629	6043	44,54,58	511,438,470	114,111,101	327,325,285	94	74	0.0	0.0	0.063,0.088,0.089	0.215,0.212,0.218	-0.135	0.063	0.088	0.089	0.215	0.212	0.218	chr3R:+:5651253-5651802:5651980-5652001:5652380-5652629	555,492,528	441,436,386	pass
