ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1138	"FBgn0001105"	"Gbeta13F"	chrX	+	15861235	15861492	15861376	15861492	15860114	15860250	1138	228,307,184	290,482,340	611,697,460	356,391,282	148	74	0.0	0.0	0.282,0.242,0.213	0.462,0.471,0.449	-0.215
1139	"FBgn0001105"	"Gbeta13F"	chrX	+	15860988	15861492	15861376	15861492	15860114	15860250	1139	224,305,180	290,482,340	579,656,436	356,391,282	148	74	0.0	0.0	0.279,0.24,0.209	0.448,0.456,0.436	-0.204
1388	"FBgn0263197"	"Patronin"	chr2R	-	17524703	17526416	17524703	17526317	17526833	17526980	1388	285,344,219	1,4,1	430,181,204	41,15,37	148	74	0.0	0.0	0.993,0.977,0.991	0.84,0.858,0.734	0.176
1977	"FBgn0002783"	"mor"	chr3R	-	15968574	15969594	15968574	15969402	15969881	15970092	1977	394,536,450	42,40,54	600,403,540	154,145,220	148	74	0.0	0.0	0.824,0.87,0.806	0.661,0.582,0.551	0.235
2178	"FBgn0261602"	"RpL8"	chr3L	+	2587575	2587890	2587750	2587890	2587455	2587513	2178	515,795,617	3479,5515,4402	440,317,195	6811,4951,3980	148	74	0.0	0.0	0.069,0.067,0.065	0.031,0.031,0.024	0.038
2263	"FBgn0033463"	"CG1513"	chr2R	-	9883896	9884206	9883896	9884002	9884621	9884708	2263	249,317,251	9,11,10	286,223,260	88,79,118	148	74	0.0	0.0	0.933,0.935,0.926	0.619,0.585,0.524	0.355
2356	"FBgn0003261"	"Rm62"	chr3R	-	6008036	6008309	6008036	6008306	6008550	6008579	2356	26,72,51	8,21,9	166,52,87	321,105,198	76	74	0.0	0.0	0.76,0.769,0.847	0.335,0.325,0.3	0.472
573	"FBgn0051151"	"wge"	chr3R	-	22714533	22716664	22714533	22716631	22716933	22717050	573	10,39,19	52,73,46	179,79,89	55,28,17	106	74	0.0	0.0	0.118,0.272,0.224	0.694,0.663,0.785	-0.509
574	"FBgn0051151"	"wge"	chr3R	-	22714533	22716667	22714533	22716631	22716933	22717050	574	4,8,7	52,73,46	92,26,22	55,28,17	109	74	0.0	0.0	0.05,0.069,0.094	0.532,0.387,0.468	-0.391
634	"FBgn0020236"	"ATPCL"	chr2R	-	15996166	15996365	15996166	15996314	15996894	15997218	634	680,808,599	1,7,2	903,248,201	52,24,19	124	74	0.0	0.0	0.998,0.986,0.994	0.912,0.86,0.863	0.114
725	"FBgn0003495"	"spz"	chr3R	-	27066607	27066884	27066607	27066665	27067121	27067199	725	507,715,594	366,520,364	253,156,126	451,353,265	148	74	0.0	0.0	0.409,0.407,0.449	0.219,0.181,0.192	0.224
954	"FBgn0010348"	"Arf79F"	chr3L	-	22869841	22870150	22869841	22870065	22871459	22871724	954	4291,6584,4960	61,92,73	7224,5572,5978	342,306,382	148	74	0.0	0.0	0.972,0.973,0.971	0.914,0.901,0.887	0.071
591	"FBgn0034914"	"CG5554"	chr2R	+	23846106	23847024	23846127	23847024	23845765	23845940	591	27,34,22	320,391,298	169,31,56	506,145,189	94	74	1.11022302463e-16	1.32287343473e-14	0.062,0.064,0.055	0.208,0.144,0.189	-0.12
1390	"FBgn0263197"	"Patronin"	chr2R	-	17524703	17526413	17524703	17526317	17526833	17526980	1390	176,213,142	1,4,1	322,118,130	41,15,37	148	74	2.22044604925e-16	2.29298062019e-14	0.989,0.964,0.986	0.797,0.797,0.637	0.236
2434	"FBgn0014163"	"fax"	chr3L	-	16405501	16405845	16405501	16405836	16407020	16407359	2434	381,537,403	113,176,135	1353,479,492	193,41,60	82	74	2.22044604925e-16	2.29298062019e-14	0.753,0.734,0.729	0.864,0.913,0.881	-0.147
1058	"FBgn0250823"	"gish"	chr3R	+	16301804	16302372	16301822	16302372	16301244	16301351	1058	173,179,158	341,383,277	375,265,217	281,223,182	91	74	8.881784197e-16	8.59867732572e-14	0.292,0.275,0.317	0.52,0.491,0.492	-0.206
1209	"FBgn0031883"	"Caper"	chr2L	+	7035074	7035561	7035406	7035561	7032903	7033018	1209	99,112,84	104,143,120	104,37,55	265,225,233	148	74	4.10782519111e-15	3.74295365943e-13	0.322,0.281,0.259	0.164,0.076,0.106	0.172
997	"FBgn0026086"	"Adar"	chrX	+	1775649	1775738	1775698	1775738	1773724	1774222	997	5,3,7	43,61,44	29,26,28	43,31,32	122	74	8.14903700075e-14	7.01269906342e-12	0.066,0.029,0.088	0.29,0.337,0.347	-0.264
1546	"FBgn0259938"	"cwo"	chr3R	+	10396236	10396820	10396696	10396820	10388257	10389437	1546	85,138,91	52,74,50	62,52,46	143,76,72	148	74	1.96509475359e-13	1.60206935437e-11	0.45,0.483,0.476	0.178,0.255,0.242	0.245
1751	"FBgn0266186"	"Vamp7"	chr2R	-	9841846	9842225	9841846	9842167	9842300	9842502	1751	27,78,49	322,345,243	146,102,63	291,223,171	131	74	4.598543768e-13	3.56157214832e-11	0.045,0.113,0.102	0.221,0.205,0.172	-0.113
1060	"FBgn0034858"	"eIF2B-delta"	chr2R	+	23386941	23387612	23387006	23387612	23386520	23386622	1060	63,95,81	19,15,22	63,35,43	93,62,35	138	74	1.3572476476e-12	1.00113171721e-10	0.64,0.773,0.664	0.266,0.232,0.397	0.394
1460	"FBgn0028399"	"TMS1"	chr3L	+	16414793	16414956	16414802	16414956	16414283	16414493	1460	292,331,311	52,85,68	425,191,175	191,104,104	82	74	1.56387125472e-11	1.10110753344e-09	0.835,0.778,0.805	0.668,0.624,0.603	0.174
1040	"FBgn0264953"	"Piezo"	chr2L	+	8183140	8183563	8183188	8183563	8182304	8182450	1040	11,17,14	53,73,44	107,67,62	123,67,74	121	74	4.99671415355e-11	3.3651783582e-09	0.113,0.125,0.163	0.347,0.379,0.339	-0.221
1638	"FBgn0262582"	"cic"	chr3R	+	20297096	20298532	20298383	20298532	20296199	20296499	1638	4,4,1	63,58,68	25,19,12	91,32,29	148	74	6.35518304648e-11	4.10174105792e-09	0.031,0.033,0.007	0.121,0.229,0.171	-0.15
143	"FBgn0039187"	"CG6454"	chr3R	+	24350726	24352351	24352052	24352351	24349889	24350235	143	7,8,6	65,84,79	27,21,37	78,51,51	148	74	2.05061745362e-10	1.27056257426e-08	0.051,0.045,0.037	0.148,0.171,0.266	-0.151
658	"FBgn0016694"	"Pdp1"	chr3L	-	7816483	7816725	7816483	7816611	7817436	7817662	658	311,405,288	8,11,7	392,180,163	47,13,20	148	74	2.69842259648e-10	1.6076371546e-08	0.951,0.948,0.954	0.807,0.874,0.803	0.123
1866	"FBgn0267698"	"Pak"	chr3R	+	6357874	6359022	6358282	6359022	6356749	6357340	1866	24,30,20	99,126,104	19,7,11	313,163,182	148	74	2.91728974311e-10	1.6736599304e-08	0.108,0.106,0.088	0.029,0.021,0.029	0.074
1483	"FBgn0033212"	"CG1399"	chr2R	-	7677069	7678404	7677069	7677734	7678569	7678626	1483	341,513,413	10,13,10	655,361,416	57,37,33	148	74	3.80920184284e-10	2.10730487663e-08	0.945,0.952,0.954	0.852,0.83,0.863	0.102
55	"FBgn0030812"	"CG8949"	chrX	-	17076924	17077467	17076924	17077440	17077680	17077837	55	11,9,6	50,63,45	49,37,34	81,36,45	100	74	4.09766331977e-10	2.1887174077e-08	0.14,0.096,0.09	0.309,0.432,0.359	-0.258
2087	"FBgn0261283"	"HLH106"	chr3L	+	19794898	19796392	19794901	19796392	19793934	19794159	2087	88,110,76	193,452,323	191,146,116	1465,1429,947	76	74	4.64562943669e-10	2.39869333248e-08	0.307,0.192,0.186	0.113,0.09,0.107	0.125
1677	"FBgn0040666"	"CG12848"	chr2R	-	24762565	24762981	24762565	24762972	24763032	24763094	1677	15,27,12	26,52,32	15,9,10	133,119,90	82	74	5.50422929457e-10	2.75033908945e-08	0.342,0.319,0.253	0.092,0.064,0.091	0.222
