ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1135	"FBgn0034138"	"RpS15"	chr2R	-	16570916	16571230	16570916	16571005	16571188	16571230	1135	1397,1354,1296	4378,7663,5590	797,353,265	11895,4625,4259	148	74	0.0	0.0	0.138,0.081,0.104	0.032,0.037,0.03	0.075
1157	"FBgn0004403"	"RpS14a"	chrX	+	7933741	7934270	7933741	7933774	7934008	7934270	1157	188,272,181	373,920,630	176,92,104	2413,503,845	148	74	0.0	0.0	0.201,0.129,0.126	0.035,0.084,0.058	0.093
1210	"FBgn0261608"	"RpL37A"	chr2L	+	5070999	5071157	5070999	5071030	5071102	5071157	1210	477,930,634	165,269,150	1206,307,443	1313,958,1625	145	74	0.0	0.0	0.596,0.638,0.683	0.319,0.141,0.122	0.445
1323	"FBgn0025638"	"Roc1a"	chrX	+	647303	647637	647303	647525	647609	647637	1323	46,62,51	694,892,703	168,147,124	825,731,644	148	74	0.0	0.0	0.032,0.034,0.035	0.092,0.091,0.088	-0.057
1375	"FBgn0011272"	"RpL13"	chr2L	+	9967329	9967877	9967329	9967358	9967616	9967877	1375	940,2691,2052	262,815,467	3044,754,1057	5849,1121,1912	148	74	0.0	0.0	0.642,0.623,0.687	0.206,0.252,0.217	0.426
203	"FBgn0015790"	"Rab11"	chr3R	+	21111407	21111855	21111407	21111466	21111654	21111855	203	234,332,275	192,393,249	453,283,288	1330,727,651	148	74	0.0	0.0	0.379,0.297,0.356	0.146,0.163,0.181	0.181
562	"FBgn0250753"	"kra"	chr3R	-	5600037	5600571	5600037	5600308	5600487	5600571	562	518,660,446	3,7,9	975,755,701	78,51,51	148	74	0.0	0.0	0.989,0.979,0.961	0.862,0.881,0.873	0.104
775	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637927	16638232	16638303	775	1856,3833,2572	1280,2348,1535	1124,504,500	9008,2003,2986	148	74	0.0	0.0	0.42,0.449,0.456	0.059,0.112,0.077	0.359
776	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637949	16638232	16638303	776	1884,3857,2588	51,64,48	1188,582,588	110,46,64	148	74	0.0	0.0	0.949,0.968,0.964	0.844,0.864,0.821	0.117
859	"FBgn0015521"	"RpS21"	chr2L	+	2856376	2856705	2856376	2856568	2856630	2856705	859	6689,7504,6062	181,217,142	6781,3600,2999	107,10,9	135	74	0.0	0.0	0.953,0.95,0.959	0.972,0.995,0.995	-0.033
870	"FBgn0037262"	"MED31"	chr3R	+	4641962	4642428	4641962	4642008	4642283	4642428	870	184,296,231	23,34,31	254,70,114	119,37,85	148	74	0.0	0.0	0.8,0.813,0.788	0.516,0.486,0.401	0.333
909	"FBgn0047135"	"CG32276"	chr3L	-	3198751	3199047	3198751	3198866	3198992	3199047	909	606,950,747	283,464,310	1332,707,665	1330,628,869	148	74	0.0	0.0	0.517,0.506,0.546	0.334,0.36,0.277	0.199
274	"FBgn0058191"	"CG40191"	chr2R	+	1265342	1266349	1265342	1266052	1266191	1266349	274	240,392,325	77,79,76	365,433,319	33,24,10	148	74	1.11022302463e-16	9.00134667662e-15	0.609,0.713,0.681	0.847,0.9,0.941	-0.228
626	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20349206	20348354	20348385	20348941	20349206	626	73,100,50	29,68,38	99,52,48	328,130,117	148	74	2.44249065418e-15	1.83884653536e-13	0.557,0.424,0.397	0.131,0.167,0.17	0.303
221	"FBgn0020660"	"eIF-4B"	chr3L	-	27856365	27857935	27856365	27856707	27856783	27857935	221	21,26,16	26,47,40	9,6,8	79,109,152	148	74	4.88498130835e-15	3.43251353267e-13	0.288,0.217,0.167	0.054,0.027,0.026	0.188
514	"FBgn0024807"	"DIP1"	chrX	-	21628360	21630148	21628360	21628754	21629973	21630148	514	24,28,18	3,5,3	56,40,27	84,53,57	148	74	1.01030295241e-14	6.655370699e-13	0.8,0.737,0.75	0.25,0.274,0.191	0.524
1167	"FBgn0260486"	"Ziz"	chr2L	-	7472512	7473889	7472512	7473199	7473297	7473889	1167	38,65,36	30,60,40	187,106,70	36,14,18	148	74	1.1768364061e-14	7.29638571782e-13	0.388,0.351,0.31	0.722,0.791,0.66	-0.375
