ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1370	"FBgn0035422"	"RpL28"	chr3L	-	3222365	3222600	3222787	3222874	3221881	3221981	3222926	3222960	1370	42,81,71	40,62,62	71,53,62	393,294,427	148	148	0.0	0.0	0.512,0.566,0.534	0.153,0.153,0.127	0.393
1387	"FBgn0035422"	"RpL28"	chr3L	-	3222365	3222446	3222787	3222874	3221881	3221981	3222926	3222960	1387	42,81,71	40,63,62	71,53,62	400,308,435	148	148	0.0	0.0	0.512,0.563,0.534	0.151,0.147,0.125	0.395
1414	"FBgn0035422"	"RpL28"	chr3L	-	3222152	3222304	3222365	3222446	3221881	3221981	3222574	3222912	1414	40,62,62	33,41,35	393,296,428	57,42,60	148	148	0.0	0.0	0.548,0.602,0.639	0.873,0.876,0.877	-0.279
1423	"FBgn0035422"	"RpL28"	chr3L	-	3222152	3222207	3222365	3222446	3221881	3221981	3222926	3222960	1423	40,63,62	31,37,32	400,308,435	51,39,49	148	128	0.0	0.0	0.527,0.596,0.626	0.872,0.872,0.885	-0.293
1435	"FBgn0035422"	"RpL28"	chr3L	-	3222152	3222207	3222365	3222574	3221881	3221981	3222926	3222960	1435	40,62,62	31,37,32	394,295,429	51,39,49	148	128	0.0	0.0	0.527,0.592,0.626	0.87,0.867,0.883	-0.292
1439	"FBgn0035422"	"RpL28"	chr3L	-	3222152	3222207	3222365	3222600	3221881	3221981	3222926	3222960	1439	40,62,62	31,37,32	393,294,427	51,39,49	148	128	0.0	0.0	0.527,0.592,0.626	0.87,0.867,0.883	-0.292
1447	"FBgn0035422"	"RpL28"	chr3L	-	3222152	3222365	3222365	3222574	3221769	3221981	3222926	3222960	1447	40,62,62	33,41,35	394,295,429	57,43,59	148	148	0.0	0.0	0.548,0.602,0.639	0.874,0.873,0.879	-0.279
1451	"FBgn0035422"	"RpL28"	chr3L	-	3222152	3222365	3222365	3222446	3221769	3221981	3222926	3222960	1451	40,63,62	33,41,35	400,308,435	57,43,59	148	148	0.0	0.0	0.548,0.606,0.639	0.875,0.877,0.881	-0.28
1452	"FBgn0035422"	"RpL28"	chr3L	-	3222152	3222365	3222365	3222600	3221769	3221981	3222926	3222960	1452	40,62,62	33,41,35	393,294,427	57,43,59	148	148	0.0	0.0	0.548,0.602,0.639	0.873,0.872,0.879	-0.278
1481	"FBgn0035422"	"RpL28"	chr3L	-	3222365	3222413	3222787	3222874	3221769	3221981	3222926	3222960	1481	42,81,71	27,48,56	71,53,62	244,191,275	148	121	0.0	0.0	0.56,0.58,0.509	0.192,0.185,0.156	0.372
1491	"FBgn0035422"	"RpL28"	chr3L	-	3222365	3222574	3222787	3222874	3221881	3221981	3222926	3222960	1491	42,81,71	40,62,62	71,53,62	394,295,429	148	148	0.0	0.0	0.512,0.566,0.534	0.153,0.152,0.126	0.394
1741	"FBgn0026189"	"prominin-like"	chr3L	-	3117345	3117459	3117599	3117768	3117082	3117256	3117833	3117973	1741	2,4,5	439,533,470	22,19,37	361,294,390	148	148	0.0	0.0	0.005,0.007,0.011	0.057,0.061,0.087	-0.061
1742	"FBgn0026189"	"prominin-like"	chr3L	-	3117345	3117459	3117534	3117768	3117082	3117256	3117833	3117973	1742	2,3,4	439,533,470	25,19,39	361,294,390	148	148	0.0	0.0	0.005,0.006,0.008	0.065,0.061,0.091	-0.066
1746	"FBgn0026189"	"prominin-like"	chr3L	-	3117345	3117402	3117534	3117768	3117082	3117256	3117833	3117973	1746	2,3,4	364,434,383	25,19,39	293,244,332	148	130	0.0	0.0	0.005,0.006,0.009	0.07,0.064,0.094	-0.069
4479	"FBgn0250753"	"kra"	chr3R	-	5600037	5600167	5600203	5600308	5599115	5599364	5600487	5600571	4479	1,6,6	199,263,209	43,43,78	312,266,391	148	148	0.0	0.0	0.005,0.022,0.028	0.121,0.139,0.166	-0.124
5294	"FBgn0027279"	"l(1)G0196"	chrX	+	22504228	22504333	22505033	22505106	22503368	22503740	22505156	22505376	5294	233,328,247	3,8,10	222,161,195	50,40,43	148	146	0.0	0.0	0.987,0.976,0.961	0.814,0.799,0.817	0.165
6463	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13490739	13490987	13487969	13488132	13491434	13491593	6463	250,340,205	44,42,48	244,165,220	182,158,191	148	148	0.0	0.0	0.85,0.89,0.81	0.573,0.511,0.535	0.31
6464	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13490739	13490857	13487969	13488132	13491434	13491593	6464	250,340,205	44,42,48	244,166,220	182,158,191	148	148	0.0	0.0	0.85,0.89,0.81	0.573,0.512,0.535	0.31
6466	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13490739	13490871	13487973	13488132	13491434	13491593	6466	481,606,405	44,42,48	459,304,418	182,158,191	148	148	0.0	0.0	0.916,0.935,0.894	0.716,0.658,0.686	0.228
6962	"FBgn0259984"	"kuz"	chr2L	+	13551566	13551666	13558799	13558832	13550138	13550293	13609790	13609987	6962	2,4,1	162,217,164	24,22,32	134,127,180	148	106	0.0	0.0	0.009,0.013,0.004	0.114,0.11,0.113	-0.104
6965	"FBgn0259984"	"kuz"	chr2L	+	13551472	13551666	13558799	13558832	13550138	13550293	13609790	13609987	6965	2,3,1	162,217,164	22,22,31	134,127,180	148	106	0.0	0.0	0.009,0.01,0.004	0.105,0.11,0.11	-0.101
6979	"FBgn0259984"	"kuz"	chr2L	+	13551423	13551666	13558799	13558832	13550138	13550293	13609790	13609987	6979	1,3,2	162,217,164	21,22,34	134,127,180	148	106	0.0	0.0	0.004,0.01,0.009	0.101,0.11,0.119	-0.102
