ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
100	"FBgn0265991"	"Zasp52"	chr2R	-	15763925	15764835	15765122	15769551	15763645	15763829	15773815	15773966	100	107,138,103	2045,2719,2014	338,335,353	1130,1518,1482	4503	984	0.0	0.0	0.011,0.011,0.011	0.061,0.046,0.049	-0.041
162	"FBgn0036821"	"CG3961"	chr3L	-	18887060	18887215	18887552	18887746	18881077	18881251	18890189	18890281	162	1537,2307,1586	1477,1869,1376	2456,2247,2553	761,1071,1013	268	229	0.0	0.0	0.471,0.513,0.496	0.734,0.642,0.683	-0.193
2112	"FBgn0035162"	"CG13900"	chr3L	-	827181	827236	830621	830728	826945	827001	830907	831242	2112	509,673,499	1377,1723,1334	448,603,611	397,486,459	181	129	0.0	0.0	0.209,0.218,0.21	0.446,0.469,0.487	-0.255
2184	"FBgn0039969"	"Fis1"	chr2R	-	5604467	5604516	5604582	5604650	5604243	5604411	5604709	5604834	2184	339,525,489	176,345,260	287,330,288	385,434,501	142	123	0.0	0.0	0.625,0.569,0.62	0.392,0.397,0.332	0.231
2245	"FBgn0002590"	"RpS5a"	chrX	-	17145015	17145132	17146797	17147200	17144617	17144716	17148203	17148264	2245	46958,56549,45075	16418,17801,14766	31355,45297,43627	3301,7091,5498	477	191	0.0	0.0	0.534,0.56,0.55	0.792,0.719,0.761	-0.209
2338	"FBgn0041182"	"Tep2"	chr2L	-	7697006	7697157	7697400	7697581	7696027	7696206	7698724	7698992	2338	265,389,310	226,328,216	213,255,329	474,550,529	255	225	0.0	0.0	0.509,0.511,0.559	0.284,0.29,0.354	0.217
2339	"FBgn0041182"	"Tep2"	chr2L	-	7697006	7697157	7698373	7698551	7696027	7696206	7698724	7698992	2339	73,106,83	226,328,216	38,36,66	474,550,529	252	225	0.0	0.0	0.224,0.224,0.255	0.067,0.055,0.1	0.16
2340	"FBgn0041182"	"Tep2"	chr2L	-	7697006	7697157	7697976	7698130	7696027	7696206	7698724	7698992	2340	94,113,86	226,328,216	48,58,69	474,550,529	228	225	0.0	0.0	0.291,0.254,0.282	0.091,0.094,0.114	0.176
236	"FBgn0036661"	"CG9705"	chr3L	+	16780504	16780790	16781462	16781585	16780099	16780420	16781663	16782419	236	1416,2018,1722	600,815,632	3444,3063,3986	429,675,637	360	197	0.0	0.0	0.564,0.575,0.599	0.815,0.713,0.774	-0.188
2471	"FBgn0262109"	"CR42862"	chr3L	+	224972	225140	225725	229244	224105	224183	229588	230964	2471	1054,1696,1119	24486,35660,23429	2364,1900,2959	19887,23082,28067	242	3593	0.0	0.0	0.39,0.414,0.415	0.638,0.55,0.61	-0.193
2501	"FBgn0266557"	"kis"	chr2L	-	228132	228281	229172	229382	227371	227547	230537	230627	2501	172,237,178	72,106,93	160,254,292	247,293,352	284	223	0.0	0.0	0.652,0.637,0.6	0.337,0.405,0.394	0.251
2564	"FBgn0031190"	"CG12576"	chrX	-	22477178	22477483	22480511	22480898	22474850	22476452	22481914	22482027	2564	949,1390,1050	635,820,705	1382,1224,1608	290,420,398	461	379	0.0	0.0	0.551,0.582,0.55	0.797,0.706,0.769	-0.196
2594	"FBgn0020309"	"crol"	chr2L	-	11803784	11803898	11806047	11806157	11802904	11803674	11808013	11808972	2594	287,323,247	342,471,265	245,293,281	917,879,1018	184	188	0.0	0.0	0.462,0.412,0.488	0.214,0.254,0.22	0.225
2617	"FBgn0010225"	"Gel"	chr3R	+	4236552	4236804	4237624	4237817	4235216	4235324	4238302	4238377	2617	4829,6754,5105	3585,4684,3768	5453,7152,7218	1461,2811,2152	326	267	0.0	0.0	0.525,0.541,0.526	0.754,0.676,0.733	-0.19
267	"FBgn0024321"	"NK7.1"	chr3R	-	14344224	14345184	14367192	14367496	14341221	14341583	14369389	14369817	267	77,81,82	332,419,284	143,140,210	152,209,210	378	1034	0.0	0.0	0.388,0.346,0.441	0.72,0.647,0.732	-0.308
66	"FBgn0020279"	"lig"	chr2R	+	8076292	8076448	8077259	8077292	8075859	8076108	8077730	8078815	66	1242,1472,1146	122,157,125	1166,1457,1536	24,42,39	230	107	0.0	0.0	0.826,0.813,0.81	0.958,0.942,0.948	-0.133
92	"FBgn0010280"	"Taf4"	chr3L	+	16115668	16115830	16116031	16116619	16114311	16114720	16117544	16118108	92	195,223,153	190,263,181	148,187,176	561,467,589	236	662	0.0	0.0	0.742,0.704,0.703	0.425,0.529,0.456	0.246
97	"FBgn0265991"	"Zasp52"	chr2R	-	15773815	15773966	15774427	15775507	15763925	15764835	15777177	15777286	97	1412,1884,1189	498,553,394	1218,1140,1374	77,148,130	1154	225	0.0	0.0	0.356,0.399,0.37	0.755,0.6,0.673	-0.301
99	"FBgn0265991"	"Zasp52"	chr2R	-	15763925	15764835	15765122	15767253	15763645	15763829	15773815	15773966	99	64,93,43	2045,2719,2014	142,155,147	1130,1518,1482	2205	984	0.0	0.0	0.014,0.015,0.009	0.053,0.044,0.042	-0.034
2593	"FBgn0020309"	"crol"	chr2L	-	11803784	11803898	11806047	11806157	11802904	11803674	11809125	11809438	2593	355,453,348	361,499,282	432,486,525	1028,982,1163	184	188	1.11022302463e-16	1.22365885541e-14	0.501,0.481,0.558	0.3,0.336,0.316	0.196
259	"FBgn0040388"	"boi"	chrX	-	2456590	2456686	2469336	2469411	2450902	2452147	2469890	2470043	259	224,305,238	200,301,194	254,255,274	572,474,657	149	170	1.11022302463e-16	1.22365885541e-14	0.561,0.536,0.583	0.336,0.38,0.322	0.214
2613	"FBgn0010225"	"Gel"	chr3R	+	4236581	4236804	4237624	4237817	4235216	4235324	4238302	4238377	2613	2798,4054,2981	3585,4684,3768	3287,4100,4401	1461,2811,2152	297	267	1.11022302463e-16	1.22365885541e-14	0.412,0.438,0.416	0.669,0.567,0.648	-0.206
280	"FBgn0052230"	"CG32230"	chr3L	+	23339429	23339476	23339533	23339680	23339325	23339369	23341456	23341597	280	19,38,28	6562,7935,6683	51,71,61	3485,4086,4117	121	221	1.11022302463e-16	1.22365885541e-14	0.005,0.009,0.008	0.026,0.031,0.026	-0.02
71	"FBgn0011726"	"tsr"	chr2R	-	24044813	24044919	24044991	24045182	24044452	24044750	24046665	24046805	71	31022,45344,37239	28037,33750,27907	57326,50468,63558	21274,22236,25937	265	180	2.22044604925e-16	2.34534613952e-14	0.429,0.477,0.475	0.647,0.607,0.625	-0.166
2266	"FBgn0260987"	"vtd"	chr3L	+	27140118	27140242	27146944	27147695	27136945	27137236	27156009	27156171	2266	491,650,645	2621,3981,3180	371,371,416	4453,3967,4665	198	825	9.99200722163e-16	1.01318953227e-13	0.438,0.405,0.458	0.258,0.28,0.271	0.164
331	"FBgn0003507"	"srp"	chr3R	+	16000612	16000785	16001188	16001406	15999845	16000059	16001751	16001916	331	201,261,227	654,746,605	292,319,420	331,493,471	247	292	4.4408920985e-15	4.32986979604e-13	0.267,0.293,0.307	0.51,0.433,0.513	-0.196
2563	"FBgn0031190"	"CG12576"	chrX	-	22477178	22477483	22480511	22480895	22474850	22476452	22481914	22482027	2563	803,1184,886	635,820,705	1088,970,1279	290,420,398	458	379	4.99600361081e-15	4.69069227904e-13	0.511,0.544,0.51	0.756,0.656,0.727	-0.191
2477	"FBgn0261797"	"Dhc64C"	chr3L	-	4812056	4812255	4812893	4813089	4811551	4811669	4813327	4815436	2477	158,252,154	52,142,65	65,101,112	127,136,149	270	273	6.10622663544e-15	5.5283159003e-13	0.754,0.642,0.705	0.341,0.429,0.432	0.3
2193	"FBgn0250823"	"gish"	chr3R	+	16299590	16299689	16301244	16301351	16298469	16298550	16301822	16302372	2193	89,102,76	850,1054,757	187,169,237	867,721,880	173	181	9.88098491916e-15	8.63734371382e-13	0.099,0.092,0.095	0.184,0.197,0.22	-0.105
91	"FBgn0010280"	"Taf4"	chr3L	+	16115668	16115830	16116031	16116241	16114311	16114720	16117544	16118108	91	195,223,153	280,384,264	148,187,176	659,555,707	236	284	2.63122856836e-14	2.22338814026e-12	0.456,0.411,0.411	0.213,0.288,0.231	0.182
2647	"FBgn0042693"	"PP2A-B'"	chr3R	+	18169656	18170098	18171528	18171703	18167756	18167867	18175332	18175529	2647	919,1346,934	373,457,327	2290,1667,2333	225,351,276	516	249	3.88578058619e-14	3.17756573742e-12	0.543,0.587,0.58	0.831,0.696,0.803	-0.207
226	"FBgn0265434"	"zip"	chr2R	-	25002287	25002444	25005867	25006083	25000038	25000160	25010379	25010616	226	1500,1862,1209	718,1052,705	1542,1919,2059	1555,1965,2263	290	231	5.60662627436e-14	4.34955102239e-12	0.625,0.585,0.577	0.441,0.438,0.42	0.163
321	"FBgn0003721"	"Tm1"	chr3R	+	15295112	15295246	15300109	15300180	15290943	15291525	15300746	15300822	321	907,1103,822	328,389,280	756,793,896	564,519,675	208	145	5.66213742559e-14	4.34955102239e-12	0.658,0.664,0.672	0.483,0.516,0.481	0.171
83	"FBgn0030796"	"CG4829"	chrX	+	16823586	16824118	16824358	16824772	16823102	16823206	16824921	16825563	83	3306,4066,3210	2312,2407,1907	3628,2279,3315	644,859,845	606	488	2.69118061169e-13	2.00651260313e-11	0.535,0.576,0.575	0.819,0.681,0.76	-0.191
2192	"FBgn0250823"	"gish"	chr3R	+	16298469	16298550	16301244	16301351	16297174	16297345	16301822	16304768	2192	182,265,190	461,569,391	469,389,559	514,458,531	155	181	3.16413562018e-13	2.29173822776e-11	0.316,0.352,0.362	0.516,0.498,0.551	-0.178
2648	"FBgn0042693"	"PP2A-B'"	chr3R	+	18169656	18170098	18171528	18171703	18168136	18168206	18175332	18175529	2648	914,1327,927	370,459,328	2255,1596,2263	224,353,278	516	249	1.22912791056e-12	8.421187171e-11	0.544,0.582,0.577	0.829,0.686,0.797	-0.203
332	"FBgn0003495"	"spz"	chr3R	-	27066607	27066665	27067121	27067199	27066098	27066453	27067357	27067495	332	174,276,196	515,642,534	233,218,223	184,286,239	152	132	1.20992105224e-12	8.421187171e-11	0.227,0.272,0.242	0.524,0.398,0.448	-0.21
2645	"FBgn0042693"	"PP2A-B'"	chr3R	+	18169483	18170098	18171528	18171703	18167756	18167867	18175332	18175529	2645	1226,1846,1333	373,457,327	2741,2149,2940	225,351,276	689	249	1.60160773532e-12	1.06844094975e-10	0.543,0.593,0.596	0.815,0.689,0.794	-0.189
84	"FBgn0030796"	"CG4829"	chrX	+	16823856	16824118	16824358	16824772	16823102	16823206	16824921	16825563	84	1267,1732,1364	2312,2407,1907	1495,973,1429	644,859,845	336	488	1.6500134592e-12	1.07250874848e-10	0.443,0.511,0.51	0.771,0.622,0.711	-0.213
319	"FBgn0003721"	"Tm1"	chr3R	+	15295426	15295544	15296590	15296708	15295112	15295246	15299276	15299347	319	693,848,677	246,276,210	903,812,1040	137,157,138	192	192	1.98874250401e-12	1.26036556192e-10	0.738,0.754,0.763	0.868,0.838,0.883	-0.111
260	"FBgn0026199"	"myo"	chr4	-	692424	692843	693380	694416	691277	692359	695696	696055	260	1340,2081,1359	764,1145,816	2624,2541,2994	712,864,960	1110	493	3.02835534427e-12	1.87240995066e-10	0.438,0.447,0.425	0.621,0.566,0.581	-0.153
85	"FBgn0030796"	"CG4829"	chrX	+	16823514	16824118	16824358	16824772	16823102	16823206	16824921	16825563	85	2647,3403,2656	2312,2407,1907	3330,1963,3012	644,859,845	678	488	3.52518014779e-12	2.12769801777e-10	0.452,0.504,0.501	0.788,0.622,0.72	-0.224
2139	"FBgn0029506"	"Tsp42Ee"	chr2R	+	7013032	7013116	7017012	7017375	7012253	7012335	7017434	7017626	2139	1351,2256,1721	14267,19218,15141	2079,2610,2819	10861,13446,14349	158	437	3.62831986678e-12	2.1284655856e-10	0.208,0.245,0.239	0.346,0.349,0.352	-0.118
2611	"FBgn0034968"	"RpL12"	chr2R	+	24060512	24060574	24060812	24060993	24060377	24060444	24061149	24061860	2611	437,603,440	54420,61000,50908	545,503,623	25718,41433,35748	136	255	3.69437813674e-12	2.1284655856e-10	0.015,0.018,0.016	0.038,0.022,0.032	-0.014
2646	"FBgn0042693"	"PP2A-B'"	chr3R	+	18169483	18170098	18171528	18171703	18168136	18168206	18175332	18175529	2646	1174,1728,1247	370,459,328	2655,2044,2801	224,353,278	689	249	4.18809431579e-12	2.35929313123e-10	0.534,0.576,0.579	0.811,0.677,0.785	-0.195
270	"FBgn0000308"	"chic"	chr2L	-	5976610	5976782	5979411	5979704	5973202	5973674	5980950	5981018	270	9161,13072,9445	6718,7630,6013	13368,14669,16094	4275,6217,5863	367	246	6.0953464498e-12	3.35906592397e-10	0.478,0.535,0.513	0.677,0.613,0.648	-0.137
1823	"FBgn0033159"	"Dscam1"	chr2R	-	7343717	7344008	7345484	7345775	7332260	7332380	7347848	7348010	1823	107,153,96	4,1,0	79,160,191	11,21,28	365	365	6.76581013437e-12	3.64921887035e-10	0.964,0.994,1.0	0.878,0.884,0.872	0.108
2541	"FBgn0259984"	"kuz"	chr2L	+	13610055	13610578	13630705	13631184	13551141	13551666	13633393	13633540	2541	1383,1991,1321	1837,2357,1508	2744,2581,3288	1605,2005,2240	597	553	8.85835849118e-12	4.67832057815e-10	0.411,0.439,0.448	0.613,0.544,0.576	-0.145
318	"FBgn0003721"	"Tm1"	chr3R	+	15301623	15301686	15303152	15303222	15300746	15300822	15303640	15304972	318	228,367,237	465,609,437	753,726,835	682,707,813	137	144	1.35009781133e-11	6.98468969739e-10	0.34,0.388,0.363	0.537,0.519,0.519	-0.161
417	"FBgn0033159"	"Dscam1"	chr2R	-	7334933	7335218	7343717	7344008	7332260	7332380	7347848	7348010	417	4,1,0	108,118,64	11,21,28	109,126,127	365	359	1.7903789562e-11	9.07722130793e-10	0.035,0.008,0.0	0.09,0.141,0.178	-0.122
2606	"FBgn0261822"	"Bsg"	chr2L	+	8089393	8089736	8105691	8105809	8088303	8088453	8106839	8107000	2606	2781,4165,2909	772,1250,893	9790,5572,8157	924,1072,1195	417	192	2.77750045186e-11	1.38058110695e-09	0.624,0.605,0.6	0.83,0.705,0.759	-0.155
69	"FBgn0266694"	"CR45184"	chr3L	-	826945	827001	827181	827236	826719	826885	827422	827469	69	918,1366,1055	953,1479,1243	809,842,927	1584,1688,1829	129	130	3.01437763639e-11	1.46950909774e-09	0.493,0.482,0.461	0.34,0.335,0.338	0.141
184	"FBgn0261041"	"stj"	chr2R	+	13811197	13811254	13812437	13812491	13810752	13810836	13813799	13813880	184	24,40,34	44,83,37	83,88,102	36,39,26	131	128	3.81629172708e-11	1.82533953361e-09	0.348,0.32,0.473	0.693,0.688,0.793	-0.344
1652	"FBgn0033159"	"Dscam1"	chr2R	-	7345484	7345775	7346641	7346929	7332260	7332380	7347848	7348010	1652	1,4,2	107,153,96	15,22,27	79,160,191	362	365	5.06376052201e-11	2.37715424505e-09	0.009,0.026,0.021	0.161,0.122,0.125	-0.117
