ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	S1.Rep1	S1.Rep2	S1.Rep3	S2.Rep1	S2.Rep2	S2.Rep3	eventID	s1reads	s2reads	readcountpass
1044	FBgn0036239	Pop2	chr3L	-	12001726	12001931	12000749	12001090	12002585	12002915	1044	9,11,1	63,104,61	122,80,55	175,114,122	279	74	0.0	0.0	0.037,0.027,0.004	0.156,0.157,0.107	-0.117	0.037	0.027	0.004	0.156	0.157	0.107	chr3L:-:12000749-12001090:12001726-12001931:12002585-12002915	72,115,62	297,194,177	pass
1045	FBgn0036239	Pop2	chr3L	-	12001726	12001865	12000749	12001090	12002585	12002915	1045	5,10,1	63,104,61	100,75,51	175,114,122	213	74	0.0	0.0	0.027,0.032,0.006	0.166,0.186,0.127	-0.138	0.027	0.032	0.006	0.166	0.186	0.127	chr3L:-:12000749-12001090:12001726-12001865:12002585-12002915	68,114,62	275,189,173	pass
1553	FBgn0034072	Dg	chr2R	-	16086930	16087725	16085563	16085620	16088304	16088365	1553	184,296,193	125,153,105	933,767,925	128,111,99	869	74	0.0	0.0	0.111,0.141,0.135	0.383,0.37,0.443	-0.27	0.111	0.141	0.135	0.383	0.37	0.443	chr2R:-:16085563-16085620:16086930-16087725:16088304-16088365	309,449,298	1061,878,1024	pass
163	FBgn0032456	MRP	chr2L	+	12729184	12729405	12726745	12727116	12737958	12738176	163	10,23,11	50,34,44	256,126,84	30,34,24	295	74	0.0	0.0	0.048,0.145,0.059	0.682,0.482,0.468	-0.46	0.048	0.145	0.059	0.682	0.482	0.468	chr2L:+:12726745-12727116:12729184-12729405:12737958-12738176	60,57,55	286,160,108	pass
167	FBgn0032456	MRP	chr2L	+	12736035	12736256	12726745	12727116	12737958	12738176	167	22,53,26	50,34,44	349,210,169	30,34,24	295	74	0.0	0.0	0.099,0.281,0.129	0.745,0.608,0.639	-0.494	0.099	0.281	0.129	0.745	0.608	0.639	chr2L:+:12726745-12727116:12736035-12736256:12737958-12738176	72,87,70	379,244,193	pass
1704	FBgn0032694	MESR3	chr2L	+	18631742	18631774	18617255	18617724	18649597	18649627	1704	299,455,384	18,6,10	419,213,291	73,46,45	106	74	0.0	0.0	0.921,0.981,0.964	0.8,0.764,0.819	0.161	0.921	0.981	0.964	0.8	0.764	0.819	chr2L:+:18617255-18617724:18631742-18631774:18649597-18649627	317,461,394	492,259,336	pass
170	FBgn0032456	MRP	chr2L	+	12728577	12728798	12726745	12727116	12737958	12738176	170	11,14,8	50,34,44	243,97,68	30,34,24	295	74	0.0	0.0	0.052,0.094,0.044	0.67,0.417,0.415	-0.437	0.052	0.094	0.044	0.67	0.417	0.415	chr2L:+:12726745-12727116:12728577-12728798:12737958-12738176	61,48,52	273,131,92	pass
171	FBgn0032456	MRP	chr2L	+	12736592	12736813	12726745	12727116	12737958	12738176	171	35,38,47	50,34,44	364,176,154	30,34,24	295	74	0.0	0.0	0.149,0.219,0.211	0.753,0.565,0.617	-0.452	0.149	0.219	0.211	0.753	0.565	0.617	chr2L:+:12726745-12727116:12736592-12736813:12737958-12738176	85,72,91	394,210,178	pass
1950	FBgn0003507	srp	chr3R	+	16001188	16001406	15999845	16000059	16001751	16001916	1950	654,746,605	0,2,0	709,297,282	36,13,7	292	74	0.0	0.0	1.0,0.99,1.0	0.833,0.853,0.911	0.131	1.0	0.99	1.0	0.833	0.853	0.911	chr3R:+:15999845-16000059:16001188-16001406:16001751-16001916	654,748,605	745,310,289	pass
1962	FBgn0003495	spz	chr3R	-	27067357	27067495	27066607	27066665	27069143	27070070	1962	356,525,457	593,754,620	528,442,451	349,255,223	212	74	0.0	0.0	0.173,0.196,0.205	0.346,0.377,0.414	-0.188	0.173	0.196	0.205	0.346	0.377	0.414	chr3R:-:27066607-27066665:27067357-27067495:27069143-27070070	949,1279,1077	877,697,674	pass
2032	FBgn0024807	DIP1	chrX	-	21628919	21629792	21628360	21628754	21629973	21630148	2032	693,829,552	3,5,3	934,562,412	84,53,57	947	74	0.0	0.0	0.948,0.928,0.935	0.465,0.453,0.361	0.511	0.948	0.928	0.935	0.465	0.453	0.361	chrX:-:21628360-21628754:21628919-21629792:21629973-21630148	696,834,555	1018,615,469	pass
2034	FBgn0024807	DIP1	chrX	-	21628843	21629792	21628360	21628754	21629973	21630148	2034	745,876,592	3,5,3	1008,592,433	84,53,57	1023	74	0.0	0.0	0.947,0.927,0.935	0.465,0.447,0.355	0.514	0.947	0.927	0.935	0.465	0.447	0.355	chrX:-:21628360-21628754:21628843-21629792:21629973-21630148	748,881,595	1092,645,490	pass
2035	FBgn0024807	DIP1	chrX	-	21628847	21629792	21628360	21628754	21629973	21630148	2035	747,901,608	3,5,3	1050,602,442	84,53,57	1019	74	0.0	0.0	0.948,0.929,0.936	0.476,0.452,0.36	0.508	0.948	0.929	0.936	0.476	0.452	0.36	chrX:-:21628360-21628754:21628847-21629792:21629973-21630148	750,906,611	1134,655,499	pass
2100	FBgn0027492	wdb	chr3R	-	27580156	27580325	27568278	27568591	27582001	27582241	2100	62,83,70	194,233,140	249,260,298	220,263,273	243	74	0.0	0.0	0.089,0.098,0.132	0.256,0.231,0.249	-0.139	0.089	0.098	0.132	0.256	0.231	0.249	chr3R:-:27568278-27568591:27580156-27580325:27582001-27582241	256,316,210	469,523,571	pass
