ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1027	"FBgn0051855"	"CG31855"	chr2L	+	13369203	13370329	13369203	13369323	13369385	13370329	1027	97	465	106	106	137	75	0.0	0.0	0.102	0.354	-0.252
1096	"FBgn0001942"	"eIF-4a"	chr2L	+	5985025	5985579	5985025	5985220	5985338	5985579	1096	13462	14866	7353	5651	193	75	0.0	0.0	0.26	0.336	-0.076
1104	"FBgn0030719"	"eIF5"	chrX	-	15988616	15989476	15988616	15989268	15989391	15989476	1104	263	10	62	42	198	75	0.0	0.0	0.909	0.359	0.55
1152	"FBgn0031228"	"CG11455"	chr2L	+	155334	155784	155334	155429	155566	155784	1152	921	697	390	110	212	75	0.0	0.0	0.319	0.556	-0.237
1154	"FBgn0021967"	"Pdsw"	chr2L	+	3466156	3466416	3466156	3466228	3466315	3466416	1154	267	206	257	35	162	75	0.0	0.0	0.375	0.773	-0.398
1157	"FBgn0004403"	"RpS14a"	chrX	+	7933741	7934270	7933741	7933774	7934008	7934270	1157	243	1734	220	457	309	75	0.0	0.0	0.033	0.105	-0.072
1163	"FBgn0027088"	"Aats-gly"	chr3L	+	15095141	15097686	15095141	15095185	15095273	15097686	1163	179	441	283	153	163	75	0.0	0.0	0.157	0.46	-0.303
1285	"FBgn0013272"	"Gp150"	chr2R	+	22317661	22317954	22317661	22317737	22317881	22317954	1285	213	740	199	177	219	75	0.0	0.0	0.09	0.278	-0.188
1296	"FBgn0004179"	"Csp"	chr3L	+	22271557	22273745	22271557	22271762	22272368	22273745	1296	751	270	776	50	681	75	0.0	0.0	0.234	0.631	-0.397
1376	"FBgn0010551"	"Phb2"	chr2R	+	18819466	18819765	18819466	18819524	18819620	18819765	1376	129	264	150	58	171	75	0.0	0.0	0.176	0.531	-0.355
1451	"FBgn0035165"	"CG13887"	chr3L	+	837860	838624	837860	837945	838048	838624	1451	169	730	545	208	178	75	0.0	0.0	0.089	0.525	-0.436
1514	"FBgn0016726"	"RpL29"	chr2R	+	21293767	21293874	21293767	21293789	21293849	21293874	1514	2652	2951	3705	638	135	75	0.0	0.0	0.333	0.763	-0.43
1540	"FBgn0033086"	"CG9410"	chr2R	+	6669089	6669434	6669089	6669232	6669329	6669434	1540	5	60	80	22	172	75	0.0	0.0	0.035	0.613	-0.578
203	"FBgn0015790"	"Rab11"	chr3R	+	21111407	21111855	21111407	21111466	21111654	21111855	203	737	938	645	204	263	75	0.0	0.0	0.183	0.474	-0.291
20	"FBgn0026401"	"Nipped-B"	chr2R	-	4726847	4727734	4726847	4727085	4727157	4727734	20	689	641	411	800	147	75	0.0	0.0	0.354	0.208	0.146
280	"FBgn0259740"	"CG42394"	chr3R	+	10851284	10851788	10851284	10851488	10851548	10851788	280	276	241	223	36	135	75	0.0	0.0	0.389	0.775	-0.386
288	"FBgn0038738"	"CG4572"	chr3R	-	19862516	19864393	19862516	19864191	19864324	19864393	288	141	351	185	59	208	75	0.0	0.0	0.127	0.531	-0.404
398	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267918	27267255	27267283	27267591	27267918	398	19637	2304	6117	416	383	75	0.0	0.0	0.625	0.742	-0.117
421	"FBgn0030703"	"MSBP"	chrX	-	15889908	15890109	15889908	15889964	15890031	15890109	421	804	790	501	173	142	75	0.0	0.0	0.35	0.605	-0.255
470	"FBgn0039266"	"CG11791"	chr3R	+	25050242	25051556	25050242	25050617	25051180	25051556	470	2812	447	1852	67	638	75	0.0	0.0	0.425	0.765	-0.34
544	"FBgn0015324"	"Vha26"	chr3R	+	5591762	5592038	5591762	5591830	5591928	5592038	544	61	474	161	86	173	75	0.0	0.0	0.053	0.448	-0.395
554	"FBgn0045823"	"vsg"	chr3L	+	9714323	9714623	9714323	9714399	9714505	9714623	554	916	2325	757	542	181	75	0.0	0.0	0.14	0.367	-0.227
687	"FBgn0024814"	"Clc"	chr3L	+	20242505	20243735	20242505	20242667	20242784	20243735	687	106	658	108	164	192	75	0.0	0.0	0.059	0.205	-0.146
746	"FBgn0010198"	"RpS15Aa"	chrX	-	13337504	13337638	13337504	13337539	13337606	13337638	746	240	334	631	64	142	75	0.0	0.0	0.275	0.839	-0.564
775	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637927	16638232	16638303	775	271	2198	540	807	380	75	0.0	0.0	0.024	0.117	-0.093
850	"FBgn0262736"	"Vha16-1"	chr2R	-	6632026	6632384	6632026	6632140	6632305	6632384	850	1206	222	1207	50	240	75	0.0	0.0	0.629	0.883	-0.254
851	"FBgn0262736"	"Vha16-1"	chr2R	-	6632026	6632384	6632026	6632140	6632323	6632384	851	1212	584	1208	155	258	75	0.0	0.0	0.376	0.694	-0.318
855	"FBgn0029161"	"slmo"	chr2L	-	6046653	6047934	6046653	6047780	6047899	6047934	855	284	440	247	69	194	75	0.0	0.0	0.2	0.581	-0.381
909	"FBgn0047135"	"CG32276"	chr3L	-	3198751	3199047	3198751	3198866	3198992	3199047	909	1135	726	672	114	201	75	0.0	0.0	0.368	0.687	-0.319
978	"FBgn0035889"	"mkg-p"	chr3L	-	8404102	8405277	8404102	8404510	8405213	8405277	978	583	65	1409	24	778	75	1.11022302463e-16	3.46759658026e-15	0.464	0.85	-0.386
386	"FBgn0262515"	"VhaAC45"	chr2R	+	9207560	9207850	9207560	9207659	9207747	9207850	386	202	306	231	110	163	75	8.881784197e-16	2.68459090084e-14	0.233	0.491	-0.258
1071	"FBgn0028692"	"Rpn2"	chr3R	+	29153523	29154673	29153523	29153608	29153695	29154673	1071	221	244	235	76	162	75	3.10862446895e-15	9.10244102314e-14	0.295	0.589	-0.294
1210	"FBgn0261608"	"RpL37A"	chr2L	+	5070999	5071157	5070999	5071030	5071102	5071157	1210	1343	602	724	152	147	75	9.32587340685e-15	2.6479828431e-13	0.532	0.708	-0.176
84	"FBgn0263106"	"DnaJ-1"	chr3L	-	5750028	5752189	5750028	5751600	5751845	5752189	84	125	565	188	307	320	75	2.9531932455e-14	8.1386531501e-13	0.049	0.126	-0.077
1160	"FBgn0004584"	"Rrp1"	chr2L	-	2970713	2971054	2970713	2970904	2970985	2971054	1160	79	138	65	12	156	75	9.50350909079e-14	2.54422514802e-12	0.216	0.723	-0.507
145	"FBgn0031220"	"CG4822"	chr2L	-	119827	120631	119827	120080	120420	120631	145	3129	721	554	248	415	75	1.0236256287e-13	2.66427003914e-12	0.44	0.288	0.152
1365	"FBgn0001222"	"Hsf"	chr2R	-	18131281	18131734	18131281	18131387	18131459	18131734	1365	48	82	85	16	147	75	1.43329792479e-13	3.62973015008e-12	0.23	0.73	-0.5
248	"FBgn0037025"	"Spc105R"	chr3L	+	20800409	20800670	20800409	20800505	20800566	20800670	248	39	108	41	7	136	75	3.46278561381e-13	8.53850031616e-12	0.166	0.764	-0.598
1577	"FBgn0262579"	"Ect4"	chr3L	+	8105439	8106949	8105439	8105657	8106015	8106949	1577	11299	93	3755	92	433	75	7.43183292684e-13	1.78554550063e-11	0.955	0.876	0.079
146	"FBgn0031220"	"CG4822"	chr2L	-	119133	119375	119133	119235	119287	119375	146	193	617	96	92	127	75	9.89208714941e-13	2.31722141475e-11	0.156	0.381	-0.225
936	"FBgn0025637"	"SkpA"	chrX	+	656355	657899	656355	656489	657098	657899	936	469	538	364	196	684	75	2.01316741055e-12	4.60082405777e-11	0.087	0.169	-0.082
870	"FBgn0037262"	"MED31"	chr3R	+	4641962	4642428	4641962	4642008	4642283	4642428	870	1491	202	551	170	350	75	2.13196127419e-12	4.75630408075e-11	0.613	0.41	0.203
399	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267918	27267255	27267455	27267513	27267918	399	1147	290	831	89	133	75	3.3723024373e-12	7.34848228779e-11	0.69	0.84	-0.15
1042	"FBgn0064225"	"RpL5"	chr2L	-	22536536	22536650	22536536	22536565	22536620	22536650	1042	3399	7220	1250	1987	130	75	5.10758102479e-12	1.06351187116e-10	0.214	0.266	-0.052
154	"FBgn0003256"	"rl"	chr2R	+	1071974	1072439	1071974	1072045	1072267	1072439	154	1540	146	736	14	297	75	5.10580466795e-12	1.06351187116e-10	0.727	0.93	-0.203
1053	"FBgn0013305"	"Nmda1"	chr2R	-	12878384	12879222	12878384	12878710	12879196	12879222	1053	704	1000	584	486	561	75	1.00855990226e-11	2.05439267047e-10	0.086	0.138	-0.052
1186	"FBgn0087035"	"AGO2"	chr3L	+	15554112	15554472	15554112	15554222	15554289	15554472	1186	1036	2410	655	996	142	75	1.37874156536e-11	2.74868265264e-10	0.185	0.258	-0.073
14	"FBgn0038306"	"Art3"	chr3R	-	15227604	15229408	15227604	15229179	15229243	15229408	14	126	128	92	15	139	75	1.61552993205e-11	3.15364905486e-10	0.347	0.768	-0.421
516	"FBgn0002413"	"dco"	chr3R	-	31060374	31061210	31060374	31060464	31061076	31061210	516	218	300	155	71	687	75	2.17126316926e-11	4.15198691754e-10	0.073	0.192	-0.119
707	"FBgn0026150"	"ApepP"	chr2L	-	16908228	16910418	16908228	16910184	16910308	16910418	707	60	454	91	211	199	75	1.27148958029e-10	2.38277147346e-09	0.047	0.14	-0.093
1418	"FBgn0045064"	"bwa"	chr2L	+	20072353	20073719	20072353	20072646	20073377	20073719	1418	149	85	373	63	806	75	1.97179939043e-10	3.62269809575e-09	0.14	0.355	-0.215
1407	"FBgn0053526"	"PNUTS"	chr2L	+	870464	871576	870464	870552	871340	871576	1407	2485	193	1758	54	863	75	2.65439337177e-10	4.78301267182e-09	0.528	0.739	-0.211
1375	"FBgn0011272"	"RpL13"	chr2L	+	9967329	9967877	9967329	9967358	9967616	9967877	1375	1866	6757	961	2601	333	75	4.06070954639e-10	7.17902800937e-09	0.059	0.077	-0.018
646	"FBgn0267330"	"KdelR"	chr2L	+	10426886	10428159	10426886	10427003	10427075	10428159	646	352	2883	210	939	147	75	4.86432560898e-10	8.44050573262e-09	0.059	0.102	-0.043
1135	"FBgn0034138"	"RpS15"	chr2R	-	16570916	16571230	16570916	16571005	16571188	16571230	1135	690	18680	256	4238	258	75	5.39078448547e-10	9.18393647797e-09	0.011	0.017	-0.006
308	"FBgn0261439"	"SdhA"	chr2R	-	19395686	19395971	19395686	19395777	19395864	19395971	308	458	249	243	50	162	75	3.83709164442e-09	6.42027655504e-08	0.46	0.692	-0.232
1325	"FBgn0261592"	"RpS6"	chrX	-	7900802	7901331	7900802	7901007	7901242	7901331	1325	773	7139	283	1659	310	75	4.16823775495e-09	6.85199785331e-08	0.026	0.04	-0.014
1273	"FBgn0043458"	"CG12084"	chr3L	-	1491983	1492463	1491983	1492229	1492313	1492463	1273	42	48	105	21	159	75	1.36278693885e-08	2.20160579604e-07	0.292	0.702	-0.41
517	"FBgn0002413"	"dco"	chr3R	-	31060374	31061210	31060374	31060464	31061069	31061210	517	209	66	150	7	680	75	1.88383579847e-08	2.99178668333e-07	0.259	0.703	-0.444
27	"FBgn0010215"	"alpha-Cat"	chr3L	-	23328713	23330089	23328713	23329398	23329885	23330089	27	711	129	268	109	562	75	7.94805932181e-08	1.24122193076e-06	0.424	0.247	0.177
896	"FBgn0027108"	"Inx2"	chrX	+	6998957	7004151	6998957	7000263	7002771	7004151	896	54	64	134	43	2583	75	1.85294626975e-07	2.84624697501e-06	0.024	0.083	-0.059
225	"FBgn0013981"	"His4r"	chr3R	+	14625787	14626229	14625787	14625917	14626025	14626229	225	68	559	44	111	183	75	2.17334565122e-07	3.28455625031e-06	0.047	0.14	-0.093
416	"FBgn0028325"	"l(1)G0334"	chrX	+	4702324	4702892	4702324	4702591	4702823	4702892	416	73	288	52	63	307	75	3.26867589107e-07	4.86150684116e-06	0.058	0.168	-0.11
28	"FBgn0061200"	"Nup153"	chrX	+	16599240	16600313	16599240	16599639	16599723	16600313	28	50	68	52	13	159	75	5.8607919573e-07	8.58056572498e-06	0.258	0.654	-0.396
283	"FBgn0029688"	"lva"	chrX	-	3964700	3965327	3964700	3964951	3965271	3965327	283	425	68	234	7	395	75	6.11467181999e-07	8.8145346082e-06	0.543	0.864	-0.321
