ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1377	"FBgn0010551"	"Phb2"	chr2R	+	18821183	18821839	18821183	18821283	18821489	18821839	1377	3386,4675,3410	6,5,17	3577,3750,3229	55,67,63	280	74	0.0	0.0	0.993,0.996,0.981	0.945,0.937,0.931	0.052
423	"FBgn0004587"	"B52"	chr3R	+	13662969	13665526	13662969	13663051	13665452	13665526	423	1970,2852,1981	773,801,694	3588,4430,3711	590,640,518	2475	74	0.0	0.0	0.071,0.096,0.079	0.154,0.171,0.176	-0.085
561	"FBgn0250753"	"kra"	chr3R	-	5600037	5600571	5600037	5600308	5600487	5600571	561	889,1176,820	3,7,9	952,1106,915	37,72,42	253	74	0.0	0.0	0.989,0.98,0.964	0.883,0.818,0.864	0.123
869	"FBgn0037262"	"MED31"	chr3R	+	4641962	4642428	4641962	4642008	4642283	4642428	869	386,582,448	23,34,31	346,403,323	88,103,84	349	74	0.0	0.0	0.781,0.784,0.754	0.455,0.453,0.449	0.321
625	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20349206	20348354	20348385	20348941	20349206	625	217,279,232	29,68,38	179,211,188	109,134,123	630	74	4.90718576884e-14	1.03836050869e-11	0.468,0.325,0.418	0.162,0.156,0.152	0.247
626	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20349206	20348354	20348421	20348941	20349206	626	217,279,232	36,96,55	179,209,187	153,199,134	594	74	3.67594843453e-13	6.48192240622e-11	0.429,0.266,0.344	0.127,0.116,0.148	0.216
273	"FBgn0058191"	"CG40191"	chr2R	+	1265342	1266349	1265342	1266052	1266191	1266349	273	357,500,463	77,79,76	624,729,627	52,48,29	213	74	5.74762459848e-13	8.68712403599e-11	0.617,0.687,0.679	0.807,0.841,0.883	-0.183
1016	"FBgn0028577"	"pUf68"	chr3L	-	1499042	1501892	1499042	1499337	1501798	1501892	1016	658,986,633	101,136,97	1369,1869,1575	110,107,89	2535	74	2.04591898978e-12	2.70572786398e-10	0.16,0.175,0.16	0.266,0.338,0.341	-0.15
1135	"FBgn0034138"	"RpS15"	chr2R	-	16570916	16571230	16570916	16571005	16571188	16571230	1135	1413,1374,1319	4378,7663,5590	1127,1258,939	8468,9283,7565	257	74	2.37787567414e-12	2.79532495916e-10	0.085,0.049,0.064	0.037,0.038,0.035	0.029
517	"FBgn0031995"	"CG8475"	chr2L	-	8193124	8195569	8193124	8193229	8195020	8195569	517	87,119,79	62,53,46	182,204,185	41,41,30	1865	74	6.48124887093e-11	6.85716130544e-09	0.053,0.082,0.064	0.15,0.165,0.197	-0.104
746	"FBgn0037074"	"CG7324"	chr3L	-	21338869	21339555	21338869	21339220	21339325	21339555	746	405,490,376	86,82,87	524,648,500	40,57,46	179	74	2.48232989719e-10	2.38755002839e-08	0.661,0.712,0.641	0.844,0.825,0.818	-0.158
919	"FBgn0039600"	"CG1646"	chr3R	+	28813880	28815422	28813880	28814006	28815147	28815422	919	108,211,150	100,120,92	220,283,231	64,98,71	1215	74	1.19361357465e-08	1.05236930165e-06	0.062,0.097,0.09	0.173,0.15,0.165	-0.08
203	"FBgn0015790"	"Rab11"	chr3R	+	21111407	21111855	21111407	21111466	21111654	21111855	203	462,629,489	192,393,249	607,658,545	566,650,488	262	74	1.4266950954e-08	1.07817386495e-06	0.405,0.311,0.357	0.232,0.222,0.24	0.126
708	"FBgn0029854"	"CG3566"	chrX	-	6274971	6276296	6274971	6275170	6276227	6276296	708	149,147,114	131,124,102	161,182,147	68,71,56	1131	74	1.32860185076e-08	1.07817386495e-06	0.069,0.072,0.068	0.134,0.144,0.147	-0.072
1157	"FBgn0004403"	"RpS14a"	chrX	+	7933741	7934270	7933741	7933774	7934008	7934270	1157	233,337,217	373,920,630	306,291,236	1116,1339,1009	308	74	2.33624175561e-08	1.64782918496e-06	0.13,0.081,0.076	0.062,0.05,0.053	0.041
1064	"FBgn0003607"	"Su(var)205"	chr2L	-	8210729	8211122	8210729	8210861	8210978	8211122	1064	315,434,347	345,638,508	361,359,318	811,834,720	191	74	7.31115250563e-08	4.83449959435e-06	0.261,0.209,0.209	0.147,0.143,0.146	0.081
1400	"FBgn0020306"	"dom"	chr2R	+	21340683	21341847	21340683	21341076	21341419	21341847	1400	683,863,731	35,31,22	754,906,718	6,17,8	417	74	1.90300114555e-07	1.11854178444e-05	0.776,0.832,0.855	0.957,0.904,0.941	-0.113
1418	"FBgn0045064"	"bwa"	chr2L	+	20072353	20073719	20072353	20072646	20073377	20073719	1418	189,262,155	111,133,97	440,454,374	140,140,104	805	74	1.85228773097e-07	1.11854178444e-05	0.135,0.153,0.128	0.224,0.23,0.248	-0.095
48	"FBgn0261385"	"scra"	chr2R	+	7590945	7591873	7590945	7591425	7591506	7591873	48	228,312,219	81,97,77	293,343,298	49,56,49	155	74	2.10378790721e-07	1.17147768728e-05	0.573,0.606,0.576	0.741,0.745,0.744	-0.158
963	"FBgn0019957"	"ND42"	chr3R	+	22027708	22029148	22027708	22027824	22028019	22029148	963	28,63,53	0,1,0	63,59,58	6,9,3	269	74	3.5588883629e-07	1.88265194397e-05	1.0,0.945,1.0	0.743,0.643,0.842	0.239
1038	"FBgn0011661"	"Moe"	chrX	-	8891561	8891807	8891561	8891623	8891733	8891807	1038	3705,4808,3506	30,35,30	2766,3450,2806	42,65,45	184	74	9.35140097469e-07	4.71132487201e-05	0.98,0.982,0.979	0.964,0.955,0.962	0.02
100	"FBgn0029914"	"CG4558"	chrX	+	6849769	6851884	6849769	6851052	6851299	6851884	100	17,7,6	40,33,14	16,29,17	14,17,13	321	74	1.07449028053e-06	5.16732144e-05	0.089,0.047,0.09	0.209,0.282,0.232	-0.166
1407	"FBgn0053526"	"PNUTS"	chr2L	+	870464	871576	870464	870552	871340	871576	1407	800,1162,990	59,124,91	743,888,776	125,146,127	862	74	1.27809747041e-06	5.63427968206e-05	0.538,0.446,0.483	0.338,0.343,0.344	0.147
901	"FBgn0053558"	"mim"	chr2R	-	6927389	6928836	6927389	6928262	6928508	6928836	901	10,11,13	0,0,0	25,24,31	4,3,1	320	74	1.22895348853e-06	5.63427968206e-05	1.0,1.0,1.0	0.591,0.649,0.878	0.294
676	"FBgn0266486"	"CG45085"	chr2R	-	9186669	9188265	9186669	9187134	9188119	9188265	676	1558,1961,1579	59,48,63	2388,2604,2163	30,44,38	1059	74	1.42497741507e-06	6.03050442058e-05	0.649,0.741,0.637	0.848,0.805,0.799	-0.142
356	"FBgn0267635"	"CR45973"	chr3L	+	20404269	20407558	20404269	20405658	20406525	20407558	356	174,303,223	36,34,22	450,497,492	23,13,24	941	74	1.74779439144e-06	7.11217871594e-05	0.275,0.412,0.444	0.606,0.75,0.617	-0.281
826	"FBgn0031850"	"Tsp"	chr2L	-	6708286	6709086	6708286	6708578	6709052	6709086	826	26,50,37	1,0,0	31,50,42	2,5,5	548	74	1.91499143032e-06	7.50392938251e-05	0.778,1.0,1.0	0.677,0.575,0.531	0.332
1167	"FBgn0260486"	"Ziz"	chr2L	-	7472512	7473889	7472512	7473199	7473297	7473889	1167	39,74,44	30,60,40	109,100,89	33,32,38	172	74	2.2686069715e-06	8.57209348517e-05	0.359,0.347,0.321	0.587,0.573,0.502	-0.212
209	"FBgn0033905"	"CG18324"	chr2R	+	14168785	14169522	14168785	14169103	14169386	14169522	209	35,48,30	46,51,27	100,100,56	40,45,31	357	74	2.41892201036e-06	8.82489478262e-05	0.136,0.163,0.187	0.341,0.315,0.272	-0.147
344	"FBgn0037443"	"Dmtn"	chr3R	-	6405377	6405895	6405377	6405660	6405741	6405895	344	114,205,151	3,0,1	149,241,200	5,13,11	155	74	3.7572673639e-06	0.0001325062957	0.948,1.0,0.986	0.934,0.898,0.897	0.068
899	"FBgn0053558"	"mim"	chr2R	-	6927389	6928836	6927389	6928151	6928508	6928836	899	15,20,21	5,1,7	35,32,48	0,2,0	431	74	4.60142168113e-06	0.000157042068988	0.34,0.774,0.34	1.0,0.733,1.0	-0.426
81	"FBgn0031313"	"CG5080"	chr2L	-	1162999	1163886	1162999	1163149	1163759	1163886	81	8,18,7	92,78,56	27,31,24	74,78,50	684	74	7.07075183815e-06	0.000233776732649	0.009,0.024,0.013	0.038,0.041,0.049	-0.027
522	"FBgn0036212"	"CG11597"	chr3L	-	11820337	11822092	11820337	11821719	11821833	11822092	522	4,8,9	0,0,0	6,1,6	0,6,2	188	74	8.698439247e-06	0.00027887723404	1.0,1.0,1.0	1.0,0.062,0.541	0.466
1435	"FBgn0033913"	"CG8468"	chr2R	+	14219897	14220765	14219897	14220042	14220607	14220765	1435	515,665,434	254,243,199	200,283,214	176,157,157	639	74	9.24793401169e-06	0.000287773946599	0.19,0.241,0.202	0.116,0.173,0.136	0.069
1473	"FBgn0052205"	"CR32205"	chr3L	-	19423378	19424183	19423378	19423567	19423773	19424183	1473	2,2,5	121,86,104	11,13,21	126,118,108	280	74	1.07747593415e-05	0.00032570558238	0.004,0.006,0.013	0.023,0.028,0.049	-0.026
565	"FBgn0037890"	"CG17734"	chr3R	-	11242207	11243013	11242207	11242563	11242823	11243013	565	128,188,141	348,440,343	250,257,190	350,378,337	334	74	1.17340347494e-05	0.000344850243468	0.075,0.086,0.083	0.137,0.131,0.111	-0.045
670	"FBgn0037031"	"CG11456"	chr3L	+	20842402	20843358	20842402	20842928	20842980	20843358	670	0,2,0	7,15,14	3,3,13	14,12,11	126	74	1.74002593065e-05	0.00049755336071	0.0,0.073,0.0	0.112,0.128,0.41	-0.192
1338	"FBgn0037313"	"CG1161"	chr3R	+	5356002	5356748	5356002	5356128	5356424	5356748	1338	222,379,315	674,703,618	360,427,308	495,577,500	370	74	1.86898830321e-05	0.000520365690736	0.062,0.097,0.093	0.127,0.129,0.11	-0.038
745	"FBgn0010198"	"RpS15Aa"	chrX	-	13337504	13337638	13337504	13337539	13337606	13337638	745	159,199,163	248,403,271	199,175,131	472,524,416	141	74	2.30324636609e-05	0.000624829398801	0.252,0.206,0.24	0.181,0.149,0.142	0.075
1534	"FBgn0003261"	"Rm62"	chr3R	-	6002062	6003911	6002062	6003098	6003672	6003911	1534	401,453,322	133,173,143	632,790,710	163,205,146	648	74	2.40858336003e-05	0.000637070298728	0.256,0.23,0.205	0.307,0.306,0.357	-0.093
1386	"FBgn0037536"	"CG2698"	chr3R	+	8003219	8004178	8003219	8003760	8003975	8004178	1386	30,94,58	11,9,14	149,152,141	6,5,8	289	74	2.98228382778e-05	0.000751251497569	0.411,0.728,0.515	0.864,0.886,0.819	-0.305
1470	"FBgn0023479"	"Tequila"	chr3L	+	9087848	9089948	9087848	9088115	9089354	9089948	1470	2061,3245,2055	76,60,69	1267,1588,1214	74,75,88	1313	74	2.93611189234e-05	0.000751251497569	0.604,0.753,0.627	0.491,0.544,0.437	0.171
