ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1017	"FBgn0029002"	"miple2"	chr3L	+	274594	274813	274594	274807	274866	275018	1017	27,50,35	391,527,433	334,243,327	751,509,707	79	74	0.0	0.0	0.061,0.082,0.07	0.294,0.309,0.302	-0.231
1086	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20348650	20348354	20348421	20348941	20349206	1086	29,74,41	36,96,55	30,23,26	156,198,194	148	74	0.0	0.0	0.287,0.278,0.272	0.088,0.055,0.063	0.21
1090	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20348650	20348354	20348385	20348941	20349206	1090	19,58,32	29,68,38	23,15,14	131,155,182	148	74	0.0	0.0	0.247,0.299,0.296	0.081,0.046,0.037	0.226
1244	"FBgn0013263"	"Trl"	chr3L	-	14757483	14757962	14757907	14757962	14756903	14757330	1244	81,97,64	3,8,4	132,113,142	64,59,83	148	74	0.0	0.0	0.931,0.858,0.889	0.508,0.489,0.461	0.407
1245	"FBgn0013263"	"Trl"	chr3L	-	14757841	14757962	14757907	14757962	14756903	14757330	1245	103,156,81	3,8,4	202,180,176	64,59,83	139	74	0.0	0.0	0.948,0.912,0.915	0.627,0.619,0.53	0.333
2002	"FBgn0040309"	"Jafrac1"	chrX	+	13329823	13330030	13329823	13329964	13331121	13331994	2002	79,148,92	1682,2395,1766	456,426,578	2922,2262,2954	139	74	0.0	0.0	0.024,0.032,0.027	0.077,0.091,0.094	-0.06
210	"FBgn0035438"	"PHGPx"	chr3L	+	3326264	3326712	3326264	3326367	3327859	3328183	210	659,913,727	588,870,639	609,682,737	1334,1355,1744	148	74	0.0	0.0	0.359,0.344,0.363	0.186,0.201,0.174	0.168
2150	"FBgn0004657"	"mys"	chrX	+	8061644	8061870	8061644	8061725	8063839	8064459	2150	176,269,188	58,109,65	163,118,155	223,248,338	148	74	0.0	0.0	0.603,0.552,0.591	0.268,0.192,0.187	0.366
2245	"FBgn0010408"	"RpS9"	chr3L	-	9510281	9510651	9510464	9510651	9509889	9510158	2245	909,1625,1180	6484,8309,6351	147,290,245	3700,5923,5425	148	74	0.0	0.0	0.066,0.089,0.085	0.019,0.024,0.022	0.058
2580	"FBgn0030151"	"CG1354"	chrX	+	9778867	9778933	9778867	9778913	9779051	9779242	2580	62,81,72	221,319,241	12,11,11	155,224,219	93	74	0.0	0.0	0.182,0.168,0.192	0.058,0.038,0.038	0.136
2653	"FBgn0011760"	"ctp"	chrX	+	4688202	4688672	4688202	4688317	4691636	4691844	2653	43,52,32	632,804,649	132,97,166	600,669,858	148	74	0.0	0.0	0.033,0.031,0.024	0.099,0.068,0.088	-0.056
965	"FBgn0004363"	"porin"	chr2L	-	10849515	10850848	10850753	10850848	10848543	10848863	965	12,14,11	1135,1806,1216	97,119,131	1589,2430,2394	148	74	0.0	0.0	0.005,0.004,0.005	0.03,0.024,0.027	-0.022
971	"FBgn0032006"	"Pvr"	chr2L	-	8239074	8239878	8239691	8239878	8230124	8230331	971	4,12,4	378,449,323	34,39,51	244,410,434	148	74	0.0	0.0	0.005,0.013,0.006	0.065,0.045,0.055	-0.047
89	"FBgn0038294"	"Mf"	chr3R	-	15176538	15178489	15178279	15178489	15176363	15176433	89	82,96,81	609,918,676	25,26,17	537,863,594	148	74	3.33066907388e-16	4.32273264803e-14	0.063,0.05,0.057	0.023,0.015,0.014	0.039
217	"FBgn0029897"	"RpL17"	chrX	-	6744108	6744238	6744195	6744238	6743057	6743148	217	147,207,147	95,115,112	134,190,198	261,304,251	148	74	3.4128255777e-13	4.03707206553e-11	0.436,0.474,0.396	0.204,0.238,0.283	0.194
2525	"FBgn0052803"	"CG32803"	chrX	-	1901712	1901911	1901799	1901911	1901436	1901614	2525	36,48,39	284,377,288	74,84,92	190,239,253	148	74	3.55493412485e-13	4.03707206553e-11	0.06,0.06,0.063	0.163,0.149,0.154	-0.094
1561	"FBgn0025637"	"SkpA"	chrX	+	656113	656784	656113	656399	657098	657899	1561	33,62,43	114,150,107	92,95,102	79,99,89	148	74	1.35369493393e-12	1.44686099703e-10	0.126,0.171,0.167	0.368,0.324,0.364	-0.197
1565	"FBgn0010315"	"CycD"	chrX	-	15909419	15909676	15909530	15909676	15908536	15909222	1565	5,10,13	152,165,134	18,22,21	44,66,64	148	74	2.46203057941e-12	2.48528309044e-10	0.016,0.029,0.046	0.17,0.143,0.141	-0.121
161	"FBgn0011764"	"Dsp1"	chrX	+	16333611	16334239	16333611	16333643	16334300	16334413	161	19,41,28	9,11,12	29,18,25	59,40,71	148	74	2.76645373276e-12	2.64560338549e-10	0.514,0.651,0.538	0.197,0.184,0.15	0.391
260	"FBgn0033486"	"dmpd"	chr2R	+	10117693	10117899	10117693	10117868	10118031	10118542	260	3,6,11	49,66,71	44,37,39	70,58,88	104	74	5.45719025524e-12	4.95785734689e-10	0.042,0.061,0.099	0.309,0.312,0.24	-0.22
2070	"FBgn0052423"	"shep"	chr3L	-	5166934	5167059	5166967	5167059	5163833	5163975	2070	333,438,273	10,10,4	316,414,487	41,32,46	106	74	6.75615119405e-12	5.84567939028e-10	0.959,0.968,0.979	0.843,0.9,0.881	0.094
733	"FBgn0032801"	"CG10165"	chr2L	-	19529991	19530305	19530268	19530305	19528087	19528369	733	4,3,1	0,0,0	0,1,2	1,1,5	148	74	7.60003171507e-12	6.27693528467e-10	1.0,1.0,1.0	0.0,0.333,0.167	0.833
2342	"FBgn0027081"	"Aats-thr"	chr2L	+	12103750	12104056	12103750	12103834	12104491	12104552	2342	147,210,162	173,260,184	302,249,320	686,649,841	148	74	1.01556540955e-11	8.02296673545e-10	0.298,0.288,0.306	0.18,0.161,0.16	0.13
546	"FBgn0039359"	"RpL27"	chr3R	-	25684958	25685051	25685024	25685051	25684006	25684516	546	70,110,74	108,155,122	137,122,184	538,429,642	139	74	1.23530075058e-11	9.35225609918e-10	0.257,0.274,0.244	0.119,0.131,0.132	0.131
2435	"FBgn0086768"	"Pcmt"	chr3R	-	5553225	5553675	5553270	5553675	5552822	5553045	2435	17,18,25	121,145,104	40,32,48	56,69,73	118	74	1.58852930809e-11	1.15454310112e-09	0.081,0.072,0.131	0.309,0.225,0.292	-0.181
355	"FBgn0039904"	"Hcf"	chr4	+	359937	360284	359937	359980	360586	361006	355	50,62,54	1,3,0	91,92,106	21,27,23	148	74	3.83851839203e-11	2.68253381474e-09	0.962,0.912,1.0	0.684,0.63,0.697	0.288
2490	"FBgn0034761"	"CG4250"	chr2R	+	22663691	22663913	22663691	22663874	22663988	22664121	2490	5,10,7	233,252,232	16,19,19	65,128,132	112	74	4.55649962205e-11	3.06635548639e-09	0.014,0.026,0.02	0.14,0.089,0.087	-0.085
357	"FBgn0039904"	"Hcf"	chr4	+	359937	360358	359937	359980	360586	361006	357	37,59,48	1,3,0	92,69,89	21,27,23	148	74	1.45997103296e-10	9.47416916746e-09	0.949,0.908,1.0	0.687,0.561,0.659	0.317
2575	"FBgn0038947"	"Sar1"	chr3R	+	22356684	22356798	22356684	22356749	22357530	22357671	2575	10,37,32	59,110,82	34,29,29	270,357,436	122	74	3.10087622246e-10	1.8780973654e-08	0.093,0.169,0.191	0.071,0.047,0.039	0.099
478	"FBgn0003392"	"shi"	chrX	+	15892199	15892440	15892199	15892251	15892827	15893150	478	131,147,126	13,26,18	145,176,222	87,68,92	148	74	3.06588310295e-10	1.8780973654e-08	0.834,0.739,0.778	0.455,0.564,0.547	0.262
97	"FBgn0053129"	"CG33129"	chr2L	-	10968104	10968166	10968133	10968166	10966501	10966621	97	27,36,31	151,290,233	37,43,36	662,801,975	102	74	4.8828718846e-10	2.86199297236e-08	0.115,0.083,0.088	0.039,0.037,0.026	0.061
2152	"FBgn0004657"	"mys"	chrX	+	8061644	8062080	8061644	8061725	8063839	8064459	2152	45,52,42	58,109,65	65,49,63	223,248,338	148	74	6.1918570271e-10	3.5158138182e-08	0.28,0.193,0.244	0.127,0.09,0.085	0.138
444	"FBgn0020618"	"Rack1"	chr2L	-	7826533	7826981	7826769	7826981	7825628	7826336	444	398,498,410	6361,7473,6010	219,475,384	2326,3695,3225	148	74	3.55175477917e-09	1.9556177072e-07	0.03,0.032,0.033	0.045,0.06,0.056	-0.022
