ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2332	"FBgn0262614"	"pyd"	chr3R	-	8832703	8832944	8833473	8833738	8832353	8832645	8833974	8834074	2332	78,84,97	269,225,277	4,5,2	299,218,322	339	315	0.0	0.0	0.212,0.258,0.246	0.012,0.021,0.006	0.226
2128	"FBgn0264693"	"ens"	chr3L	-	4129650	4129791	4130388	4130643	4126988	4127162	4131120	4131236	2128	108,78,75	259,260,208	35,41,47	290,290,340	329	215	3.90742993517e-12	5.42742017995e-09	0.214,0.164,0.191	0.073,0.085,0.083	0.109
1677	"FBgn0033159"	"Dscam1"	chr2R	-	7356972	7357096	7359015	7359139	7348130	7348975	7361717	7361867	1677	0,1,0	4,4,3	4,4,10	2,1,2	198	198	1.95948524073e-09	1.53907356459e-06	0.0,0.2,0.0	0.667,0.8,0.833	-0.7
36	"FBgn0032456"	"MRP"	chr2L	+	12729930	12730151	12736035	12736256	12726745	12727116	12737958	12738176	36	1132,913,819	166,141,112	1231,983,1340	65,97,97	295	295	2.21608864592e-09	1.53907356459e-06	0.872,0.866,0.88	0.95,0.91,0.932	-0.058
98	"FBgn0265991"	"Zasp52"	chr2R	-	15763925	15764835	15765122	15767253	15763645	15763829	15773815	15773966	98	98,98,100	1490,1511,1410	207,209,276	1823,1643,2137	2205	984	1.8854986461e-08	1.04758304777e-05	0.029,0.028,0.031	0.048,0.054,0.054	-0.023
1336	"FBgn0033159"	"Dscam1"	chr2R	-	7354685	7354809	7359015	7359139	7348130	7348975	7361717	7361867	1336	0,1,0	12,6,4	4,4,10	3,5,10	198	198	2.90342017095e-08	1.34428353915e-05	0.0,0.143,0.0	0.571,0.444,0.5	-0.457
1092	"FBgn0033159"	"Dscam1"	chr2R	-	7356316	7356440	7359015	7359139	7348130	7348975	7361717	7361867	1092	0,1,0	3,5,1	4,4,10	2,3,1	198	198	4.72722513356e-08	1.87603306015e-05	0.0,0.167,0.0	0.667,0.571,0.909	-0.66
1244	"FBgn0033159"	"Dscam1"	chr2R	-	7356106	7356230	7359015	7359139	7348130	7348975	7361717	7361867	1244	0,1,0	6,11,5	4,4,10	8,3,9	198	198	7.98067466556e-08	2.77128927762e-05	0.0,0.083,0.0	0.333,0.571,0.526	-0.449
1658	"FBgn0033159"	"Dscam1"	chr2R	-	7357590	7357714	7359015	7359139	7348130	7348975	7361717	7361867	1658	0,1,0	3,2,1	4,4,10	2,0,2	198	198	1.07929307491e-07	3.33141795789e-05	0.0,0.333,0.0	0.667,1.0,0.833	-0.722
2125	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226606	8228493	8229011	2125	1075,945,665	199,159,134	1280,1060,1524	129,113,163	249	249	2.34773072094e-07	5.01691995598e-05	0.844,0.856,0.832	0.908,0.904,0.903	-0.061
2126	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226603	8228493	8229011	2126	796,732,470	195,159,132	959,812,1144	129,112,162	249	249	1.88274820401e-07	5.01691995598e-05	0.803,0.822,0.781	0.881,0.879,0.876	-0.077
33	"FBgn0032456"	"MRP"	chr2L	+	12729930	12730151	12736592	12736813	12726745	12727116	12737958	12738176	33	1132,913,819	149,133,117	1231,983,1340	80,88,104	295	295	2.23693973345e-07	5.01691995598e-05	0.884,0.873,0.875	0.939,0.918,0.928	-0.051
97	"FBgn0265991"	"Zasp52"	chr2R	-	15763925	15764835	15765122	15769551	15763645	15763829	15773815	15773966	97	210,189,172	1490,1511,1410	361,357,494	1823,1643,2137	4503	984	1.9969978271e-07	5.01691995598e-05	0.03,0.027,0.026	0.041,0.045,0.048	-0.017
