ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	S1.Rep1	S1.Rep2	S1.Rep3	S2.Rep1	S2.Rep2	S2.Rep3	eventID	s1reads	s2reads	readcountpass
3509	FBgn0262734	Rbp2	chrX	+	16451701	16451791	16451274	16451559	16451918	16453615	3509	129,85,103	420,381,415	27,25,40	370,414,488	148	74	0.0	0.0	0.133,0.1,0.11	0.035,0.029,0.039	0.08	0.133	0.1	0.11	0.035	0.029	0.039	chrX:+:16451274-16451559:16451701-16451791:16451918-16453615	549,466,518	397,439,528	pass
4358	FBgn0004838	Hrb27C	chr2L	+	6922730	6922826	6920703	6920861	6923783	6924400	4358	1724,1330,877	217,156,115	1203,1091,1442	356,348,401	148	74	0.0	0.0	0.799,0.81,0.792	0.628,0.611,0.643	0.173	0.799	0.81	0.792	0.628	0.611	0.643	chr2L:+:6920703-6920861:6922730-6922826:6923783-6924400	1941,1486,992	1559,1439,1843	pass
4361	FBgn0004838	Hrb27C	chr2L	+	6922734	6922826	6920703	6920861	6923783	6924400	4361	1220,950,645	217,156,115	798,730,973	356,348,401	148	74	0.0	0.0	0.738,0.753,0.737	0.528,0.512,0.548	0.213	0.738	0.753	0.737	0.528	0.512	0.548	chr2L:+:6920703-6920861:6922734-6922826:6923783-6924400	1437,1106,760	1154,1078,1374	pass
886	FBgn0030052	CG12065	chrX	+	8586551	8586608	8585985	8586245	8587257	8587525	886	499,469,416	582,547,513	139,119,133	726,575,750	130	74	0.0	0.0	0.328,0.328,0.316	0.098,0.105,0.092	0.226	0.328	0.328	0.316	0.098	0.105	0.092	chrX:+:8585985-8586245:8586551-8586608:8587257-8587525	1081,1016,929	865,694,883	pass
702	FBgn0000370	crc	chr2L	+	21311192	21311531	21310865	21311032	21311752	21312043	702	149,126,142	2088,1647,1812	77,45,65	2394,1907,2429	148	74	1.11022302463e-16	9.54976838353e-14	0.034,0.037,0.038	0.016,0.012,0.013	0.023	0.034	0.037	0.038	0.016	0.012	0.013	chr2L:+:21310865-21311032:21311192-21311531:21311752-21312043	2237,1773,1954	2471,1952,2494	pass
913	FBgn0261041	stj	chr2R	+	13816035	13816083	13815554	13815648	13816202	13816313	913	14,27,18	151,145,123	0,1,0	159,142,215	121	74	1.11022302463e-16	9.54976838353e-14	0.054,0.102,0.082	0.0,0.004,0.0	0.078	0.054	0.102	0.082	0.0	0.004	0.0	chr2R:+:13815554-13815648:13816035-13816083:13816202-13816313	165,172,141	159,143,215	pass
3337	FBgn0051363	Jupiter	chr3R	-	11593321	11593354	11592366	11592624	11593632	11593766	3337	195,195,179	1686,1380,1417	102,82,103	1845,1492,2028	106	74	3.77475828373e-15	2.78307535748e-12	0.075,0.09,0.081	0.037,0.037,0.034	0.046	0.075	0.09	0.081	0.037	0.037	0.034	chr3R:-:11592366-11592624:11593321-11593354:11593632-11593766	1881,1575,1596	1947,1574,2131	pass
4848	FBgn0001248	Idh	chr3L	-	8358015	8358072	8356403	8357905	8358555	8358940	4848	45,46,40	61,59,51	13,6,14	61,58,82	130	74	1.0684786389e-12	6.8930228192e-10	0.296,0.307,0.309	0.108,0.056,0.089	0.22	0.296	0.307	0.309	0.108	0.056	0.089	chr3L:-:8356403-8357905:8358015-8358072:8358555-8358940	106,105,91	74,64,96	pass
4763	FBgn0022764	Sin3A	chr2R	-	12577453	12578551	12576567	12576993	12579128	12579356	4763	54,51,61	129,119,106	32,17,22	144,137,196	148	74	2.4776625196e-11	1.42080180707e-08	0.173,0.176,0.223	0.1,0.058,0.053	0.12	0.173	0.176	0.223	0.1	0.058	0.053	chr2R:-:12576567-12576993:12577453-12578551:12579128-12579356	183,170,167	176,154,218	pass
6265	FBgn0034971	CG3209	chr2R	+	24071990	24072224	24069999	24070242	24072704	24072961	6265	463,403,472	37,18,34	395,326,402	86,46,73	148	74	5.07667241578e-11	2.62007063378e-08	0.862,0.918,0.874	0.697,0.78,0.734	0.148	0.862	0.918	0.874	0.697	0.78	0.734	chr2R:+:24069999-24070242:24071990-24072224:24072704-24072961	500,421,506	481,372,475	pass
892	FBgn0030052	CG12065	chrX	+	8584842	8584923	8584455	8584575	8585809	8585918	892	54,60,74	307,314,288	21,24,36	351,294,392	148	74	5.34477906378e-10	2.50767315892e-07	0.081,0.087,0.114	0.029,0.039,0.044	0.057	0.081	0.087	0.114	0.029	0.039	0.044	chrX:+:8584455-8584575:8584842-8584923:8585809-8585918	361,374,362	372,318,428	pass
2731	FBgn0264953	Piezo	chr2L	+	8181983	8182049	8179871	8180029	8182304	8182450	2731	257,243,158	28,24,19	242,209,305	7,7,4	139	74	9.92065984917e-10	3.93850196012e-07	0.83,0.844,0.816	0.948,0.941,0.976	-0.125	0.83	0.844	0.816	0.948	0.941	0.976	chr2L:+:8179871-8180029:8181983-8182049:8182304-8182450	285,267,177	249,216,309	pass
5904	FBgn0030752	CG9947	chrX	-	16439423	16439514	16437420	16439286	16439596	16439762	5904	52,37,48	455,395,498	14,17,15	557,341,481	148	74	9.37913191557e-10	3.93850196012e-07	0.054,0.045,0.046	0.012,0.024,0.015	0.031	0.054	0.045	0.046	0.012	0.024	0.015	chrX:-:16437420-16439286:16439423-16439514:16439596-16439762	507,432,546	571,358,496	pass
2223	FBgn0264693	ens	chr3L	-	4130388	4130643	4129650	4129791	4131120	4131236	2223	25,34,19	114,108,78	7,9,8	119,125,146	148	74	1.10764697414e-09	4.08326145253e-07	0.099,0.136,0.109	0.029,0.035,0.027	0.084	0.099	0.136	0.109	0.029	0.035	0.027	chr3L:-:4129650-4129791:4130388-4130643:4131120-4131236	139,142,97	126,134,154	pass
2415	FBgn0026375	RhoGAPp190	chrX	-	17645886	17646012	17643680	17644178	17646519	17646585	2415	16,5,3	32,36,18	0,0,0	30,29,44	148	74	8.81252504303e-09	3.03209611647e-06	0.2,0.065,0.077	0.0,0.0,0.0	0.114	0.2	0.065	0.077	0.0	0.0	0.0	chrX:-:17643680-17644178:17645886-17646012:17646519-17646585	48,41,21	30,29,44	pass
