target_id	length	eff_length	est_counts	tpm
FBtr0302391	2612	2549.3	0	0
FBtr0299728	3946	3807.07	8.47788e-06	6.7559e-08
FBtr0333191	4111	3921.29	0	0
FBtr0077629	1785	1622.43	1112.41	20.8012
FBtr0077628	998	812.12	13	0.485635
FBtr0077623	619	444.633	5.34314	0.364571
FBtr0077622	415	239.09	53.8322	6.83074
FBtr0077621	391	221.904	11766.9	1608.73
FBtr0077627	2889	2711.71	958.832	10.7272
FBtr0077626	2998	2814.49	3404.36	36.6964
FBtr0077625	3088	2897.98	252.804	2.64652
FBtr0072052	1410	1211.62	244078	6111.51
FBtr0072051	788	609.301	0	0
FBtr0072050	1249	1070.28	0	0
FBtr0072057	870	674.682	93	4.18187
FBtr0072056	1052	873.278	0	0
FBtr0072059	1221	980.757	6	0.1856
FBtr0072058	3845	3756.1	1768.44	14.2837
FBtr0088225	1139	946.534	6535.61	209.477
FBtr0088224	1076	888.377	47.3716	1.61774
FBtr0088227	3220	2972.93	1765.85	18.02
FBtr0088226	724	552.137	2101.71	115.482
FBtr0088221	1200	1019.62	0	0
FBtr0088223	1523	1326.45	2131.16	48.7431
FBtr0088222	1138	945.346	173	5.55191
FBtr0088228	1549	1379.96	6098	134.063
FBtr0308321	6762	6647.26	195.134	0.89059
FBtr0308320	3151	2996.11	10.4159	0.105469
FBtr0308323	6713	6586.3	0	0
FBtr0308322	3799	3746.12	42.4469	0.343757
FBtr0308325	7938	7631.82	0	0
FBtr0308324	6806	6689.47	0.151825	0.000688555
FBtr0308327	8457	8159.03	127.549	0.474268
FBtr0308326	6286	5969.34	273.359	1.38929
FBtr0308329	7097	6788.8	1876.3	8.38488
FBtr0308328	8643	8340.14	63.2945	0.230239
FBtr0085138	2050	1854.27	943.655	15.4393
FBtr0085139	1909	1710.01	2184.08	38.7488
FBtr0085132	2635	2436.54	1935.42	24.0985
FBtr0085133	1130	951.278	0	0
FBtr0085130	2897	2645.32	4	0.0458743
FBtr0085131	1556	1392.72	1288	28.0569
FBtr0085136	1514	1335.28	0	0
FBtr0085137	2128	1924.1	1361.97	21.4748
FBtr0085135	1054	875.278	0	0
FBtr0080989	852	659.871	1	0.0459757
FBtr0332234	4146	3967.28	0	0
FBtr0333107	9521	9250.92	0	0
FBtr0073015	1296	1108.83	1987	54.3649
FBtr0073016	3020	2845.28	6005	64.0288
FBtr0309054	3821	3642.28	0	0
FBtr0309055	754	597.172	269.563	13.6946
FBtr0309056	4422	4060.58	34	0.254026
FBtr0333100	2497	2364.35	28.268	0.362719
FBtr0333109	9722	9435.18	4109.21	13.2128
FBtr0333108	9265	8980.22	87.6232	0.296019
FBtr0303755	710	531.32	0	0
FBtr0303757	5340	5259.9	0	0
FBtr0303756	4522	4359.92	789.883	5.49631
FBtr0303751	3009	2894.56	172.582	1.80884
FBtr0303750	11586	11520	68.4772	0.180336
FBtr0088736	432	245.465	1	0.123594
FBtr0303759	3841	3570.64	325.809	2.76824
FBtr0303758	1942	1725.17	75.6234	1.32987
FBtr0345678	4114	3842.72	66.3463	0.5238
FBtr0309588	112	14.7253	0	0
FBtr0309583	103	13.913	0	0
FBtr0309580	134	18.6675	0	0
FBtr0309586	111	14.6885	0	0
FBtr0110942	2184	2009.36	196.49	2.96668
FBtr0110941	5141	4830.55	3492.79	21.9363
FBtr0110947	892	725.279	3.05113e-06	1.27627e-07
FBtr0110944	706	535.305	30	1.70023
FBtr0081259	2062	1898.26	775	12.3861
FBtr0081258	1366	1226.83	2184	54.0076
