ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1053	"FBgn0250823"	"gish"	chr3R	+	16301804	16302372	16301822	16302372	16301244	16301351	1053	429,475,485	234,170,242	150,141,142	319,238,311	92	74	0.0	0.0	0.596,0.692,0.617	0.274,0.323,0.269	0.346
1479	"FBgn0033212"	"CG1399"	chr2R	-	7677069	7678404	7677069	7677734	7678569	7678626	1479	2770,2844,2936	110,98,84	2287,2672,2735	21,21,22	744	74	0.0	0.0	0.715,0.743,0.777	0.915,0.927,0.925	-0.177
1539	"FBgn0260944"	"Rbp1"	chr3R	+	10785402	10786465	10786157	10786465	10784556	10784923	1539	380,292,349	563,506,655	341,378,350	160,259,219	829	74	0.0	0.0	0.057,0.049,0.045	0.16,0.115,0.125	-0.083
1640	"FBgn0027549"	"CG7927"	chr3L	+	8112781	8113320	8113011	8113320	8112493	8112714	1640	274,192,306	176,159,174	27,27,41	151,137,176	304	74	0.0	0.0	0.275,0.227,0.3	0.042,0.046,0.054	0.22
1871	"FBgn0267698"	"Pak"	chr3R	+	6357874	6359022	6358282	6359022	6356749	6357340	1871	179,164,155	167,156,135	28,44,37	166,177,223	482	74	0.0	0.0	0.141,0.139,0.15	0.025,0.037,0.025	0.114
1900	"FBgn0036240"	"CG6928"	chr3L	+	12007493	12008051	12007615	12008051	12007220	12007400	1900	86,77,78	27,28,33	8,7,12	45,31,22	196	74	0.0	0.0	0.546,0.509,0.472	0.063,0.079,0.171	0.405
2221	"FBgn0010909"	"msn"	chr3L	-	2557792	2558389	2557792	2558035	2560115	2560295	2221	2044,1930,1644	63,52,46	836,1153,1096	84,106,113	428	74	0.0	0.0	0.849,0.865,0.861	0.632,0.653,0.626	0.221
2357	"FBgn0003261"	"Rm62"	chr3R	-	6008036	6008309	6008036	6008306	6008550	6008579	2357	85,78,105	31,31,41	79,111,133	178,209,231	77	74	0.0	0.0	0.725,0.707,0.711	0.299,0.338,0.356	0.383
584	"FBgn0041775"	"tral"	chr3L	+	12517415	12517957	12517427	12517957	12516558	12517059	584	147,114,125	120,105,98	20,42,42	137,154,198	86	74	0.0	0.0	0.513,0.483,0.523	0.112,0.19,0.154	0.354
622	"FBgn0004587"	"B52"	chr3R	+	13662954	13663051	13662969	13663051	13662296	13662404	622	226,212,252	517,450,528	50,62,46	470,560,611	89	74	0.0	0.0	0.267,0.281,0.284	0.081,0.084,0.059	0.203
