ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
312	"FBgn0020279"	"lig"	chr2R	+	8073366	8073471	8073126	8073234	8073599	8073700	312	1298,1219,1018	9,12,16	2361,1169,1162	111,57,67	179	74	0.0	0.0	0.984,0.977,0.963	0.898,0.894,0.878	0.085
3742	"FBgn0262734"	"Rbp2"	chrX	+	16451701	16451791	16451274	16451559	16451918	16453615	3742	145,99,123	420,381,415	27,7,22	674,383,351	164	74	0.0	0.0	0.135,0.105,0.118	0.018,0.008,0.028	0.101
3764	"FBgn0038535"	"alt"	chr3R	-	17675641	17675737	17675074	17675533	17676086	17676749	3764	430,380,360	62,56,62	483,317,359	420,169,226	170	74	0.0	0.0	0.751,0.747,0.717	0.334,0.449,0.409	0.341
5041	"FBgn0015222"	"Fer1HCH"	chr3R	-	30386717	30386828	30386318	30386596	30387463	30387550	5041	114,123,121	1883,1506,1532	49,25,25	2475,1240,727	185	74	0.0	0.0	0.024,0.032,0.031	0.008,0.008,0.014	0.019
5524	"FBgn0020309"	"crol"	chr2L	-	11797828	11798041	11794326	11797741	11798664	11799150	5524	1576,1400,1091	50,37,38	2010,919,770	211,134,120	287	74	0.0	0.0	0.89,0.907,0.881	0.711,0.639,0.623	0.235
5811	"FBgn0042693"	"PP2A-B'"	chr3R	+	18171273	18171312	18169483	18170098	18171528	18171703	5811	33,36,32	215,150,157	6,3,4	337,196,283	113	74	0.0	0.0	0.091,0.136,0.118	0.012,0.01,0.009	0.105
497	"FBgn0085432"	"pan"	chr4	+	104082	104528	99405	99475	107402	110059	497	28,44,28	54,34,32	10,2,12	75,75,63	520	74	1.11022302463e-16	9.21009300575e-14	0.069,0.156,0.111	0.019,0.004,0.026	0.096
1746	"FBgn0011571"	"caz"	chrX	+	16289026	16289113	16288809	16288957	16289225	16289322	1746	1055,804,881	39,27,39	989,597,426	111,75,58	161	74	2.22044604925e-16	1.2894130208e-13	0.926,0.932,0.912	0.804,0.785,0.771	0.137
3146	"FBgn0005632"	"faf"	chr3R	+	31788659	31788844	31787801	31788197	31789496	31790121	3146	75,32,69	135,130,131	40,26,17	270,206,253	259	74	2.22044604925e-16	1.2894130208e-13	0.137,0.066,0.131	0.041,0.035,0.019	0.08
5104	"FBgn0022764"	"Sin3A"	chr2R	-	12577453	12578551	12576567	12576993	12579128	12579356	5104	766,635,681	129,119,106	677,556,541	256,216,264	1172	74	2.22044604925e-16	1.2894130208e-13	0.273,0.252,0.289	0.143,0.14,0.115	0.139
