ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
126	"FBgn0031220"	"CG4822"	chr2L	-	119430	119554	119827	120080	119133	119375	120420	120631	126	549,835,620	1330,1837,1338	950,1182,1250	592,940,868	148	148	0.0	0.0	0.292,0.313,0.317	0.616,0.557,0.59	-0.28
2112	"FBgn0035162"	"CG13900"	chr3L	-	827181	827236	830621	830728	826945	827001	830907	831242	2112	354,478,339	1377,1723,1334	331,449,461	397,486,459	148	128	0.0	0.0	0.182,0.194,0.18	0.419,0.444,0.465	-0.257
2139	"FBgn0029506"	"Tsp42Ee"	chr2R	+	7013032	7013116	7017012	7017375	7012253	7012335	7017434	7017626	2139	1173,2075,1565	2334,3111,2383	1893,2453,2606	1319,1715,1553	148	148	0.0	0.0	0.334,0.4,0.396	0.589,0.589,0.627	-0.225
2184	"FBgn0039969"	"Fis1"	chr2R	-	5604467	5604516	5604582	5604650	5604243	5604411	5604709	5604834	2184	339,525,489	176,345,260	287,330,288	385,434,501	141	122	0.0	0.0	0.625,0.568,0.619	0.392,0.397,0.332	0.23
2192	"FBgn0250823"	"gish"	chr3R	+	16298469	16298550	16301244	16301351	16297174	16297345	16301822	16304768	2192	154,217,143	343,386,278	430,360,529	326,238,313	148	148	0.0	0.0	0.31,0.36,0.34	0.569,0.602,0.628	-0.263
2193	"FBgn0250823"	"gish"	chr3R	+	16299590	16299689	16301244	16301351	16298469	16298550	16301822	16302372	2193	65,73,44	732,871,644	162,137,193	679,501,662	148	148	0.0	0.0	0.082,0.077,0.064	0.193,0.215,0.226	-0.137
2245	"FBgn0002590"	"RpS5a"	chrX	-	17145015	17145132	17146797	17147200	17144617	17144716	17148203	17148264	2245	4266,6857,4978	12357,12962,10828	6814,10797,10755	1908,4133,3080	148	148	0.0	0.0	0.257,0.346,0.315	0.781,0.723,0.777	-0.454
226	"FBgn0265434"	"zip"	chr2R	-	25002287	25002444	25005867	25006083	25000038	25000160	25010379	25010616	226	377,456,329	392,583,370	299,459,508	908,1079,1284	148	148	0.0	0.0	0.49,0.439,0.471	0.248,0.298,0.283	0.19
2499	"FBgn0030520"	"Pdcd4"	chrX	-	13750315	13750455	13750585	13752027	13746639	13746848	13754829	13755406	2499	207,315,211	250,251,183	792,633,810	105,167,158	148	148	0.0	0.0	0.453,0.557,0.536	0.883,0.791,0.837	-0.322
259	"FBgn0040388"	"boi"	chrX	-	2456590	2456686	2469336	2469411	2450902	2452147	2469890	2470043	259	224,302,238	94,135,90	252,252,273	385,257,405	148	148	0.0	0.0	0.704,0.691,0.726	0.396,0.495,0.403	0.276
2611	"FBgn0034968"	"RpL12"	chr2R	+	24060512	24060574	24060812	24060993	24060377	24060444	24061149	24061860	2611	437,603,440	24247,26446,21922	545,503,623	9265,14099,12165	135	148	0.0	0.0	0.019,0.024,0.022	0.061,0.038,0.053	-0.029
2647	"FBgn0042693"	"PP2A-B'"	chr3R	+	18169656	18170098	18171528	18171703	18167756	18167867	18175332	18175529	2647	10,21,7	197,266,184	38,72,73	103,157,121	148	148	0.0	0.0	0.048,0.073,0.037	0.27,0.314,0.376	-0.267
270	"FBgn0000308"	"chic"	chr2L	-	5976610	5976782	5979411	5979704	5973202	5973674	5980950	5981018	270	280,581,370	2529,3131,2332	952,1012,1126	2054,2770,2595	148	148	0.0	0.0	0.1,0.157,0.137	0.317,0.268,0.303	-0.165
2797	"FBgn0011217"	"eff"	chr3R	-	14737419	14737483	14740379	14740940	14733699	14733883	14741006	14741319	2797	86,125,100	2,3,0	63,98,70	31,30,48	148	137	0.0	0.0	0.975,0.975,1.0	0.653,0.751,0.574	0.324
280	"FBgn0052230"	"CG32230"	chr3L	+	23339429	23339476	23339533	23339680	23339325	23339369	23341456	23341597	280	19,38,28	3501,4083,3520	51,71,61	1475,1606,1723	120	148	0.0	0.0	0.007,0.011,0.01	0.041,0.052,0.042	-0.036
332	"FBgn0003495"	"spz"	chr3R	-	27066607	27066665	27067121	27067199	27066098	27066453	27067357	27067495	332	135,231,159	515,642,534	216,207,215	184,286,239	148	131	0.0	0.0	0.188,0.242,0.209	0.51,0.39,0.443	-0.235
