ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2081	"FBgn0032006"	"Pvr"	chr2L	-	8227669	8227826	8228082	8228257	8226457	8226606	8228493	8229011	2081	698,972,702	36,38,23	581,473,357	99,65,49	148	148	0.0	0.0	0.951,0.962,0.968	0.854,0.879,0.879	0.09
2085	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226606	8228493	8229011	2085	698,972,702	37,38,23	581,473,357	103,65,51	148	148	0.0	0.0	0.95,0.962,0.968	0.849,0.879,0.875	0.092
2086	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226603	8228493	8229011	2086	371,519,360	36,38,23	302,260,162	99,65,49	148	148	0.0	0.0	0.912,0.932,0.94	0.753,0.8,0.768	0.154
2325	"FBgn0041182"	"Tep2"	chr2L	-	7697006	7697157	7698373	7698551	7696027	7696206	7698724	7698992	2325	30,43,35	130,178,130	28,17,12	471,435,361	148	148	0.0	0.0	0.188,0.195,0.212	0.056,0.038,0.032	0.156
2326	"FBgn0041182"	"Tep2"	chr2L	-	7697006	7697157	7697976	7698130	7696027	7696206	7698724	7698992	2326	45,59,44	130,178,130	35,15,23	471,435,361	148	148	0.0	0.0	0.257,0.249,0.253	0.069,0.033,0.06	0.199
2450	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13490739	13490871	13487973	13488132	13491434	13491593	2450	481,606,405	44,42,48	358,394,356	239,212,246	148	148	0.0	0.0	0.916,0.935,0.894	0.6,0.65,0.591	0.301
2451	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13489741	13489873	13487973	13488132	13491434	13491593	2451	37,43,44	44,42,48	38,34,40	239,212,246	148	148	0.0	0.0	0.457,0.506,0.478	0.137,0.138,0.14	0.342
2604	"FBgn0083124"	"Uhg4"	chr2R	+	9095897	9095958	9096925	9096991	9095272	9095339	9097241	9097312	2604	0,0,2	234,249,229	34,17,22	254,194,338	134	139	0.0	0.0	0.0,0.0,0.009	0.122,0.083,0.063	-0.086
107	"FBgn0025726"	"unc-13"	chr4	-	881842	881949	882616	882723	878850	878992	882960	883081	107	81,110,79	22,28,15	283,290,218	12,4,10	148	148	1.11022302463e-16	2.52390700933e-14	0.786,0.797,0.84	0.959,0.986,0.956	-0.159
2243	"FBgn0262614"	"pyd"	chr3R	-	8832703	8832944	8833473	8833738	8832353	8832645	8833974	8834074	2243	0,0,0	63,72,67	27,21,23	115,89,121	148	148	2.22044604925e-16	4.1300296516e-14	0.0,0.0,0.0	0.19,0.191,0.16	-0.18
