ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1210	"FBgn0261608"	"RpL37A"	chr2L	+	5070999	5071157	5070999	5071030	5071102	5071157	1210	1527,1042,1620	279,258,394	279,420,491	1567,1950,1632	145	74	0.0	0.0	0.736,0.673,0.677	0.083,0.099,0.133	0.59
1249	"FBgn0034946"	"CG3065"	chr2R	+	23970304	23972233	23970304	23970685	23970755	23972233	1249	211,185,209	52,43,43	341,385,398	18,15,17	143	74	0.0	0.0	0.677,0.69,0.716	0.907,0.93,0.924	-0.226
1336	"FBgn0015756"	"RpL9"	chr2L	-	11004005	11004153	11004005	11004055	11004128	11004153	1336	212,162,239	285,268,486	112,165,161	573,774,650	146	74	0.0	0.0	0.274,0.235,0.2	0.09,0.098,0.112	0.136
1375	"FBgn0011272"	"RpL13"	chr2L	+	9967329	9967877	9967329	9967358	9967616	9967877	1375	4110,3051,4143	1770,1062,1809	735,1349,1550	1378,2103,2705	148	74	0.0	0.0	0.537,0.59,0.534	0.211,0.243,0.223	0.328
1451	"FBgn0035165"	"CG13887"	chr3L	+	837860	838624	837860	837945	838048	838624	1451	612,565,654	339,270,376	279,345,429	421,497,497	148	74	0.0	0.0	0.474,0.511,0.465	0.249,0.258,0.301	0.214
146	"FBgn0031220"	"CG4822"	chr2L	-	119133	119375	119133	119235	119287	119375	146	191,163,166	1476,1244,1120	129,178,195	381,461,607	125	74	0.0	0.0	0.071,0.072,0.081	0.167,0.186,0.16	-0.096
1527	"FBgn0035232"	"CG12099"	chr3L	-	1557788	1558484	1557788	1558214	1558322	1558484	1527	488,410,392	22,33,19	544,654,492	2,0,2	148	74	0.0	0.0	0.917,0.861,0.912	0.993,1.0,0.992	-0.098
221	"FBgn0020660"	"eIF-4B"	chr3L	-	27856365	27857935	27856365	27856707	27856783	27857935	221	16,22,25	87,67,65	6,6,6	183,263,238	148	74	0.0	0.0	0.084,0.141,0.161	0.016,0.011,0.012	0.116
397	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267918	27267255	27267283	27267591	27267918	397	1633,1198,1561	121,126,213	1891,2468,2267	478,767,693	148	74	0.0	0.0	0.871,0.826,0.786	0.664,0.617,0.621	0.194
405	"FBgn0033886"	"Rpn13"	chr2R	-	13958544	13959398	13958544	13959099	13959204	13959398	405	285,256,313	450,411,504	240,247,332	114,131,189	148	74	0.0	0.0	0.241,0.237,0.237	0.513,0.485,0.468	-0.25
469	"FBgn0039266"	"CG11791"	chr3R	+	25050242	25051556	25050242	25050617	25051180	25051556	469	207,152,198	436,381,404	188,257,205	112,141,172	148	74	0.0	0.0	0.192,0.166,0.197	0.456,0.477,0.373	-0.25
774	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637927	16638232	16638303	774	4376,3094,4537	4046,2787,4261	441,626,702	1687,3010,3954	148	74	0.0	0.0	0.351,0.357,0.347	0.116,0.094,0.082	0.254
775	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637949	16638232	16638303	775	4426,3132,4584	53,45,87	495,780,814	39,61,67	148	74	0.0	0.0	0.977,0.972,0.963	0.864,0.865,0.859	0.108
858	"FBgn0015521"	"RpS21"	chr2L	+	2856376	2856705	2856376	2856568	2856630	2856705	858	5128,4462,5984	273,224,277	2106,2769,3397	4,8,18	135	74	0.0	0.0	0.911,0.916,0.922	0.997,0.995,0.99	-0.078
908	"FBgn0047135"	"CG32276"	chr3L	-	3198751	3199047	3198751	3198866	3198992	3199047	908	1476,1239,1420	420,296,455	690,1015,1154	844,856,892	148	74	0.0	0.0	0.637,0.677,0.609	0.29,0.372,0.393	0.289
552	"FBgn0026573"	"ADD1"	chr2R	+	11971724	11973040	11971724	11972148	11972586	11973040	552	69,68,46	45,56,41	26,32,50	2,3,1	148	74	6.66133814775e-16	4.35484981409e-14	0.434,0.378,0.359	0.867,0.842,0.962	-0.5
