ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1053	"FBgn0013305"	"Nmda1"	chr2R	-	12878384	12879222	12878384	12878710	12879196	12879222	1053	380,363,370	112,105,80	349,170,164	342,252,163	560	74	0.0	0.0	0.31,0.314,0.379	0.119,0.082,0.117	0.228
1210	"FBgn0261608"	"RpL37A"	chr2L	+	5070999	5071157	5070999	5071030	5071102	5071157	1210	1527,1042,1620	279,258,394	1206,307,443	1313,958,1625	146	74	0.0	0.0	0.735,0.672,0.676	0.318,0.14,0.121	0.501
1283	"FBgn0261564"	"CG42678"	chr2R	+	22925106	22925612	22925106	22925484	22925548	22925612	1283	64,52,67	109,84,63	201,117,103	65,35,23	138	74	0.0	0.0	0.239,0.249,0.363	0.624,0.642,0.706	-0.374
1375	"FBgn0011272"	"RpL13"	chr2L	+	9967329	9967877	9967329	9967358	9967616	9967877	1375	4185,3124,4215	1770,1062,1809	3101,786,1115	5849,1121,1912	332	74	0.0	0.0	0.345,0.396,0.342	0.106,0.135,0.115	0.242
1377	"FBgn0010551"	"Phb2"	chr2R	+	18821183	18821839	18821183	18821283	18821489	18821839	1377	3594,2720,3712	96,97,97	3552,2150,1437	15,13,12	280	74	0.0	0.0	0.908,0.881,0.91	0.984,0.978,0.969	-0.077
1415	"FBgn0027932"	"Akap200"	chr2L	+	8427614	8429462	8427614	8428067	8428319	8429462	1415	558,547,571	536,518,554	1311,1156,1473	542,256,361	326	74	0.0	0.0	0.191,0.193,0.19	0.354,0.506,0.481	-0.256
747	"FBgn0037074"	"CG7324"	chr3L	-	21338869	21339555	21338869	21339220	21339325	21339555	747	818,747,803	47,30,39	727,361,377	150,74,58	179	74	0.0	0.0	0.878,0.911,0.895	0.667,0.669,0.729	0.206
775	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637927	16638232	16638303	775	4750,3382,4870	4046,2787,4261	1677,963,1105	9008,2003,2986	379	74	0.0	0.0	0.186,0.192,0.182	0.035,0.086,0.067	0.124
776	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637949	16638232	16638303	776	4750,3380,4869	53,45,87	1677,963,1105	110,46,64	357	74	0.0	0.0	0.949,0.94,0.921	0.76,0.813,0.782	0.152
859	"FBgn0015521"	"RpS21"	chr2L	+	2856376	2856705	2856376	2856568	2856630	2856705	859	5128,4462,5984	273,224,277	6781,3600,2999	107,10,9	136	74	0.0	0.0	0.911,0.916,0.922	0.972,0.995,0.995	-0.071
909	"FBgn0047135"	"CG32276"	chr3L	-	3198751	3199047	3198751	3198866	3198992	3199047	909	2089,1743,2024	420,296,455	1752,893,800	1330,628,869	200	74	0.0	0.0	0.648,0.685,0.622	0.328,0.345,0.254	0.343
224	"FBgn0032000"	"CG8372"	chr2L	-	8212038	8212902	8212038	8212692	8212766	8212902	224	69,56,69	90,57,101	189,115,103	70,40,41	148	74	2.44249065418e-15	2.17992290886e-13	0.277,0.329,0.255	0.574,0.59,0.557	-0.287
942	"FBgn0010315"	"CycD"	chrX	-	15908536	15909676	15908536	15909222	15909530	15909676	942	106,82,101	186,139,143	206,131,99	128,61,55	382	74	3.88578058619e-15	3.20128539062e-13	0.099,0.103,0.12	0.238,0.294,0.259	-0.156
516	"FBgn0002413"	"dco"	chr3R	-	31060374	31061210	31060374	31060464	31061076	31061210	516	275,293,208	187,151,140	318,338,342	391,458,545	686	74	9.50350909079e-14	7.27018445445e-12	0.137,0.173,0.138	0.081,0.074,0.063	0.077
43	"FBgn0039302"	"Nup358"	chr3R	+	25256354	25257057	25256354	25256855	25256924	25257057	43	616,548,530	34,26,39	1032,491,615	15,7,5	143	74	3.5482727867e-13	2.5334667697e-11	0.904,0.916,0.876	0.973,0.973,0.985	-0.078
203	"FBgn0015790"	"Rab11"	chr3R	+	21111407	21111855	21111407	21111466	21111654	21111855	203	600,504,557	509,352,465	877,445,429	1330,727,651	262	74	1.66600067075e-12	1.11517919898e-10	0.25,0.288,0.253	0.157,0.147,0.157	0.11
687	"FBgn0024814"	"Clc"	chr3L	+	20242505	20243735	20242505	20242667	20242784	20243735	687	248,229,312	443,367,375	281,173,152	959,544,417	191	74	4.3595127508e-12	2.746493033e-10	0.178,0.195,0.244	0.102,0.11,0.124	0.094
896	"FBgn0027108"	"Inx2"	chrX	+	6998957	7004151	6998957	7000263	7002771	7004151	896	204,166,237	66,55,39	157,90,67	103,56,68	2582	74	7.83551001859e-12	4.66212846106e-10	0.081,0.08,0.148	0.042,0.044,0.027	0.065
661	"FBgn0032036"	"CG13384"	chr2L	+	8384699	8385097	8384699	8384895	8384996	8385097	661	277,173,217	361,267,293	171,67,62	469,231,201	175	74	1.69404490435e-11	9.54906364505e-10	0.245,0.215,0.238	0.134,0.109,0.115	0.113
1372	"FBgn0086347"	"Myo31DF"	chr2L	-	10505925	10506779	10505925	10506106	10506683	10506779	1372	658,454,398	55,36,36	545,422,398	133,73,84	651	74	2.71620503867e-11	1.45452779821e-09	0.576,0.589,0.557	0.318,0.397,0.35	0.219
1498	"FBgn0040319"	"Gclc"	chrX	-	8115416	8116147	8115416	8115580	8115991	8116147	1498	252,167,237	239,173,197	320,291,347	502,634,693	485	74	3.54704043914e-11	1.80899062396e-09	0.139,0.128,0.155	0.089,0.065,0.071	0.066
416	"FBgn0028325"	"l(1)G0334"	chrX	+	4702324	4702892	4702324	4702591	4702823	4702892	416	119,89,80	190,164,171	62,44,35	304,173,167	306	74	1.44060652296e-10	7.01313448223e-09	0.132,0.116,0.102	0.047,0.058,0.048	0.066
154	"FBgn0003256"	"rl"	chr2R	+	1071974	1072439	1071974	1072045	1072267	1072439	154	661,344,414	5,3,1	479,537,305	22,22,10	296	74	3.30120597525e-10	1.53721373891e-08	0.971,0.966,0.99	0.845,0.859,0.884	0.113
1435	"FBgn0033913"	"CG8468"	chr2R	+	14219897	14220765	14219897	14220042	14220607	14220765	1435	269,282,236	132,146,137	344,279,277	335,246,384	639	74	3.81027209784e-10	1.70033392366e-08	0.191,0.183,0.166	0.106,0.116,0.077	0.08
1135	"FBgn0034138"	"RpS15"	chr2R	-	16570916	16571230	16570916	16571005	16571188	16571230	1135	1222,893,1357	9640,6854,11076	836,378,288	11895,4625,4259	257	74	6.05100969331e-10	2.59225255261e-08	0.035,0.036,0.034	0.02,0.023,0.019	0.014
1336	"FBgn0015756"	"RpL9"	chr2L	-	11004005	11004153	11004005	11004055	11004128	11004153	1336	212,162,239	285,268,486	305,123,130	846,348,599	147	74	6.59539201031e-10	2.7167941704e-08	0.272,0.233,0.198	0.154,0.151,0.098	0.1
458	"FBgn0022893"	"Df31"	chr2L	-	21629666	21629932	21629666	21629776	21629884	21629932	458	26008,21669,20946	120,75,84	23686,15567,14631	180,119,136	182	74	1.11137388181e-09	4.40844973118e-08	0.989,0.992,0.99	0.982,0.982,0.978	0.01
1249	"FBgn0034946"	"CG3065"	chr2R	+	23970304	23972233	23970304	23970685	23970755	23972233	1249	211,185,209	52,43,43	451,244,384	44,17,33	144	74	2.76205369687e-09	1.05648553905e-07	0.676,0.689,0.714	0.84,0.881,0.857	-0.166
626	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20349206	20348354	20348385	20348941	20349206	626	181,134,152	110,76,95	229,108,103	328,130,117	630	74	5.16601872391e-09	1.90786415631e-07	0.162,0.172,0.158	0.076,0.089,0.094	0.078
221	"FBgn0020660"	"eIF-4B"	chr3L	-	27856365	27857935	27856365	27856707	27856783	27857935	221	16,22,25	87,67,65	9,6,8	79,109,152	150	74	9.22021525795e-09	3.18543565847e-07	0.083,0.139,0.159	0.053,0.026,0.025	0.092
399	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267918	27267255	27267455	27267513	27267918	399	587,421,504	78,59,74	512,410,321	142,104,107	132	74	9.17035669623e-09	3.18543565847e-07	0.808,0.8,0.792	0.669,0.688,0.627	0.139
627	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20349206	20348354	20348421	20348941	20349206	627	180,134,152	126,99,135	227,108,103	296,208,173	594	74	9.83559822476e-09	3.29185178085e-07	0.151,0.144,0.123	0.087,0.061,0.069	0.067
426	"FBgn0004587"	"B52"	chr3R	+	13662969	13665526	13662969	13663051	13663454	13665526	426	419,409,369	75,54,47	660,428,375	35,28,23	477	74	1.56999246936e-08	5.09533919601e-07	0.464,0.54,0.549	0.745,0.703,0.717	-0.204
146	"FBgn0031220"	"CG4822"	chr2L	-	119133	119375	119133	119235	119287	119375	146	191,163,166	1476,1244,1120	237,185,170	1446,640,533	126	74	4.99986921865e-08	1.57495880387e-06	0.071,0.071,0.08	0.088,0.145,0.158	-0.056
231	"FBgn0028540"	"CG9008"	chr2L	-	13774339	13775406	13774339	13775185	13775254	13775406	231	24,12,14	8,2,6	41,28,31	2,0,0	143	74	5.22475437359e-08	1.59877483832e-06	0.608,0.756,0.547	0.914,1.0,1.0	-0.334
908	"FBgn0264865"	"CR44056"	chr2L	-	21106804	21107306	21106804	21106995	21107060	21107306	908	3,0,0	4,1,1	5,2,2	1,0,0	139	74	6.64415613638e-08	1.97663645057e-06	0.285,0.0,0.0	0.727,1.0,1.0	-0.814
639	"FBgn0004227"	"nonA"	chrX	+	16365586	16368526	16365586	16365642	16366903	16368526	639	68,48,46	214,158,208	150,91,99	267,163,156	1335	74	8.94387853778e-08	2.58889024702e-06	0.017,0.017,0.012	0.03,0.03,0.034	-0.016
935	"FBgn0025637"	"SkpA"	chrX	+	656355	657899	656355	656604	657098	657899	935	397,357,369	98,87,86	306,177,173	114,97,92	568	74	1.42043980356e-07	4.00339744635e-06	0.345,0.348,0.359	0.259,0.192,0.197	0.135
517	"FBgn0002413"	"dco"	chr3R	-	31060374	31061210	31060374	31060464	31061069	31061210	517	254,263,189	20,22,16	262,285,236	48,55,105	679	74	1.9185109934e-07	5.26852634341e-06	0.581,0.566,0.563	0.373,0.361,0.197	0.26
788	"FBgn0260742"	"CG12213"	chr3R	-	11965544	11966739	11965544	11966286	11966454	11966739	788	140,125,140	90,76,118	81,28,43	126,55,52	242	74	2.13348034683e-07	5.71239362864e-06	0.322,0.335,0.266	0.164,0.135,0.202	0.141
470	"FBgn0039266"	"CG11791"	chr3R	+	25050242	25051556	25050242	25050617	25051180	25051556	470	603,413,600	436,381,404	726,625,623	430,256,237	637	74	2.25099437978e-07	5.8800365384e-06	0.138,0.112,0.147	0.164,0.221,0.234	-0.074
1481	"FBgn0003074"	"Pgi"	chr2R	-	8913432	8914069	8913432	8913570	8913709	8914069	1481	494,433,462	36,26,29	996,485,441	28,10,9	213	74	3.03714912331e-07	7.56462025829e-06	0.827,0.853,0.847	0.925,0.944,0.945	-0.096
809	"FBgn0042132"	"CG18809"	chrX	-	19741223	19743706	19741223	19742892	19743443	19743706	809	51,55,56	4,6,8	55,22,33	29,18,12	625	74	3.02651591677e-07	7.56462025829e-06	0.602,0.52,0.453	0.183,0.126,0.246	0.34
1323	"FBgn0025638"	"Roc1a"	chrX	+	647303	647637	647303	647525	647609	647637	1323	98,64,120	828,713,975	169,147,125	825,731,644	158	74	3.16270328371e-07	7.69830731103e-06	0.053,0.04,0.055	0.088,0.086,0.083	-0.036
1224	"FBgn0027561"	"CG18659"	chr2R	-	9124743	9126066	9124743	9125220	9125550	9126066	1224	107,76,97	189,160,207	183,83,83	236,55,71	404	74	3.68389499461e-07	8.76767008717e-06	0.094,0.08,0.079	0.124,0.217,0.176	-0.088
1491	"FBgn0046214"	"vig2"	chr3R	+	25123444	25124115	25123444	25123479	25123631	25124115	1491	1228,1066,1183	4,3,2	2767,874,894	36,13,7	226	74	5.42081044941e-07	1.26210608507e-05	0.99,0.991,0.995	0.962,0.957,0.977	0.027
1418	"FBgn0045064"	"bwa"	chr2L	+	20072353	20073719	20072353	20072646	20073377	20073719	1418	522,437,449	112,106,154	597,386,301	95,41,33	805	74	7.38087284402e-07	1.61324792162e-05	0.3,0.275,0.211	0.366,0.464,0.456	-0.167
1454	"FBgn0033463"	"CG1513"	chr2R	-	9883896	9884206	9883896	9884002	9884084	9884206	1454	97,55,75	192,153,191	65,43,35	206,247,242	156	74	7.22870597158e-07	1.61324792162e-05	0.193,0.146,0.157	0.13,0.076,0.064	0.075
993	"FBgn0051712"	"CG31712"	chr2L	-	9935485	9937510	9935485	9935569	9937237	9937510	993	740,520,595	51,71,68	664,477,408	129,86,137	1742	74	7.26328725165e-07	1.61324792162e-05	0.381,0.237,0.271	0.179,0.191,0.112	0.136
