ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
20	"FBgn0032456"	"MRP"	chr2L	+	12736035	12736256	12737397	12737618	12726745	12727116	12737958	12738176	20	22,53,26	453,636,417	89,95,81	350,429,315	295	295	0.0	0.0	0.046,0.077,0.059	0.203,0.181,0.205	-0.136
321	"FBgn0003495"	"spz"	chr3R	-	27066728	27066884	27067357	27067495	27066607	27066665	27069143	27070070	321	356,525,457	671,917,642	413,493,355	258,316,229	212	230	0.0	0.0	0.365,0.383,0.436	0.635,0.629,0.627	-0.236
38	"FBgn0032456"	"MRP"	chr2L	+	12736592	12736813	12737397	12737618	12726745	12727116	12737958	12738176	38	35,38,47	453,636,417	65,120,91	350,429,315	295	295	2.22044604925e-16	1.84815126166e-13	0.072,0.056,0.101	0.157,0.219,0.224	-0.124
28	"FBgn0032456"	"MRP"	chr2L	+	12728020	12728241	12737397	12737618	12726745	12727116	12737958	12738176	28	377,582,460	453,636,417	626,860,686	350,429,315	295	295	1.87627691162e-14	9.37012689663e-12	0.454,0.478,0.525	0.641,0.667,0.685	-0.179
34	"FBgn0032456"	"MRP"	chr2L	+	12728577	12728798	12737397	12737618	12726745	12727116	12737958	12738176	34	11,14,8	453,636,417	37,44,30	350,429,315	295	295	1.70974345792e-14	9.37012689663e-12	0.024,0.022,0.019	0.096,0.093,0.087	-0.07
2500	"FBgn0004657"	"mys"	chrX	+	8065447	8065532	8066097	8066182	8064532	8064761	8067061	8067496	2500	765,1074,743	2,18,14	733,965,740	29,51,55	159	159	4.22994972382e-14	1.76036407673e-11	0.997,0.984,0.982	0.962,0.95,0.931	0.04
24	"FBgn0032456"	"MRP"	chr2L	+	12729930	12730151	12736035	12736256	12726745	12727116	12737958	12738176	24	663,930,655	22,53,26	691,767,651	89,95,81	295	295	1.64757096854e-13	5.87712101206e-11	0.968,0.946,0.962	0.886,0.89,0.889	0.07
2091	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226603	8228493	8229011	2091	1109,1556,1082	90,115,65	658,914,787	99,153,147	249	249	2.16826556709e-13	6.76769890128e-11	0.925,0.931,0.943	0.869,0.857,0.843	0.077
412	"FBgn0033159"	"Dscam1"	chr2R	-	7334933	7335218	7336116	7336410	7332260	7332380	7347848	7348010	412	1,1,1	108,118,64	10,11,18	57,71,66	368	359	2.50355292053e-13	6.94596849174e-11	0.009,0.008,0.015	0.146,0.131,0.21	-0.152
2182	"FBgn0262468"	"vib"	chr3R	-	19218683	19218764	19218968	19219046	19218401	19218511	19219188	19219340	2182	549,711,514	6,7,7	594,602,536	33,35,31	152	155	5.184741525e-13	1.29462995879e-10	0.989,0.99,0.987	0.948,0.946,0.946	0.042
2090	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226606	8228493	8229011	2090	1436,2009,1424	91,115,65	876,1236,1065	100,155,148	249	249	9.29589738519e-13	2.11016870644e-10	0.94,0.946,0.956	0.898,0.889,0.878	0.059
12	"FBgn0032456"	"MRP"	chr2L	+	12729184	12729405	12737397	12737618	12726745	12727116	12737958	12738176	12	10,23,11	453,636,417	38,47,35	350,429,315	295	295	1.11644027356e-12	2.3231261359e-10	0.022,0.035,0.026	0.098,0.099,0.1	-0.071
