ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
416	"FBgn0034797"	"nahoda"	chr2R	+	22896173	22896864	22896173	22896396	22904071	22904473	416	11,5,11	2,4,2	10,9,13	0,0,0	542	74	2.51327847423e-11	4.66464484817e-08	0.429,0.146,0.429	1.0,1.0,1.0	-0.665
1513	"FBgn0053558"	"mim"	chr2R	-	6927389	6928836	6928508	6928836	6926669	6926821	1513	132,138,135	79,46,63	104,73,108	101,62,101	1193	74	2.51185179145e-06	0.00233099846247	0.094,0.157,0.117	0.06,0.068,0.062	0.059
817	"FBgn0030808"	"RhoGAP15B"	chrX	+	16948853	16949577	16948853	16949451	16950984	16953268	817	2,1,5	66,61,52	9,7,20	58,50,65	200	74	5.842049149e-06	0.00361428107351	0.011,0.006,0.034	0.054,0.049,0.102	-0.051
1932	"FBgn0032796"	"CG10188"	chr2L	-	19508325	19508764	19508351	19508764	19507489	19508265	1932	23,18,12	0,0,0	20,20,20	7,2,1	100	74	1.42733171222e-05	0.00570270823809	1.0,1.0,1.0	0.679,0.881,0.937	0.168
88	"FBgn0038294"	"Mf"	chr3R	-	15176538	15178489	15178279	15178489	15176363	15176433	88	664,587,529	1256,1166,1352	364,303,403	1225,964,1231	1815	74	1.53628993483e-05	0.00570270823809	0.021,0.02,0.016	0.012,0.013,0.013	0.006
1423	"FBgn0010397"	"LamC"	chr2R	-	14571376	14572182	14571459	14572182	14570809	14571311	1423	0,0,1	13,5,7	4,2,5	7,3,10	157	74	2.44175279304e-05	0.00755315530647	0.0,0.0,0.063	0.212,0.239,0.191	-0.193
451	"FBgn0052000"	"CG32000"	chr4	+	133185	133235	133185	133231	136878	137167	451	0,0,1	4,5,1	7,1,3	5,1,6	78	74	3.2639056386e-05	0.00757226108155	0.0,0.0,0.487	0.57,0.487,0.322	-0.297
991	"FBgn0264693"	"ens"	chr3L	-	4128307	4128973	4128613	4128973	4126988	4127162	991	171,141,120	14,19,14	99,69,131	33,22,28	380	74	3.18085258731e-05	0.00757226108155	0.704,0.591,0.625	0.369,0.379,0.477	0.232
1389	"FBgn0037429"	"Osi19"	chr3R	+	6335921	6336198	6335921	6336171	6336279	6336461	1389	5,3,3	0,0,1	1,1,1	1,2,1	101	74	3.82731176173e-05	0.00789276736641	1.0,1.0,0.687	0.423,0.268,0.423	0.524
819	"FBgn0004656"	"fs(1)h"	chrX	-	8056316	8056701	8056609	8056701	8055966	8056137	819	7,3,9	0,1,0	7,7,10	3,1,3	367	74	6.77087220138e-05	0.0125667388058	1.0,0.377,1.0	0.32,0.585,0.402	0.357
2137	"FBgn0020440"	"Fak"	chr2R	-	19436857	19437259	19437214	19437259	19436547	19436643	2137	77,83,52	0,0,1	78,68,64	5,2,2	431	74	8.33104445997e-05	0.0136081117966	1.0,1.0,0.899	0.728,0.854,0.846	0.157
951	"FBgn0015754"	"Lis-1"	chr2R	+	16178825	16178952	16178825	16178877	16181980	16182090	951	563,425,341	9,5,0	506,464,555	15,13,19	149	74	8.79834814436e-05	0.0136081117966	0.969,0.977,1.0	0.944,0.947,0.936	0.04
700	"FBgn0030701"	"CG16952"	chrX	+	15870182	15870586	15870182	15870565	15871360	15871523	700	2,2,2	2,0,3	0,1,0	2,2,3	95	74	0.000139723604572	0.019948231545	0.438,1.0,0.342	0.0,0.28,0.0	0.5
885	"FBgn0026418"	"Hsc70Cb"	chr3L	+	14037018	14037136	14037018	14037111	14039047	14039999	885	14,13,18	1,0,0	19,9,22	5,4,0	99	74	0.00018949717046	0.0251219105981	0.913,1.0,1.0	0.74,0.627,1.0	0.182
1174	"FBgn0032036"	"CG13384"	chr2L	+	8384699	8385097	8384699	8384895	8386216	8386385	1174	677,504,493	16,13,15	595,509,717	4,9,5	276	74	0.000261361676412	0.032339151428	0.919,0.912,0.898	0.976,0.938,0.975	-0.053
1390	"FBgn0260722"	"CR42549"	chr3R	-	9551570	9551748	9551700	9551748	9548103	9549810	1390	4,2,1	2,2,2	3,5,4	0,1,1	204	74	0.000343866278889	0.0398884883511	0.42,0.266,0.154	1.0,0.645,0.592	-0.466
1235	"FBgn0037135"	"CG7414"	chr3L	+	21826474	21827035	21826474	21826752	21827093	21827856	1235	972,992,1131	1018,828,998	1285,935,1194	813,630,833	357	74	0.0004095757746	0.0426905489426	0.165,0.199,0.19	0.247,0.235,0.229	-0.052
