ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1368	"FBgn0035422"	"RpL28"	chr3L	-	3222365	3222600	3222689	3222874	3221881	3221981	3222926	3222960	1368	44,44,43	64,111,114	70,54,55	765,603,818	259	309	0.0	0.0	0.451,0.321,0.31	0.098,0.097,0.074	0.271
1370	"FBgn0035422"	"RpL28"	chr3L	-	3222365	3222600	3222787	3222874	3221881	3221981	3222926	3222960	1370	59,93,79	64,111,114	85,61,73	765,603,818	161	309	0.0	0.0	0.639,0.617,0.571	0.176,0.163,0.146	0.447
1376	"FBgn0035422"	"RpL28"	chr3L	-	3222262	3222446	3222787	3222874	3221883	3221981	3222926	3222960	1376	59,93,79	1,14,6	85,61,73	122,115,141	161	258	0.0	0.0	0.99,0.914,0.955	0.528,0.459,0.453	0.473
1377	"FBgn0035422"	"RpL28"	chr3L	-	3222262	3222446	3222689	3222874	3221881	3221981	3222926	3222960	1377	44,44,43	1,14,6	70,54,55	122,115,141	259	258	0.0	0.0	0.978,0.758,0.877	0.364,0.319,0.28	0.55
1385	"FBgn0035422"	"RpL28"	chr3L	-	3222365	3222446	3222689	3222874	3221881	3221981	3222926	3222960	1385	44,44,43	40,67,64	70,54,55	476,379,544	259	155	0.0	0.0	0.397,0.282,0.287	0.081,0.079,0.057	0.25
1387	"FBgn0035422"	"RpL28"	chr3L	-	3222365	3222446	3222787	3222874	3221881	3221981	3222926	3222960	1387	59,93,79	40,67,64	85,61,73	476,379,544	161	155	0.0	0.0	0.587,0.572,0.543	0.147,0.134,0.114	0.436
1412	"FBgn0035422"	"RpL28"	chr3L	-	3222152	3222304	3222350	3222446	3221881	3221981	3222574	3222912	1412	0,5,2	37,51,52	100,85,121	95,76,100	170	226	0.0	0.0	0.0,0.115,0.049	0.583,0.598,0.617	-0.545
1414	"FBgn0035422"	"RpL28"	chr3L	-	3222152	3222304	3222365	3222446	3221881	3221981	3222574	3222912	1414	40,66,64	37,51,52	469,367,537	95,76,100	155	226	0.0	0.0	0.612,0.654,0.642	0.878,0.876,0.887	-0.244
1423	"FBgn0035422"	"RpL28"	chr3L	-	3222152	3222207	3222365	3222446	3221881	3221981	3222926	3222960	1423	40,67,64	31,37,32	476,379,544	51,39,49	155	129	0.0	0.0	0.518,0.601,0.625	0.886,0.89,0.902	-0.311
1424	"FBgn0035422"	"RpL28"	chr3L	-	3222152	3222207	3222350	3222574	3221881	3221981	3222926	3222960	1424	22,46,47	31,37,32	386,303,390	51,39,49	298	129	0.0	0.0	0.235,0.35,0.389	0.766,0.771,0.775	-0.446
