ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1126	"FBgn0001105"	"Gbeta13F"	chrX	+	15861235	15861492	15861376	15861492	15860114	15860250	1126	399,498,324	290,482,340	625,935,750	235,317,234	215	74	0.0	0.0	0.321,0.262,0.247	0.478,0.504,0.525	-0.226
1127	"FBgn0001105"	"Gbeta13F"	chrX	+	15860988	15861492	15861376	15861492	15860114	15860250	1127	539,721,457	290,482,340	799,1229,994	235,317,234	462	74	0.0	0.0	0.229,0.193,0.177	0.353,0.383,0.405	-0.181
143	"FBgn0039187"	"CG6454"	chr3R	+	24350726	24352351	24352052	24352351	24349889	24350235	143	92,83,52	65,84,79	114,161,135	24,42,39	1400	74	0.0	0.0	0.07,0.05,0.034	0.201,0.168,0.155	-0.123
1530	"FBgn0259938"	"cwo"	chr3R	+	10396236	10396820	10396696	10396820	10388257	10389437	1530	487,799,584	52,74,50	267,276,251	81,83,101	534	74	0.0	0.0	0.565,0.599,0.618	0.314,0.315,0.256	0.299
1622	"FBgn0262582"	"cic"	chr3R	+	20297096	20298532	20298383	20298532	20296199	20296499	1622	13,25,11	63,58,68	159,221,194	17,30,34	1361	74	0.0	0.0	0.011,0.023,0.009	0.337,0.286,0.237	-0.272
1624	"FBgn0027549"	"CG7927"	chr3L	+	8112781	8113320	8113011	8113320	8112493	8112714	1624	9,18,26	154,201,184	69,69,99	72,100,116	304	74	0.0	0.0	0.014,0.021,0.033	0.189,0.144,0.172	-0.146
2158	"FBgn0261602"	"RpL8"	chr3L	+	2587575	2587890	2587750	2587890	2587455	2587513	2158	534,823,642	3479,5515,4402	268,359,336	3940,4916,5938	249	74	0.0	0.0	0.044,0.042,0.042	0.02,0.021,0.017	0.023
2243	"FBgn0033463"	"CG1513"	chr2R	-	9883896	9884206	9883896	9884002	9884621	9884708	2243	403,583,417	9,11,10	343,526,438	122,143,103	278	74	0.0	0.0	0.923,0.934,0.917	0.428,0.495,0.531	0.44
2336	"FBgn0003261"	"Rm62"	chr3R	-	6008036	6008309	6008036	6008306	6008550	6008579	2336	26,72,51	8,21,9	58,93,68	182,246,203	77	74	0.0	0.0	0.757,0.767,0.845	0.234,0.266,0.244	0.542
618	"FBgn0004587"	"B52"	chr3R	+	13662954	13663051	13662969	13663051	13662296	13662404	618	58,69,57	638,717,581	118,118,114	361,418,404	89	74	0.0	0.0	0.07,0.074,0.075	0.214,0.19,0.19	-0.125
628	"FBgn0020236"	"ATPCL"	chr2R	-	15996166	15996365	15996166	15996314	15996894	15997218	628	680,808,599	1,7,2	152,184,235	27,40,40	125	74	0.0	0.0	0.998,0.986,0.994	0.769,0.731,0.777	0.234
629	"FBgn0020236"	"ATPCL"	chr2R	-	15996166	15996365	15996166	15996317	15996894	15997218	629	676,794,593	1,1,1	143,176,222	7,14,13	122	74	2.22044604925e-16	2.77925830498e-14	0.998,0.998,0.997	0.925,0.884,0.912	0.091
