ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1135	"FBgn0034138"	"RpS15"	chr2R	-	16570916	16571230	16570916	16571005	16571188	16571230	1135	1397,1354,1296	4378,7663,5590	320,270,309	2918,4447,5472	148	74	0.0	0.0	0.138,0.081,0.104	0.052,0.029,0.027	0.072
1157	"FBgn0004403"	"RpS14a"	chrX	+	7933741	7934270	7933741	7933774	7934008	7934270	1157	188,272,181	373,920,630	71,86,124	700,1051,1187	148	74	0.0	0.0	0.201,0.129,0.126	0.048,0.039,0.05	0.106
1159	"FBgn0035333"	"CG1317"	chr3L	-	2368013	2370048	2368013	2368425	2368629	2370048	1159	86,113,103	93,118,105	257,388,340	95,116,101	148	74	0.0	0.0	0.316,0.324,0.329	0.575,0.626,0.627	-0.286
1210	"FBgn0261608"	"RpL37A"	chr2L	+	5070999	5071157	5070999	5071030	5071102	5071157	1210	477,930,634	165,269,150	279,420,491	1567,1950,1632	145	74	0.0	0.0	0.596,0.638,0.683	0.083,0.099,0.133	0.534
1273	"FBgn0043458"	"CG12084"	chr3L	-	1491983	1492463	1491983	1492229	1492313	1492463	1273	105,129,71	109,121,83	160,232,219	35,67,55	148	74	0.0	0.0	0.325,0.348,0.3	0.696,0.634,0.666	-0.341
1323	"FBgn0025638"	"Roc1a"	chrX	+	647303	647637	647303	647525	647609	647637	1323	46,62,51	694,892,703	124,150,139	493,569,668	148	74	0.0	0.0	0.032,0.034,0.035	0.112,0.116,0.094	-0.074
1375	"FBgn0011272"	"RpL13"	chr2L	+	9967329	9967877	9967329	9967358	9967616	9967877	1375	940,2691,2052	262,815,467	735,1349,1550	1378,2103,2705	148	74	0.0	0.0	0.642,0.623,0.687	0.211,0.243,0.223	0.425
145	"FBgn0031220"	"CG4822"	chr2L	-	119133	119375	119133	119235	119287	119375	145	144,199,117	1038,1453,1172	129,178,195	381,461,607	125	74	0.0	0.0	0.076,0.075,0.056	0.167,0.186,0.16	-0.102
195	"FBgn0001234"	"Hsromega"	chr3R	+	21296620	21310706	21296620	21297097	21297809	21310706	195	175,231,160	400,463,420	272,365,311	206,304,344	148	74	0.0	0.0	0.179,0.2,0.16	0.398,0.375,0.311	-0.182
221	"FBgn0020660"	"eIF-4B"	chr3L	-	27856365	27857935	27856365	27856707	27856783	27857935	221	21,26,16	26,47,40	6,6,6	183,263,238	148	74	0.0	0.0	0.288,0.217,0.167	0.016,0.011,0.012	0.211
