ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	S1.Rep1	S1.Rep2	S1.Rep3	S2.Rep1	S2.Rep2	S2.Rep3	eventID	s1reads	s2reads	readcountpass
2306	FBgn0264693	ens	chr3L	-	4133548	4133656	4131955	4132212	4133768	4133822	2306	28,25,22	93,103,82	6,8,4	179,187,224	148	74	0.0	0.0	0.131,0.108,0.118	0.016,0.021,0.009	0.104	0.131	0.108	0.118	0.016	0.021	0.009	chr3L:-:4131955-4132212:4133548-4133656:4133768-4133822	121,128,104	185,195,228	pass
3413	FBgn0051363	Jupiter	chr3R	-	11593321	11593354	11592366	11592624	11593632	11593766	3413	195,195,179	1686,1380,1417	65,70,65	1736,2098,2587	106	74	0.0	0.0	0.075,0.09,0.081	0.025,0.023,0.017	0.06	0.075	0.09	0.081	0.025	0.023	0.017	chr3R:-:11592366-11592624:11593321-11593354:11593632-11593766	1881,1575,1596	1801,2168,2652	pass
3579	FBgn0262734	Rbp2	chrX	+	16451701	16451791	16451274	16451559	16451918	16453615	3579	129,85,103	420,381,415	9,6,10	305,369,434	148	74	0.0	0.0	0.133,0.1,0.11	0.015,0.008,0.011	0.103	0.133	0.1	0.11	0.015	0.008	0.011	chrX:+:16451274-16451559:16451701-16451791:16451918-16453615	549,466,518	314,375,444	pass
3597	FBgn0038535	alt	chr3R	-	17675641	17675737	17675074	17675533	17676086	17676749	3597	299,262,231	62,56,62	168,200,236	262,298,313	148	74	0.0	0.0	0.707,0.701,0.651	0.243,0.251,0.274	0.43	0.707	0.701	0.651	0.243	0.251	0.274	chr3R:-:17675074-17675533:17675641-17675737:17676086-17676749	361,318,293	430,498,549	pass
359	FBgn0014141	cher	chr3R	-	17109707	17109722	17108747	17108839	17110213	17110549	359	22,22,13	153,134,58	1,0,0	80,161,174	88	74	0.0	0.0	0.108,0.121,0.159	0.01,0.0,0.0	0.126	0.108	0.121	0.159	0.01	0.0	0.0	chr3R:-:17108747-17108839:17109707-17109722:17110213-17110549	175,156,71	81,161,174	pass
3825	FBgn0033212	CG1399	chr2R	-	7677997	7678404	7676539	7677734	7678569	7678626	3825	203,178,230	110,98,84	219,292,305	21,21,22	148	74	0.0	0.0	0.48,0.476,0.578	0.839,0.874,0.874	-0.351	0.48	0.476	0.578	0.839	0.874	0.874	chr2R:-:7676539-7677734:7677997-7678404:7678569-7678626	313,276,314	240,313,327	pass
4530	FBgn0033844	bbc	chr2R	-	13488916	13489048	13487973	13488132	13491434	13491593	4530	239,212,246	50,44,40	8,7,7	25,34,44	148	74	0.0	0.0	0.705,0.707,0.755	0.138,0.093,0.074	0.621	0.705	0.707	0.755	0.138	0.093	0.074	chr2R:-:13487973-13488132:13488916-13489048:13491434-13491593	289,256,286	33,41,51	pass
4829	FBgn0034051	Mlf	chr2R	-	15937020	15937326	15935892	15936580	15938446	15938978	4829	111,98,111	136,148,165	24,44,28	179,176,169	148	74	0.0	0.0	0.29,0.249,0.252	0.063,0.111,0.077	0.18	0.29	0.249	0.252	0.063	0.111	0.077	chr2R:-:15935892-15936580:15937020-15937326:15938446-15938978	247,246,276	203,220,197	pass
4869	FBgn0022764	Sin3A	chr2R	-	12577453	12578551	12576567	12576993	12579128	12579356	4869	54,51,61	129,119,106	10,16,11	239,216,286	148	74	0.0	0.0	0.173,0.176,0.223	0.02,0.036,0.019	0.166	0.173	0.176	0.223	0.02	0.036	0.019	chr2R:-:12576567-12576993:12577453-12578551:12579128-12579356	183,170,167	249,232,297	pass
5513	FBgn0042693	PP2A-B'	chr3R	+	18171273	18171312	18169483	18170098	18171528	18171703	5513	33,36,32	215,150,157	4,0,1	324,225,317	112	74	0.0	0.0	0.092,0.137,0.119	0.008,0.0,0.002	0.113	0.092	0.137	0.119	0.008	0.0	0.002	chr3R:+:18169483-18170098:18171273-18171312:18171528-18171703	248,186,189	328,225,318	pass
5654	FBgn0266410	CG45050	chr3R	+	9342575	9342894	9341866	9342491	9354421	9354854	5654	184,123,177	323,243,209	50,72,68	300,310,410	148	74	0.0	0.0	0.222,0.202,0.297	0.077,0.104,0.077	0.154	0.222	0.202	0.297	0.077	0.104	0.077	chr3R:+:9341866-9342491:9342575-9342894:9354421-9354854	507,366,386	350,382,478	pass
604	FBgn0025726	unc-13	chr4	-	882616	882723	876869	877194	882960	883081	604	188,214,160	19,16,10	158,168,183	79,91,109	148	74	0.0	0.0	0.832,0.87,0.889	0.5,0.48,0.456	0.385	0.832	0.87	0.889	0.5	0.48	0.456	chr4:-:876869-877194:882616-882723:882960-883081	207,230,170	237,259,292	pass
6050	FBgn0002921	Atpalpha	chr3R	+	20959236	20959380	20948779	20948829	20962214	20962295	6050	119,118,76	35,28,32	77,84,80	120,101,146	148	74	0.0	0.0	0.63,0.678,0.543	0.243,0.294,0.215	0.366	0.63	0.678	0.543	0.243	0.294	0.215	chr3R:+:20948779-20948829:20959236-20959380:20962214-20962295	154,146,108	197,185,226	pass
6052	FBgn0002921	Atpalpha	chr3R	+	20959236	20959380	20957733	20958167	20963724	20963856	6052	181,157,104	266,229,170	94,128,84	478,502,561	148	74	0.0	0.0	0.254,0.255,0.234	0.09,0.113,0.07	0.157	0.254	0.255	0.234	0.09	0.113	0.07	chr3R:+:20957733-20958167:20959236-20959380:20963724-20963856	447,386,274	572,630,645	pass
6102	FBgn0040271	Sulf1	chr3R	-	16321962	16322169	16314364	16315246	16330919	16330956	6102	144,122,71	219,160,133	62,89,85	351,393,528	148	74	0.0	0.0	0.247,0.276,0.211	0.081,0.102,0.074	0.159	0.247	0.276	0.211	0.081	0.102	0.074	chr3R:-:16314364-16315246:16321962-16322169:16330919-16330956	363,282,204	413,482,613	pass
738	FBgn0000370	crc	chr2L	+	21311192	21311531	21310865	21311032	21311752	21312043	738	149,126,142	2088,1647,1812	23,40,52	2069,2166,2248	148	74	0.0	0.0	0.034,0.037,0.038	0.006,0.009,0.011	0.028	0.034	0.037	0.038	0.006	0.009	0.011	chr2L:+:21310865-21311032:21311192-21311531:21311752-21312043	2237,1773,1954	2092,2206,2300	pass
940	FBgn0030052	CG12065	chrX	+	8586551	8586608	8585985	8586245	8587257	8587525	940	499,469,416	582,547,513	31,50,59	586,621,751	130	74	0.0	0.0	0.328,0.328,0.316	0.029,0.044,0.043	0.285	0.328	0.328	0.316	0.029	0.044	0.043	chrX:+:8585985-8586245:8586551-8586608:8587257-8587525	1081,1016,929	617,671,810	pass
962	FBgn0261041	stj	chr2R	+	13816035	13816083	13815554	13815648	13816202	13816313	962	14,27,18	151,145,123	0,0,0	119,203,209	121	74	0.0	0.0	0.054,0.102,0.082	0.0,0.0,0.0	0.079	0.054	0.102	0.082	0.0	0.0	0.0	chr2R:+:13815554-13815648:13816035-13816083:13816202-13816313	165,172,141	119,203,209	pass
2811	FBgn0264953	Piezo	chr2L	+	8181983	8182049	8179871	8180029	8182304	8182450	2811	257,243,158	28,24,19	179,207,229	0,3,1	139	74	1.11022302463e-16	2.9387603462e-14	0.83,0.844,0.816	1.0,0.973,0.992	-0.158	0.83	0.844	0.816	1.0	0.973	0.992	chr2L:+:8179871-8180029:8181983-8182049:8182304-8182450	285,267,177	179,210,230	pass
4828	FBgn0034051	Mlf	chr2R	-	15937020	15937326	15935892	15936580	15937678	15937879	4828	301,279,297	50,48,44	80,99,84	59,53,48	148	74	1.11022302463e-16	2.9387603462e-14	0.751,0.744,0.771	0.404,0.483,0.467	0.304	0.751	0.744	0.771	0.404	0.483	0.467	chr2R:-:15935892-15936580:15937020-15937326:15937678-15937879	351,327,341	139,152,132	pass
613	FBgn0025726	unc-13	chr4	-	878850	878992	876869	877194	882960	883081	613	221,153,164	19,16,10	260,207,325	79,91,109	148	74	2.22044604925e-16	5.59763875463e-14	0.853,0.827,0.891	0.622,0.532,0.599	0.273	0.853	0.827	0.891	0.622	0.532	0.599	chr4:-:876869-877194:878850-878992:882960-883081	240,169,174	339,298,434	pass
