ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1042	"FBgn0064225"	"RpL5"	chr2L	-	22536536	22536650	22536536	22536565	22536620	22536650	1042	669,1250,866	682,1271,851	490,625,614	976,2694,1742	128	74	0.0	0.0	0.362,0.362,0.37	0.225,0.118,0.169	0.194
1135	"FBgn0034138"	"RpS15"	chr2R	-	16570916	16571230	16570916	16571005	16571188	16571230	1135	1397,1354,1296	4378,7663,5590	276,406,395	4921,7350,7909	148	74	0.0	0.0	0.138,0.081,0.104	0.027,0.027,0.024	0.082
1157	"FBgn0004403"	"RpS14a"	chrX	+	7933741	7934270	7933741	7933774	7934008	7934270	1157	188,272,181	373,920,630	114,105,115	941,1078,1238	148	74	0.0	0.0	0.201,0.129,0.126	0.057,0.046,0.044	0.103
1210	"FBgn0261608"	"RpL37A"	chr2L	+	5070999	5071157	5070999	5071030	5071102	5071157	1210	477,930,634	165,269,150	482,662,588	1505,1160,1560	145	74	0.0	0.0	0.596,0.638,0.683	0.14,0.226,0.161	0.463
1375	"FBgn0011272"	"RpL13"	chr2L	+	9967329	9967877	9967329	9967358	9967616	9967877	1375	940,2691,2052	262,815,467	1546,2402,2675	2495,3718,4140	148	74	0.0	0.0	0.642,0.623,0.687	0.237,0.244,0.244	0.409
274	"FBgn0058191"	"CG40191"	chr2R	+	1265342	1266349	1265342	1266052	1266191	1266349	274	240,392,325	77,79,76	461,460,420	19,22,37	148	74	0.0	0.0	0.609,0.713,0.681	0.924,0.913,0.85	-0.228
775	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637927	16638232	16638303	775	1856,3833,2572	1280,2348,1535	569,787,860	3604,5093,5514	148	74	0.0	0.0	0.42,0.449,0.456	0.073,0.072,0.072	0.369
776	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637949	16638232	16638303	776	1884,3857,2588	51,64,48	673,837,939	62,74,70	148	74	0.0	0.0	0.949,0.968,0.964	0.844,0.85,0.87	0.106
859	"FBgn0015521"	"RpS21"	chr2L	+	2856376	2856705	2856376	2856568	2856630	2856705	859	6689,7504,6062	181,217,142	3412,4064,4177	5,27,23	135	74	0.0	0.0	0.953,0.95,0.959	0.997,0.988,0.99	-0.038
870	"FBgn0037262"	"MED31"	chr3R	+	4641962	4642428	4641962	4642008	4642283	4642428	870	184,296,231	23,34,31	118,164,179	86,93,141	148	74	0.0	0.0	0.8,0.813,0.788	0.407,0.469,0.388	0.379
439	"FBgn0039644"	"CG11897"	chr3R	+	29158121	29158690	29158121	29158347	29158498	29158690	439	18,49,31	81,101,92	179,194,199	131,119,179	148	74	1.11022302463e-16	9.65894031428e-15	0.1,0.195,0.144	0.406,0.449,0.357	-0.258
468	"FBgn0259726"	"CG42380"	chr2R	-	21669536	21669916	21669536	21669693	21669754	21669916	468	13,19,26	87,130,84	57,96,54	76,99,63	134	74	1.11022302463e-16	9.65894031428e-15	0.076,0.075,0.146	0.293,0.349,0.321	-0.222
203	"FBgn0015790"	"Rab11"	chr3R	+	21111407	21111855	21111407	21111466	21111654	21111855	203	234,332,275	192,393,249	401,358,382	756,934,899	148	74	7.77156117238e-16	5.79536418855e-14	0.379,0.297,0.356	0.21,0.161,0.175	0.162
290	"FBgn0019624"	"CoVa"	chr3R	+	11819598	11820299	11819598	11819644	11819710	11820299	290	139,275,174	204,509,355	110,154,184	456,734,770	139	74	7.77156117238e-16	5.79536418855e-14	0.266,0.223,0.207	0.114,0.1,0.113	0.123
1323	"FBgn0025638"	"Roc1a"	chrX	+	647303	647637	647303	647525	647609	647637	1323	46,62,51	694,892,703	127,125,126	574,651,765	148	74	9.99200722163e-16	6.95443702625e-14	0.032,0.034,0.035	0.1,0.088,0.076	-0.054
145	"FBgn0031220"	"CG4822"	chr2L	-	119133	119375	119133	119235	119287	119375	145	144,199,117	1038,1453,1172	179,236,264	587,973,949	125	74	9.08162434143e-14	5.92575988278e-12	0.076,0.075,0.056	0.153,0.126,0.141	-0.071
398	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267918	27267255	27267283	27267591	27267918	398	724,1286,921	91,142,92	2574,2247,3215	538,785,898	148	74	1.0325074129e-13	6.34081022981e-12	0.799,0.819,0.833	0.705,0.589,0.642	0.172
221	"FBgn0020660"	"eIF-4B"	chr3L	-	27856365	27857935	27856365	27856707	27856783	27857935	221	21,26,16	26,47,40	12,4,7	116,70,118	148	74	1.09356967926e-13	6.34270413971e-12	0.288,0.217,0.167	0.049,0.028,0.029	0.189
909	"FBgn0047135"	"CG32276"	chr3L	-	3198751	3199047	3198751	3198866	3198992	3199047	909	606,950,747	283,464,310	1003,1063,1175	980,909,1002	148	74	6.84452494681e-13	3.76088633919e-11	0.517,0.506,0.546	0.339,0.369,0.37	0.164
1462	"FBgn0001961"	"Arpc1"	chr2L	-	13829345	13829741	13829345	13829643	13829709	13829741	1462	256,427,308	5,6,7	259,380,387	26,36,32	139	74	4.53670434553e-12	2.36815966837e-10	0.965,0.974,0.959	0.841,0.849,0.866	0.114
429	"FBgn0014189"	"Hel25E"	chr2L	-	5540168	5541090	5540168	5540300	5540971	5541090	429	151,204,159	654,844,638	246,298,302	397,701,651	148	74	5.93070037525e-12	2.94840532941e-10	0.103,0.108,0.111	0.237,0.175,0.188	-0.093
743	"FBgn0262124"	"uex"	chr2R	-	3942933	3943335	3942933	3943141	3943195	3943335	743	50,69,46	31,43,27	105,148,120	17,16,23	127	74	7.50022266516e-12	3.55919657383e-10	0.484,0.483,0.498	0.783,0.843,0.752	-0.304
195	"FBgn0001234"	"Hsromega"	chr3R	+	21296620	21310706	21296620	21297097	21297809	21310706	195	175,231,160	400,463,420	397,309,379	373,398,438	148	74	7.92699239582e-12	3.59816524402e-10	0.179,0.2,0.16	0.347,0.28,0.302	-0.13
635	"FBgn0053057"	"CG33057"	chr3L	-	8402167	8405277	8402167	8404050	8404102	8405277	635	2,7,5	47,56,26	41,27,43	55,43,70	125	74	1.16034959419e-11	5.04752073473e-10	0.025,0.069,0.102	0.306,0.271,0.267	-0.216
424	"FBgn0004587"	"B52"	chr3R	+	13662969	13665526	13662969	13663051	13665452	13665526	424	123,173,137	773,801,694	146,187,219	419,482,479	148	74	1.56025192766e-11	6.51561204991e-10	0.074,0.097,0.09	0.148,0.162,0.186	-0.078
313	"FBgn0033260"	"Cul4"	chr2R	-	8102259	8102906	8102259	8102544	8102607	8102906	313	215,257,226	38,49,34	210,275,272	6,16,13	136	74	2.10669259815e-11	8.45918104796e-10	0.755,0.741,0.783	0.95,0.903,0.919	-0.164
942	"FBgn0010315"	"CycD"	chrX	-	15908536	15909676	15908536	15909222	15909530	15909676	942	21,44,31	152,165,134	34,45,44	44,66,64	148	74	2.85964585345e-11	1.10572973e-09	0.065,0.118,0.104	0.279,0.254,0.256	-0.167
553	"FBgn0026573"	"ADD1"	chr2R	+	11971724	11973040	11971724	11972148	11972586	11973040	553	73,112,67	1,8,3	45,60,58	14,17,21	148	74	1.6777634837e-10	6.25566098922e-09	0.973,0.875,0.918	0.616,0.638,0.58	0.311
626	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20349206	20348354	20348385	20348941	20349206	626	73,100,50	29,68,38	53,82,92	131,155,182	148	74	1.94108173979e-10	6.98789426324e-09	0.557,0.424,0.397	0.168,0.209,0.202	0.266
1100	"FBgn0011640"	"lark"	chr3L	+	7339867	7340770	7339867	7339908	7339961	7340770	1100	344,515,378	10,32,8	327,444,481	0,2,5	126	74	1.1178731274e-09	3.89019848335e-08	0.953,0.904,0.965	1.0,0.992,0.983	-0.051
742	"FBgn0262124"	"uex"	chr2R	-	3942933	3943335	3942933	3943138	3943195	3943335	742	53,74,57	14,17,21	105,150,120	4,9,8	130	74	2.28443541861e-09	7.69338895816e-08	0.683,0.712,0.607	0.937,0.905,0.895	-0.245
1273	"FBgn0043458"	"CG12084"	chr3L	-	1491983	1492463	1491983	1492229	1492313	1492463	1273	105,129,71	109,121,83	230,158,188	49,79,57	148	74	3.54772877742e-09	1.15744651363e-07	0.325,0.348,0.3	0.701,0.5,0.623	-0.284
694	"FBgn0263006"	"Ca-P60A"	chr2R	-	23932666	23933444	23932666	23932814	23933258	23933444	694	189,260,198	699,826,604	542,470,631	939,927,1188	148	74	4.89927209912e-09	1.54995153681e-07	0.119,0.136,0.141	0.224,0.202,0.21	-0.08
187	"FBgn0263102"	"psq"	chr2R	+	10612736	10613375	10612736	10612931	10612985	10613375	187	185,167,186	2,3,0	128,268,227	14,18,11	127	74	7.16114822996e-09	2.19889375061e-07	0.982,0.97,1.0	0.842,0.897,0.923	0.097
334	"FBgn0027786"	"Mtch"	chr3L	+	184625	185074	184625	184681	184774	185074	334	83,127,96	4,15,14	52,80,68	17,36,43	148	74	1.31611546106e-08	3.92578440385e-07	0.912,0.809,0.774	0.605,0.526,0.442	0.307
56	"FBgn0038294"	"Mf"	chr3R	-	15176363	15178489	15176363	15176433	15178279	15178489	56	115,126,107	609,918,676	39,67,49	537,863,594	148	74	1.99836465153e-08	5.79525748944e-07	0.086,0.064,0.073	0.035,0.037,0.04	0.037
1443	"FBgn0050118"	"CG30118"	chr2R	-	18430736	18431357	18430736	18430885	18431172	18431357	1443	46,58,46	164,208,190	46,69,67	88,102,96	148	74	2.2548484746e-08	6.36232920941e-07	0.123,0.122,0.108	0.207,0.253,0.259	-0.122
1513	"FBgn0261673"	"nemy"	chr2R	-	12664984	12665799	12664984	12665232	12665744	12665799	1513	159,234,166	30,45,29	109,151,138	39,88,74	148	74	2.35252788361e-08	6.46326081708e-07	0.726,0.722,0.741	0.583,0.462,0.483	0.22
627	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20349206	20348354	20348421	20348941	20349206	627	83,116,59	36,96,55	60,90,104	156,198,194	148	74	2.91660946505e-08	7.80753918336e-07	0.535,0.377,0.349	0.161,0.185,0.211	0.235
1130	"FBgn0032796"	"CG10188"	chr2L	-	19507489	19508764	19507489	19508265	19508325	19508764	1130	2,3,5	16,35,17	14,14,23	15,8,24	133	74	3.25929302436e-08	8.50675479358e-07	0.065,0.046,0.141	0.342,0.493,0.348	-0.31
1159	"FBgn0035333"	"CG1317"	chr3L	-	2368013	2370048	2368013	2368425	2368629	2370048	1159	86,113,103	93,118,105	280,192,230	92,93,127	148	74	3.39887823442e-08	8.6547045774e-07	0.316,0.324,0.329	0.603,0.508,0.475	-0.206
514	"FBgn0024807"	"DIP1"	chrX	-	21628360	21630148	21628360	21628754	21629973	21630148	514	24,28,18	3,5,3	23,29,39	35,30,26	148	74	3.65787590217e-08	9.09243438539e-07	0.8,0.737,0.75	0.247,0.326,0.429	0.428
1167	"FBgn0260486"	"Ziz"	chr2L	-	7472512	7473889	7472512	7473199	7473297	7473889	1167	38,65,36	30,60,40	117,118,119	37,25,48	148	74	4.34263558446e-08	1.0543515233e-06	0.388,0.351,0.31	0.613,0.702,0.553	-0.273
772	"FBgn0025725"	"alphaCOP"	chr3L	-	1644011	1645199	1644011	1645061	1645169	1645199	772	212,247,167	14,30,22	397,379,452	86,108,120	148	74	5.50504023478e-08	1.30619591025e-06	0.883,0.805,0.791	0.698,0.637,0.653	0.164
1534	"FBgn0003261"	"Rm62"	chr3R	-	6002062	6003911	6002062	6003098	6003672	6003911	1534	184,145,118	133,173,143	70,58,73	168,135,165	148	74	8.44804401989e-08	1.95994621261e-06	0.409,0.295,0.292	0.172,0.177,0.181	0.155
1556	"FBgn0261550"	"CG42668"	chr3R	+	20309343	20310638	20309343	20309630	20309903	20310638	1556	269,364,308	106,125,94	467,428,514	91,67,94	148	74	9.24480981768e-08	2.09816988036e-06	0.559,0.593,0.621	0.72,0.762,0.732	-0.147
240	"FBgn0034963"	"Not11"	chr2R	-	24036719	24037140	24036719	24036914	24036974	24037140	240	24,38,27	83,101,92	55,43,43	48,57,55	133	74	1.24994187112e-07	2.77646662436e-06	0.139,0.173,0.14	0.389,0.296,0.303	-0.179
153	"FBgn0003256"	"rl"	chr2R	+	1071974	1072439	1071974	1072045	1072250	1072439	153	96,127,110	5,12,4	125,206,193	30,37,43	148	74	1.91456799747e-07	4.1641853945e-06	0.906,0.841,0.932	0.676,0.736,0.692	0.192
1249	"FBgn0034946"	"CG3065"	chr2R	+	23970304	23972233	23970304	23970685	23970755	23972233	1249	263,384,260	9,28,7	376,325,402	38,51,48	143	74	2.23143446054e-07	4.75432158531e-06	0.938,0.876,0.951	0.837,0.767,0.813	0.116
1153	"FBgn0031228"	"CG11455"	chr2L	+	155334	155784	155334	155429	155637	155784	1153	448,685,568	3,11,8	604,675,792	33,21,31	148	74	2.7471475661e-07	5.62357266472e-06	0.987,0.969,0.973	0.901,0.941,0.927	0.053
322	"FBgn0031285"	"CG3662"	chr2L	+	823636	824337	823636	824137	824218	824337	322	578,836,625	29,35,40	1208,921,1289	29,24,18	148	74	2.74029456238e-07	5.62357266472e-06	0.909,0.923,0.887	0.954,0.95,0.973	-0.053
562	"FBgn0250753"	"kra"	chr3R	-	5600037	5600571	5600037	5600308	5600487	5600571	562	518,660,446	3,7,9	758,685,864	31,19,39	148	74	2.81369356703e-07	5.64903093073e-06	0.989,0.979,0.961	0.924,0.947,0.917	0.047
584	"FBgn0050392"	"CG30392"	chr2R	-	21290913	21291581	21290913	21290970	21291031	21291581	584	158,217,200	17,23,23	81,103,127	3,3,1	134	74	3.0999674383e-07	6.10635095393e-06	0.837,0.839,0.828	0.937,0.95,0.986	-0.123
348	"FBgn0028474"	"CG4119"	chrX	+	5666051	5666468	5666051	5666313	5666376	5666468	348	115,88,101	39,42,42	60,91,92	2,15,12	136	74	5.86171722605e-07	1.13326533037e-05	0.616,0.533,0.567	0.942,0.767,0.807	-0.267
597	"FBgn0042185"	"CG18769"	chr3L	+	6550738	6551949	6550738	6550836	6551681	6551949	597	29,37,22	7,1,4	34,32,50	0,0,0	148	74	6.4953183132e-07	1.23292951254e-05	0.674,0.949,0.733	1.0,1.0,1.0	-0.215
1168	"FBgn0260486"	"Ziz"	chr2L	-	7472512	7473889	7472512	7473199	7473419	7473889	1168	97,134,99	30,46,35	141,157,155	18,17,25	148	74	7.26421566899e-07	1.35425734972e-05	0.618,0.593,0.586	0.797,0.822,0.756	-0.193
48	"FBgn0261385"	"scra"	chr2R	+	7590945	7591873	7590945	7591425	7591506	7591873	48	221,304,214	81,97,77	290,394,416	47,72,79	148	74	7.89348172936e-07	1.44575349569e-05	0.577,0.61,0.582	0.755,0.732,0.725	-0.148
966	"FBgn0035772"	"Sh3beta"	chr3L	-	7368889	7369260	7368889	7369130	7369226	7369260	966	477,776,535	20,46,38	677,882,853	83,91,104	148	74	8.27320701502e-07	1.4891772627e-05	0.923,0.894,0.876	0.803,0.829,0.804	0.086
926	"FBgn0002873"	"mud"	chrX	+	14249644	14254288	14249644	14252875	14252935	14254288	926	1,0,0	15,19,17	10,6,6	37,20,20	133	74	1.21740493819e-06	2.15418772114e-05	0.036,0.0,0.0	0.131,0.143,0.143	-0.127
1400	"FBgn0020306"	"dom"	chr2R	+	21340683	21341847	21340683	21341076	21341419	21341847	1400	225,271,240	35,31,22	204,159,176	4,10,7	148	74	1.45738916191e-06	2.53585714172e-05	0.763,0.814,0.845	0.962,0.888,0.926	-0.118
100	"FBgn0029914"	"CG4558"	chrX	+	6849769	6851884	6849769	6851052	6851299	6851884	100	11,4,5	40,33,14	8,12,8	5,9,5	148	74	1.49055906573e-06	2.55105518791e-05	0.121,0.057,0.152	0.444,0.4,0.444	-0.319
9	"FBgn0033429"	"CG12929"	chr2R	-	9586109	9586595	9586109	9586231	9586289	9586595	9	55,34,42	61,60,47	3,8,5	14,30,32	131	74	1.53551215387e-06	2.58560433652e-05	0.337,0.242,0.335	0.108,0.131,0.081	0.198
869	"FBgn0037262"	"MED31"	chr3R	+	4641962	4642428	4641962	4642008	4642288	4642428	869	234,363,291	2,1,1	206,274,346	10,8,9	148	74	1.74973949674e-06	2.89956830888e-05	0.983,0.995,0.993	0.912,0.945,0.951	0.054
1053	"FBgn0013305"	"Nmda1"	chr2R	-	12878384	12879222	12878384	12878710	12879196	12879222	1053	44,48,59	51,86,56	45,52,73	127,182,196	148	74	2.25655673824e-06	3.62437728419e-05	0.301,0.218,0.345	0.151,0.125,0.157	0.144
179	"FBgn0001142"	"Gs1"	chr2L	+	132076	134472	132076	132255	132475	134472	179	47,80,48	147,247,183	45,44,52	313,311,321	148	74	2.22853551224e-06	3.62437728419e-05	0.138,0.139,0.116	0.067,0.066,0.075	0.062
1305	"FBgn0011290"	"Taf12"	chr3R	-	11678943	11679398	11678943	11679184	11679353	11679398	1305	189,311,214	46,79,54	209,184,203	115,71,109	148	74	2.65126196175e-06	4.13122013144e-05	0.673,0.663,0.665	0.476,0.564,0.482	0.16
639	"FBgn0004227"	"nonA"	chrX	+	16365586	16368526	16365586	16365642	16366903	16368526	639	20,23,20	188,203,146	42,32,36	118,129,145	148	74	2.64145727347e-06	4.13122013144e-05	0.051,0.054,0.064	0.151,0.11,0.11	-0.067
1303	"FBgn0011290"	"Taf12"	chr3R	-	11678943	11679690	11678943	11679398	11679566	11679690	1303	53,79,47	66,141,67	69,70,93	46,44,78	148	74	4.00084456875e-06	6.14247313202e-05	0.286,0.219,0.26	0.429,0.443,0.373	-0.16
1304	"FBgn0011290"	"Taf12"	chr3R	-	11678943	11679690	11678943	11679184	11679566	11679690	1304	122,217,129	21,13,5	106,116,107	29,41,21	148	74	4.47918664437e-06	6.77720414018e-05	0.744,0.893,0.928	0.646,0.586,0.718	0.205
608	"FBgn0034390"	"CG15093"	chr2R	-	18775668	18776978	18775668	18776826	18776893	18776978	608	20,21,24	49,65,61	1,7,8	41,48,60	140	74	4.79468119086e-06	7.15092451894e-05	0.177,0.146,0.172	0.013,0.072,0.066	0.115
402	"FBgn0052230"	"CG32230"	chr3L	+	23339325	23339476	23339325	23339369	23339429	23339476	402	184,329,269	96,205,136	462,500,538	413,460,487	133	74	5.14123968554e-06	7.55979469254e-05	0.516,0.472,0.524	0.384,0.377,0.381	0.123
388	"FBgn0039229"	"Saf-B"	chr3R	+	24818802	24820767	24818802	24818849	24819728	24820767	388	16,37,25	117,137,128	70,68,98	193,152,215	148	74	5.57661475042e-06	8.08609138811e-05	0.064,0.119,0.089	0.154,0.183,0.186	-0.084
456	"FBgn0031818"	"CG9536"	chr2L	-	6474437	6475270	6474437	6474651	6474707	6475270	456	94,125,93	26,20,22	112,127,121	11,6,9	129	74	5.74440662782e-06	8.2152883828e-05	0.675,0.782,0.708	0.854,0.924,0.885	-0.166
95	"FBgn0011764"	"Dsp1"	chrX	+	16333611	16334413	16333611	16333643	16334300	16334413	95	103,169,106	9,11,12	217,264,288	59,40,71	148	74	7.10550591343e-06	0.000100245245589	0.851,0.885,0.815	0.648,0.767,0.67	0.155
260	"FBgn0035107"	"mri"	chr3L	+	200173	201060	200173	200297	200389	201060	260	242,309,270	34,57,52	283,228,281	96,74,87	148	74	7.25265958079e-06	0.000100957021365	0.781,0.73,0.722	0.596,0.606,0.618	0.138
827	"FBgn0031850"	"Tsp"	chr2L	-	6708286	6709086	6708286	6708578	6709052	6709086	827	10,17,14	1,0,0	38,33,51	5,9,8	148	74	7.57737605384e-06	0.000104089218424	0.833,1.0,1.0	0.792,0.647,0.761	0.211
1491	"FBgn0046214"	"vig2"	chr3R	+	25123444	25124115	25123444	25123479	25123631	25124115	1491	395,766,574	1,4,1	696,1167,1170	15,16,20	148	74	8.01959183361e-06	0.000108733167199	0.995,0.99,0.997	0.959,0.973,0.967	0.028
1432	"FBgn0033244"	"CG8726"	chr2R	-	7969573	7970176	7969573	7969769	7969868	7970176	1432	22,38,24	116,150,106	21,20,16	199,176,241	148	74	8.69721641494e-06	0.000116408896631	0.087,0.112,0.102	0.05,0.054,0.032	0.055
556	"FBgn0051158"	"Efa6"	chr3R	+	22602844	22603923	22602844	22603061	22603463	22603923	556	17,22,14	12,11,7	39,35,48	4,3,8	148	74	9.78301257892e-06	0.000129284368764	0.415,0.5,0.5	0.83,0.854,0.75	-0.34
