ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1135	"FBgn0034138"	"RpS15"	chr2R	-	16570916	16571230	16570916	16571005	16571188	16571230	1135	1167,840,1291	9640,6854,11076	276,406,395	4921,7350,7909	148	74	0.0	0.0	0.057,0.058,0.055	0.027,0.027,0.024	0.031
1210	"FBgn0261608"	"RpL37A"	chr2L	+	5070999	5071157	5070999	5071030	5071102	5071157	1210	1527,1042,1620	279,258,394	482,662,588	1505,1160,1560	145	74	0.0	0.0	0.736,0.673,0.677	0.14,0.226,0.161	0.52
1375	"FBgn0011272"	"RpL13"	chr2L	+	9967329	9967877	9967329	9967358	9967616	9967877	1375	4110,3051,4143	1770,1062,1809	1546,2402,2675	2495,3718,4140	148	74	0.0	0.0	0.537,0.59,0.534	0.237,0.244,0.244	0.312
1377	"FBgn0010551"	"Phb2"	chr2R	+	18821183	18821839	18821183	18821283	18821489	18821839	1377	1734,1315,1839	96,97,97	1223,1273,1332	9,11,5	148	74	0.0	0.0	0.9,0.871,0.905	0.985,0.983,0.993	-0.095
1481	"FBgn0003074"	"Pgi"	chr2R	-	8913432	8914069	8913432	8913570	8913709	8914069	1481	346,306,304	36,26,29	346,428,372	2,6,5	148	74	0.0	0.0	0.828,0.855,0.84	0.989,0.973,0.974	-0.138
224	"FBgn0032000"	"CG8372"	chr2L	-	8212038	8212902	8212038	8212692	8212766	8212902	224	69,56,69	90,57,101	118,148,184	28,39,34	147	74	0.0	0.0	0.278,0.331,0.256	0.68,0.656,0.731	-0.401
470	"FBgn0039266"	"CG11791"	chr3R	+	25050242	25051556	25050242	25050617	25051180	25051556	470	207,152,198	436,381,404	259,229,250	159,152,149	148	74	0.0	0.0	0.192,0.166,0.197	0.449,0.43,0.456	-0.26
775	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637927	16638232	16638303	775	4376,3094,4537	4046,2787,4261	569,787,860	3604,5093,5514	148	74	0.0	0.0	0.351,0.357,0.347	0.073,0.072,0.072	0.279
776	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637949	16638232	16638303	776	4426,3132,4584	53,45,87	673,837,939	62,74,70	148	74	0.0	0.0	0.977,0.972,0.963	0.844,0.85,0.87	0.116
859	"FBgn0015521"	"RpS21"	chr2L	+	2856376	2856705	2856376	2856568	2856630	2856705	859	5128,4462,5984	273,224,277	3412,4064,4177	5,27,23	135	74	0.0	0.0	0.911,0.916,0.922	0.997,0.988,0.99	-0.075
909	"FBgn0047135"	"CG32276"	chr3L	-	3198751	3199047	3198751	3198866	3198992	3199047	909	1476,1239,1420	420,296,455	1003,1063,1175	980,909,1002	148	74	0.0	0.0	0.637,0.677,0.609	0.339,0.369,0.37	0.282
1415	"FBgn0027932"	"Akap200"	chr2L	+	8427614	8429462	8427614	8428067	8428319	8429462	1415	294,271,292	536,518,554	793,719,851	672,600,719	148	74	1.11022302463e-16	9.85322934359e-15	0.215,0.207,0.209	0.371,0.375,0.372	-0.162
584	"FBgn0050392"	"CG30392"	chr2R	-	21290913	21291581	21290913	21290970	21291031	21291581	584	220,202,265	57,46,50	81,103,127	3,3,1	134	74	3.33066907388e-16	2.72858658745e-14	0.681,0.708,0.745	0.937,0.95,0.986	-0.246
1451	"FBgn0035165"	"CG13887"	chr3L	+	837860	838624	837860	837945	838048	838624	1451	612,565,654	339,270,376	367,504,436	588,497,666	148	74	5.55111512313e-16	4.22281257581e-14	0.474,0.511,0.465	0.238,0.336,0.247	0.21
398	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267918	27267255	27267283	27267591	27267918	398	1633,1198,1561	121,126,213	2574,2247,3215	538,785,898	148	74	6.66133814775e-16	4.7295500849e-14	0.871,0.826,0.786	0.705,0.589,0.642	0.182
1283	"FBgn0261564"	"CG42678"	chr2R	+	22925106	22925612	22925106	22925484	22925548	22925612	1283	64,52,67	109,84,63	95,115,118	36,37,41	137	74	5.40678612992e-14	3.59889201773e-12	0.241,0.251,0.365	0.588,0.627,0.609	-0.322
