ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
123	"FBgn0025726"	"unc-13"	chr4	-	876113	876239	876869	877194	875542	875710	882960	883081	123	20,16,11	260,196,213	80,91,111	193,242,254	148	148	0.0	0.0	0.071,0.075,0.049	0.293,0.273,0.304	-0.225
128	"FBgn0025726"	"unc-13"	chr4	-	882616	882723	882960	883081	878850	878992	883142	883362	128	242,183,191	99,88,65	366,448,554	34,35,68	148	148	0.0	0.0	0.71,0.675,0.746	0.915,0.928,0.891	-0.201
130	"FBgn0025726"	"unc-13"	chr4	-	881842	881949	882616	882723	878850	878992	882960	883081	130	283,290,218	12,4,10	183,193,241	41,49,60	148	148	0.0	0.0	0.959,0.986,0.956	0.817,0.798,0.801	0.162
131	"FBgn0025726"	"unc-13"	chr4	-	881842	881949	882616	882723	876869	877194	882960	883081	131	188,214,160	3,0,4	158,168,183	19,32,31	148	148	0.0	0.0	0.984,1.0,0.976	0.893,0.84,0.855	0.124
2153	"FBgn0035162"	"CG13900"	chr3L	-	827181	827236	830621	830728	826945	827001	830907	831242	2153	393,386,313	1584,1242,1576	331,449,461	397,486,459	148	128	0.0	0.0	0.177,0.212,0.147	0.419,0.444,0.465	-0.264
2229	"FBgn0039969"	"Fis1"	chr2R	-	5603899	5604012	5604467	5604516	5603586	5603761	5604582	5604650	2229	722,398,456	174,165,221	145,201,243	380,347,426	122	148	0.0	0.0	0.834,0.745,0.715	0.316,0.413,0.409	0.385
2249	"FBgn0250823"	"gish"	chr3R	+	16293986	16294153	16295668	16295820	16292723	16292834	16296661	16296776	2249	293,273,264	249,230,238	392,411,418	116,142,107	148	148	0.0	0.0	0.541,0.543,0.526	0.772,0.743,0.796	-0.234
2320	"FBgn0002590"	"RpS5a"	chrX	-	17145015	17145132	17146797	17147200	17144617	17144716	17148203	17148264	2320	7148,5811,7504	11134,10232,13180	6814,10797,10755	1908,4133,3080	148	148	0.0	0.0	0.391,0.362,0.363	0.781,0.723,0.777	-0.388
2328	"FBgn0262614"	"pyd"	chr3R	-	8832703	8832944	8833473	8833738	8832353	8832645	8833974	8834074	2328	27,21,23	115,89,121	0,0,0	85,77,101	148	148	0.0	0.0	0.19,0.191,0.16	0.0,0.0,0.0	0.18
2495	"FBgn0027567"	"CG8108"	chr3L	+	9865057	9865398	9866313	9866361	9864638	9864802	9867313	9867744	2495	289,212,182	114,95,88	397,357,499	35,67,55	148	121	0.0	0.0	0.675,0.646,0.628	0.903,0.813,0.881	-0.216
2577	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13490739	13490871	13487973	13488132	13491434	13491593	2577	358,394,356	239,212,246	200,283,324	8,7,7	148	148	0.0	0.0	0.6,0.65,0.591	0.962,0.976,0.979	-0.359
