ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1049	"FBgn0250823"	"gish"	chr3R	+	16301804	16302372	16301822	16302372	16301244	16301351	1049	173,179,158	341,383,277	321,320,284	251,294,239	91	74	1.56541446472e-14	2.40134578888e-11	0.292,0.275,0.317	0.51,0.47,0.491	-0.196
571	"FBgn0051151"	"wge"	chr3R	-	22714533	22716664	22714533	22716631	22716933	22717050	571	10,39,19	52,73,46	41,66,60	20,30,16	106	74	5.02931030155e-14	3.85748100129e-11	0.118,0.272,0.224	0.589,0.606,0.724	-0.435
823	"FBgn0032006"	"Pvr"	chr2L	-	8220979	8222114	8220979	8221967	8222225	8222376	823	1272,1434,1127	59,59,75	850,913,775	12,15,7	148	74	2.17825757431e-13	1.11381570633e-10	0.915,0.924,0.883	0.973,0.968,0.982	-0.067
1054	"FBgn0038244"	"CG7987"	chr3R	-	14574547	14575059	14574547	14574885	14575770	14575887	1054	37,50,35	9,18,13	28,29,27	50,47,52	148	74	8.34443625308e-13	3.20009130306e-10	0.673,0.581,0.574	0.219,0.236,0.206	0.389
1779	"FBgn0034638"	"CG10433"	chr2R	-	21605675	21606360	21605675	21606193	21606467	21606617	1779	4,17,4	35,41,27	23,26,18	13,15,10	148	74	2.08585371198e-11	6.39939918835e-09	0.054,0.172,0.069	0.469,0.464,0.474	-0.371
572	"FBgn0051151"	"wge"	chr3R	-	22714533	22716667	22714533	22716631	22716933	22717050	572	4,8,7	52,73,46	12,22,18	20,30,16	109	74	1.47274747953e-10	3.76532438933e-08	0.05,0.069,0.094	0.289,0.332,0.433	-0.28
2424	"FBgn0014163"	"fax"	chr3L	-	16405501	16405845	16405501	16405836	16407020	16407359	2424	381,537,403	113,176,135	545,584,465	82,100,66	82	74	1.21720689084e-09	2.66742195793e-07	0.753,0.734,0.729	0.857,0.841,0.864	-0.115
2207	"FBgn0010909"	"msn"	chr3L	-	2564396	2564755	2564396	2564695	2565600	2565621	2207	170,186,128	101,131,107	261,274,242	61,103,66	133	74	1.50829260193e-09	2.8921510642e-07	0.484,0.441,0.4	0.704,0.597,0.671	-0.216
395	"FBgn0026250"	"eIF-1A"	chr3R	+	18274825	18275141	18274866	18275141	18274664	18274756	395	26,62,26	231,332,237	33,29,25	559,628,456	114	74	1.11482972853e-08	1.90016533729e-06	0.068,0.108,0.066	0.037,0.029,0.034	0.047
1471	"FBgn0033636"	"tou"	chr2R	-	11581627	11582145	11581627	11581749	11583014	11587025	1471	20,38,16	47,59,50	66,63,68	50,52,47	148	74	1.4203899068e-07	1.83042926496e-05	0.175,0.244,0.138	0.398,0.377,0.42	-0.213
623	"FBgn0004587"	"B52"	chr3R	+	13663454	13665526	13665452	13665526	13662969	13663051	623	77,147,100	773,801,694	131,188,133	590,640,518	148	74	1.43188729984e-07	1.83042926496e-05	0.047,0.084,0.067	0.1,0.128,0.114	-0.048
991	"FBgn0033635"	"CG7777"	chr2R	+	11441649	11441872	11441740	11441872	11441067	11441490	991	7,4,4	3,1,8	0,0,0	3,2,3	148	74	1.38421844653e-07	1.83042926496e-05	0.538,0.667,0.2	0.0,0.0,0.0	0.468
1017	"FBgn0000578"	"ena"	chr2R	+	19159782	19160035	19159794	19160035	19159119	19159352	1017	14,20,13	115,169,92	35,42,26	91,96,96	85	74	1.61141045507e-07	1.90146433698e-05	0.096,0.093,0.11	0.251,0.276,0.191	-0.14
946	"FBgn0010348"	"Arf79F"	chr3L	-	22869841	22870150	22869841	22870065	22871923	22872052	946	3501,5443,4053	132,188,138	5433,5538,4490	314,321,272	148	74	3.8547304948e-07	4.22368327073e-05	0.93,0.935,0.936	0.896,0.896,0.892	0.039
