ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1065	"FBgn0005672"	"spi"	chr2L	-	19571571	19571767	19567899	19569226	19577185	19577315	1065	1894,2922,2206	61,107,95	1942,1572,1709	296,220,225	270	74	0.0	0.0	0.895,0.882,0.864	0.643,0.662,0.676	0.22
1155	"FBgn0260439"	"Pp2A-29B"	chr2L	+	8369222	8369560	8368757	8369030	8369715	8370090	1155	93,65,85	1290,1643,1411	255,233,245	1730,1460,1770	412	74	0.0	0.0	0.013,0.007,0.011	0.026,0.028,0.024	-0.016
1404	"FBgn0034072"	"Dg"	chr2R	-	16086930	16087725	16085563	16085620	16088304	16088365	1404	184,296,193	125,153,105	465,484,303	87,73,57	869	74	0.0	0.0	0.111,0.141,0.135	0.313,0.361,0.312	-0.2
1536	"FBgn0032694"	"MESR3"	chr2L	+	18631742	18631774	18617255	18617724	18649597	18649627	1536	299,455,384	18,6,10	328,362,324	46,57,48	106	74	0.0	0.0	0.921,0.981,0.964	0.833,0.816,0.825	0.131
1837	"FBgn0024807"	"DIP1"	chrX	-	21628919	21629792	21628360	21628754	21629973	21630148	1837	693,829,552	3,5,3	685,611,530	69,47,49	947	74	0.0	0.0	0.948,0.928,0.935	0.437,0.504,0.458	0.471
1839	"FBgn0024807"	"DIP1"	chrX	-	21628843	21629792	21628360	21628754	21629973	21630148	1839	745,876,592	3,5,3	724,637,556	69,47,49	1023	74	0.0	0.0	0.947,0.927,0.935	0.431,0.495,0.451	0.477
1840	"FBgn0024807"	"DIP1"	chrX	-	21628847	21629792	21628360	21628754	21629973	21630148	1840	747,901,608	3,5,3	728,640,562	69,47,49	1019	74	0.0	0.0	0.948,0.929,0.936	0.434,0.497,0.454	0.476
2004	"FBgn0051158"	"Efa6"	chr3R	+	22602195	22602435	22600544	22601666	22602844	22603923	2004	13,9,6	92,83,92	46,52,41	67,69,57	314	74	0.0	0.0	0.032,0.025,0.015	0.139,0.151,0.145	-0.121
2051	"FBgn0264693"	"ens"	chr3L	-	4128307	4128973	4126988	4127162	4129650	4129791	2051	129,151,98	97,100,79	329,269,213	54,55,50	740	74	0.0	0.0	0.117,0.131,0.11	0.379,0.328,0.299	-0.216
2060	"FBgn0264693"	"ens"	chr3L	-	4130388	4130643	4129650	4129791	4131120	4131236	2060	16,31,10	155,159,129	124,95,90	114,108,78	329	74	0.0	0.0	0.023,0.042,0.017	0.197,0.165,0.206	-0.162
