ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1249	"FBgn0034946"	"CG3065"	chr2R	+	23970304	23972233	23970304	23970685	23970755	23972233	1249	211,185,209	52,43,43	330,382,288	12,11,18	143	74	0.0	0.0	0.677,0.69,0.716	0.934,0.947,0.892	-0.23
1283	"FBgn0261564"	"CG42678"	chr2R	+	22925106	22925612	22925106	22925484	22925548	22925612	1283	51,43,57	109,84,63	132,168,165	21,32,27	137	74	0.0	0.0	0.202,0.217,0.328	0.772,0.739,0.767	-0.51
1415	"FBgn0027932"	"Akap200"	chr2L	+	8427614	8429462	8427614	8428067	8428319	8429462	1415	294,271,292	536,518,554	583,646,595	468,529,436	148	74	0.0	0.0	0.215,0.207,0.209	0.384,0.379,0.406	-0.179
1451	"FBgn0035165"	"CG13887"	chr3L	+	837860	838624	837860	837945	838048	838624	1451	617,571,657	339,270,376	289,361,292	517,544,470	148	74	0.0	0.0	0.476,0.514,0.466	0.218,0.249,0.237	0.251
1527	"FBgn0035232"	"CG12099"	chr3L	-	1557788	1558484	1557788	1558214	1558322	1558484	1527	488,410,392	22,33,19	420,504,389	2,0,1	148	74	0.0	0.0	0.917,0.861,0.912	0.991,1.0,0.995	-0.099
224	"FBgn0032000"	"CG8372"	chr2L	-	8212038	8212902	8212038	8212692	8212766	8212902	224	69,56,69	90,57,101	145,160,122	42,41,39	147	74	0.0	0.0	0.278,0.331,0.256	0.635,0.663,0.612	-0.348
399	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267918	27267255	27267455	27267513	27267918	399	587,421,504	78,59,74	239,297,251	142,145,113	131	74	0.0	0.0	0.81,0.801,0.794	0.487,0.536,0.556	0.275
552	"FBgn0026573"	"ADD1"	chr2R	+	11971724	11973040	11971724	11972148	11972586	11973040	552	69,68,46	45,56,41	80,85,111	8,4,10	148	74	0.0	0.0	0.434,0.378,0.359	0.833,0.914,0.847	-0.474
279	"FBgn0259740"	"CG42394"	chr3R	+	10851284	10851788	10851284	10851488	10851548	10851788	279	550,433,574	72,49,68	384,479,327	121,137,130	133	74	1.88737914186e-15	2.23968991501e-13	0.81,0.831,0.824	0.638,0.66,0.583	0.195
285	"FBgn0085638"	"CG41378"	chr2R	-	2830707	2831043	2830707	2830781	2830865	2831043	285	114,117,123	39,32,42	226,238,158	17,14,11	148	74	2.99760216649e-15	3.12598431988e-13	0.594,0.646,0.594	0.869,0.895,0.878	-0.269
