ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2332	"FBgn0262614"	"pyd"	chr3R	-	8832703	8832944	8833473	8833738	8832353	8832645	8833974	8834074	2332	27,21,23	115,89,121	2,1,0	133,94,142	148	148	0.0	0.0	0.19,0.191,0.16	0.015,0.011,0.0	0.172
1426	"FBgn0033159"	"Dscam1"	chr2R	-	7353565	7353692	7356972	7357096	7348130	7348975	7361717	7361867	1426	4,4,2	0,0,1	0,0,0	2,4,3	148	148	3.33066907388e-16	2.44582132325e-13	1.0,1.0,0.667	0.0,0.0,0.0	0.889
1677	"FBgn0033159"	"Dscam1"	chr2R	-	7356972	7357096	7359015	7359139	7348130	7348975	7361717	7361867	1677	0,1,0	4,4,2	2,4,4	0,0,0	148	148	3.33066907388e-16	2.44582132325e-13	0.0,0.2,0.0	1.0,1.0,1.0	-0.933
1396	"FBgn0033159"	"Dscam1"	chr2R	-	7355685	7355809	7356972	7357096	7348130	7348975	7361717	7361867	1396	4,4,2	0,1,0	0,0,0	2,1,1	148	148	5.55111512313e-16	3.05727665406e-13	1.0,0.8,1.0	0.0,0.0,0.0	0.933
747	"FBgn0033159"	"Dscam1"	chr2R	-	7355086	7355210	7356972	7357096	7348130	7348975	7361717	7361867	747	4,4,2	0,0,0	0,0,0	2,3,2	148	148	3.77475828373e-15	1.66315849981e-12	1.0,1.0,1.0	0.0,0.0,0.0	1.0
1320	"FBgn0033159"	"Dscam1"	chr2R	-	7356744	7356868	7356972	7357096	7348130	7348975	7361717	7361867	1320	4,4,2	2,0,0	0,0,0	2,3,2	148	148	2.58681964738e-14	9.49793947196e-12	0.667,1.0,1.0	0.0,0.0,0.0	0.889
648	"FBgn0033159"	"Dscam1"	chr2R	-	7351460	7351584	7356972	7357096	7348130	7348975	7361717	7361867	648	4,4,2	0,3,0	0,0,0	5,6,2	148	148	1.49158463358e-12	4.6942299254e-10	1.0,0.571,1.0	0.0,0.0,0.0	0.857
1097	"FBgn0033159"	"Dscam1"	chr2R	-	7356316	7356440	7356972	7357096	7348130	7348975	7361717	7361867	1097	4,4,2	1,2,0	0,0,0	1,2,1	148	148	2.02116101633e-12	4.94735302108e-10	0.8,0.667,1.0	0.0,0.0,0.0	0.822
1884	"FBgn0033159"	"Dscam1"	chr2R	-	7349787	7349911	7356972	7357096	7348130	7348975	7361717	7361867	1884	4,4,2	3,0,0	0,0,0	5,2,1	148	148	1.90059079586e-12	4.94735302108e-10	0.571,1.0,1.0	0.0,0.0,0.0	0.857
1746	"FBgn0033159"	"Dscam1"	chr2R	-	7356526	7356650	7356972	7357096	7348130	7348975	7361717	7361867	1746	4,4,2	1,1,1	0,0,0	4,1,1	148	148	7.77100606086e-12	1.71195263521e-09	0.8,0.8,0.667	0.0,0.0,0.0	0.756
2577	"FBgn0262109"	"CR42862"	chr3L	+	224972	225140	225725	229244	224105	224183	229588	230964	2577	732,665,460	85,69,52	601,678,839	28,27,31	148	148	2.58606469572e-11	5.17918229516e-09	0.896,0.906,0.898	0.955,0.962,0.964	-0.06
1689	"FBgn0033159"	"Dscam1"	chr2R	-	7356972	7357096	7358806	7358930	7348130	7348975	7361717	7361867	1689	3,0,1	4,4,2	1,3,4	0,0,0	148	148	3.83735265785e-11	7.04473992104e-09	0.429,0.0,0.333	1.0,1.0,1.0	-0.746
1822	"FBgn0033159"	"Dscam1"	chr2R	-	7350157	7350281	7356972	7357096	7348130	7348975	7361717	7361867	1822	4,4,2	2,3,0	0,0,0	2,2,6	148	148	2.18025930643e-10	3.69470096313e-08	0.667,0.571,1.0	0.0,0.0,0.0	0.746
493	"FBgn0033159"	"Dscam1"	chr2R	-	7354881	7355005	7356972	7357096	7348130	7348975	7361717	7361867	493	4,4,2	1,4,1	0,0,0	9,3,2	148	148	2.73543854235e-10	4.30440793486e-08	0.8,0.5,0.667	0.0,0.0,0.0	0.656
87	"FBgn0037328"	"RpL35A"	chr3R	-	5465799	5466027	5466152	5466381	5465629	5465731	5466979	5467008	87	2943,2148,2610	12182,10423,14367	3341,2241,3393	9880,7485,7880	148	148	3.48811535211e-10	5.12287874713e-08	0.195,0.171,0.154	0.253,0.23,0.301	-0.088
1675	"FBgn0033159"	"Dscam1"	chr2R	-	7356972	7357096	7358603	7358727	7348130	7348975	7361717	7361867	1675	3,1,3	4,4,2	3,3,7	0,0,0	148	148	1.34388622453e-09	1.8503633454e-07	0.429,0.2,0.6	1.0,1.0,1.0	-0.59
1218	"FBgn0033159"	"Dscam1"	chr2R	-	7352898	7353022	7356972	7357096	7348130	7348975	7361717	7361867	1218	4,4,2	4,4,1	0,0,0	10,5,11	148	148	2.23333596061e-09	2.73335506735e-07	0.5,0.5,0.667	0.0,0.0,0.0	0.556
1673	"FBgn0033159"	"Dscam1"	chr2R	-	7356972	7357096	7360081	7360205	7348130	7348975	7361717	7361867	1673	2,4,2	4,4,2	3,7,4	0,0,0	148	148	2.16358686522e-09	2.73335506735e-07	0.333,0.5,0.5	1.0,1.0,1.0	-0.556
751	"FBgn0033159"	"Dscam1"	chr2R	-	7355086	7355210	7357590	7357714	7348130	7348975	7361717	7361867	751	2,1,1	0,0,0	2,0,1	2,3,2	148	148	3.93303423163e-09	4.56024969067e-07	1.0,1.0,1.0	0.5,0.0,0.333	0.722
1682	"FBgn0033159"	"Dscam1"	chr2R	-	7356972	7357096	7357182	7357306	7348130	7348975	7361717	7361867	1682	3,2,4	4,4,2	5,3,5	0,0,0	148	148	4.74918415705e-09	5.23122634899e-07	0.429,0.333,0.667	1.0,1.0,1.0	-0.524
1040	"FBgn0033159"	"Dscam1"	chr2R	-	7351698	7351822	7356972	7357096	7348130	7348975	7361717	7361867	1040	4,4,2	4,0,3	0,0,0	2,3,6	148	148	6.79825273853e-09	7.13169084904e-07	0.5,1.0,0.4	0.0,0.0,0.0	0.633
1681	"FBgn0033159"	"Dscam1"	chr2R	-	7356972	7357096	7358002	7358129	7348130	7348975	7361717	7361867	1681	6,3,1	4,4,2	2,6,3	0,0,0	148	148	8.18651668677e-09	8.19768011862e-07	0.6,0.429,0.333	1.0,1.0,1.0	-0.546
2160	"FBgn0026375"	"RhoGAPp190"	chrX	-	17644763	17644808	17645886	17646012	17643680	17644178	17646519	17646585	2160	16,5,3	3,6,9	0,0,0	2,4,2	148	118	3.91996358706e-08	3.75464338361e-06	0.81,0.399,0.21	0.0,0.0,0.0	0.473
999	"FBgn0033159"	"Dscam1"	chr2R	-	7350781	7350905	7355086	7355210	7348130	7348975	7361717	7361867	999	0,0,0	2,4,1	2,3,2	0,4,1	148	148	1.71377929847e-07	1.57310658105e-05	0.0,0.0,0.0	1.0,0.429,0.667	-0.699
1779	"FBgn0033159"	"Dscam1"	chr2R	-	7350580	7350704	7356972	7357096	7348130	7348975	7361717	7361867	1779	4,4,2	5,5,9	0,0,0	8,2,13	148	148	2.07121671036e-07	1.82515616517e-05	0.444,0.444,0.182	0.0,0.0,0.0	0.357
1250	"FBgn0033159"	"Dscam1"	chr2R	-	7356106	7356230	7356972	7357096	7348130	7348975	7361717	7361867	1250	4,4,2	5,10,3	0,0,0	6,2,6	148	148	2.90188048035e-07	2.45878565316e-05	0.444,0.286,0.4	0.0,0.0,0.0	0.377
1345	"FBgn0033159"	"Dscam1"	chr2R	-	7354685	7354809	7356972	7357096	7348130	7348975	7361717	7361867	1345	4,4,2	9,5,4	0,0,0	3,4,8	148	148	3.22224355087e-07	2.6291120528e-05	0.308,0.444,0.333	0.0,0.0,0.0	0.362
2076	"FBgn0033159"	"Dscam1"	chr2R	-	7341707	7341995	7346641	7346929	7332260	7332380	7347848	7348010	2076	1,2,3	1,2,0	0,0,0	1,1,2	148	148	3.76410176139e-07	2.89416899213e-05	0.5,0.5,1.0	0.0,0.0,0.0	0.667
757	"FBgn0033159"	"Dscam1"	chr2R	-	7355086	7355210	7356526	7356650	7348130	7348975	7361717	7361867	757	1,1,1	0,0,0	4,1,1	2,3,2	148	148	3.80984570003e-07	2.89416899213e-05	1.0,1.0,1.0	0.667,0.25,0.333	0.583
296	"FBgn0000253"	"Cam"	chr2R	+	12260039	12260188	12269192	12269435	12259397	12259458	12273765	12278809	296	1773,1329,1576	3027,2380,2457	2301,1727,2462	2601,1867,2644	148	148	5.10484137961e-07	3.74865518643e-05	0.369,0.358,0.391	0.469,0.481,0.482	-0.105
741	"FBgn0033159"	"Dscam1"	chr2R	-	7355086	7355210	7355290	7355414	7348130	7348975	7361717	7361867	741	6,2,2	0,0,0	2,0,4	2,3,2	148	148	6.27915384244e-07	4.46225029513e-05	1.0,1.0,1.0	0.5,0.0,0.667	0.611
2340	"FBgn0052626"	"AMPdeam"	chrX	-	13834170	13834206	13834814	13835149	13832903	13833031	13837612	13837757	2340	115,105,101	8,15,2	113,108,119	1,0,2	148	109	8.05686937499e-07	5.54665101034e-05	0.914,0.838,0.974	0.988,1.0,0.978	-0.08
1687	"FBgn0033159"	"Dscam1"	chr2R	-	7356972	7357096	7360525	7360649	7348130	7348975	7361717	7361867	1687	11,6,0	4,4,2	8,9,13	0,0,0	148	148	9.09118210157e-07	6.06905277871e-05	0.733,0.6,0.0	1.0,1.0,1.0	-0.556
989	"FBgn0033159"	"Dscam1"	chr2R	-	7350781	7350905	7359015	7359139	7348130	7348975	7361717	7361867	989	0,1,0	2,4,1	2,4,4	0,4,1	148	148	9.54280074184e-07	6.18317353949e-05	0.0,0.2,0.0	1.0,0.5,0.8	-0.7
1125	"FBgn0033159"	"Dscam1"	chr2R	-	7355290	7355414	7359015	7359139	7348130	7348975	7361717	7361867	1125	0,1,0	6,2,2	2,4,4	2,0,4	148	148	1.86759099108e-06	0.000117551512953	0.0,0.333,0.0	0.5,1.0,0.5	-0.556
1658	"FBgn0033159"	"Dscam1"	chr2R	-	7357590	7357714	7359015	7359139	7348130	7348975	7361717	7361867	1658	0,1,0	2,1,1	2,4,4	2,0,1	148	148	1.96292618226e-06	0.000120120177209	0.0,0.5,0.0	0.5,1.0,0.8	-0.6
1431	"FBgn0033159"	"Dscam1"	chr2R	-	7353565	7353692	7357590	7357714	7348130	7348975	7361717	7361867	1431	2,1,1	0,0,1	2,0,1	2,4,3	148	148	2.08425892101e-06	0.000124097902783	1.0,1.0,0.5	0.5,0.0,0.25	0.583
1655	"FBgn0033159"	"Dscam1"	chr2R	-	7357590	7357714	7359221	7359345	7348130	7348975	7361717	7361867	1655	0,0,0	2,1,1	8,2,0	2,0,1	148	148	2.58334371428e-06	0.000149765952699	0.0,0.0,0.0	0.8,1.0,0.0	-0.6
1417	"FBgn0033159"	"Dscam1"	chr2R	-	7353565	7353692	7355290	7355414	7348130	7348975	7361717	7361867	1417	6,2,2	0,0,1	2,0,4	2,4,3	148	148	3.57217781188e-06	0.000196737692989	1.0,1.0,0.667	0.5,0.0,0.571	0.532
2767	"FBgn0083124"	"Uhg4"	chr2R	+	9096670	9096735	9096925	9096991	9096149	9096202	9097241	9097312	2767	26,4,18	256,194,339	2,2,4	212,167,174	138	139	3.55110574346e-06	0.000196737692989	0.093,0.02,0.051	0.009,0.012,0.023	0.04
1004	"FBgn0033159"	"Dscam1"	chr2R	-	7350781	7350905	7353565	7353692	7348130	7348975	7361717	7361867	1004	0,0,1	2,4,1	2,4,3	0,4,1	148	148	4.33348833739e-06	0.000232845727007	0.0,0.0,0.5	1.0,0.5,0.75	-0.583
1607	"FBgn0033159"	"Dscam1"	chr2R	-	7345875	7346166	7346641	7346929	7332260	7332380	7347848	7348010	1607	1,2,3	2,2,0	0,0,0	1,1,2	148	148	4.95321664951e-06	0.00025980800664	0.333,0.5,1.0	0.0,0.0,0.0	0.611
1244	"FBgn0033159"	"Dscam1"	chr2R	-	7356106	7356230	7359015	7359139	7348130	7348975	7361717	7361867	1244	0,1,0	5,10,3	2,4,4	6,2,6	148	148	5.97067975161e-06	0.000305893197507	0.0,0.091,0.0	0.25,0.667,0.4	-0.409
1336	"FBgn0033159"	"Dscam1"	chr2R	-	7354685	7354809	7359015	7359139	7348130	7348975	7361717	7361867	1336	0,1,0	9,5,4	2,4,4	3,4,8	148	148	6.86858285981e-06	0.000329911285869	0.0,0.167,0.0	0.4,0.5,0.333	-0.355
219	"FBgn0030882"	"GS"	chrX	+	17891587	17891934	17896527	17896661	17890460	17890673	17897187	17897230	219	33,20,29	0,1,0	23,22,24	4,7,2	148	148	6.87514732456e-06	0.000329911285869	1.0,0.952,1.0	0.852,0.759,0.923	0.139
746	"FBgn0033159"	"Dscam1"	chr2R	-	7355086	7355210	7358002	7358129	7348130	7348975	7361717	7361867	746	6,3,1	0,0,0	2,6,3	2,3,2	148	148	6.88875131638e-06	0.000329911285869	1.0,1.0,1.0	0.5,0.667,0.6	0.411
2125	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226606	8228493	8229011	2125	581,473,357	103,65,51	678,542,782	54,44,70	148	148	7.31034861223e-06	0.000342087514019	0.849,0.879,0.875	0.926,0.925,0.918	-0.055
480	"FBgn0033159"	"Dscam1"	chr2R	-	7354881	7355005	7359221	7359345	7348130	7348975	7361717	7361867	480	0,0,0	1,4,1	8,2,0	9,3,2	148	148	7.45356362819e-06	0.000342087514019	0.0,0.0,0.0	0.471,0.4,0.0	-0.29
1737	"FBgn0033159"	"Dscam1"	chr2R	-	7356526	7356650	7359221	7359345	7348130	7348975	7361717	7361867	1737	0,0,0	1,1,1	8,2,0	4,1,1	148	148	8.23841411068e-06	0.00037039237318	0.0,0.0,0.0	0.667,0.667,0.0	-0.445
2126	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226603	8228493	8229011	2126	302,260,162	99,65,49	357,294,402	54,43,69	148	148	8.96332793177e-06	0.000394924228674	0.753,0.8,0.768	0.869,0.872,0.854	-0.091
1235	"FBgn0033159"	"Dscam1"	chr2R	-	7364455	7364617	7366465	7366627	7361717	7361867	7368387	7368732	1235	15,9,3	2,3,2	7,7,3	13,15,10	148	148	9.90305634252e-06	0.000427773198482	0.882,0.75,0.6	0.35,0.318,0.231	0.444
1983	"FBgn0033159"	"Dscam1"	chr2R	-	7358002	7358129	7359015	7359139	7348130	7348975	7361717	7361867	1983	0,1,0	6,3,1	2,4,4	2,6,3	148	148	1.11431850914e-05	0.000472085322238	0.0,0.25,0.0	0.5,0.4,0.571	-0.407
736	"FBgn0033159"	"Dscam1"	chr2R	-	7355086	7355210	7358603	7358727	7348130	7348975	7361717	7361867	736	3,1,3	0,0,0	3,3,7	2,3,2	148	148	1.16443276691e-05	0.00048287383887	1.0,1.0,1.0	0.6,0.5,0.778	0.374
748	"FBgn0033159"	"Dscam1"	chr2R	-	7355086	7355210	7357182	7357306	7348130	7348975	7361717	7361867	748	3,2,4	0,0,0	5,3,5	2,3,2	148	148	1.18362175665e-05	0.00048287383887	1.0,1.0,1.0	0.714,0.5,0.714	0.357
2688	"FBgn0004657"	"mys"	chrX	+	8065447	8065532	8066097	8066182	8064532	8064761	8067061	8067496	2688	857,679,589	38,37,31	796,726,886	15,12,28	148	148	1.376109093e-05	0.00055119424216	0.958,0.948,0.95	0.982,0.984,0.969	-0.026
1236	"FBgn0033159"	"Dscam1"	chr2R	-	7364455	7364617	7366804	7366966	7361717	7361867	7368387	7368732	1236	22,29,21	2,3,2	21,27,31	13,15,10	148	148	1.5231456334e-05	0.000572376016291	0.917,0.906,0.913	0.618,0.643,0.756	0.24
1240	"FBgn0033159"	"Dscam1"	chr2R	-	7356106	7356230	7359221	7359345	7348130	7348975	7361717	7361867	1240	0,0,0	5,10,3	8,2,0	6,2,6	148	148	1.53291806451e-05	0.000572376016291	0.0,0.0,0.0	0.571,0.5,0.0	-0.357
1992	"FBgn0033159"	"Dscam1"	chr2R	-	7357182	7357306	7359221	7359345	7348130	7348975	7361717	7361867	1992	0,0,0	3,2,4	8,2,0	5,3,5	148	148	1.50806790959e-05	0.000572376016291	0.0,0.0,0.0	0.615,0.4,0.0	-0.338
2071	"FBgn0033159"	"Dscam1"	chr2R	-	7359015	7359139	7359441	7359565	7348130	7348975	7361717	7361867	2071	3,5,1	0,1,0	0,3,9	2,4,4	148	148	1.49996304631e-05	0.000572376016291	1.0,0.833,1.0	0.0,0.429,0.692	0.571
491	"FBgn0033159"	"Dscam1"	chr2R	-	7354881	7355005	7355086	7355210	7348130	7348975	7361717	7361867	491	0,0,0	1,4,1	2,3,2	9,3,2	148	148	1.60832928332e-05	0.000590524901859	0.0,0.0,0.0	0.182,0.5,0.5	-0.394
1408	"FBgn0033159"	"Dscam1"	chr2R	-	7353565	7353692	7356106	7356230	7348130	7348975	7361717	7361867	1408	5,10,3	0,0,1	6,2,6	2,4,3	148	148	1.66499983708e-05	0.0006013105969	1.0,1.0,0.75	0.75,0.333,0.667	0.333
734	"FBgn0033159"	"Dscam1"	chr2R	-	7355086	7355210	7356106	7356230	7348130	7348975	7361717	7361867	734	5,10,3	0,0,0	6,2,6	2,3,2	148	148	1.82727114366e-05	0.000649270698304	1.0,1.0,1.0	0.75,0.4,0.75	0.367
1422	"FBgn0033159"	"Dscam1"	chr2R	-	7353565	7353692	7354685	7354809	7348130	7348975	7361717	7361867	1422	9,5,4	0,0,1	3,4,8	2,4,3	148	148	1.965898215e-05	0.000676699026195	1.0,1.0,0.8	0.6,0.5,0.727	0.324
41	"FBgn0032456"	"MRP"	chr2L	+	12728020	12728241	12729930	12730151	12726745	12727116	12737958	12738176	41	293,260,279	455,366,353	236,214,251	554,410,581	148	148	1.94347655814e-05	0.000676699026195	0.392,0.415,0.441	0.299,0.343,0.302	0.101
1343	"FBgn0033159"	"Dscam1"	chr2R	-	7354685	7354809	7355086	7355210	7348130	7348975	7361717	7361867	1343	0,0,0	9,5,4	2,3,2	3,4,8	148	148	2.05246495327e-05	0.000691370481554	0.0,0.0,0.0	0.4,0.429,0.2	-0.343
752	"FBgn0033159"	"Dscam1"	chr2R	-	7355086	7355210	7359441	7359565	7348130	7348975	7361717	7361867	752	3,5,1	0,0,0	0,3,9	2,3,2	148	148	2.07128696244e-05	0.000691370481554	1.0,1.0,1.0	0.0,0.5,0.818	0.561
2120	"FBgn0032006"	"Pvr"	chr2L	-	8227669	8227826	8228082	8228257	8226457	8226606	8228493	8229011	2120	581,473,357	99,65,49	678,542,782	54,45,70	148	148	2.42349602382e-05	0.000796859961265	0.854,0.879,0.879	0.926,0.923,0.918	-0.052
1201	"FBgn0033159"	"Dscam1"	chr2R	-	7352898	7353022	7359221	7359345	7348130	7348975	7361717	7361867	1201	0,0,0	4,4,1	8,2,0	10,5,11	148	148	2.67894333161e-05	0.000867898846991	0.0,0.0,0.0	0.444,0.286,0.0	-0.243
733	"FBgn0033159"	"Dscam1"	chr2R	-	7355086	7355210	7360081	7360205	7348130	7348975	7361717	7361867	733	2,4,2	0,0,0	3,7,4	2,3,2	148	148	3.01152565186e-05	0.00096150594363	1.0,1.0,1.0	0.6,0.7,0.667	0.344
1499	"FBgn0033159"	"Dscam1"	chr2R	-	7358603	7358727	7359221	7359345	7348130	7348975	7361717	7361867	1499	0,0,0	3,1,3	8,2,0	3,3,7	148	148	3.09401298421e-05	0.000973730086316	0.0,0.0,0.0	0.727,0.4,0.0	-0.376
1995	"FBgn0033159"	"Dscam1"	chr2R	-	7357182	7357306	7359015	7359139	7348130	7348975	7361717	7361867	1995	0,1,0	3,2,4	2,4,4	5,3,5	148	148	3.13847965177e-05	0.000973812770824	0.0,0.333,0.0	0.286,0.571,0.444	-0.323
1427	"FBgn0033159"	"Dscam1"	chr2R	-	7353565	7353692	7357182	7357306	7348130	7348975	7361717	7361867	1427	3,2,4	0,0,1	5,3,5	2,4,3	148	148	3.22306580632e-05	0.000986168607128	1.0,1.0,0.8	0.714,0.429,0.625	0.344
1758	"FBgn0033159"	"Dscam1"	chr2R	-	7350580	7350704	7359221	7359345	7348130	7348975	7361717	7361867	1758	0,0,0	5,5,9	8,2,0	8,2,13	148	148	3.2778887769e-05	0.000989203969248	0.0,0.0,0.0	0.5,0.5,0.0	-0.333
891	"FBgn0033159"	"Dscam1"	chr2R	-	7354276	7354400	7355086	7355210	7348130	7348975	7361717	7361867	891	0,0,0	1,1,1	2,3,2	7,0,6	148	148	3.34844290578e-05	0.000996840502896	0.0,0.0,0.0	0.222,1.0,0.25	-0.491
2066	"FBgn0033159"	"Dscam1"	chr2R	-	7359015	7359139	7360081	7360205	7348130	7348975	7361717	7361867	2066	2,4,2	0,1,0	3,7,4	2,4,4	148	148	3.72150790515e-05	0.00109313092201	1.0,0.8,1.0	0.6,0.636,0.5	0.355
1238	"FBgn0033159"	"Dscam1"	chr2R	-	7364455	7364617	7365311	7365482	7361717	7361867	7368387	7368732	1238	32,28,20	2,3,2	29,36,36	13,15,10	148	148	4.01908555313e-05	0.00113679205057	0.941,0.903,0.909	0.69,0.706,0.783	0.191
1331	"FBgn0033159"	"Dscam1"	chr2R	-	7354685	7354809	7359221	7359345	7348130	7348975	7361717	7361867	1331	0,0,0	9,5,4	8,2,0	3,4,8	148	148	3.99077493541e-05	0.00113679205057	0.0,0.0,0.0	0.727,0.333,0.0	-0.353
2236	"FBgn0250823"	"gish"	chr3R	+	16293986	16294153	16295668	16295820	16292723	16292834	16296661	16296776	2236	293,273,264	249,230,238	286,277,358	155,154,196	148	148	4.0249559666e-05	0.00113679205057	0.541,0.543,0.526	0.649,0.643,0.646	-0.109
2128	"FBgn0264693"	"ens"	chr3L	-	4129650	4129791	4130388	4130643	4126988	4127162	4131120	4131236	2128	9,17,4	168,163,128	3,5,3	212,197,240	148	148	4.25567342726e-05	0.00118674032408	0.051,0.094,0.03	0.014,0.025,0.012	0.041
1121	"FBgn0033159"	"Dscam1"	chr2R	-	7355290	7355414	7359221	7359345	7348130	7348975	7361717	7361867	1121	0,0,0	6,2,2	8,2,0	2,0,4	148	148	4.3357568467e-05	0.00119395904166	0.0,0.0,0.0	0.8,1.0,0.0	-0.6
1741	"FBgn0033159"	"Dscam1"	chr2R	-	7356526	7356650	7359015	7359139	7348130	7348975	7361717	7361867	1741	0,1,0	1,1,1	2,4,4	4,1,1	148	148	4.43683338849e-05	0.00120670913023	0.0,0.5,0.0	0.333,0.8,0.8	-0.478
1765	"FBgn0033159"	"Dscam1"	chr2R	-	7350580	7350704	7359015	7359139	7348130	7348975	7361717	7361867	1765	0,1,0	5,5,9	2,4,4	8,2,13	148	148	4.57477297938e-05	0.00122905181385	0.0,0.167,0.0	0.2,0.667,0.235	-0.312
1425	"FBgn0033159"	"Dscam1"	chr2R	-	7353565	7353692	7358002	7358129	7348130	7348975	7361717	7361867	1425	6,3,1	0,0,1	2,6,3	2,4,3	148	148	4.77808973116e-05	0.00126820863587	1.0,1.0,0.5	0.5,0.6,0.5	0.3
1410	"FBgn0033159"	"Dscam1"	chr2R	-	7353565	7353692	7358603	7358727	7348130	7348975	7361717	7361867	1410	3,1,3	0,0,1	3,3,7	2,4,3	148	148	5.08857686915e-05	0.00133339283182	1.0,1.0,0.75	0.6,0.429,0.7	0.34
1438	"FBgn0033159"	"Dscam1"	chr2R	-	7353565	7353692	7356526	7356650	7348130	7348975	7361717	7361867	1438	1,1,1	0,0,1	4,1,1	2,4,3	148	148	5.16966970007e-05	0.00133339283182	1.0,1.0,0.5	0.667,0.2,0.25	0.461
2425	"FBgn0041182"	"Tep2"	chr2L	-	7697006	7697157	7697976	7698130	7696027	7696206	7698724	7698992	2425	35,15,23	471,435,361	44,31,31	334,262,308	148	148	5.20525572115e-05	0.00133339283182	0.069,0.033,0.06	0.116,0.106,0.091	-0.05
484	"FBgn0033159"	"Dscam1"	chr2R	-	7354881	7355005	7359015	7359139	7348130	7348975	7361717	7361867	484	0,1,0	1,4,1	2,4,4	9,3,2	148	148	6.24764994102e-05	0.00156404236592	0.0,0.2,0.0	0.182,0.571,0.667	-0.407
982	"FBgn0033159"	"Dscam1"	chr2R	-	7350781	7350905	7359221	7359345	7348130	7348975	7361717	7361867	982	0,0,0	2,4,1	8,2,0	0,4,1	148	148	6.17912340608e-05	0.00156404236592	0.0,0.0,0.0	1.0,0.333,0.0	-0.444
1072	"FBgn0033159"	"Dscam1"	chr2R	-	7357399	7357523	7359015	7359139	7348130	7348975	7361717	7361867	1072	0,1,0	1,0,2	2,4,4	0,0,2	148	148	6.65284955464e-05	0.00164676714257	0.0,1.0,0.0	1.0,1.0,0.667	-0.556
1407	"FBgn0033159"	"Dscam1"	chr2R	-	7353565	7353692	7360081	7360205	7348130	7348975	7361717	7361867	1407	2,4,2	0,0,1	3,7,4	2,4,3	148	148	6.79111896088e-05	0.00166231500787	1.0,1.0,0.667	0.6,0.636,0.571	0.287
1432	"FBgn0033159"	"Dscam1"	chr2R	-	7353565	7353692	7359441	7359565	7348130	7348975	7361717	7361867	1432	3,5,1	0,0,1	0,3,9	2,4,3	148	148	6.9402705688e-05	0.00168015561133	1.0,1.0,0.5	0.0,0.429,0.75	0.44
1107	"FBgn0033159"	"Dscam1"	chr2R	-	7359221	7359345	7360081	7360205	7348130	7348975	7361717	7361867	1107	2,4,2	0,0,0	3,7,4	8,2,0	148	148	7.29318715823e-05	0.0017464012293	1.0,1.0,1.0	0.273,0.778,1.0	0.316
1780	"FBgn0033159"	"Dscam1"	chr2R	-	7350580	7350704	7353565	7353692	7348130	7348975	7361717	7361867	1780	0,0,1	5,5,9	2,4,3	8,2,13	148	148	7.95823838321e-05	0.00188516119981	0.0,0.0,0.1	0.2,0.667,0.188	-0.318
1980	"FBgn0033159"	"Dscam1"	chr2R	-	7358002	7358129	7359221	7359345	7348130	7348975	7361717	7361867	1980	0,0,0	6,3,1	8,2,0	2,6,3	148	148	8.31779785423e-05	0.00194937326307	0.0,0.0,0.0	0.8,0.25,0.0	-0.35
