ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1114	"FBgn0001105"	"Gbeta13F"	chrX	+	15861235	15861492	15861376	15861492	15860114	15860250	1114	521	629	557	113	216	75	0.0	0.0	0.223	0.631	-0.408
1115	"FBgn0001105"	"Gbeta13F"	chrX	+	15860988	15861492	15861376	15861492	15860114	15860250	1115	782	629	818	113	463	75	0.0	0.0	0.168	0.54	-0.372
1657	"FBgn0024734"	"PRL-1"	chr2L	-	16248830	16249706	16248830	16249091	16250080	16250158	1657	13236	36	5240	117	690	75	0.0	0.0	0.976	0.83	0.146
1821	"FBgn0015222"	"Fer1HCH"	chr3R	-	30387463	30387642	30387463	30387550	30387774	30387860	1821	3225	3293	841	2387	167	75	0.0	0.0	0.305	0.137	0.168
1823	"FBgn0015222"	"Fer1HCH"	chr3R	-	30387463	30387602	30387463	30387550	30387774	30387860	1823	4369	3293	1177	2387	127	75	0.0	0.0	0.439	0.226	0.213
1839	"FBgn0267698"	"Pak"	chr3R	+	6357874	6359022	6358282	6359022	6356749	6357340	1839	87	168	294	55	483	75	0.0	0.0	0.074	0.454	-0.38
183	"FBgn0037710"	"CG9393"	chr3R	-	9561582	9562111	9561582	9562001	9562174	9562570	183	6	97	70	21	185	75	0.0	0.0	0.024	0.575	-0.551
1954	"FBgn0061515"	"endos"	chr3L	-	14030806	14031057	14030806	14031002	14031388	14031706	1954	118	1303	227	385	130	75	0.0	0.0	0.05	0.254	-0.204
1956	"FBgn0061515"	"endos"	chr3L	-	14030806	14031230	14030806	14031002	14031388	14031706	1956	152	1303	202	385	303	75	0.0	0.0	0.028	0.115	-0.087
438	"FBgn0037351"	"RpL13A"	chr3R	+	5625332	5625947	5625513	5625947	5624889	5625130	438	647	10509	596	3545	256	75	0.0	0.0	0.018	0.047	-0.029
712	"FBgn0003495"	"spz"	chr3R	-	27066607	27066884	27066607	27066665	27069143	27070070	712	872	387	241	17	294	75	0.0	0.0	0.365	0.783	-0.418
713	"FBgn0003495"	"spz"	chr3R	-	27066607	27066884	27066607	27066665	27067121	27067199	713	942	895	236	34	294	75	0.0	0.0	0.212	0.639	-0.427
325	"FBgn0020910"	"RpL3"	chr3R	+	11223087	11223530	11223394	11223530	11222560	11222729	325	1444	1516	794	471	382	75	1.11022302463e-16	1.09570472354e-14	0.158	0.249	-0.091
374	"FBgn0020238"	"14-3-3epsilon"	chr3R	+	18248214	18248579	18248232	18248579	18247970	18248151	374	3231	986	930	134	93	75	8.881784197e-16	8.13952080339e-14	0.725	0.848	-0.123
2178	"FBgn0033244"	"CG8726"	chr2R	-	7971243	7971564	7971243	7971529	7971636	7972003	2178	13	85	35	8	110	75	4.99600361081e-15	4.27324842178e-13	0.094	0.749	-0.655
933	"FBgn0010348"	"Arf79F"	chr3L	-	22869841	22870150	22869841	22870065	22871459	22871724	933	7094	35	2173	57	160	75	7.1054273576e-15	5.69766456238e-13	0.99	0.947	0.043
2280	"FBgn0039858"	"CycG"	chr3R	-	31601415	31603073	31601415	31602230	31610880	31610978	2280	1089	1297	359	755	918	75	4.68514116392e-14	3.53590359606e-12	0.064	0.037	0.027
1321	"FBgn0039600"	"CG1646"	chr3R	+	28812236	28812486	28812394	28812486	28812101	28812154	1321	35	181	60	46	233	75	2.32591723659e-13	1.65786211919e-11	0.059	0.296	-0.237
2094	"FBgn0042693"	"PP2A-B'"	chr3R	+	18169483	18170098	18169656	18170098	18167756	18167867	2094	598	31	187	52	248	75	1.90980564696e-12	1.28962139213e-10	0.854	0.521	0.333
614	"FBgn0004587"	"B52"	chr3R	+	13666355	13666891	13666418	13666891	13666083	13666248	614	13	273	36	81	138	75	5.36126698591e-12	3.43925277146e-10	0.025	0.195	-0.17
1323	"FBgn0039600"	"CG1646"	chr3R	+	28812226	28812486	28812394	28812486	28812101	28812154	1323	46	181	64	46	243	75	7.25131066304e-12	4.43020551461e-10	0.073	0.3	-0.227
1027	"FBgn0063485"	"Lasp"	chr3L	-	16678807	16679932	16678807	16679869	16680811	16680947	1027	972	59	333	72	138	75	1.48547840695e-11	8.66303998235e-10	0.9	0.715	0.185
1036	"FBgn0034858"	"eIF2B-delta"	chr2R	+	23386941	23387612	23387006	23387612	23386520	23386622	1036	163	150	41	145	140	75	1.78316250654e-11	9.94694563431e-10	0.368	0.132	0.236
1019	"FBgn0264953"	"Piezo"	chr2L	+	8183140	8183563	8183188	8183563	8182304	8182450	1019	87	90	116	21	123	75	2.22625251567e-11	1.19011749067e-09	0.371	0.771	-0.4
718	"FBgn0010762"	"simj"	chr3L	+	10687051	10687162	10687075	10687162	10685963	10686261	718	13	128	37	38	99	75	7.53983542268e-11	3.86944353892e-09	0.071	0.425	-0.354
603	"FBgn0028325"	"l(1)G0334"	chrX	+	4702691	4702892	4702823	4702892	4702324	4702591	603	30	288	39	63	207	75	2.01458405513e-10	9.94119747205e-09	0.036	0.183	-0.147
301	"FBgn0265523"	"Smr"	chrX	-	12730933	12732400	12730933	12731906	12742318	12742444	301	32936	122	19641	18	569	75	4.80367079447e-10	2.28263319604e-08	0.973	0.993	-0.02
901	"FBgn0032938"	"CG8671"	chr2L	+	21277196	21278429	21277229	21278429	21275723	21275806	901	149	6	59	29	108	75	1.06120146004e-09	4.86257669011e-08	0.945	0.586	0.359
828	"FBgn0036510"	"CG7427"	chr3L	+	15564015	15565272	15564261	15565272	15563607	15563729	828	43	154	56	41	321	75	1.56492530046e-09	6.923445381e-08	0.061	0.242	-0.181
