ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1023	"FBgn0029002"	"miple2"	chr3L	+	274594	274813	274594	274807	274866	275018	1023	76,79,111	666,559,721	224,274,279	461,590,624	79	74	0.0	0.0	0.097,0.117,0.126	0.313,0.303,0.295	-0.19
1088	"FBgn0032938"	"CG8671"	chr2L	+	21262955	21263179	21262955	21263123	21263647	21263786	1088	32,22,18	105,64,65	52,77,53	25,33,39	129	74	0.0	0.0	0.149,0.165,0.137	0.544,0.572,0.438	-0.368
1740	"FBgn0064225"	"RpL5"	chr2L	-	22536536	22536650	22536620	22536650	22536114	22536378	1740	10314,6702,8655	22,22,32	3371,4071,5807	66,80,107	148	74	0.0	0.0	0.996,0.993,0.993	0.962,0.962,0.964	0.031
2155	"FBgn0004657"	"mys"	chrX	+	8061644	8061870	8061644	8061725	8063839	8064459	2155	183,163,134	110,71,88	72,139,108	210,281,255	148	74	0.0	0.0	0.454,0.534,0.432	0.146,0.198,0.175	0.3
2163	"FBgn0036213"	"RpL10Ab"	chr3L	+	11823199	11823565	11823199	11823355	11823657	11824211	2163	329,284,362	9517,8292,9782	380,371,343	2425,3615,3725	148	74	0.0	0.0	0.017,0.017,0.018	0.073,0.049,0.044	-0.038
2252	"FBgn0010408"	"RpS9"	chr3L	-	9510281	9510651	9510464	9510651	9509889	9510158	2252	1440,1418,1586	8813,8272,10288	73,117,205	2552,3304,4305	148	74	0.0	0.0	0.076,0.079,0.072	0.014,0.017,0.023	0.058
2353	"FBgn0027932"	"Akap200"	chr2L	+	8427614	8429462	8427614	8428067	8430280	8430977	2353	621,565,612	1310,1301,1519	1075,1470,1314	946,1188,1256	148	74	0.0	0.0	0.192,0.178,0.168	0.362,0.382,0.343	-0.183
2660	"FBgn0011760"	"ctp"	chrX	+	4688202	4688672	4688202	4688317	4691636	4691844	2660	65,49,55	770,668,907	117,155,151	494,581,630	148	74	0.0	0.0	0.04,0.035,0.029	0.106,0.118,0.107	-0.076
481	"FBgn0003392"	"shi"	chrX	+	15892199	15892440	15892199	15892251	15892827	15893150	481	101,84,73	17,17,9	115,130,97	116,116,95	148	74	0.0	0.0	0.748,0.712,0.802	0.331,0.359,0.338	0.411
968	"FBgn0004363"	"porin"	chr2L	-	10849515	10850848	10850753	10850848	10848543	10848863	968	11,13,13	1935,1648,1809	66,69,91	1142,1305,1325	148	74	0.0	0.0	0.003,0.004,0.004	0.028,0.026,0.033	-0.025
215	"FBgn0029897"	"RpL17"	chrX	-	6744108	6744238	6744195	6744238	6743057	6743148	215	196,118,193	120,124,213	79,75,133	283,292,316	148	74	1.99840144433e-15	3.27556164012e-13	0.45,0.322,0.312	0.122,0.114,0.174	0.225
85	"FBgn0038294"	"Mf"	chr3R	-	15176538	15178489	15178279	15178489	15176363	15176433	85	120,148,118	1256,1166,1352	7,14,17	389,424,563	148	74	4.77395900589e-15	7.17287340635e-13	0.046,0.06,0.042	0.009,0.016,0.015	0.036
445	"FBgn0020618"	"Rack1"	chr2L	-	7826533	7826981	7826769	7826981	7825628	7826336	445	561,408,529	8471,7482,8714	208,204,347	1451,1973,2648	148	74	2.49800180541e-14	3.46453635012e-12	0.032,0.027,0.029	0.067,0.049,0.061	-0.03
1743	"FBgn0015218"	"eIF-4E"	chr3L	-	9402209	9402460	9402279	9402460	9401039	9401606	1743	132,107,110	167,134,118	20,21,49	90,115,134	143	74	8.35997937543e-14	1.07664591528e-11	0.29,0.292,0.325	0.103,0.086,0.159	0.186
1305	"FBgn0019947"	"Psn"	chr3L	+	20434086	20434302	20434086	20434245	20434547	20434712	1305	663,634,733	130,106,120	250,314,373	14,20,18	130	74	4.76396699867e-13	5.7262883324e-11	0.744,0.773,0.777	0.91,0.899,0.922	-0.146
2215	"FBgn0036816"	"Indy"	chr3L	-	18840275	18840516	18840372	18840516	18831946	18831984	2215	46,39,25	315,306,262	1,4,11	246,204,256	148	74	5.29354338141e-13	5.96516169793e-11	0.068,0.06,0.046	0.002,0.01,0.021	0.047
1568	"FBgn0025637"	"SkpA"	chrX	+	656113	656784	656113	656399	657098	657899	1568	73,41,71	152,106,150	94,97,97	76,69,80	148	74	1.86073378927e-12	1.97347236591e-10	0.194,0.162,0.191	0.382,0.413,0.377	-0.208
794	"FBgn0027930"	"MP1"	chr3R	+	4308263	4308454	4308263	4308427	4308619	4308833	794	126,96,125	194,183,219	21,29,23	109,132,138	100	74	2.10065298489e-12	2.1041540732e-10	0.325,0.28,0.297	0.125,0.14,0.11	0.176
1048	"FBgn0030838"	"CG5445"	chrX	+	17302469	17302786	17302469	17302507	17302838	17303390	1048	65,63,45	3,8,4	43,43,38	24,28,24	148	74	3.85891318899e-12	3.66190551566e-10	0.915,0.797,0.849	0.473,0.434,0.442	0.404
1304	"FBgn0019947"	"Psn"	chr3L	+	20434086	20434344	20434086	20434245	20434547	20434712	1304	393,368,457	130,106,120	129,191,221	14,20,18	148	74	1.11193276808e-11	1.00240739042e-09	0.602,0.634,0.656	0.822,0.827,0.86	-0.206
2071	"FBgn0052423"	"shep"	chr3L	-	5166934	5167059	5166967	5167059	5163833	5163975	2071	355,302,265	6,3,8	263,340,314	17,35,34	106	74	1.55999657636e-11	1.33936848913e-09	0.976,0.986,0.959	0.915,0.871,0.866	0.09
2511	"FBgn0261673"	"nemy"	chr2R	-	12664984	12665799	12665699	12665799	12660972	12661196	2511	485,435,357	6,5,3	167,193,154	13,21,7	148	74	2.80721001999e-11	2.30063621184e-09	0.976,0.978,0.983	0.865,0.821,0.917	0.111
2347	"FBgn0027081"	"Aats-thr"	chr2L	+	12103750	12104056	12103750	12103834	12104491	12104552	2347	221,203,203	381,270,247	185,268,219	577,733,606	148	74	5.2422954866e-11	4.10950380971e-09	0.225,0.273,0.291	0.138,0.155,0.153	0.114
