ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
217	"FBgn0000064"	"Ald"	chr3R	-	26256473	26256623	26255965	26256307	26256932	26257132	217	0,0,3	46,77,47	35,34,28	75,60,47	148	74	0.0	0.0	0.0,0.0,0.031	0.189,0.221,0.23	-0.203
2946	"FBgn0051363"	"Jupiter"	chr3R	-	11593321	11593354	11592366	11592624	11593632	11593766	2946	5,14,5	1722,2233,1649	97,116,59	1516,1781,1311	106	74	0.0	0.0	0.002,0.004,0.002	0.043,0.043,0.03	-0.036
3316	"FBgn0033212"	"CG1399"	chr2R	-	7680291	7680312	7679341	7679930	7680924	7680999	3316	0,1,1	181,248,177	24,28,15	186,177,171	94	74	0.0	0.0	0.0,0.003,0.004	0.092,0.111,0.065	-0.087
3499	"FBgn0015218"	"eIF-4E"	chr3L	-	9401039	9401606	9400582	9400953	9402279	9402460	3499	855,962,779	120,177,132	770,898,681	338,323,261	148	74	0.0	0.0	0.781,0.731,0.747	0.533,0.582,0.566	0.193
4316	"FBgn0002183"	"dre4"	chr3L	-	1872353	1872470	1871573	1871917	1872581	1872735	4316	436,619,415	243,347,313	207,244,166	517,514,433	148	74	0.0	0.0	0.473,0.471,0.399	0.167,0.192,0.161	0.274
780	"FBgn0030052"	"CG12065"	chrX	+	8586551	8586608	8585985	8586245	8587257	8587525	780	79,116,80	674,898,748	204,264,166	615,757,547	130	74	0.0	0.0	0.063,0.068,0.057	0.159,0.166,0.147	-0.095
786	"FBgn0000259"	"CkIIbeta"	chrX	+	11795104	11795186	11794818	11795008	11795600	11795887	786	456,660,495	21,20,22	500,534,462	83,103,76	148	74	0.0	0.0	0.916,0.943,0.918	0.751,0.722,0.752	0.184
5194	"FBgn0011361"	"mtacp1"	chr3L	+	1330862	1330949	1330130	1330290	1331041	1331170	5194	416,478,411	748,877,710	637,721,569	524,586,447	148	74	1.11022302463e-16	6.07014438716e-14	0.218,0.214,0.224	0.378,0.381,0.389	-0.164
2082	"FBgn0260462"	"CG12163"	chr3R	-	5243837	5244254	5239491	5239619	5251423	5251745	2082	59,76,69	418,435,365	24,21,19	473,495,400	148	74	1.55431223448e-15	7.0634407414e-13	0.066,0.08,0.086	0.025,0.021,0.023	0.054
3500	"FBgn0015218"	"eIF-4E"	chr3L	-	9401039	9401367	9400582	9400953	9402279	9402460	3500	1044,1219,971	120,177,132	1035,1137,903	338,323,261	148	74	1.7763568394e-15	7.0634407414e-13	0.813,0.775,0.786	0.605,0.638,0.634	0.166
