target_id	length	eff_length	est_counts	tpm
FBtr0302391	2612	2548.08	12	0.210828
FBtr0299728	3946	3786.37	0	0
FBtr0333191	4111	3925.39	0	0
FBtr0077629	1785	1618.69	813.258	22.4918
FBtr0077628	998	811.662	6	0.33093
FBtr0077623	619	436.906	0	0
FBtr0077622	415	235.677	29.2754	5.5609
FBtr0077621	391	216.654	5696.46	1177.06
FBtr0077627	2889	2711.46	992.36	16.3843
FBtr0077626	2998	2812.49	2348.06	37.3748
FBtr0077625	3088	2894.27	277.582	4.29351
FBtr0072052	1410	1216.86	176394	6489.4
FBtr0072051	788	605.801	0	0
FBtr0072050	1249	1066.73	0	0
FBtr0072057	870	664.675	98	6.60051
FBtr0072056	1052	897.334	1	0.0498892
FBtr0072059	1221	984.285	6	0.272892
FBtr0072058	3845	3756.47	1485.46	17.7028
FBtr0088225	1139	945.2	4641.24	219.822
FBtr0088224	1076	888.073	75.7581	3.81893
FBtr0088227	3220	2977.51	1359.33	20.4377
FBtr0088226	724	547.589	1496.72	122.362
FBtr0088221	1200	1014.62	0	0
FBtr0088223	1523	1310.62	1853.01	63.294
FBtr0088222	1138	936.375	107	5.11558
FBtr0088228	1549	1374.84	4322	140.733
FBtr0308321	6762	6637.65	168.404	1.13579
FBtr0308320	3151	2997.05	13.3424	0.199297
FBtr0308323	6713	6576.52	0	0
FBtr0308322	3799	3744.65	41.2114	0.492682
FBtr0308325	7938	7631.65	0	0
FBtr0308324	6806	6679.8	1.46703e-08	9.8319e-11
FBtr0308327	8457	8153.06	85.6582	0.470337
FBtr0308326	6286	5956.55	368.403	2.76878
FBtr0308329	7097	6780.62	1720.96	11.3622
FBtr0308328	8643	8334.96	72.8744	0.39141
FBtr0085138	2050	1849.77	411.648	9.96252
FBtr0085139	1909	1704.13	1649.43	43.3304
FBtr0085132	2635	2430.99	1967.97	36.2407
FBtr0085133	1130	947.729	0	0
FBtr0085130	2897	2656.96	1	0.0168491
FBtr0085131	1556	1391.75	907	29.1746
FBtr0085136	1514	1331.47	1	0.0336225
FBtr0085137	2128	1919.1	686.833	16.0219
FBtr0085135	1054	868.301	1	0.0515573
FBtr0080989	852	669.801	0	0
FBtr0332234	4146	3963.73	0	0
FBtr0333107	9521	9264.26	0	0
FBtr0073015	1296	1108.72	1626	65.6538
FBtr0073016	3020	2844.18	4664	73.4111
FBtr0309054	3821	3638.73	0	0
FBtr0309055	754	586.414	125.506	9.58123
FBtr0309056	4422	4062.47	13.4547	0.148267
FBtr0333100	2497	2347.34	19.819	0.377976
FBtr0333109	9722	9449.88	3765.61	17.839
FBtr0333108	9265	8995.94	99.9023	0.497152
FBtr0303755	710	527.883	0	0
FBtr0303757	5340	5249.17	0	0
FBtr0303756	4522	4347.42	310.241	3.19469
FBtr0303751	3009	2898.7	205.265	3.1701
FBtr0303750	11586	11515.6	118.385	0.460225
FBtr0088736	432	241.271	1	0.185548
FBtr0303759	3841	3564.84	465.883	5.85055
FBtr0303758	1942	1717.08	31.7912	0.828853
FBtr0345678	4114	3815.77	28.5213	0.334617
FBtr0309588	112	15.8868	0	0
FBtr0309583	103	15.141	0	0
FBtr0309580	134	20.2329	0	0
FBtr0309586	111	15.7402	0	0
FBtr0110942	2184	2007.2	182.895	4.07915
FBtr0110941	5141	4831.7	2687.73	24.9027
FBtr0110947	892	719.588	7.95874e-07	4.95132e-08
FBtr0110944	706	527.211	12	1.01896
FBtr0081259	2062	1895.43	600	14.1711
FBtr0081258	1366	1220.62	1730	63.449
FBtr0081253	2305	2097.72	0	0
FBtr0081252	703	520.883	0	0
FBtr0081251	1316	1156.37	2	0.0774274
FBtr0081250	657	476.953	4	0.375444
FBtr0081257	1146	961.189	3.30502	0.153931
FBtr0082052	4958	4744.19	312.134	2.94537
FBtr0081254	4694	4407.34	9100.59	92.4387
FBtr0082053	2836	2601.49	10.942	0.188294
FBtr0345674	4482	4294.86	211.477	2.20432
FBtr0082055	1684	1537.16	37.9066	1.10397
FBtr0074549	920	737.729	0	0
FBtr0082056	2113	1939.16	113.093	2.61087
FBtr0080588	2343	2215.86	1	0.0202031
FBtr0074540	843	644.812	497	34.5052
FBtr0074546	2397	2214.73	0	0
FBtr0074545	5686	5434.32	0	0
FBtr0334600	908	720.711	1	0.0621155
FBtr0333173	2668	2485.73	0	0
FBtr0334609	6583	6531.08	0	0
FBtr0086860	1402	1191.93	11	0.413145
FBtr0305494	2809	2684.22	17.5776	0.293159
FBtr0305495	1465	1305.48	4064.51	139.379
FBtr0305497	2042	1823.98	435.79	10.6959
FBtr0305490	3539	3356.73	0	0
FBtr0305491	3549	3366.73	0	0
FBtr0072952	5184	5078.28	3387.35	29.861
FBtr0305498	2839	2623	48.7077	0.831304
FBtr0305499	6954	6488.84	367.414	2.53484
FBtr0112516	1168	1002.41	575.597	25.7059
FBtr0112514	907	696.306	15	0.964389
FBtr0079629	5311	5068.87	121.857	1.07622
FBtr0112512	1484	1289.03	63.5	2.20532
FBtr0112511	2239	2128.87	56.774	1.19388
FBtr0112510	1761	1486.32	8.52119	0.256655
FBtr0112519	686	503.883	0	0
FBtr0305148	1226	1043.73	0	0
FBtr0305149	3468	3346.46	450.074	6.02086
FBtr0305147	3283	3098.43	116.446	1.68245
FBtr0305145	26263	26574.2	325.853	0.548938
FBtr0305142	48068	47987.8	84.4218	0.0787562
FBtr0305141	47440	47257.7	0	0
FBtr0309872	2605	2447.11	45.6611	0.835323
FBtr0309873	2158	1957.4	57.7511	1.32081
FBtr0309871	1493	1280.99	105.958	3.70296
FBtr0309874	2794	2611.73	0	0
FBtr0309875	1689	1486.03	0	0
FBtr0085961	614	420.36	61472.4	6546.65
FBtr0309878	717	534.883	0	0
FBtr0309879	3569	3416.34	0	0
FBtr0085964	2636	2392.46	3052.15	57.1114
FBtr0085966	1802	1601.54	1	0.0279526
FBtr0300516	3808	3612.27	971.76	12.0431
FBtr0300514	3961	3775.46	624.508	7.40506
FBtr0300515	3853	3654.71	806.503	9.87902
FBtr0300512	3710	3463.64	209.351	2.70585
FBtr0300513	3785	3594.66	416.665	5.18908
FBtr0300510	4228	4227.39	21.6935	0.22973
FBtr0300511	4132	3944.14	918.479	10.425
FBtr0089636	2457	2396.12	465.646	8.69976
FBtr0089631	1839	1686.76	24.4486	0.648876
FBtr0089630	1991	1808.73	0	0
FBtr0089633	1759	1605	95.7706	2.67128
FBtr0300519	4454	4258.24	753.948	7.92634
FBtr0301645	2732	2513.76	2	0.0356177
FBtr0301644	1930	1786.46	70.4881	1.76637
FBtr0301647	2611	2435.38	3.95716	0.0727408
FBtr0083490	1134	952.902	2990.69	140.502
FBtr0301640	1148	965.729	0	0
FBtr0301643	2159	2005.19	614.066	13.7095
FBtr0083498	914	731.729	0	0
FBtr0301649	1878	1695.73	0	0
FBtr0301648	1225	1107.8	298.06	12.0449
FBtr0079883	4136	3810.26	195.855	2.30113
FBtr0079885	2323	2165	1031.75	21.3341
FBtr0079884	1602	1436.28	265.63	8.2794
FBtr0079887	2224	2066.55	707.748	15.3318
FBtr0079886	2250	2089.13	122.452	2.62399
FBtr0079889	2872	2643.29	2551.03	43.2047
FBtr0079888	791	622.454	2083.39	149.839
FBtr0091914	595	420.882	0	0
FBtr0091916	498	316.41	0	0
FBtr0091911	412	221.546	0	0
FBtr0091910	595	420.676	0.287797	0.0306266
FBtr0091913	413	220.906	295.059	59.7945
FBtr0091912	595	420.676	0.287797	0.0306266
FBtr0100187	2024	1817.72	0	0
FBtr0100186	3834	3579.75	2.61064	0.0326479
FBtr0100185	4288	4028.33	0	0
FBtr0100184	4749	4712.43	0	0
FBtr0100183	1753	1584.56	20116.2	568.327
FBtr0100182	974	765.123	4745.81	277.677
FBtr0100188	1161	978.729	0	0
FBtr0076530	618	439.078	109	11.1134
FBtr0084618	750	567.801	0	0
FBtr0084619	3826	3807.91	8.6874	0.102133
FBtr0084611	1152	969.729	0	0
FBtr0084613	946	763.729	0	0
FBtr0084614	1047	864.729	0	0
FBtr0084617	1139	956.729	0	0
FBtr0345502	765	582.801	0	0
FBtr0345503	692	503.858	2	0.177698
FBtr0345500	2242	2092.63	11.5912	0.247969
FBtr0082721	707	536.778	770.895	64.2927
FBtr0082726	2913	2812.56	18.5891	0.295881
FBtr0345507	6975	6774.82	294.633	1.9469
FBtr0345504	1177	1015.16	3130.33	138.043
FBtr0345505	1864	1639.48	1095	29.8999
FBtr0345508	1474	1314.06	13.0058	0.44308
FBtr0345509	2972	2789.73	0	0
FBtr0100459	1649	1452.02	0	0
FBtr0100451	725	550.25	0	0
FBtr0100453	942	767.555	14.8104	0.863808
FBtr0100452	829	640.037	433.639	30.3308
FBtr0100455	2462	2279.73	0	0
FBtr0100454	3868	3685.73	0	0
FBtr0100457	3616	3344.81	1481.56	19.8294
FBtr0100456	1515	1292.12	2.71314	0.0940007
FBtr0075155	1519	1281.22	14.7891	0.516749
FBtr0346086	1082	899.729	0	0
FBtr0346087	16734	16649.2	148	0.39795
FBtr0346085	825	615.836	53.4167	3.88304
FBtr0346082	3668	3553.02	890.182	11.2161
FBtr0346083	1532	1387.23	0	0
FBtr0346088	3339	3276.1	29.9249	0.408918
FBtr0346089	1349	1149.68	3553.76	138.379
FBtr0331336	8450	8072.25	0	0
FBtr0331337	3548	3386.51	2.39712	0.0316882
FBtr0331334	2004	1907.44	0	0
FBtr0331335	3593	3410.73	0	0
FBtr0331332	2404	2360.59	0	0
FBtr0331333	2041	1930.91	0	0
FBtr0331330	4723	4439.67	556.994	5.61644
FBtr0331331	3555	3372.73	0	0
FBtr0070639	896	709.495	3047.48	192.288
FBtr0070638	1450	1313.73	509	17.3449
FBtr0331338	3548	3386.51	2.39712	0.0316882
FBtr0331339	4766	4577.81	8.86495	0.0866921
FBtr0330065	1189	1007.92	711.32	31.5937
FBtr0330064	1506	1308.56	43.9722	1.50433
FBtr0330067	6417	6256.5	38	0.271902
FBtr0330066	6206	6030.66	0	0
FBtr0330061	1554	1356.52	664.39	21.9259
FBtr0330060	882	691.725	791.688	51.2367
FBtr0330063	1491	1292.36	352.178	12.1994
FBtr0330062	1542	1348.97	323.43	10.7334
FBtr0079711	2741	2498.59	147.808	2.64828
FBtr0079710	2774	2566.21	117.553	2.05069
FBtr0079713	361	190.532	2	0.46992
FBtr0079712	1688	1513.34	10.2819	0.304157
FBtr0079715	792	609.801	0	0
FBtr0330068	3575	3443.98	593.595	7.71597
FBtr0079716	767	569.482	2	0.157221
FBtr0307179	1822	1624.72	4.72164	0.130099
FBtr0307178	1473	1341.42	1325.77	44.2447
FBtr0307175	1573	1299.09	197.033	6.78985
FBtr0307174	1972	1767.14	153.177	3.88046
FBtr0307177	1371	1243.24	290.061	10.4447
FBtr0307176	1344	1212.87	884.795	32.6579
FBtr0307171	2350	2167.73	0	0
FBtr0307170	1859	1669.94	442.224	11.855
FBtr0307173	10506	10145.1	517.625	2.28413
FBtr0307172	1145	912.064	1332.26	65.3918
FBtr0343108	2418	2160.84	0	0
FBtr0343109	1870	1647.62	55.6233	1.51133
FBtr0343105	6080	5897.73	0	0
FBtr0343100	2573	2406.31	1016.35	18.9084
FBtr0343101	702	508.955	390	34.3041
FBtr0333177	7849	7521.1	126.348	0.752049
FBtr0289989	2428	2245.73	0	0
FBtr0289988	3908	3770.3	3	0.035621
FBtr0289985	4589	4334.42	92	0.950207
FBtr0289986	1804	1622.37	27.2709	0.752507
FBtr0289981	4846	4585.09	1125.81	10.992
FBtr0289983	1656	1473.73	0	0
FBtr0289982	13807	13521.1	4	0.0132437
FBtr0076772	5047	4857.09	729.402	6.72283
FBtr0076773	3311	3069.11	0	0
FBtr0076770	1340	1186	897	33.8585
FBtr0076771	3673	3495.16	875.209	11.21
FBtr0076776	5065	4985.19	1204.83	10.8194
FBtr0076777	5107	5033.68	105.563	0.938828
FBtr0076774	4685	4429.55	0	0
FBtr0076775	2828	2674.99	1060.88	17.7544
FBtr0340453	3536	3356.82	77.7277	1.03659
FBtr0340452	3109	2941.81	319.134	4.85645
FBtr0340451	3154	2998.43	0	0
FBtr0340450	4417	4158.69	6146.26	66.163
FBtr0340457	2191	1981.79	494.81	11.1774
FBtr0340456	4228	4038.25	810.471	8.98474
FBtr0340455	5041	4843.03	67.0707	0.619979
FBtr0340454	4330	4135.88	87.4063	0.946097
FBtr0071276	2236	2125.34	42.3709	0.892482
FBtr0071277	2282	2172.7	241.799	4.98212
FBtr0340459	2707	2533.73	75.6721	1.33702
FBtr0071275	2295	2176.15	2000.61	41.1562
FBtr0071272	2027	1885.15	267.575	6.35421
FBtr0071273	2283	2169.73	272.774	5.62803
FBtr0071270	2462	2351.42	0.477355	0.00908807
FBtr0071271	2353	2228.96	78.9622	1.58591
FBtr0333174	1529	1346.73	0	0
FBtr0337048	3074	2789.38	0	0
FBtr0337049	5525	5378.61	34.4509	0.286742
FBtr0337046	1876	1675.99	80.2527	2.14363
FBtr0337047	1471	1288.73	0	0
FBtr0337044	1716	1544.13	1525	44.2128
FBtr0337045	3080	2890.02	1.606	0.0248774
FBtr0337042	1855	1688.13	0	0
FBtr0337043	3789	3522.34	480.624	6.10851
FBtr0337040	881	698.801	0	0
FBtr0337041	357	179.569	585.24	145.903
FBtr0343812	2787	2513.4	39.1931	0.698087
FBtr0343810	1469	1242.48	7	0.252214
FBtr0343817	6913	6766.76	16.4774	0.109011
FBtr0343814	4402	4254.35	4323	45.4896
FBtr0343819	425	244.724	0	0
FBtr0300259	4030	3841.5	0	0
FBtr0300255	2521	2378.31	61.2126	1.15221
FBtr0300254	2317	2186.84	144.92	2.96669
FBtr0300257	713	561.73	45.674	3.64001
FBtr0300256	4596	4422.85	1437.36	14.5487
FBtr0075310	810	624.977	241.497	17.2985
FBtr0075313	3691	3548.44	1469.48	18.539
FBtr0070140	3208	3039.24	650.449	9.58096
FBtr0331228	2075	1918.45	0	0
FBtr0075314	465	283.064	487	77.0202
FBtr0070145	1802	1617.02	10	0.27685
FBtr0075319	460	278.973	0	0
FBtr0075318	8461	8333.59	716.847	3.85084
FBtr0331226	4546	4430.89	0	0
FBtr0073658	2509	2413.71	1336	24.779
FBtr0070148	1100	969.631	35172	1623.87
FBtr0073652	2304	2111.75	8	0.169593
FBtr0073653	818	621.859	4.85763e-06	3.49698e-07
FBtr0073650	1326	1135.96	9	0.354684
FBtr0073651	2625	2442.73	0	0
FBtr0073656	1544	1361.73	0	0
FBtr0073657	1526	1323.43	651.293	22.0311
FBtr0073655	2123	1901.81	119	2.80118
FBtr0333745	6913	6766.16	5.15621e-06	3.41153e-08
FBtr0333744	5823	5561.1	0	0
FBtr0333746	673	469.025	0	0
FBtr0333740	1252	1069.73	0	0
FBtr0333743	9304	9188.73	0	0
FBtr0333742	6550	6439.95	1474.33	10.2488
FBtr0333749	3757	3608.5	8.60857	0.106799
FBtr0333748	2395	2170.79	1938.89	39.985
FBtr0336715	6268	6255.91	0	0
FBtr0336714	10187	10004.7	0	0
FBtr0336717	10892	10709.7	0	0
FBtr0336716	6964	7007.64	0	0
FBtr0336711	5439	5370.08	122.919	1.02471
FBtr0336710	2089	1906.73	0	0
FBtr0336713	7864	7918.43	0	0
FBtr0330172	1308	1200.98	3	0.111826
FBtr0336719	10519	10336.7	0	0
FBtr0076662	3251	3162.3	8	0.113252
FBtr0330170	2247	2172.52	13.7307	0.282936
