ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	S1.Rep1	S1.Rep2	S1.Rep3	S2.Rep1	S2.Rep2	S2.Rep3	eventID	s1reads	s2reads	readcountpass
10621	FBgn0013576	mtd	chr3R	-	5291989	5292079	5274965	5275087	5292639	5292841	10621	0,0,2	273,268,177	34,18,21	202,170,171	148	74	0.0	0.0	0.0,0.0,0.006	0.078,0.05,0.058	-0.06	0.0	0.0	0.006	0.078	0.05	0.058	chr3R:-:5274965-5275087:5291989-5292079:5292639-5292841	273,268,179	236,188,192	pass
11198	FBgn0033844	bbc	chr2R	-	13488916	13489048	13487969	13488132	13491434	13491593	11198	44,42,48	144,148,82	182,158,191	77,55,89	148	74	0.0	0.0	0.133,0.124,0.226	0.542,0.59,0.518	-0.389	0.133	0.124	0.226	0.542	0.59	0.518	chr2R:-:13487969-13488132:13488916-13489048:13491434-13491593	188,190,130	259,213,280	pass
1125	FBgn0035438	PHGPx	chr3L	+	3326586	3326712	3326264	3326367	3327859	3328183	1125	492,621,510	588,870,639	519,405,475	1543,1093,1562	148	74	0.0	0.0	0.295,0.263,0.285	0.144,0.156,0.132	0.137	0.295	0.263	0.285	0.144	0.156	0.132	chr3L:+:3326264-3326367:3326586-3326712:3327859-3328183	1080,1491,1149	2062,1498,2037	pass
1135	FBgn0035438	PHGPx	chr3L	+	3326522	3326712	3326264	3326367	3327859	3328183	1135	495,632,514	588,870,639	552,430,506	1543,1093,1562	148	74	0.0	0.0	0.296,0.266,0.287	0.152,0.164,0.139	0.131	0.296	0.266	0.287	0.152	0.164	0.139	chr3L:+:3326264-3326367:3326522-3326712:3327859-3328183	1083,1502,1153	2095,1523,2068	pass
11392	FBgn0033699	RpS11	chr2R	-	12200193	12200241	12199833	12200039	12200774	12200815	11392	355,557,373	1,0,1	591,440,582	53,35,57	121	74	0.0	0.0	0.995,1.0,0.996	0.872,0.885,0.862	0.124	0.995	1.0	0.996	0.872	0.885	0.862	chr2R:-:12199833-12200039:12200193-12200241:12200774-12200815	356,557,374	644,475,639	pass
1141	FBgn0035438	PHGPx	chr3L	+	3326464	3326712	3326264	3326367	3327859	3328183	1141	489,618,507	588,870,639	516,404,473	1543,1093,1562	148	74	0.0	0.0	0.294,0.262,0.284	0.143,0.156,0.131	0.137	0.294	0.262	0.284	0.143	0.156	0.131	chr3L:+:3326264-3326367:3326464-3326712:3327859-3328183	1077,1488,1146	2059,1497,2035	pass
12250	FBgn0259984	kuz	chr2L	+	13558799	13558832	13551472	13551666	13609790	13609987	12250	409,523,381	1,3,1	349,321,438	19,20,30	106	74	0.0	0.0	0.997,0.992,0.996	0.928,0.918,0.911	0.076	0.997	0.992	0.996	0.928	0.918	0.911	chr2L:+:13551472-13551666:13558799-13558832:13609790-13609987	410,526,382	368,341,468	pass
12461	FBgn0002183	dre4	chr3L	-	1872353	1872525	1871573	1871917	1872581	1872735	12461	255,345,230	243,347,313	171,143,187	512,340,528	148	74	0.0	0.0	0.344,0.332,0.269	0.143,0.174,0.15	0.159	0.344	0.332	0.269	0.143	0.174	0.15	chr3L:-:1871573-1871917:1872353-1872525:1872581-1872735	498,692,543	683,483,715	pass
12707	FBgn0037728	CG16817	chr3R	+	9678578	9678648	9677926	9678086	9678719	9678976	12707	888,1175,976	2,1,1	1205,1021,1362	50,31,32	143	74	0.0	0.0	0.996,0.998,0.998	0.926,0.945,0.957	0.055	0.996	0.998	0.998	0.926	0.945	0.957	chr3R:+:9677926-9678086:9678578-9678648:9678719-9678976	890,1176,977	1255,1052,1394	pass
13456	FBgn0083124	Uhg4	chr2R	+	9095399	9095629	9095272	9095339	9095897	9095958	13456	143,229,195	0,0,2	234,193,230	35,20,36	148	74	0.0	0.0	1.0,1.0,0.98	0.77,0.828,0.762	0.207	1.0	1.0	0.98	0.77	0.828	0.762	chr2R:+:9095272-9095339:9095399-9095629:9095897-9095958	143,229,197	269,213,266	pass
