ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1378	"FBgn0010551"	"Phb2"	chr2R	+	18821183	18821839	18821183	18821283	18821489	18821839	1378	1734,1315,1839	96,97,97	1979,1411,1846	34,19,44	148	74	0.0	0.0	0.9,0.871,0.905	0.967,0.974,0.954	-0.073
1416	"FBgn0027932"	"Akap200"	chr2L	+	8427614	8429462	8427614	8428067	8428319	8429462	1416	294,271,292	536,518,554	651,530,674	477,382,562	148	74	0.0	0.0	0.215,0.207,0.209	0.406,0.41,0.375	-0.187
1482	"FBgn0003074"	"Pgi"	chr2R	-	8913432	8914069	8913432	8913570	8913709	8914069	1482	346,306,304	36,26,29	416,349,417	14,4,2	148	74	4.4408920985e-14	1.56763491077e-11	0.828,0.855,0.84	0.937,0.978,0.99	-0.127
860	"FBgn0015521"	"RpS21"	chr2L	+	2856376	2856705	2856376	2856568	2856630	2856705	860	5128,4462,5984	273,224,277	6457,4684,5845	179,123,156	135	74	1.16768716918e-09	3.0914517804e-07	0.911,0.916,0.922	0.952,0.954,0.954	-0.037
756	"FBgn0030183"	"CG15309"	chrX	-	10206592	10208294	10206592	10207675	10207977	10208294	756	7,14,8	12,18,18	0,2,1	19,14,32	148	74	4.63377991533e-09	9.81434586067e-07	0.226,0.28,0.182	0.0,0.067,0.015	0.202
1154	"FBgn0031228"	"CG11455"	chr2L	+	155334	155784	155334	155429	155637	155784	1154	686,574,760	29,26,38	785,546,804	10,3,18	148	74	2.31880731283e-08	4.09269490714e-06	0.922,0.917,0.909	0.975,0.989,0.957	-0.058
43	"FBgn0039302"	"Nup358"	chr3R	+	25256354	25257057	25256354	25256855	25256924	25257057	43	616,548,530	34,26,39	668,493,745	13,9,17	142	74	8.51244338351e-08	1.28781107759e-05	0.904,0.917,0.876	0.964,0.966,0.958	-0.064
1306	"FBgn0011290"	"Taf12"	chr3R	-	11678943	11679398	11678943	11679184	11679353	11679398	1306	355,306,370	60,57,66	334,224,327	106,72,118	148	74	1.5919710501e-06	0.000168589734206	0.747,0.729,0.737	0.612,0.609,0.581	0.137
1452	"FBgn0035165"	"CG13887"	chr3L	+	837860	838624	837860	837945	838048	838624	1452	612,565,654	339,270,376	604,397,604	498,373,497	148	74	1.47165517594e-06	0.000168589734206	0.474,0.511,0.465	0.378,0.347,0.378	0.116
713	"FBgn0003638"	"su(w[a])"	chrX	+	1042259	1043421	1042259	1042432	1042802	1043421	713	37,19,12	6,4,6	19,27,38	0,1,1	148	74	1.31370002998e-06	0.000168589734206	0.755,0.704,0.5	1.0,0.931,0.95	-0.307
