ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1135	"FBgn0034138"	"RpS15"	chr2R	-	16570916	16571230	16570916	16571005	16571188	16571230	1135	1413,1374,1319	4378,7663,5590	347,300,336	2918,4447,5472	257	74	0.0	0.0	0.085,0.049,0.064	0.033,0.019,0.017	0.043
1157	"FBgn0004403"	"RpS14a"	chrX	+	7933741	7934270	7933741	7933774	7934008	7934270	1157	233,337,217	373,920,630	94,108,149	700,1051,1187	308	74	0.0	0.0	0.13,0.081,0.076	0.031,0.024,0.029	0.068
1210	"FBgn0261608"	"RpL37A"	chr2L	+	5070999	5071157	5070999	5071030	5071102	5071157	1210	477,930,634	165,269,150	279,420,491	1567,1950,1632	146	74	0.0	0.0	0.594,0.637,0.682	0.083,0.098,0.132	0.533
1273	"FBgn0043458"	"CG12084"	chr3L	-	1491983	1492463	1491983	1492229	1492313	1492463	1273	107,132,75	109,121,83	178,255,243	35,67,55	158	74	0.0	0.0	0.315,0.338,0.297	0.704,0.641,0.674	-0.356
1323	"FBgn0025638"	"Roc1a"	chrX	+	647303	647637	647303	647525	647609	647637	1323	46,62,51	694,892,703	126,152,141	493,569,668	158	74	0.0	0.0	0.03,0.032,0.033	0.107,0.111,0.09	-0.071
1375	"FBgn0011272"	"RpL13"	chr2L	+	9967329	9967877	9967329	9967358	9967616	9967877	1375	977,2734,2080	262,815,467	797,1441,1642	1378,2103,2705	332	74	0.0	0.0	0.454,0.428,0.498	0.114,0.132,0.119	0.338
145	"FBgn0031220"	"CG4822"	chr2L	-	119133	119375	119133	119235	119287	119375	145	144,199,117	1038,1453,1172	129,178,195	381,461,607	126	74	0.0	0.0	0.075,0.074,0.055	0.166,0.185,0.159	-0.102
203	"FBgn0015790"	"Rab11"	chr3R	+	21111407	21111855	21111407	21111466	21111654	21111855	203	462,629,489	192,393,249	341,414,449	552,605,665	262	74	0.0	0.0	0.405,0.311,0.357	0.149,0.162,0.16	0.201
221	"FBgn0020660"	"eIF-4B"	chr3L	-	27856365	27857935	27856365	27856707	27856783	27857935	221	21,26,16	26,47,40	6,6,6	183,263,238	150	74	0.0	0.0	0.285,0.214,0.165	0.016,0.011,0.012	0.208
273	"FBgn0058191"	"CG40191"	chr2R	+	1265342	1266349	1265342	1266052	1266191	1266349	273	357,500,463	77,79,76	435,424,431	17,10,6	213	74	0.0	0.0	0.617,0.687,0.679	0.899,0.936,0.961	-0.271
397	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267918	27267255	27267283	27267591	27267918	397	1441,2367,1720	91,142,92	2688,3511,3317	478,767,693	382	74	0.0	0.0	0.754,0.764,0.784	0.521,0.47,0.481	0.277
405	"FBgn0033886"	"Rpn13"	chr2R	-	13958544	13959398	13958544	13959099	13959204	13959398	405	335,428,361	379,466,383	279,301,397	114,131,189	179	74	0.0	0.0	0.268,0.275,0.28	0.503,0.487,0.465	-0.211
