ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1377	"FBgn0010551"	"Phb2"	chr2R	+	18821183	18821839	18821183	18821283	18821489	18821839	1377	1480,2132,1534	6,5,17	1706,1841,1536	55,67,63	148	74	0.0	0.0	0.992,0.995,0.978	0.939,0.932,0.924	0.057
561	"FBgn0250753"	"kra"	chr3R	-	5600037	5600571	5600037	5600308	5600487	5600571	561	518,660,446	3,7,9	513,613,507	37,72,42	148	74	0.0	0.0	0.989,0.979,0.961	0.874,0.81,0.858	0.129
869	"FBgn0037262"	"MED31"	chr3R	+	4641962	4642428	4641962	4642008	4642283	4642428	869	184,296,231	23,34,31	183,219,170	88,103,84	148	74	0.0	0.0	0.8,0.813,0.788	0.51,0.515,0.503	0.291
1135	"FBgn0034138"	"RpS15"	chr2R	-	16570916	16571230	16570916	16571005	16571188	16571230	1135	1397,1354,1296	4378,7663,5590	1092,1227,912	8468,9283,7565	148	74	7.07767178199e-13	1.86142767866e-10	0.138,0.081,0.104	0.061,0.062,0.057	0.048
273	"FBgn0058191"	"CG40191"	chr2R	+	1265342	1266349	1265342	1266052	1266191	1266349	273	240,392,325	77,79,76	433,515,474	52,48,29	148	74	6.51781961736e-11	1.37134924749e-08	0.609,0.713,0.681	0.806,0.843,0.891	-0.179
746	"FBgn0037074"	"CG7324"	chr3L	-	21338869	21339555	21338869	21339220	21339325	21339555	746	378,443,342	86,82,87	479,582,432	40,57,46	148	74	9.66766222632e-10	1.69506344368e-07	0.687,0.73,0.663	0.857,0.836,0.824	-0.146
203	"FBgn0015790"	"Rab11"	chr3R	+	21111407	21111855	21111407	21111466	21111654	21111855	203	234,332,275	192,393,249	334,348,277	566,650,488	148	74	1.56170484322e-08	2.34701927867e-06	0.379,0.297,0.356	0.228,0.211,0.221	0.124
1157	"FBgn0004403"	"RpS14a"	chrX	+	7933741	7934270	7933741	7933774	7934008	7934270	1157	188,272,181	373,920,630	244,229,195	1116,1339,1009	148	74	6.34725920712e-08	8.34664585736e-06	0.201,0.129,0.126	0.099,0.079,0.088	0.063
48	"FBgn0261385"	"scra"	chr2R	+	7590945	7591873	7590945	7591425	7591506	7591873	48	221,304,214	81,97,77	284,330,284	49,56,49	148	74	3.61685181138e-07	4.22769789508e-05	0.577,0.61,0.582	0.743,0.747,0.743	-0.155
1400	"FBgn0020306"	"dom"	chr2R	+	21340683	21341847	21340683	21341076	21341419	21341847	1400	225,271,240	35,31,22	250,278,233	6,17,8	148	74	4.51029973147e-07	4.74483531751e-05	0.763,0.814,0.845	0.954,0.891,0.936	-0.12
1338	"FBgn0037313"	"CG1161"	chr3R	+	5356002	5356748	5356002	5356128	5356424	5356748	1338	145,255,213	674,703,618	265,287,240	495,577,500	148	74	1.0115579594e-06	9.67417248444e-05	0.097,0.154,0.147	0.211,0.199,0.194	-0.069
1064	"FBgn0003607"	"Su(var)205"	chr2L	-	8210729	8211122	8210729	8210861	8210978	8211122	1064	252,332,278	345,638,508	294,293,264	811,834,720	148	74	1.19316257019e-06	0.00010460058532	0.268,0.206,0.215	0.153,0.149,0.155	0.077
