target_id	length	eff_length	est_counts	tpm
FBtr0302391	2612	2665.07	0	0
FBtr0299728	3946	3872.25	5.53312	0.0720929
FBtr0333191	4111	3921.57	0	0
FBtr0077629	1785	1693.99	638.461	19.0155
FBtr0077628	998	816.192	5	0.309074
FBtr0077623	619	429.652	0	0
FBtr0077622	415	225.008	7.95326	1.78333
FBtr0077621	391	206.99	2404.4	586.06
FBtr0077627	2889	2627.46	610.239	11.7179
FBtr0077626	2998	2731.33	2130	39.3451
FBtr0077625	3088	2822.53	453.765	8.11108
FBtr0072052	1410	1267.93	161402	6422.4
FBtr0072051	788	598.571	0	0
FBtr0072050	1249	1059.57	0	0
FBtr0072057	870	606.013	66	5.49474
FBtr0072056	1052	862.571	0	0
FBtr0072059	1221	1023.56	4	0.197165
FBtr0072058	3845	3782.83	1127.58	15.0389
FBtr0088225	1139	1005.27	4325.14	217.071
FBtr0088224	1076	943.281	38.8622	2.0786
FBtr0088227	3220	2957.74	1356.9	23.1459
FBtr0088226	724	500.309	820.981	82.7905
FBtr0088221	1200	976.412	0	0
FBtr0088223	1523	1231.54	1570.08	64.322
FBtr0088222	1138	965.587	117	6.11336
FBtr0088228	1549	1471.85	4105	140.714
FBtr0308321	6762	6952.93	97.2685	0.705814
FBtr0308320	3151	3212.99	8.07749	0.126839
FBtr0308323	6713	6833.99	0	0
FBtr0308322	3799	3977.88	26.8882	0.341032
FBtr0308325	7938	7485.16	29.3782	0.19802
FBtr0308324	6806	6985.23	0.000943355	6.81365e-06
FBtr0308327	8457	8021.35	167.569	1.05398
FBtr0308326	6286	5725.65	447.095	3.93967
FBtr0308329	7097	6576.53	2113.07	16.2107
FBtr0308328	8643	8222.71	15.6477	0.0960112
FBtr0085138	2050	1796.82	1812.98	50.9066
FBtr0085139	1909	1652.46	1861.52	56.836
FBtr0085132	2635	2463.49	1785	36.5571
FBtr0085133	1130	1036.97	1	0.0486539
FBtr0085130	2897	2750.42	5	0.0917182
FBtr0085131	1556	1415.49	1009	35.9641
FBtr0085136	1514	1464.96	2	0.0688792
FBtr0085137	2128	1869.38	944.602	25.494
FBtr0085135	1054	921.758	3	0.164206
FBtr0080989	852	662.571	0	0
FBtr0332234	4146	3956.57	0	0
FBtr0333107	9521	9691.9	1.84276e-07	9.59281e-10
FBtr0073015	1296	1136.9	1140	50.5903
FBtr0073016	3020	2877.98	4006	70.2276
FBtr0309054	3821	3631.57	0	0
FBtr0309055	754	517.864	55.6246	5.41923
FBtr0309056	4422	4118.01	15	0.183776
FBtr0333100	2497	2107.3	40.3304	0.965588
FBtr0333109	9722	9879.93	3453.28	17.6345
FBtr0333108	9265	9376.12	56.3027	0.302964
FBtr0303755	710	520.59	0	0
FBtr0303757	5340	5150.57	0	0
FBtr0303756	4522	4400.64	412.079	4.72444
FBtr0303751	3009	2969.61	277.444	4.71369
FBtr0303750	11586	11775.2	204.562	0.87648
FBtr0088736	432	217.077	1	0.232419
FBtr0303759	3841	3548.32	292.147	4.15398
FBtr0303758	1942	1702.89	45.5113	1.3484
FBtr0345678	4114	3569.6	14.9062	0.210685
FBtr0309588	112	16.6665	0	0
FBtr0309583	103	16.3532	0	0
FBtr0309580	134	20.0559	0	0
FBtr0309586	111	16.5823	0	0
FBtr0110942	2184	2090.93	85.5768	2.06491
FBtr0110941	5141	4821.1	2671.64	27.9587
FBtr0110947	892	732.727	3.5839e-05	2.46774e-06
FBtr0110944	706	514.961	12	1.17569
FBtr0081259	2062	2002.37	458	11.54
FBtr0081258	1366	1309.96	1409	54.2673
FBtr0081253	2305	2125.16	0	0
FBtr0081252	703	498.098	2	0.202582
FBtr0081251	1316	1257.24	3	0.120389
FBtr0081250	657	471.34	4	0.428165
FBtr0081257	1146	945.587	0	0
FBtr0082052	4958	4839.54	475.61	4.9583
FBtr0081254	4694	4596.31	6824.47	74.911
FBtr0082053	2836	2612.2	0	0
FBtr0345674	4482	4242.92	378.159	4.49672
FBtr0082055	1684	1555.01	18.7134	0.607161
FBtr0074549	920	730.571	0	0
FBtr0082056	2113	1932.82	123.287	3.21817
FBtr0080588	2343	2153.57	0	0
FBtr0074540	843	674.172	218	16.3144
FBtr0074546	2397	2207.57	0	0
FBtr0074545	5686	4758.76	1.65255e-08	1.75205e-10
FBtr0334600	908	718.571	0	0
FBtr0333173	2668	2374.01	1	0.0212521
FBtr0334609	6583	6932.15	0	0
FBtr0086860	1402	1221.33	10	0.413096
FBtr0305494	2809	2891.38	10.0156	0.174766
FBtr0305495	1465	1387.69	2973.52	108.109
FBtr0305497	2042	1695.13	288.717	8.59319
FBtr0305490	3539	3349.57	0	0
FBtr0305491	3549	3359.57	0	0
FBtr0072952	5184	5438.99	1092.41	10.1334
FBtr0305498	2839	2530.24	0	0
FBtr0305499	6954	5678.29	310.379	2.75779
FBtr0112516	1168	1051.81	356.27	17.0895
FBtr0112514	907	690.779	8	0.584301
FBtr0079629	5311	5245.46	310.979	2.99111
FBtr0112512	1484	1287.98	56.5	2.21322
FBtr0112511	2239	2147.28	50.0913	1.17695
FBtr0112510	1761	1435.96	21.1702	0.743821
FBtr0112519	686	496.59	0	0
FBtr0305148	1226	1036.57	0	0
FBtr0305149	3468	3211.41	463.273	7.27824
FBtr0305147	3283	2846.74	103.965	1.84257
FBtr0305145	26263	28823.2	272.572	0.477117
FBtr0305142	48068	49747.1	165.846	0.168198
FBtr0305141	47440	49087.3	0	0
FBtr0309872	2605	2515.57	154.994	3.10859
FBtr0309873	2158	1935.66	25.9555	0.676525
FBtr0309871	1493	1267.92	180.568	7.18516
FBtr0309874	2794	2604.57	0	0
FBtr0309875	1689	1499.57	0	0
FBtr0085961	614	418.22	82756.7	9983.52
FBtr0309878	717	527.59	0	0
FBtr0309879	3569	3715.92	0	0
FBtr0085964	2636	2352.82	2476.21	53.0987
FBtr0085966	1802	1612.57	0	0
FBtr0300516	3808	3549.18	642.058	9.12707
FBtr0300514	3961	3695.12	268.751	3.6695
FBtr0300515	3853	3582.51	800.201	11.2693
FBtr0300512	3710	3222.58	94.9324	1.48627
FBtr0300513	3785	3532.66	500.096	7.14228
FBtr0300510	4228	4286.74	4.54677	0.0535133
FBtr0300511	4132	3772.54	895.45	11.9755
FBtr0089636	2457	2374.54	543.613	11.5504
FBtr0089631	1839	1670.2	57.5305	1.73786
FBtr0089630	1991	1801.57	0	0
FBtr0089633	1759	1599.18	32.1733	1.01504
FBtr0300519	4454	4187.34	900.828	10.854
FBtr0301645	2732	2542.57	0	0
FBtr0301644	1930	1913.78	20.3477	0.536423
FBtr0301647	2611	2421.57	0	0
FBtr0083490	1134	975.389	1775.26	91.8268
FBtr0301640	1148	958.571	0	0
FBtr0301643	2159	2112.53	299.877	7.16186
FBtr0083498	914	724.571	0	0
FBtr0301649	1878	1688.57	0	0
FBtr0301648	1225	1160.82	0	0
FBtr0079883	4136	3833.98	185.425	2.44008
FBtr0079885	2323	2177.75	613.996	14.2247
FBtr0079884	1602	1450.78	274.077	9.53141
FBtr0079887	2224	2091.91	291.925	7.04066
FBtr0079886	2250	2111.09	418.816	10.0092
FBtr0079889	2872	2645.58	2973	56.6968
FBtr0079888	791	657.973	2803.47	214.968
FBtr0091914	595	409.022	0.00418879	0.000516687
FBtr0091916	498	309.86	0	0
