ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1249	"FBgn0034946"	"CG3065"	chr2R	+	23970304	23972233	23970304	23970685	23970755	23972233	1249	211,185,209	52,43,43	330,382,288	12,11,18	144	74	0.0	0.0	0.676,0.689,0.714	0.934,0.947,0.892	-0.231
1283	"FBgn0261564"	"CG42678"	chr2R	+	22925106	22925612	22925106	22925484	22925548	22925612	1283	51,43,57	109,84,63	132,168,165	21,32,27	138	74	0.0	0.0	0.201,0.215,0.327	0.771,0.738,0.766	-0.511
1415	"FBgn0027932"	"Akap200"	chr2L	+	8427614	8429462	8427614	8428067	8428319	8429462	1415	558,547,571	536,518,554	1265,1433,1282	468,529,436	326	74	0.0	0.0	0.191,0.193,0.19	0.38,0.381,0.4	-0.196
1451	"FBgn0035165"	"CG13887"	chr3L	+	837860	838624	837860	837945	838048	838624	1451	749,693,789	339,270,376	365,441,360	517,544,470	177	74	0.0	0.0	0.48,0.518,0.467	0.228,0.253,0.243	0.247
1527	"FBgn0035232"	"CG12099"	chr3L	-	1557788	1558484	1557788	1558214	1558322	1558484	1527	617,500,486	22,33,19	527,637,490	2,0,1	182	74	0.0	0.0	0.919,0.86,0.912	0.991,1.0,0.995	-0.098
224	"FBgn0032000"	"CG8372"	chr2L	-	8212038	8212902	8212038	8212692	8212766	8212902	224	69,56,69	90,57,101	145,160,122	42,41,39	148	74	0.0	0.0	0.277,0.329,0.255	0.633,0.661,0.61	-0.348
399	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267918	27267255	27267455	27267513	27267918	399	587,421,504	78,59,74	239,297,251	142,145,113	132	74	0.0	0.0	0.808,0.8,0.792	0.485,0.535,0.555	0.275
513	"FBgn0024807"	"DIP1"	chrX	-	21628360	21630148	21628360	21628754	21629973	21630148	513	805,707,605	69,47,49	901,1093,959	8,10,14	1293	74	0.0	0.0	0.4,0.463,0.414	0.866,0.862,0.797	-0.416
552	"FBgn0026573"	"ADD1"	chr2R	+	11971724	11973040	11971724	11972148	11972586	11973040	552	202,185,141	45,56,41	329,301,309	8,4,10	512	74	0.0	0.0	0.393,0.323,0.332	0.856,0.916,0.817	-0.514
908	"FBgn0047135"	"CG32276"	chr3L	-	3198751	3199047	3198751	3198866	3198992	3199047	908	2089,1743,2024	420,296,455	1191,1253,1025	533,550,439	200	74	0.0	0.0	0.648,0.685,0.622	0.453,0.457,0.463	0.194
543	"FBgn0015324"	"Vha26"	chr3R	+	5591762	5592038	5591762	5591830	5591928	5592038	543	268,290,207	717,551,467	146,170,142	760,933,732	172	74	6.66133814775e-16	6.47360952722e-14	0.139,0.185,0.16	0.076,0.073,0.077	0.086
285	"FBgn0085638"	"CG41378"	chr2R	-	2830707	2831043	2830707	2830781	2830865	2831043	285	118,119,129	39,32,42	243,245,162	17,14,11	158	74	1.66533453694e-15	1.48353551666e-13	0.586,0.635,0.59	0.87,0.891,0.873	-0.274
279	"FBgn0259740"	"CG42394"	chr3R	+	10851284	10851788	10851284	10851488	10851548	10851788	279	550,433,574	72,49,68	384,479,327	121,137,130	134	74	1.88737914186e-15	1.55200638665e-13	0.808,0.83,0.823	0.637,0.659,0.581	0.195
43	"FBgn0039302"	"Nup358"	chr3R	+	25256354	25257057	25256354	25256855	25256924	25257057	43	616,548,530	34,26,39	613,703,615	4,10,5	143	74	3.21964677141e-15	2.45843028474e-13	0.904,0.916,0.876	0.988,0.973,0.985	-0.083
1296	"FBgn0004179"	"Csp"	chr3L	+	22271557	22273745	22271557	22271762	22272368	22273745	1296	336,330,345	347,385,324	683,715,640	314,363,291	680	74	4.10782519111e-15	2.9275100862e-13	0.095,0.085,0.104	0.191,0.177,0.193	-0.092
787	"FBgn0260742"	"CG12213"	chr3R	-	11965544	11966739	11965544	11966286	11966454	11966739	787	140,125,140	90,76,118	60,74,60	146,114,142	242	74	9.7699626167e-15	6.52755627328e-13	0.322,0.335,0.266	0.112,0.166,0.114	0.177
469	"FBgn0039266"	"CG11791"	chr3R	+	25050242	25051556	25050242	25050617	25051180	25051556	469	603,413,600	436,381,404	793,920,761	297,323,267	637	74	1.50990331349e-14	9.49462730659e-13	0.138,0.112,0.147	0.237,0.249,0.249	-0.113
583	"FBgn0050392"	"CG30392"	chr2R	-	21290913	21291581	21290913	21290970	21291031	21291581	583	220,202,265	57,46,50	211,248,195	16,11,12	135	74	2.12718731518e-12	1.26331291107e-10	0.679,0.706,0.744	0.878,0.925,0.899	-0.191
192	"FBgn0016975"	"stnB"	chrX	-	22990167	22991790	22990167	22990774	22990837	22991790	192	188,172,147	53,59,53	322,382,344	35,47,37	137	74	6.04882810507e-12	3.40326170754e-10	0.657,0.612,0.6	0.832,0.814,0.834	-0.204
832	"FBgn0033387"	"CG8008"	chr2R	-	9160621	9160950	9160621	9160772	9160840	9160950	832	134,117,86	79,64,56	48,49,48	79,81,91	142	74	7.67719221528e-12	4.10345923907e-10	0.469,0.488,0.445	0.24,0.24,0.216	0.235
9	"FBgn0033429"	"CG12929"	chr2R	-	9586109	9586595	9586109	9586231	9586289	9586595	9	24,16,23	66,56,81	36,50,41	31,43,29	132	74	1.7432832955e-11	8.874142109e-10	0.169,0.138,0.137	0.394,0.395,0.442	-0.262
1365	"FBgn0001222"	"Hsf"	chr2R	-	18131281	18131734	18131281	18131387	18131459	18131734	1365	175,165,161	132,115,129	96,98,91	160,184,139	146	74	2.85057755178e-10	1.38512154675e-08	0.402,0.421,0.387	0.233,0.213,0.249	0.172
1416	"FBgn0029524"	"CG3176"	chrX	+	482117	482768	482117	482433	482517	482768	1416	25,20,26	12,13,12	8,8,5	28,29,17	158	74	3.13985504263e-10	1.45935001764e-08	0.494,0.419,0.504	0.118,0.114,0.121	0.355
907	"FBgn0264865"	"CR44056"	chr2L	-	21106804	21107306	21106804	21106995	21107060	21107306	907	3,0,0	4,1,1	1,2,4	0,0,0	139	74	7.79178943588e-10	3.4705928779e-08	0.285,0.0,0.0	1.0,1.0,1.0	-0.905
1166	"FBgn0260486"	"Ziz"	chr2L	-	7472512	7473889	7472512	7473199	7473656	7473889	1166	780,706,845	2,3,5	624,579,515	18,19,9	531	74	9.78303771326e-10	4.02233358287e-08	0.982,0.97,0.959	0.829,0.809,0.889	0.128
