ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	eventID
1107	FBgn0015513	mbc	chr3R	+	23796384	23796498	23795065	23795240	23797098	23799497	1107	36	45	315	27	189	75	0.0	0.0	0.241	0.822	-0.581	chr3R:+:23795065-23795240:23796384-23796498:23797098-23799497
1126	FBgn0026199	myo	chr4	-	692424	692843	690685	692359	693380	694416	1126	3111	27	1058	86	494	75	0.0	0.0	0.946	0.651	0.295	chr4:-:690685-692359:692424-692843:693380-694416
1135	FBgn0035397	CG11486	chr3L	+	3084807	3084900	3083732	3083809	3085203	3085800	1135	19	152	93	61	168	75	0.0	0.0	0.053	0.405	-0.352	chr3L:+:3083732-3083809:3084807-3084900:3085203-3085800
1157	FBgn0034718	wdp	chr2R	-	22308207	22308256	22298213	22301009	22311083	22311306	1157	294	0	98	40	124	75	0.0	0.0	1.0	0.597	0.403	chr2R:-:22298213-22301009:22308207-22308256:22311083-22311306
1168	FBgn0039928	Cals	chr4	-	1120658	1120801	1120105	1120606	1121458	1121622	1168	1861	1	651	41	218	75	0.0	0.0	0.998	0.845	0.153	chr4:-:1120105-1120606:1120658-1120801:1121458-1121622
118	FBgn0026401	Nipped-B	chr2R	-	4722146	4722325	4719769	4720210	4726623	4726788	118	2683	0	2057	56	254	75	0.0	0.0	1.0	0.916	0.084	chr2R:-:4719769-4720210:4722146-4722325:4726623-4726788
1211	FBgn0030056	CG11284	chrX	+	8686694	8687054	8681251	8681828	8687231	8687742	1211	2557	1	1045	104	435	75	0.0	0.0	0.998	0.634	0.364	chrX:+:8681251-8681828:8686694-8687054:8687231-8687742
1256	FBgn0034072	Dg	chr2R	-	16086930	16087725	16085563	16085620	16088304	16088365	1256	291	205	528	93	870	75	0.0	0.0	0.109	0.329	-0.22	chr2R:-:16085563-16085620:16086930-16087725:16088304-16088365
1366	FBgn0032694	MESR3	chr2L	+	18631742	18631774	18617255	18617724	18649597	18649627	1366	773	17	76	57	107	75	0.0	0.0	0.97	0.483	0.487	chr2L:+:18617255-18617724:18631742-18631774:18649597-18649627
1453	FBgn0086361	alph	chr3R	+	29597775	29597908	29597418	29597473	29598163	29598942	1453	664	297	346	388	208	75	0.0	0.0	0.446	0.243	0.203	chr3R:+:29597418-29597473:29597775-29597908:29598163-29598942
1455	FBgn0039897	CG1674	chr4	+	232278	232848	231934	231977	234264	234345	1455	500	315	476	65	645	75	0.0	0.0	0.156	0.46	-0.304	chr4:+:231934-231977:232278-232848:234264-234345
1566	FBgn0003495	spz	chr3R	-	27066728	27066884	27066607	27066665	27069143	27070070	1566	401	387	199	31	231	75	0.0	0.0	0.252	0.676	-0.424	chr3R:-:27066607-27066665:27066728-27066884:27069143-27070070
1668	FBgn0019660	roX2	chrX	+	11579351	11579528	11579064	11579124	11579669	11580084	1668	250	1435	242	425	252	75	0.0	0.0	0.049	0.145	-0.096	chrX:+:11579064-11579124:11579351-11579528:11579669-11580084
1673	FBgn0019660	roX2	chrX	+	11579348	11579399	11579064	11579124	11579669	11580084	1673	203	1435	226	425	126	75	0.0	0.0	0.078	0.24	-0.162	chrX:+:11579064-11579124:11579348-11579399:11579669-11580084
1857	FBgn0261113	Xrp1	chr3R	+	18919422	18919512	18918259	18918625	18920412	18921319	1857	3782	0	6495	316	165	75	0.0	0.0	1.0	0.903	0.097	chr3R:+:18918259-18918625:18919422-18919512:18920412-18921319
1898	FBgn0035162	CG13900	chr3L	-	830621	830728	830033	830341	830907	831242	1898	535	213	130	200	182	75	0.0	0.0	0.509	0.211	0.298	chr3L:-:830033-830341:830621-830728:830907-831242
1921	FBgn0023213	eIF4G	chr4	-	927392	928151	926010	926661	929821	930023	1921	616	688	1645	387	834	75	0.0	0.0	0.075	0.277	-0.202	chr4:-:926010-926661:927392-928151:929821-930023
1953	FBgn0260462	CG12163	chr3R	-	5243837	5244254	5239491	5239619	5251423	5251745	1953	218	387	431	237	492	75	0.0	0.0	0.079	0.217	-0.138	chr3R:-:5239491-5239619:5243837-5244254:5251423-5251745
2173	FBgn0264605	CG43954	chr3L	-	16694201	16694296	16681237	16681370	16710942	16711677	2173	770	1	300	52	170	75	0.0	0.0	0.997	0.718	0.279	chr3L:-:16681237-16681370:16694201-16694296:16710942-16711677
219	FBgn0003415	skd	chr3L	-	21003735	21004185	21002016	21002197	21004977	21005662	219	58	67	341	50	525	75	0.0	0.0	0.11	0.493	-0.383	chr3L:-:21002016-21002197:21003735-21004185:21004977-21005662
2243	FBgn0013749	Arf102F	chr4	+	1124435	1124698	1124166	1124331	1124767	1124893	2243	3235	7	2064	109	338	75	0.0	0.0	0.99	0.808	0.182	chr4:+:1124166-1124331:1124435-1124698:1124767-1124893
2326	FBgn0250823	gish	chr3R	+	16299590	16299689	16298469	16298550	16301244	16301351	2326	99	475	353	238	174	75	0.0	0.0	0.082	0.39	-0.308	chr3R:+:16298469-16298550:16299590-16299689:16301244-16301351
2337	FBgn0263391	hts	chr2R	-	19418556	19418605	19411159	19411271	19423593	19423797	2337	478	2	157	48	124	75	0.0	0.0	0.993	0.664	0.329	chr2R:-:19411159-19411271:19418556-19418605:19423593-19423797
2371	FBgn0000117	arm	chrX	-	1898979	1899039	1895113	1896753	1900509	1900646	2371	1039	0	288	31	135	75	0.0	0.0	1.0	0.838	0.162	chrX:-:1895113-1896753:1898979-1899039:1900509-1900646
2372	FBgn0000117	arm	chrX	-	1898979	1899039	1895113	1896753	1900043	1900173	2372	1655	0	460	103	135	75	0.0	0.0	1.0	0.713	0.287	chrX:-:1895113-1896753:1898979-1899039:1900043-1900173
2475	FBgn0015766	Msr-110	chr3L	-	5574939	5574966	5573631	5573829	5576837	5576941	2475	290	731	880	697	102	75	0.0	0.0	0.226	0.481	-0.255	chr3L:-:5573631-5573829:5574939-5574966:5576837-5576941
2542	FBgn0004607	zfh2	chr4	+	536965	537075	532982	535880	537174	538373	2542	1841	193	622	797	185	75	0.0	0.0	0.795	0.24	0.555	chr4:+:532982-535880:536965-537075:537174-538373
2648	FBgn0002590	RpS5a	chrX	-	17144617	17144716	17143587	17143771	17146797	17147200	2648	11658	4	5467	96	174	75	0.0	0.0	0.999	0.961	0.038	chrX:-:17143587-17143771:17144617-17144716:17146797-17147200
2652	FBgn0002590	RpS5a	chrX	-	17145015	17145132	17143587	17143771	17146797	17147200	2652	11555	4	5090	96	192	75	0.0	0.0	0.999	0.954	0.045	chrX:-:17143587-17143771:17145015-17145132:17146797-17147200
2773	FBgn0051363	Jupiter	chr3R	-	11593632	11593766	11592366	11592624	11619703	11619906	2773	1295	2	880	86	209	75	0.0	0.0	0.996	0.786	0.21	chr3R:-:11592366-11592624:11593632-11593766:11619703-11619906
30	FBgn0026401	Nipped-B	chr2R	-	4728008	4728124	4727793	4727953	4728778	4729017	30	4152	3	2821	81	191	75	0.0	0.0	0.998	0.932	0.066	chr2R:-:4727793-4727953:4728008-4728124:4728778-4729017
3225	FBgn0058178	CG40178	chr3L	-	25969229	25969627	25961359	25961540	25977966	25978150	3225	832	40	277	118	473	75	0.0	0.0	0.767	0.271	0.496	chr3L:-:25961359-25961540:25969229-25969627:25977966-25978150
3229	FBgn0058178	CG40178	chr3L	-	25873859	25874085	25843724	25844107	25933195	25933410	3229	1705	4	834	98	301	75	0.0	0.0	0.991	0.68	0.311	chr3L:-:25843724-25844107:25873859-25874085:25933195-25933410
3231	FBgn0058178	CG40178	chr3L	-	25873859	25874085	25843724	25844107	25924295	25924456	3231	1705	3	829	61	301	75	0.0	0.0	0.993	0.772	0.221	chr3L:-:25843724-25844107:25873859-25874085:25924295-25924456
3243	FBgn0058178	CG40178	chr3L	-	25924295	25924456	25843724	25844107	25933195	25933410	3243	564	4	395	98	236	75	0.0	0.0	0.978	0.562	0.416	chr3L:-:25843724-25844107:25924295-25924456:25933195-25933410
32	FBgn0026401	Nipped-B	chr2R	-	4728008	4728124	4727793	4727953	4728432	4728551	32	4166	180	2840	431	191	75	0.0	0.0	0.901	0.721	0.18	chr2R:-:4727793-4727953:4728008-4728124:4728432-4728551
3551	FBgn0035423	CG17737	chr3L	+	3223769	3223927	3223340	3223526	3224313	3224650	3551	11224	0	5367	133	233	75	0.0	0.0	1.0	0.929	0.071	chr3L:+:3223340-3223526:3223769-3223927:3224313-3224650
355	FBgn0020647	KrT95D	chr3R	-	24002421	24002547	24000179	24000780	24003415	24003764	355	769	46	460	177	201	75	0.0	0.0	0.862	0.492	0.37	chr3R:-:24000179-24000780:24002421-24002547:24003415-24003764
3573	FBgn0010434	cora	chr2R	+	19235120	19235164	19229423	19229653	19235470	19235662	3573	558	0	276	52	119	75	0.0	0.0	1.0	0.77	0.23	chr2R:+:19229423-19229653:19235120-19235164:19235470-19235662
3609	FBgn0263120	Acsl	chr2R	+	8676471	8676607	8674646	8674871	8678429	8678868	3609	1968	2	860	40	211	75	0.0	0.0	0.997	0.884	0.113	chr2R:+:8674646-8674871:8676471-8676607:8678429-8678868
3664	FBgn0004838	Hrb27C	chr2L	+	6922730	6922826	6920703	6920861	6923783	6924400	3664	5407	399	2865	741	171	75	0.0	0.0	0.856	0.629	0.227	chr2L:+:6920703-6920861:6922730-6922826:6923783-6924400
3667	FBgn0004838	Hrb27C	chr2L	+	6922734	6922826	6920703	6920861	6923783	6924400	3667	4016	399	2175	741	167	75	0.0	0.0	0.819	0.569	0.25	chr2L:+:6920703-6920861:6922734-6922826:6923783-6924400
3747	FBgn0260003	Dys	chr3R	+	19593795	19594098	19592822	19593123	19594499	19595392	3747	7	82	197	100	378	75	0.0	0.0	0.017	0.281	-0.264	chr3R:+:19592822-19593123:19593795-19594098:19594499-19595392
3776	FBgn0259214	PMCA	chr4	-	349729	350043	349480	349679	350602	350690	3776	5479	13	2049	108	389	75	0.0	0.0	0.988	0.785	0.203	chr4:-:349480-349679:349729-350043:350602-350690
3814	FBgn0004509	Fur1	chr3R	-	25417937	25417964	25396711	25397562	25431916	25431981	3814	335	1	107	57	102	75	0.0	0.0	0.996	0.58	0.416	chr3R:-:25396711-25397562:25417937-25417964:25431916-25431981
3817	FBgn0004509	Fur1	chr3R	-	25354947	25356078	25354148	25354315	25356223	25356342	3817	173	115	812	80	1206	75	0.0	0.0	0.086	0.387	-0.301	chr3R:-:25354148-25354315:25354947-25356078:25356223-25356342
3845	FBgn0058263	MFS17	chr2R	-	2564443	2564669	2553782	2553877	2565118	2565385	3845	778	262	374	25	301	75	0.0	0.0	0.425	0.788	-0.363	chr2R:-:2553782-2553877:2564443-2564669:2565118-2565385
3848	FBgn0058263	MFS17	chr2R	-	2562626	2562805	2553782	2553877	2565118	2565385	3848	107	262	98	25	254	75	0.0	0.0	0.108	0.536	-0.428	chr2R:-:2553782-2553877:2562626-2562805:2565118-2565385
3965	FBgn0053554	Nipped-A	chr2R	-	5185574	5188356	5184123	5184660	5193556	5193707	3965	17756	0	7326	35	2857	75	0.0	0.0	1.0	0.846	0.154	chr2R:-:5184123-5184660:5185574-5188356:5193556-5193707
3969	FBgn0053554	Nipped-A	chr2R	-	5242384	5242582	5241895	5242062	5245951	5246137	3969	1064	6	439	45	273	75	0.0	0.0	0.98	0.728	0.252	chr2R:-:5241895-5242062:5242384-5242582:5245951-5246137
4006	FBgn0036144	GlcAT-P	chr3L	-	11182154	11182643	11179529	11179716	11183633	11184208	4006	190	149	273	20	564	75	0.0	0.0	0.145	0.645	-0.5	chr3L:-:11179529-11179716:11182154-11182643:11183633-11184208
4042	FBgn0034051	Mlf	chr2R	-	15937020	15937326	15935892	15936580	15937678	15937879	4042	691	247	996	123	381	75	0.0	0.0	0.355	0.614	-0.259	chr2R:-:15935892-15936580:15937020-15937326:15937678-15937879
4069	FBgn0022764	Sin3A	chr2R	-	12577453	12578285	12576567	12576993	12579128	12579356	4069	112	170	288	85	907	75	0.0	0.0	0.052	0.219	-0.167	chr2R:-:12576567-12576993:12577453-12578285:12579128-12579356
4070	FBgn0022764	Sin3A	chr2R	-	12577453	12578551	12576567	12576993	12579128	12579356	4070	180	170	381	85	1173	75	0.0	0.0	0.063	0.223	-0.16	chr2R:-:12576567-12576993:12577453-12578551:12579128-12579356
4117	FBgn0259984	kuz	chr2L	+	13558799	13558832	13551141	13551666	13609790	13609987	4117	412	0	144	45	108	75	0.0	0.0	1.0	0.69	0.31	chr2L:+:13551141-13551666:13558799-13558832:13609790-13609987
4138	FBgn0261793	Trf2	chrX	+	8418350	8418426	8410276	8410689	8423183	8423575	4138	1141	59	103	157	151	75	0.0	0.0	0.906	0.246	0.66	chrX:+:8410276-8410689:8418350-8418426:8423183-8423575
4177	FBgn0002183	dre4	chr3L	-	1872353	1872470	1871573	1871917	1872581	1872735	4177	172	177	367	100	192	75	0.0	0.0	0.275	0.589	-0.314	chr3L:-:1871573-1871917:1872353-1872470:1872581-1872735
4244	FBgn0036213	RpL10Ab	chr3L	+	11823199	11823565	11822850	11822890	11823657	11824211	4244	12984	0	5511	378	441	75	0.0	0.0	1.0	0.713	0.287	chr3L:+:11822850-11822890:11823199-11823565:11823657-11824211
4245	FBgn0036213	RpL10Ab	chr3L	+	11823199	11823355	11822850	11822890	11823657	11824211	4245	14272	0	6178	378	231	75	0.0	0.0	1.0	0.841	0.159	chr3L:+:11822850-11822890:11823199-11823355:11823657-11824211
428	FBgn0085432	pan	chr4	+	104082	104528	99405	99475	107402	110059	428	60	83	228	24	521	75	0.0	0.0	0.094	0.578	-0.484	chr4:+:99405-99475:104082-104528:107402-110059
