ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1630	"FBgn0262582"	"cic"	chr3R	+	20297096	20298532	20298383	20298532	20296199	20296499	1630	13,25,11	63,58,68	93,178,160	72,77,57	1361	74	0.0	0.0	0.011,0.023,0.009	0.066,0.112,0.132	-0.089
623	"FBgn0004587"	"B52"	chr3R	+	13663454	13665526	13665452	13665526	13662969	13663051	623	1679,2474,1729	773,801,694	3114,3828,3179	590,640,518	2072	74	0.0	0.0	0.072,0.099,0.082	0.159,0.176,0.18	-0.087
1471	"FBgn0033636"	"tou"	chr2R	-	11581627	11582145	11581627	11581749	11583014	11587025	1471	54,91,56	47,59,50	218,266,186	50,52,47	470	74	4.88498130835e-15	2.49948210277e-12	0.153,0.195,0.15	0.407,0.446,0.384	-0.246
1054	"FBgn0038244"	"CG7987"	chr3R	-	14574547	14575059	14574547	14574885	14575770	14575887	1054	54,79,52	9,18,13	42,45,38	50,47,52	248	74	8.32667268469e-15	3.19536064275e-12	0.642,0.567,0.544	0.2,0.222,0.179	0.384
1049	"FBgn0250823"	"gish"	chr3R	+	16301804	16302372	16301822	16302372	16301244	16301351	1049	173,179,158	341,383,277	321,320,284	251,294,239	92	74	1.56541446472e-14	4.80582240669e-12	0.29,0.273,0.315	0.507,0.467,0.489	-0.195
571	"FBgn0051151"	"wge"	chr3R	-	22714533	22716664	22714533	22716631	22716933	22717050	571	10,39,19	52,73,46	41,66,60	20,30,16	107	74	4.88498130835e-14	1.24974105139e-11	0.117,0.27,0.222	0.586,0.603,0.722	-0.434
823	"FBgn0032006"	"Pvr"	chr2L	-	8220979	8222114	8220979	8221967	8222225	8222376	823	2013,2423,1819	59,59,75	1396,1551,1282	12,15,7	221	74	6.56141807553e-14	1.43882524942e-11	0.92,0.932,0.89	0.975,0.972,0.984	-0.063
1779	"FBgn0034638"	"CG10433"	chr2R	-	21605675	21606360	21605675	21606193	21606467	21606617	1779	13,22,11	35,41,27	36,39,33	13,15,10	241	74	4.00679489587e-13	7.68803770645e-11	0.102,0.141,0.111	0.46,0.444,0.503	-0.351
1517	"FBgn0028577"	"pUf68"	chr3L	-	1499042	1501397	1499042	1499337	1501798	1501892	1517	601,908,583	101,136,97	1263,1687,1457	110,107,89	2134	74	2.95174995557e-12	5.03437353533e-10	0.171,0.188,0.172	0.285,0.353,0.362	-0.156
143	"FBgn0039187"	"CG6454"	chr3R	+	24350726	24352351	24352052	24352351	24349889	24350235	143	92,83,52	65,84,79	190,182,167	56,65,74	1400	74	4.03876931898e-12	6.19951090463e-10	0.07,0.05,0.034	0.152,0.129,0.107	-0.078
572	"FBgn0051151"	"wge"	chr3R	-	22714533	22716667	22714533	22716631	22716933	22717050	572	4,8,7	52,73,46	12,22,18	20,30,16	110	74	1.46664125289e-10	2.0466312029e-08	0.049,0.069,0.093	0.288,0.33,0.431	-0.279
2424	"FBgn0014163"	"fax"	chr3L	-	16405501	16405845	16405501	16405836	16407020	16407359	2424	381,537,403	113,176,135	545,584,465	82,100,66	83	74	1.21680621135e-09	1.55649794535e-07	0.75,0.731,0.727	0.856,0.839,0.863	-0.117
2207	"FBgn0010909"	"msn"	chr3L	-	2564396	2564755	2564396	2564695	2565600	2565621	2207	170,186,128	101,131,107	261,274,242	61,103,66	134	74	1.53710821849e-09	1.81497008876e-07	0.482,0.439,0.398	0.703,0.595,0.669	-0.216
395	"FBgn0026250"	"eIF-1A"	chr3R	+	18274825	18275141	18274866	18275141	18274664	18274756	395	26,62,26	231,332,237	33,29,25	559,628,456	115	74	1.11619912202e-08	1.22383260879e-06	0.068,0.107,0.066	0.037,0.029,0.034	0.047
514	"FBgn0037443"	"Dmtn"	chr3R	-	6391304	6392742	6391304	6391988	6392879	6392959	514	113,178,113	45,58,35	262,352,292	43,40,44	828	74	4.37443273826e-08	4.47650283549e-06	0.183,0.215,0.224	0.353,0.44,0.372	-0.181
1017	"FBgn0000578"	"ena"	chr2R	+	19159782	19160035	19159794	19160035	19159119	19159352	1017	14,20,13	115,169,92	35,42,26	91,96,96	86	74	1.58319940824e-07	1.51888193228e-05	0.095,0.092,0.108	0.249,0.273,0.189	-0.139
946	"FBgn0010348"	"Arf79F"	chr3L	-	22869841	22870150	22869841	22870065	22871923	22872052	946	4100,6367,4673	132,188,138	6220,6359,5243	314,321,272	159	74	2.24196423204e-07	2.02436182128e-05	0.935,0.94,0.94	0.902,0.902,0.9	0.037
991	"FBgn0033635"	"CG7777"	chr2R	+	11441649	11441872	11441740	11441872	11441067	11441490	991	7,4,4	3,1,8	0,0,0	3,2,3	165	74	2.45415919919e-07	2.0928524282e-05	0.511,0.642,0.183	0.0,0.0,0.0	0.445
