ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1650	"FBgn0027549"	"CG7927"	chr3L	+	8112781	8113320	8113011	8113320	8112493	8112714	1650	274,192,306	176,159,174	97,83,53	234,148,135	304	74	0.0	0.0	0.275,0.227,0.3	0.092,0.12,0.087	0.168
1880	"FBgn0267698"	"Pak"	chr3R	+	6357874	6359022	6358282	6359022	6356749	6357340	1880	179,164,155	167,156,135	61,44,61	313,163,182	482	74	0.0	0.0	0.141,0.139,0.15	0.029,0.04,0.049	0.104
2369	"FBgn0003261"	"Rm62"	chr3R	-	6008036	6008309	6008036	6008306	6008550	6008579	2369	85,78,105	31,31,41	166,52,87	321,105,198	77	74	0.0	0.0	0.725,0.707,0.711	0.332,0.322,0.297	0.397
623	"FBgn0004587"	"B52"	chr3R	+	13662954	13663051	13662969	13663051	13662296	13662404	623	226,212,252	517,450,528	103,75,53	783,540,541	89	74	0.0	0.0	0.267,0.281,0.284	0.099,0.104,0.075	0.185
726	"FBgn0003495"	"spz"	chr3R	-	27066607	27066884	27066607	27066665	27067121	27067199	726	872,789,835	269,246,241	588,364,393	451,353,265	293	74	0.0	0.0	0.45,0.448,0.467	0.248,0.207,0.272	0.213
954	"FBgn0010348"	"Arf79F"	chr3L	-	22869841	22870150	22869841	22870065	22871459	22871724	954	7035,5554,6083	170,100,107	8016,6033,6490	342,306,382	159	74	0.0	0.0	0.951,0.963,0.964	0.916,0.902,0.888	0.057
1884	"FBgn0052423"	"shep"	chr3L	-	5162455	5162631	5162455	5162610	5162966	5163149	1884	164,141,164	291,266,289	150,85,84	709,315,404	95	74	2.22044604925e-14	5.04992872915e-12	0.305,0.292,0.307	0.141,0.174,0.139	0.15
2233	"FBgn0010909"	"msn"	chr3L	-	2557792	2558389	2557792	2558035	2560115	2560295	2233	2044,1930,1644	63,52,46	2959,1326,1099	228,80,89	428	74	5.08482145278e-14	1.0118794691e-11	0.849,0.865,0.861	0.692,0.741,0.681	0.154
777	"FBgn0031217"	"CG11377"	chr2L	+	103515	104142	103877	104142	103005	103434	777	1382,1346,1528	8,7,7	1251,1148,1203	25,29,42	436	74	7.88258347484e-14	1.39434143244e-11	0.967,0.97,0.974	0.895,0.87,0.829	0.106
585	"FBgn0041775"	"tral"	chr3L	+	12517415	12517957	12517427	12517957	12516558	12517059	585	147,114,125	120,105,98	130,42,47	274,133,99	86	74	2.62123656114e-13	4.17300860533e-11	0.513,0.483,0.523	0.29,0.214,0.29	0.242
537	"FBgn0025741"	"PlexA"	chr4	-	1014965	1015352	1014965	1015301	1015424	1015620	537	948,788,788	78,53,57	1436,1204,860	38,25,24	125	74	4.31987778882e-13	6.25204130891e-11	0.878,0.898,0.891	0.957,0.966,0.955	-0.07
