ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	S1.Rep1	S1.Rep2	S1.Rep3	S2.Rep1	S2.Rep2	S2.Rep3	eventID	s1reads	s2reads	readcountpass
1649	FBgn0032694	MESR3	chr2L	+	18631742	18631774	18617255	18617724	18649597	18649627	1649	328,362,324	46,57,48	389,382,342	16,11,4	106	74	0.0	0.0	0.833,0.816,0.825	0.944,0.96,0.984	-0.138	0.833	0.816	0.825	0.944	0.96	0.984	chr2L:+:18617255-18617724:18631742-18631774:18649597-18649627	374,419,372	405,393,346	pass
1960	FBgn0024807	DIP1	chrX	-	21628919	21629792	21628360	21628754	21629973	21630148	1960	685,611,530	69,47,49	786,916,809	8,10,14	947	74	0.0	0.0	0.437,0.504,0.458	0.885,0.877,0.819	-0.394	0.437	0.504	0.458	0.885	0.877	0.819	chrX:-:21628360-21628754:21628919-21629792:21629973-21630148	754,658,579	794,926,823	pass
1962	FBgn0024807	DIP1	chrX	-	21628843	21629792	21628360	21628754	21629973	21630148	1962	724,637,556	69,47,49	829,972,849	8,10,14	1023	74	0.0	0.0	0.431,0.495,0.451	0.882,0.875,0.814	-0.398	0.431	0.495	0.451	0.882	0.875	0.814	chrX:-:21628360-21628754:21628843-21629792:21629973-21630148	793,684,605	837,982,863	pass
1963	FBgn0024807	DIP1	chrX	-	21628847	21629792	21628360	21628754	21629973	21630148	1963	728,640,562	69,47,49	840,988,874	8,10,14	1019	74	0.0	0.0	0.434,0.497,0.454	0.884,0.878,0.819	-0.399	0.434	0.497	0.454	0.884	0.878	0.819	chrX:-:21628360-21628754:21628847-21629792:21629973-21630148	797,687,611	848,998,888	pass
2178	FBgn0261113	Xrp1	chr3R	+	18919422	18919512	18918259	18918625	18925077	18925796	2178	1270,1263,985	42,35,40	1240,1493,1205	6,6,10	164	74	0.0	0.0	0.932,0.942,0.917	0.989,0.991,0.982	-0.057	0.932	0.942	0.917	0.989	0.991	0.982	chr3R:+:18918259-18918625:18919422-18919512:18925077-18925796	1312,1298,1025	1246,1499,1215	pass
2199	FBgn0264693	ens	chr3L	-	4128307	4128973	4126988	4127162	4129650	4129791	2199	329,269,213	54,55,50	130,155,138	101,89,96	740	74	0.0	0.0	0.379,0.328,0.299	0.114,0.148,0.126	0.206	0.379	0.328	0.299	0.114	0.148	0.126	chr3L:-:4126988-4127162:4128307-4128973:4129650-4129791	383,324,263	231,244,234	pass
3106	FBgn0031883	Caper	chr2L	+	7034483	7034693	7032720	7033018	7035406	7035561	3106	85,44,59	200,213,207	113,132,131	134,155,101	284	74	0.0	0.0	0.1,0.051,0.069	0.18,0.182,0.253	-0.132	0.1	0.051	0.069	0.18	0.182	0.253	chr2L:+:7032720-7033018:7034483-7034693:7035406-7035561	285,257,266	247,287,232	pass
3458	FBgn0262734	Rbp2	chrX	+	16451701	16451791	16451274	16451559	16451918	16453615	3458	145,99,123	420,381,415	4,11,12	436,519,433	164	74	0.0	0.0	0.135,0.105,0.118	0.004,0.009,0.012	0.111	0.135	0.105	0.118	0.004	0.009	0.012	chrX:+:16451274-16451559:16451701-16451791:16451918-16453615	565,480,538	440,530,445	pass
3696	FBgn0033212	CG1399	chr2R	-	7677997	7678404	7676539	7677734	7678569	7678626	3696	1636,1603,1733	110,98,84	1878,2209,1674	29,34,27	481	74	0.0	0.0	0.696,0.716,0.76	0.909,0.909,0.905	-0.184	0.696	0.716	0.76	0.909	0.909	0.905	chr2R:-:7676539-7677734:7677997-7678404:7678569-7678626	1746,1701,1817	1907,2243,1701	pass
3854	FBgn0050460	CG30460	chr2R	-	17069898	17070676	17067525	17069757	17071726	17071855	3854	139,169,109	12,14,7	8,3,6	8,17,10	852	74	0.0	0.0	0.502,0.512,0.575	0.08,0.015,0.05	0.481	0.502	0.512	0.575	0.08	0.015	0.05	chr2R:-:17067525-17069757:17069898-17070676:17071726-17071855	151,183,116	16,20,16	fail
4148	FBgn0013576	mtd	chr3R	-	5291989	5292079	5274965	5275087	5292639	5292841	4148	30,27,45	159,149,135	2,3,5	136,145,139	164	74	0.0	0.0	0.078,0.076,0.131	0.007,0.009,0.016	0.084	0.078	0.076	0.131	0.007	0.009	0.016	chr3R:-:5274965-5275087:5291989-5292079:5292639-5292841	189,176,180	138,148,144	pass
4381	FBgn0033844	bbc	chr2R	-	13488916	13489048	13487973	13488132	13491434	13491593	4381	401,353,377	50,44,40	76,85,119	70,71,53	206	74	0.0	0.0	0.742,0.742,0.772	0.281,0.301,0.446	0.409	0.742	0.742	0.772	0.281	0.301	0.446	chr2R:-:13487973-13488132:13488916-13489048:13491434-13491593	451,397,417	146,156,172	pass
4639	FBgn0015222	Fer1HCH	chr3R	-	30386717	30386828	30386318	30386596	30387463	30387550	4639	114,123,121	1883,1506,1532	18,28,17	1271,1440,1187	185	74	0.0	0.0	0.024,0.032,0.031	0.006,0.008,0.006	0.022	0.024	0.032	0.031	0.006	0.008	0.006	chr3R:-:30386318-30386596:30386717-30386828:30387463-30387550	1997,1629,1653	1289,1468,1204	pass
