ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
113	"FBgn0031220"	"CG4822"	chr2L	-	119430	119554	119827	120080	119133	119375	120420	120631	113	549,835,620	1330,1837,1338	758,1003,926	423,526,639	148	148	0.0	0.0	0.292,0.313,0.317	0.642,0.656,0.592	-0.323
136	"FBgn0051145"	"CG31145"	chr3R	-	23614376	23614469	23622370	23622649	23611892	23612136	23626596	23627460	136	155,202,120	207,318,234	196,174,187	73,92,96	148	148	0.0	0.0	0.428,0.388,0.339	0.729,0.654,0.661	-0.296
145	"FBgn0036821"	"CG3961"	chr3L	-	18887060	18887215	18887552	18887746	18881077	18881251	18890189	18890281	145	937,1212,843	755,897,671	756,803,804	195,257,246	148	148	0.0	0.0	0.554,0.575,0.557	0.795,0.758,0.766	-0.211
157	"FBgn0015790"	"Rab11"	chr3R	+	21111654	21111855	21113945	21114067	21111407	21111466	21114752	21115101	157	194,395,249	1287,1557,1255	554,608,668	951,1363,1296	148	148	0.0	0.0	0.131,0.202,0.166	0.368,0.308,0.34	-0.172
2065	"FBgn0003475"	"spir"	chr2L	+	20336286	20336404	20343598	20343672	20334620	20334730	20343742	20343947	2065	179,275,161	268,277,233	399,553,506	111,161,164	148	147	0.0	0.0	0.399,0.496,0.407	0.781,0.773,0.754	-0.335
2100	"FBgn0029506"	"Tsp42Ee"	chr2R	+	7013032	7013116	7017012	7017375	7012253	7012335	7017434	7017626	2100	1173,2075,1565	2334,3111,2383	1476,1941,2164	1048,1112,1374	148	148	0.0	0.0	0.334,0.4,0.396	0.585,0.636,0.612	-0.234
2137	"FBgn0039969"	"Fis1"	chr2R	-	5604467	5604516	5604582	5604650	5604243	5604411	5604709	5604834	2137	339,525,489	176,345,260	204,176,213	251,352,405	141	122	0.0	0.0	0.625,0.568,0.619	0.413,0.302,0.313	0.261
2145	"FBgn0250823"	"gish"	chr3R	+	16298469	16298550	16301244	16301351	16297174	16297345	16301822	16304768	2145	154,217,143	343,386,278	386,537,406	205,255,226	148	148	0.0	0.0	0.31,0.36,0.34	0.653,0.678,0.642	-0.321
2146	"FBgn0250823"	"gish"	chr3R	+	16299590	16299689	16301244	16301351	16298469	16298550	16301822	16302372	2146	65,73,44	732,871,644	111,156,143	455,541,429	148	148	0.0	0.0	0.082,0.077,0.064	0.196,0.224,0.25	-0.149
2160	"FBgn0034970"	"yki"	chr2R	-	24066260	24066313	24066560	24066716	24065974	24066177	24067162	24067254	2160	283,439,322	561,885,732	266,329,383	210,281,393	148	126	0.0	0.0	0.3,0.297,0.272	0.519,0.499,0.453	-0.201
