ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3509	"FBgn0262734"	"Rbp2"	chrX	+	16451701	16451791	16451274	16451559	16451918	16453615	3509	129,85,103	420,381,415	27,25,40	370,414,488	148	74	0.0	0.0	0.133,0.1,0.11	0.035,0.029,0.039	0.08
4358	"FBgn0004838"	"Hrb27C"	chr2L	+	6922730	6922826	6920703	6920861	6923783	6924400	4358	1724,1330,877	217,156,115	1203,1091,1442	356,348,401	148	74	0.0	0.0	0.799,0.81,0.792	0.628,0.611,0.643	0.173
4361	"FBgn0004838"	"Hrb27C"	chr2L	+	6922734	6922826	6920703	6920861	6923783	6924400	4361	1220,950,645	217,156,115	798,730,973	356,348,401	148	74	0.0	0.0	0.738,0.753,0.737	0.528,0.512,0.548	0.213
886	"FBgn0030052"	"CG12065"	chrX	+	8586551	8586608	8585985	8586245	8587257	8587525	886	499,469,416	582,547,513	139,119,133	726,575,750	130	74	0.0	0.0	0.328,0.328,0.316	0.098,0.105,0.092	0.226
702	"FBgn0000370"	"crc"	chr2L	+	21311192	21311531	21310865	21311032	21311752	21312043	702	149,126,142	2088,1647,1812	77,45,65	2394,1907,2429	148	74	1.11022302463e-16	9.54976838353e-14	0.034,0.037,0.038	0.016,0.012,0.013	0.023
913	"FBgn0261041"	"stj"	chr2R	+	13816035	13816083	13815554	13815648	13816202	13816313	913	14,27,18	151,145,123	0,1,0	159,142,215	121	74	1.11022302463e-16	9.54976838353e-14	0.054,0.102,0.082	0.0,0.004,0.0	0.078
3337	"FBgn0051363"	"Jupiter"	chr3R	-	11593321	11593354	11592366	11592624	11593632	11593766	3337	195,195,179	1686,1380,1417	102,82,103	1845,1492,2028	106	74	3.77475828373e-15	2.78307535748e-12	0.075,0.09,0.081	0.037,0.037,0.034	0.046
4848	"FBgn0001248"	"Idh"	chr3L	-	8358015	8358072	8356403	8357905	8358555	8358940	4848	45,46,40	61,59,51	13,6,14	61,58,82	130	74	1.0684786389e-12	6.8930228192e-10	0.296,0.307,0.309	0.108,0.056,0.089	0.22
4763	"FBgn0022764"	"Sin3A"	chr2R	-	12577453	12578551	12576567	12576993	12579128	12579356	4763	54,51,61	129,119,106	32,17,22	144,137,196	148	74	2.4776625196e-11	1.42080180707e-08	0.173,0.176,0.223	0.1,0.058,0.053	0.12
6265	"FBgn0034971"	"CG3209"	chr2R	+	24071990	24072224	24069999	24070242	24072704	24072961	6265	463,403,472	37,18,34	395,326,402	86,46,73	148	74	5.07667241578e-11	2.62007063378e-08	0.862,0.918,0.874	0.697,0.78,0.734	0.148
892	"FBgn0030052"	"CG12065"	chrX	+	8584842	8584923	8584455	8584575	8585809	8585918	892	54,60,74	307,314,288	21,24,36	351,294,392	148	74	5.34477906378e-10	2.50767315892e-07	0.081,0.087,0.114	0.029,0.039,0.044	0.057
2731	"FBgn0264953"	"Piezo"	chr2L	+	8181983	8182049	8179871	8180029	8182304	8182450	2731	257,243,158	28,24,19	242,209,305	7,7,4	139	74	9.92065984917e-10	3.93850196012e-07	0.83,0.844,0.816	0.948,0.941,0.976	-0.125
5904	"FBgn0030752"	"CG9947"	chrX	-	16439423	16439514	16437420	16439286	16439596	16439762	5904	52,37,48	455,395,498	14,17,15	557,341,481	148	74	9.37913191557e-10	3.93850196012e-07	0.054,0.045,0.046	0.012,0.024,0.015	0.031
2223	"FBgn0264693"	"ens"	chr3L	-	4130388	4130643	4129650	4129791	4131120	4131236	2223	25,34,19	114,108,78	7,9,8	119,125,146	148	74	1.10764697414e-09	4.08326145253e-07	0.099,0.136,0.109	0.029,0.035,0.027	0.084
2415	"FBgn0026375"	"RhoGAPp190"	chrX	-	17645886	17646012	17643680	17644178	17646519	17646585	2415	16,5,3	32,36,18	0,0,0	30,29,44	148	74	8.81252504303e-09	3.03209611647e-06	0.2,0.065,0.077	0.0,0.0,0.0	0.114
756	"FBgn0039959"	"CG17514"	chr3L	-	27987737	27988702	27967243	27974140	28012380	28012483	756	244,161,134	50,38,29	222,230,284	19,19,19	148	74	1.78766910164e-08	5.76635014598e-06	0.709,0.679,0.698	0.854,0.858,0.882	-0.169
1140	"FBgn0028341"	"l(1)G0232"	chrX	-	9638192	9638465	9630193	9631095	9640533	9640624	1140	6,3,6	3,3,2	1,4,3	0,0,0	148	74	2.4377452168e-08	7.40070768465e-06	0.5,0.333,0.6	1.0,1.0,1.0	-0.522
3795	"FBgn0263396"	"sqd"	chr3R	-	13636970	13637078	13636365	13636525	13642298	13642427	3795	28,21,24	199,178,189	53,49,45	150,119,172	148	74	2.66768721557e-08	7.64885206642e-06	0.066,0.056,0.06	0.15,0.171,0.116	-0.085
5365	"FBgn0261556"	"CG42674"	chr3L	-	20156679	20157222	20155900	20155998	20158479	20158668	5365	16,14,13	69,60,47	2,2,6	70,61,93	148	74	7.1244085631e-08	1.93521434706e-05	0.104,0.104,0.121	0.014,0.016,0.031	0.089
3294	"FBgn0030530"	"jub"	chrX	-	13828223	13828253	13827578	13827719	13828641	13830317	3294	13,12,9	33,39,46	2,0,2	44,38,31	103	74	7.63401333259e-08	1.96995714047e-05	0.221,0.181,0.123	0.032,0.0,0.044	0.15
5767	"FBgn0033463"	"CG1513"	chr2R	-	9884084	9884206	9883896	9884002	9884621	9884708	5767	344,281,363	78,76,77	529,378,517	46,47,68	148	74	9.08430646263e-08	2.2325764597e-05	0.688,0.649,0.702	0.852,0.801,0.792	-0.135
5292	"FBgn0036318"	"Wbp2"	chr3L	+	12852426	12852528	12851308	12851722	12852615	12852716	5292	52,41,53	139,117,145	34,26,20	193,154,198	148	74	9.84621898459e-08	2.3098334627e-05	0.158,0.149,0.155	0.081,0.078,0.048	0.085
1154	"FBgn0005672"	"spi"	chr2L	-	19571571	19571767	19567899	19569226	19577185	19577315	1154	951,782,798	296,220,225	1346,1110,1370	252,180,227	148	74	1.5359886163e-07	3.17089489949e-05	0.616,0.64,0.639	0.728,0.755,0.751	-0.113
1819	"FBgn0010548"	"Aldh-III"	chr2R	-	7469109	7469225	7467690	7467826	7469359	7469557	1819	122,100,111	0,2,0	115,92,116	7,6,10	148	74	1.52981443735e-07	3.17089489949e-05	1.0,0.962,1.0	0.891,0.885,0.853	0.111
4450	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13487973	13488132	13491434	13491593	4450	239,212,246	50,44,40	182,158,191	77,55,89	148	74	1.5109451168e-07	3.17089489949e-05	0.705,0.707,0.755	0.542,0.59,0.518	0.172
5508	"FBgn0266410"	"CG45050"	chr3R	+	9342575	9342894	9341866	9342491	9354421	9354854	5508	184,123,177	323,243,209	105,89,123	323,282,371	148	74	2.9386240874e-07	5.83316881349e-05	0.222,0.202,0.297	0.14,0.136,0.142	0.101
3836	"FBgn0033897"	"Rcd1"	chr2R	-	14150035	14150095	14149233	14149818	14150225	14150454	3836	10,5,9	81,60,47	0,0,1	64,71,76	133	74	3.78851620408e-07	7.24167856639e-05	0.064,0.044,0.096	0.0,0.0,0.007	0.066
3354	"FBgn0052626"	"AMPdeam"	chrX	-	13834170	13834206	13832903	13833031	13834814	13835149	3354	18,33,10	51,50,39	5,0,6	41,44,45	109	74	5.03551091602e-07	9.28152565628e-05	0.193,0.309,0.148	0.076,0.0,0.083	0.164
3873	"FBgn0028577"	"pUf68"	chr3L	-	1499771	1499879	1499042	1499337	1501350	1501406	3873	1,0,1	3,2,2	6,3,6	1,1,1	148	74	5.41340273164e-07	9.63399017172e-05	0.143,0.0,0.2	0.75,0.6,0.75	-0.586
1610	"FBgn0039560"	"CG5514"	chr3R	+	27942434	27942483	27939706	27942133	27942587	27942778	1610	31,17,22	18,25,31	11,1,10	39,30,43	122	74	1.88723836603e-06	0.000324667906903	0.511,0.292,0.301	0.146,0.02,0.124	0.271
409	"FBgn0004907"	"14-3-3zeta"	chr2R	+	10105940	10106104	10105701	10105825	10107466	10108474	409	1126,991,1210	22,19,20	1465,1107,1572	10,1,14	148	74	2.05449587265e-06	0.000342040425766	0.962,0.963,0.968	0.987,0.998,0.982	-0.025
3038	"FBgn0083962"	"CG34126"	chr2L	+	4985732	4985762	4984712	4985424	4985861	4985954	3038	8,6,2	32,18,17	0,0,1	16,19,35	103	74	2.19183365002e-06	0.000353501670867	0.152,0.193,0.078	0.0,0.0,0.02	0.134
4179	"FBgn0004395"	"unk"	chr3R	-	23155131	23155240	23154844	23154967	23155808	23156011	4179	36,25,24	52,47,43	12,13,17	76,58,67	148	74	2.84328329525e-06	0.000444672275357	0.257,0.21,0.218	0.073,0.101,0.113	0.133
3835	"FBgn0033897"	"Rcd1"	chr2R	-	14150035	14150095	14149887	14149953	14150225	14150454	3835	13,5,15	18,19,17	4,1,1	20,24,23	133	74	3.45359142118e-06	0.000524234862491	0.287,0.128,0.329	0.1,0.023,0.024	0.199
233	"FBgn0260745"	"mfas"	chr3R	-	11992071	11992143	11989209	11989325	11992741	11992874	233	8,3,6	3,0,5	6,6,3	0,0,0	145	74	3.87539152535e-06	0.0005642974692	0.576,1.0,0.38	1.0,1.0,1.0	-0.348
4498	"FBgn0004509"	"Fur1"	chr3R	-	25431916	25431981	25417937	25417964	25472481	25473058	4498	95,87,51	11,4,11	102,104,129	1,3,2	138	74	3.93619625871e-06	0.0005642974692	0.822,0.921,0.713	0.982,0.949,0.972	-0.149
2551	"FBgn0052654"	"Sec16"	chrX	+	12605802	12606153	12604863	12605388	12607697	12607879	2551	8,12,10	19,32,19	4,2,4	41,35,45	148	74	4.5746481685e-06	0.000621309452569	0.174,0.158,0.208	0.047,0.028,0.043	0.141
795	"FBgn0053170"	"CG33170"	chr3L	+	22865877	22865960	22865770	22865824	22867399	22867535	795	1064,943,1263	24,13,20	1143,833,1056	6,2,8	148	74	4.55430559543e-06	0.000621309452569	0.957,0.973,0.969	0.99,0.995,0.985	-0.024
2154	"FBgn0051158"	"Efa6"	chr3R	+	22602195	22602435	22600544	22601666	22602844	22603923	2154	9,19,15	67,69,57	3,3,5	53,63,86	148	74	5.06541775425e-06	0.000660912942384	0.063,0.121,0.116	0.028,0.023,0.028	0.074
