ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1432	"FBgn0004587"	"B52"	chr3R	+	13663454	13664934	13662969	13663051	13665452	13665526	1432	1554,2281,1589	773,801,694	2859,3459,2852	590,640,518	1554	74	0.0	0.0	0.087,0.119,0.098	0.187,0.205,0.208	-0.099
2082	"FBgn0260462"	"CG12163"	chr3R	-	5243837	5244254	5239491	5239619	5251423	5251745	2082	327,411,350	418,435,365	118,122,103	473,495,400	491	74	0.0	0.0	0.105,0.125,0.126	0.036,0.036,0.037	0.082
2946	"FBgn0051363"	"Jupiter"	chr3R	-	11593321	11593354	11592366	11592624	11593632	11593766	2946	5,14,5	1722,2233,1649	97,116,59	1516,1781,1311	107	74	0.0	0.0	0.002,0.004,0.002	0.042,0.043,0.03	-0.036
3316	"FBgn0033212"	"CG1399"	chr2R	-	7680291	7680312	7679341	7679930	7680924	7680999	3316	0,1,1	181,248,177	24,28,15	186,177,171	95	74	0.0	0.0	0.0,0.003,0.004	0.091,0.11,0.064	-0.086
3699	"FBgn0039465"	"Tsp97E"	chr3R	-	26962539	26963080	26961063	26962451	26963157	26963520	3699	7,22,9	105,135,84	57,87,47	88,90,82	615	74	0.0	0.0	0.008,0.019,0.013	0.072,0.104,0.065	-0.067
4316	"FBgn0002183"	"dre4"	chr3L	-	1872353	1872470	1871573	1871917	1872581	1872735	4316	582,800,557	243,347,313	283,323,238	517,514,433	191	74	0.0	0.0	0.481,0.472,0.408	0.175,0.196,0.176	0.271
4706	"FBgn0261556"	"CG42674"	chr3L	-	20156679	20157222	20155900	20155998	20158479	20158668	4706	8,6,6	121,107,65	24,66,36	65,87,59	617	74	0.0	0.0	0.008,0.007,0.011	0.042,0.083,0.068	-0.056
5194	"FBgn0011361"	"mtacp1"	chr3L	+	1330862	1330949	1330130	1330290	1331041	1331170	5194	595,749,599	748,877,710	949,1093,888	524,586,447	161	74	0.0	0.0	0.268,0.282,0.279	0.454,0.462,0.477	-0.188
780	"FBgn0030052"	"CG12065"	chrX	+	8586551	8586608	8585985	8586245	8587257	8587525	780	79,116,80	674,898,748	204,264,166	615,757,547	131	74	0.0	0.0	0.062,0.068,0.057	0.158,0.165,0.146	-0.094
786	"FBgn0000259"	"CkIIbeta"	chrX	+	11795104	11795186	11794818	11795008	11795600	11795887	786	491,678,517	21,20,22	518,551,483	83,103,76	156	74	0.0	0.0	0.917,0.941,0.918	0.748,0.717,0.751	0.187
3673	"FBgn0004395"	"unk"	chr3R	-	23155439	23155549	23154844	23154967	23155808	23156011	3673	13,10,1	76,96,65	30,39,31	43,50,45	184	74	1.11022302463e-16	4.53071923415e-14	0.064,0.04,0.006	0.219,0.239,0.217	-0.188
