pos	region	seqclass	seqname	values
20	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
21	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
22	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
23	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
24	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
25	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
26	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
27	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
28	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
29	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
30	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
31	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
32	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
33	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
34	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
35	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
36	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
37	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
38	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
39	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
40	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
41	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
42	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
43	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
44	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
45	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
46	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
47	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
48	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
49	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
50	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
51	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
52	seq1	control	chr2L:-:7219918-7220033:7219943-7220033:7218908-7219130	0.0
