ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1635	"FBgn0041210"	"HDAC4"	chrX	-	13284891	13285632	13285202	13285632	13276434	13276547	1635	90,88,67	32,24,8	118,158,106	1,2,6	148	74	6.35047570086e-12	1.16404219597e-08	0.584,0.647,0.807	0.983,0.975,0.898	-0.273
1246	"FBgn0013263"	"Trl"	chr3L	-	14757662	14757962	14757907	14757962	14756903	14757330	1246	24,20,13	42,45,21	52,60,39	21,29,14	148	74	3.35328431689e-11	3.07328507643e-08	0.222,0.182,0.236	0.553,0.508,0.582	-0.334
704	"FBgn0028697"	"RpL15"	chr3L	+	27267254	27267523	27267254	27267455	27267591	27267918	704	306,229,275	34,21,26	136,165,125	36,54,35	141	74	4.17218593007e-10	2.54920560327e-07	0.825,0.851,0.847	0.665,0.616,0.652	0.197
1249	"FBgn0013263"	"Trl"	chr3L	-	14757841	14757962	14757907	14757962	14756903	14757330	1249	80,64,49	42,45,21	137,161,104	21,29,14	139	74	1.30418154054e-09	5.97641190952e-07	0.503,0.431,0.554	0.776,0.747,0.798	-0.278
2513	"FBgn0261673"	"nemy"	chr2R	-	12664984	12665799	12665744	12665799	12660972	12661196	2513	528,448,369	9,10,6	357,434,316	26,23,24	148	74	2.5992777708e-08	9.52895230775e-06	0.967,0.957,0.969	0.873,0.904,0.868	0.083
1302	"FBgn0019947"	"Psn"	chr3L	+	20434086	20434344	20434086	20434245	20434547	20434712	1302	393,368,457	130,106,120	430,436,329	51,77,49	148	74	8.73909884458e-08	2.66979469702e-05	0.602,0.634,0.656	0.808,0.739,0.77	-0.142
1304	"FBgn0019947"	"Psn"	chr3L	+	20434086	20434302	20434086	20434245	20434547	20434712	1304	663,634,733	130,106,120	653,719,564	51,77,49	130	74	1.58422114538e-07	4.14839622783e-05	0.744,0.773,0.777	0.879,0.842,0.868	-0.098
808	"FBgn0030808"	"RhoGAP15B"	chrX	+	16948853	16949577	16948853	16949451	16950984	16953268	808	2,1,3	66,61,52	15,14,5	44,67,41	148	74	1.81216511463e-07	4.1521233189e-05	0.015,0.008,0.028	0.146,0.095,0.057	-0.082
1160	"FBgn0032036"	"CG13384"	chr2L	+	8384699	8385097	8384699	8384895	8386216	8386385	1160	358,297,257	16,13,15	365,348,310	5,3,3	148	74	4.02851522252e-07	7.56902586574e-05	0.918,0.92,0.895	0.973,0.983,0.981	-0.068
1248	"FBgn0013263"	"Trl"	chr3L	-	14757483	14757962	14757907	14757962	14756903	14757330	1248	48,34,33	42,45,21	74,86,67	21,29,14	148	74	5.78103448556e-07	7.56902586574e-05	0.364,0.274,0.44	0.638,0.597,0.705	-0.287
1715	"FBgn0038224"	"CG3321"	chr3R	+	14327067	14327183	14327067	14327127	14327252	14327735	1715	98,56,69	766,542,913	128,161,109	751,793,617	129	74	5.41748037097e-07	7.56902586574e-05	0.068,0.056,0.042	0.089,0.104,0.092	-0.04
1869	"FBgn0037120"	"CG11247"	chr3L	-	21728286	21728673	21728450	21728673	21726162	21726937	1869	177,151,138	31,22,22	200,202,184	9,15,7	148	74	5.45531169349e-07	7.56902586574e-05	0.741,0.774,0.758	0.917,0.871,0.929	-0.148
1961	"FBgn0260486"	"Ziz"	chr2L	-	7473297	7473889	7473656	7473889	7472512	7473199	1961	142,129,161	2,3,5	166,125,132	18,19,9	148	74	5.53353963428e-07	7.56902586574e-05	0.973,0.956,0.942	0.822,0.767,0.88	0.134
1962	"FBgn0260486"	"Ziz"	chr2L	-	7473419	7473889	7473656	7473889	7472512	7473199	1962	149,130,163	2,3,5	170,134,132	18,19,9	148	74	5.18871342114e-07	7.56902586574e-05	0.974,0.956,0.942	0.825,0.779,0.88	0.129
559	"FBgn0259174"	"Nedd4"	chr3L	+	17539566	17539736	17539566	17539727	17540690	17540838	559	150,105,120	11,13,13	112,171,125	5,0,3	82	74	9.54658191166e-07	0.00011665923096	0.925,0.879,0.893	0.953,1.0,0.974	-0.077
429	"FBgn0036505"	"CG7945"	chr3L	-	15523511	15524137	15523832	15524137	15522559	15522580	429	74,72,88	38,29,30	74,88,71	8,13,11	148	74	1.21073855663e-06	0.000138705235894	0.493,0.554,0.595	0.822,0.772,0.763	-0.238
2037	"FBgn0087008"	"e(y)3"	chrX	-	19636851	19638369	19637372	19638369	19634133	19636469	2037	1,2,1	1,2,1	5,6,3	0,1,0	148	74	3.04129103612e-06	0.000323289129714	0.333,0.333,0.333	1.0,0.75,1.0	-0.584
204	"FBgn0033382"	"Hydr1"	chr2R	+	9132479	9133046	9132479	9132767	9133598	9133770	204	19,13,17	29,35,26	28,50,33	17,32,14	148	74	3.1746886715e-06	0.000323289129714	0.247,0.157,0.246	0.452,0.439,0.541	-0.261
2524	"FBgn0032774"	"CG17549"	chr2L	-	19389926	19390075	19389935	19390075	19388473	19388569	2524	3,1,3	3,2,1	1,0,0	5,1,6	82	74	3.47993791339e-06	0.000335722431329	0.474,0.311,0.73	0.153,0.0,0.0	0.454
1623	"FBgn0000008"	"a"	chr2R	+	22136967	22137208	22136967	22137026	22137999	22138251	1623	5,9,6	3,0,6	2,7,4	0,0,0	148	74	3.75821348986e-06	0.000344440266346	0.455,1.0,0.333	1.0,1.0,1.0	-0.404
486	"FBgn0003392"	"shi"	chrX	+	15892199	15892581	15892199	15892569	15892827	15893150	486	9,1,2	6,1,3	1,1,0	10,2,11	85	74	5.33005471504e-06	0.000465237632984	0.566,0.465,0.367	0.08,0.303,0.0	0.338
2303	"FBgn0004167"	"kst"	chr3L	+	3366443	3367010	3366443	3366773	3367514	3368133	2303	868,772,867	54,48,29	649,678,552	77,59,51	148	74	5.94354246064e-06	0.00049520515138	0.889,0.889,0.937	0.808,0.852,0.844	0.07
999	"FBgn0004919"	"gol"	chr2R	-	25074036	25075338	25075241	25075338	25073277	25073589	999	162,128,147	15,9,20	127,136,130	2,7,1	148	74	6.80869432435e-06	0.000542623334632	0.844,0.877,0.786	0.969,0.907,0.985	-0.118
1048	"FBgn0030838"	"CG5445"	chrX	+	17302469	17302786	17302469	17302583	17302838	17303390	1048	96,89,61	4,1,1	52,60,39	5,6,16	148	74	7.92300337127e-06	0.000604524326444	0.923,0.978,0.968	0.839,0.833,0.549	0.216
1506	"FBgn0053558"	"mim"	chr2R	-	6931062	6932697	6931842	6932697	6930248	6930370	1506	36,33,24	10,13,10	44,75,42	4,5,4	148	74	8.24501263563e-06	0.000604524326444	0.643,0.559,0.545	0.846,0.882,0.84	-0.274
1918	"FBgn0032796"	"CG10188"	chr2L	-	19508325	19508764	19508351	19508764	19507489	19508265	1918	23,18,12	0,0,0	30,24,23	5,4,2	99	74	1.19547306953e-05	0.000842808514019	1.0,1.0,1.0	0.818,0.818,0.896	0.156
2301	"FBgn0004167"	"kst"	chr3L	+	3366443	3366962	3366443	3366773	3367514	3368133	2301	556,469,521	54,48,29	412,433,338	77,59,51	148	74	1.45249163757e-05	0.00098608043395	0.837,0.83,0.9	0.728,0.786,0.768	0.095
149	"FBgn0020279"	"lig"	chr2R	+	8067976	8068366	8067976	8068080	8069870	8070279	149	4,3,3	13,13,14	9,17,18	9,15,12	148	74	1.66569588022e-05	0.00109043591016	0.133,0.103,0.097	0.333,0.362,0.429	-0.264
1472	"FBgn0037262"	"MED31"	chr3R	+	4641962	4642422	4641962	4642008	4642568	4642658	1472	39,34,38	11,14,12	44,56,44	0,7,4	148	74	2.49322266198e-05	0.00157588866876	0.639,0.548,0.613	1.0,0.8,0.846	-0.282
