ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2310	"FBgn0003475"	"spir"	chr2L	+	20344654	20345458	20343742	20343947	20345524	20345670	2310	208,222,256	31,16,37	121,49,48	110,40,41	148	74	0.0	0.0	0.77,0.874,0.776	0.355,0.38,0.369	0.439
312	"FBgn0020279"	"lig"	chr2R	+	8073366	8073471	8073126	8073234	8073599	8073700	312	1081,1050,861	9,12,16	2004,957,965	111,57,67	148	74	0.0	0.0	0.984,0.978,0.964	0.9,0.894,0.878	0.085
3742	"FBgn0262734"	"Rbp2"	chrX	+	16451701	16451791	16451274	16451559	16451918	16453615	3742	129,85,103	420,381,415	22,7,16	674,383,351	148	74	0.0	0.0	0.133,0.1,0.11	0.016,0.009,0.022	0.099
3764	"FBgn0038535"	"alt"	chr3R	-	17675641	17675737	17675074	17675533	17676086	17676749	3764	299,262,231	62,56,62	385,273,287	420,169,226	148	74	0.0	0.0	0.707,0.701,0.651	0.314,0.447,0.388	0.303
4259	"FBgn0015218"	"eIF-4E"	chr3L	-	9401039	9401367	9400582	9400953	9402279	9402460	4259	1284,1108,1144	265,229,269	1067,826,730	576,422,361	148	74	0.0	0.0	0.708,0.708,0.68	0.481,0.495,0.503	0.206
5524	"FBgn0020309"	"crol"	chr2L	-	11797828	11798041	11794326	11797741	11798664	11799150	5524	702,591,478	50,37,38	1091,462,400	211,134,120	148	74	0.0	0.0	0.875,0.889,0.863	0.721,0.633,0.625	0.216
5811	"FBgn0042693"	"PP2A-B'"	chr3R	+	18171273	18171312	18169483	18170098	18171528	18171703	5811	33,36,32	215,150,157	6,3,4	337,196,283	112	74	0.0	0.0	0.092,0.137,0.119	0.012,0.01,0.009	0.106
5104	"FBgn0022764"	"Sin3A"	chr2R	-	12577453	12578551	12576567	12576993	12579128	12579356	5104	54,51,61	129,119,106	35,28,26	256,216,264	148	74	1.11022302463e-16	7.92005350195e-14	0.173,0.176,0.223	0.064,0.061,0.047	0.133
955	"FBgn0030052"	"CG12065"	chrX	+	8586551	8586608	8585985	8586245	8587257	8587525	955	499,469,416	582,547,513	297,159,171	819,464,417	130	74	4.4408920985e-16	2.8160190229e-13	0.328,0.328,0.316	0.171,0.163,0.189	0.15
4256	"FBgn0015218"	"eIF-4E"	chr3L	-	9401039	9401606	9400582	9400953	9402279	9402460	4256	805,713,789	265,229,269	757,588,515	576,422,361	148	74	9.99200722163e-16	5.70243852138e-13	0.603,0.609,0.595	0.397,0.411,0.416	0.194
