ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1880	"FBgn0267698"	"Pak"	chr3R	+	6357874	6359022	6358282	6359022	6356749	6357340	1880	46,60,53	167,156,135	19,7,11	313,163,182	148	74	0.0	0.0	0.121,0.161,0.164	0.029,0.021,0.029	0.122
2369	"FBgn0003261"	"Rm62"	chr3R	-	6008036	6008309	6008036	6008306	6008550	6008579	2369	85,78,105	31,31,41	166,52,87	321,105,198	76	74	0.0	0.0	0.728,0.71,0.714	0.335,0.325,0.3	0.397
623	"FBgn0004587"	"B52"	chr3R	+	13662954	13663051	13662969	13663051	13662296	13662404	623	226,212,252	517,450,528	103,75,53	783,540,541	88	74	0.0	0.0	0.269,0.284,0.286	0.1,0.105,0.076	0.186
726	"FBgn0003495"	"spz"	chr3R	-	27066607	27066884	27066607	27066665	27067121	27067199	726	417,376,374	269,246,241	253,156,126	451,353,265	148	74	0.0	0.0	0.437,0.433,0.437	0.219,0.181,0.192	0.238
954	"FBgn0010348"	"Arf79F"	chr3L	-	22869841	22870150	22869841	22870065	22871459	22871724	954	6183,4869,5298	170,100,107	7224,5572,5978	342,306,382	148	74	0.0	0.0	0.948,0.961,0.961	0.914,0.901,0.887	0.056
1490	"FBgn0033212"	"CG1399"	chr2R	-	7677069	7678404	7677069	7677734	7678569	7678626	1490	330,303,379	110,98,84	655,361,416	57,37,33	148	74	7.77156117238e-16	2.05557793009e-13	0.6,0.607,0.693	0.852,0.83,0.863	-0.215
1650	"FBgn0027549"	"CG7927"	chr3L	+	8112781	8113320	8113011	8113320	8112493	8112714	1650	137,100,147	176,159,174	53,48,28	234,148,135	148	74	6.32827124036e-15	1.43470949406e-12	0.28,0.239,0.297	0.102,0.14,0.094	0.16
1884	"FBgn0052423"	"shep"	chr3L	-	5162455	5162631	5162455	5162610	5162966	5163149	1884	164,141,164	291,266,289	150,85,84	709,315,404	94	74	2.209343819e-14	4.38278580094e-12	0.307,0.294,0.309	0.143,0.175,0.141	0.15
777	"FBgn0031217"	"CG11377"	chr2L	+	103515	104142	103877	104142	103005	103434	777	431,401,479	8,7,7	379,369,370	25,29,42	148	74	2.07611705605e-13	3.66088640883e-11	0.964,0.966,0.972	0.883,0.864,0.815	0.113
585	"FBgn0041775"	"tral"	chr3L	+	12517415	12517957	12517427	12517957	12516558	12517059	585	147,114,125	120,105,98	130,42,47	274,133,99	85	74	2.80109269113e-13	4.44533410082e-11	0.516,0.486,0.526	0.292,0.216,0.292	0.243
