ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1044	"FBgn0036239"	"Pop2"	chr3L	-	12001726	12001931	12000749	12001090	12002585	12002915	1044	9,11,1	63,104,61	122,80,55	175,114,122	279	74	0.0	0.0	0.037,0.027,0.004	0.156,0.157,0.107	-0.117
1045	"FBgn0036239"	"Pop2"	chr3L	-	12001726	12001865	12000749	12001090	12002585	12002915	1045	5,10,1	63,104,61	100,75,51	175,114,122	213	74	0.0	0.0	0.027,0.032,0.006	0.166,0.186,0.127	-0.138
1553	"FBgn0034072"	"Dg"	chr2R	-	16086930	16087725	16085563	16085620	16088304	16088365	1553	184,296,193	125,153,105	933,767,925	128,111,99	869	74	0.0	0.0	0.111,0.141,0.135	0.383,0.37,0.443	-0.27
163	"FBgn0032456"	"MRP"	chr2L	+	12729184	12729405	12726745	12727116	12737958	12738176	163	10,23,11	50,34,44	256,126,84	30,34,24	295	74	0.0	0.0	0.048,0.145,0.059	0.682,0.482,0.468	-0.46
167	"FBgn0032456"	"MRP"	chr2L	+	12736035	12736256	12726745	12727116	12737958	12738176	167	22,53,26	50,34,44	349,210,169	30,34,24	295	74	0.0	0.0	0.099,0.281,0.129	0.745,0.608,0.639	-0.494
1704	"FBgn0032694"	"MESR3"	chr2L	+	18631742	18631774	18617255	18617724	18649597	18649627	1704	299,455,384	18,6,10	419,213,291	73,46,45	106	74	0.0	0.0	0.921,0.981,0.964	0.8,0.764,0.819	0.161
170	"FBgn0032456"	"MRP"	chr2L	+	12728577	12728798	12726745	12727116	12737958	12738176	170	11,14,8	50,34,44	243,97,68	30,34,24	295	74	0.0	0.0	0.052,0.094,0.044	0.67,0.417,0.415	-0.437
171	"FBgn0032456"	"MRP"	chr2L	+	12736592	12736813	12726745	12727116	12737958	12738176	171	35,38,47	50,34,44	364,176,154	30,34,24	295	74	0.0	0.0	0.149,0.219,0.211	0.753,0.565,0.617	-0.452
1950	"FBgn0003507"	"srp"	chr3R	+	16001188	16001406	15999845	16000059	16001751	16001916	1950	654,746,605	0,2,0	709,297,282	36,13,7	292	74	0.0	0.0	1.0,0.99,1.0	0.833,0.853,0.911	0.131
1962	"FBgn0003495"	"spz"	chr3R	-	27067357	27067495	27066607	27066665	27069143	27070070	1962	356,525,457	593,754,620	528,442,451	349,255,223	212	74	0.0	0.0	0.173,0.196,0.205	0.346,0.377,0.414	-0.188
2032	"FBgn0024807"	"DIP1"	chrX	-	21628919	21629792	21628360	21628754	21629973	21630148	2032	693,829,552	3,5,3	934,562,412	84,53,57	947	74	0.0	0.0	0.948,0.928,0.935	0.465,0.453,0.361	0.511
2034	"FBgn0024807"	"DIP1"	chrX	-	21628843	21629792	21628360	21628754	21629973	21630148	2034	745,876,592	3,5,3	1008,592,433	84,53,57	1023	74	0.0	0.0	0.947,0.927,0.935	0.465,0.447,0.355	0.514
2035	"FBgn0024807"	"DIP1"	chrX	-	21628847	21629792	21628360	21628754	21629973	21630148	2035	747,901,608	3,5,3	1050,602,442	84,53,57	1019	74	0.0	0.0	0.948,0.929,0.936	0.476,0.452,0.36	0.508
2100	"FBgn0027492"	"wdb"	chr3R	-	27580156	27580325	27568278	27568591	27582001	27582241	2100	62,83,70	194,233,140	249,260,298	220,263,273	243	74	0.0	0.0	0.089,0.098,0.132	0.256,0.231,0.249	-0.139
2263	"FBgn0261113"	"Xrp1"	chr3R	+	18919422	18919512	18918259	18918625	18925077	18925796	2263	796,953,703	7,5,3	1663,980,815	68,52,36	164	74	0.0	0.0	0.981,0.989,0.991	0.917,0.895,0.911	0.079
2284	"FBgn0264693"	"ens"	chr3L	-	4128307	4128973	4126988	4127162	4129650	4129791	2284	129,151,98	97,100,79	601,199,226	123,55,42	740	74	0.0	0.0	0.117,0.131,0.11	0.328,0.266,0.35	-0.195
2293	"FBgn0264693"	"ens"	chr3L	-	4130388	4130643	4129650	4129791	4131120	4131236	2293	16,31,10	155,159,129	164,63,81	202,96,86	329	74	0.0	0.0	0.023,0.042,0.017	0.154,0.129,0.175	-0.125
2387	"FBgn0260462"	"CG12163"	chr3R	-	5243837	5244254	5239491	5239619	5251423	5251745	2387	327,411,350	418,435,365	111,48,56	692,508,617	491	74	0.0	0.0	0.105,0.125,0.126	0.024,0.014,0.013	0.102
2776	"FBgn0264953"	"Piezo"	chr2L	+	8181983	8182049	8179871	8180029	8182304	8182450	2776	199,294,183	0,0,0	297,191,139	37,23,14	140	74	0.0	0.0	1.0,1.0,1.0	0.809,0.814,0.84	0.179
2855	"FBgn0015286"	"Rala"	chrX	-	3707367	3707491	3704983	3706251	3708743	3708918	2855	1242,1531,1216	36,43,24	1615,1213,1011	316,228,242	198	74	0.0	0.0	0.928,0.93,0.95	0.656,0.665,0.61	0.292
2876	"FBgn0014133"	"bif"	chrX	+	11687461	11687635	11681717	11684254	11689200	11689543	2876	1047,1338,956	2,2,5	1181,419,381	37,18,15	248	74	0.0	0.0	0.994,0.995,0.983	0.905,0.874,0.883	0.103
305	"FBgn0020279"	"lig"	chr2R	+	8073366	8073471	8073126	8073234	8073599	8073700	305	1248,1527,1116	1,9,3	2361,1169,1162	111,57,67	179	74	0.0	0.0	0.998,0.986,0.994	0.898,0.894,0.878	0.103
328	"FBgn0266694"	"CR45184"	chr3L	-	827645	827697	827422	827469	827876	829851	328	226,369,321	0,0,1	202,81,78	23,16,9	126	74	0.0	0.0	1.0,1.0,0.995	0.838,0.748,0.836	0.191
3351	"FBgn0032077"	"CG9515"	chr2L	-	8942508	8942655	8942109	8942452	8942826	8943071	3351	284,363,311	5,13,3	316,164,122	51,28,20	221	74	0.0	0.0	0.95,0.903,0.972	0.675,0.662,0.671	0.272
3353	"FBgn0051363"	"Jupiter"	chr3R	-	11593321	11593354	11592366	11592624	11593632	11593766	3353	5,14,5	1722,2233,1649	211,171,145	2496,1558,1535	107	74	0.0	0.0	0.002,0.004,0.002	0.055,0.071,0.061	-0.06
390	"FBgn0004907"	"14-3-3zeta"	chr2R	+	10105940	10106104	10105701	10105825	10107466	10108474	390	1381,1841,1345	1,0,0	2352,1037,1206	39,28,22	238	74	0.0	0.0	0.998,1.0,1.0	0.949,0.92,0.945	0.061
4008	"FBgn0015218"	"eIF-4E"	chr3L	-	9401039	9401606	9400582	9400953	9402279	9402460	4008	3666,5071,3707	120,177,132	4556,3551,4154	576,422,361	641	74	0.0	0.0	0.779,0.768,0.764	0.477,0.493,0.571	0.257
4010	"FBgn0015218"	"eIF-4E"	chr3L	-	9401039	9401367	9400582	9400953	9402279	9402460	4010	3193,4473,3251	120,177,132	3997,3203,3843	576,422,361	402	74	0.0	0.0	0.83,0.823,0.819	0.561,0.583,0.662	0.222
4235	"FBgn0013576"	"mtd"	chr3R	-	5291989	5292079	5274965	5275087	5292639	5292841	4235	0,1,2	273,268,177	21,29,24	169,116,109	164	74	0.0	0.0	0.0,0.002,0.005	0.053,0.101,0.09	-0.079
4468	"FBgn0033844"	"bbc"	chr2R	-	13489741	13489873	13487973	13488132	13491434	13491593	4468	104,156,120	144,148,82	241,104,91	58,17,17	206	74	0.0	0.0	0.206,0.275,0.345	0.599,0.687,0.658	-0.373
4469	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13487973	13488132	13491434	13491593	4469	120,111,116	144,148,82	391,161,143	58,17,17	206	74	0.0	0.0	0.23,0.212,0.337	0.708,0.773,0.751	-0.484
4534	"FBgn0033699"	"RpS11"	chr2R	-	12200427	12200550	12199833	12200039	12200774	12200815	4534	33,39,28	1,0,1	67,34,36	350,45,68	197	74	0.0	0.0	0.925,1.0,0.913	0.067,0.221,0.166	0.795
4912	"FBgn0002183"	"dre4"	chr3L	-	1872353	1872470	1871573	1871917	1872581	1872735	4912	582,800,557	243,347,313	395,223,240	587,463,427	191	74	0.0	0.0	0.481,0.472,0.408	0.207,0.157,0.179	0.273
5032	"FBgn0037728"	"CG16817"	chr3R	+	9678561	9678648	9677926	9678086	9678719	9678976	5032	1498,2145,1628	2,1,1	3751,1605,1588	79,39,33	161	74	0.0	0.0	0.997,0.999,0.999	0.956,0.95,0.957	0.044
5125	"FBgn0082582"	"tmod"	chr3R	+	30576597	30576818	30572924	30573072	30577178	30577558	5125	30,57,19	771,779,622	208,170,196	931,516,588	295	74	0.0	0.0	0.01,0.018,0.008	0.053,0.076,0.077	-0.057
5129	"FBgn0082582"	"tmod"	chr3R	+	30575431	30575948	30572924	30573072	30577178	30577558	5129	99,150,102	771,779,622	384,323,247	931,516,588	591	74	0.0	0.0	0.016,0.024,0.02	0.049,0.073,0.05	-0.037
5162	"FBgn0020309"	"crol"	chr2L	-	11797828	11798041	11794326	11797741	11798664	11799150	5162	1355,1559,1088	23,25,12	2010,919,770	211,134,120	287	74	0.0	0.0	0.938,0.941,0.959	0.711,0.639,0.623	0.288
5358	"FBgn0083124"	"Uhg4"	chr2R	+	9095577	9095629	9095272	9095339	9095897	9095958	5358	300,464,405	0,0,2	596,714,303	73,64,45	126	74	0.0	0.0	1.0,1.0,0.992	0.827,0.868,0.798	0.166
5386	"FBgn0261556"	"CG42674"	chr3L	-	20156679	20157222	20155900	20155998	20158479	20158668	5386	8,6,6	121,107,65	59,24,16	77,21,25	617	74	0.0	0.0	0.008,0.007,0.011	0.084,0.121,0.071	-0.083
5569	"FBgn0020503"	"CLIP-190"	chr2L	+	17401518	17401581	17401112	17401290	17402374	17402485	5569	65,75,38	0,0,0	74,37,37	22,12,14	137	74	0.0	0.0	1.0,1.0,1.0	0.645,0.625,0.588	0.381
5578	"FBgn0020503"	"CLIP-190"	chr2L	+	17401515	17401581	17401112	17401290	17402374	17402485	5578	74,68,48	0,0,0	78,43,40	22,12,14	140	74	0.0	0.0	1.0,1.0,1.0	0.652,0.654,0.602	0.364
5669	"FBgn0005278"	"Sam-S"	chr2L	+	111906	112019	110754	110877	112689	113369	5669	1785,2213,1689	16,19,18	1978,1236,1202	69,59,40	187	74	0.0	0.0	0.978,0.979,0.974	0.919,0.892,0.922	0.066
5741	"FBgn0016917"	"Stat92E"	chr3R	-	20541679	20542092	20540522	20541553	20550720	20551107	5741	648,905,623	325,434,264	1562,885,833	291,177,181	487	74	0.0	0.0	0.233,0.241,0.264	0.449,0.432,0.412	-0.185
5811	"FBgn0033463"	"CG1513"	chr2R	-	9884084	9884206	9883896	9884002	9884621	9884708	5811	648,849,638	9,11,10	653,618,671	88,79,118	196	74	0.0	0.0	0.965,0.967,0.96	0.737,0.747,0.682	0.242
5940	"FBgn0011361"	"mtacp1"	chr3L	+	1330862	1330949	1330130	1330290	1331041	1331170	5940	595,749,599	748,877,710	1381,629,581	462,211,152	161	74	0.0	0.0	0.268,0.282,0.279	0.579,0.578,0.637	-0.322
6101	"FBgn0261722"	"fwe"	chr3L	-	15811219	15812897	15810080	15810848	15813245	15813353	6101	101,168,130	114,120,126	413,362,275	130,97,74	1752	74	0.0	0.0	0.036,0.056,0.042	0.118,0.136,0.136	-0.085
