ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
105	"FBgn0026401"	"Nipped-B"	chr2R	-	4700939	4701261	4695461	4695610	4711813	4712045	105	392	0	245	44	150	75	0.0	0.0	1.0	0.736	0.264
1107	"FBgn0015513"	"mbc"	chr3R	+	23796384	23796498	23795065	23795240	23797098	23799497	1107	9	45	138	27	150	75	0.0	0.0	0.091	0.719	-0.628
1126	"FBgn0026199"	"myo"	chr4	-	692424	692843	690685	692359	693380	694416	1126	640	27	282	86	150	75	0.0	0.0	0.922	0.621	0.301
1135	"FBgn0035397"	"CG11486"	chr3L	+	3084807	3084900	3083732	3083809	3085203	3085800	1135	15	152	76	61	150	75	0.0	0.0	0.047	0.384	-0.337
1157	"FBgn0034718"	"wdp"	chr2R	-	22308207	22308256	22298213	22301009	22311083	22311306	1157	294	0	98	40	123	75	0.0	0.0	1.0	0.599	0.401
1168	"FBgn0039928"	"Cals"	chr4	-	1120658	1120801	1120105	1120606	1121458	1121622	1168	1447	1	503	41	150	75	0.0	0.0	0.999	0.86	0.139
118	"FBgn0026401"	"Nipped-B"	chr2R	-	4722146	4722325	4719769	4720210	4726623	4726788	118	922	0	694	56	150	75	0.0	0.0	1.0	0.861	0.139
1211	"FBgn0030056"	"CG11284"	chrX	+	8686694	8687054	8681251	8681828	8687231	8687742	1211	1239	1	569	104	150	75	0.0	0.0	0.998	0.732	0.266
1366	"FBgn0032694"	"MESR3"	chr2L	+	18631742	18631774	18617255	18617724	18649597	18649627	1366	773	17	76	57	106	75	0.0	0.0	0.97	0.485	0.485
1453	"FBgn0086361"	"alph"	chr3R	+	29597775	29597908	29597418	29597473	29598163	29598942	1453	610	297	325	388	150	75	0.0	0.0	0.507	0.295	0.212
1673	"FBgn0019660"	"roX2"	chrX	+	11579348	11579399	11579064	11579124	11579669	11580084	1673	203	1435	226	425	125	75	0.0	0.0	0.078	0.242	-0.164
1857	"FBgn0261113"	"Xrp1"	chr3R	+	18919422	18919512	18918259	18918625	18920412	18921319	1857	3272	0	5725	316	150	75	0.0	0.0	1.0	0.901	0.099
1898	"FBgn0035162"	"CG13900"	chr3L	-	830621	830728	830033	830341	830907	831242	1898	403	213	96	200	150	75	0.0	0.0	0.486	0.194	0.292
1921	"FBgn0023213"	"eIF4G"	chr4	-	927392	928151	926010	926661	929821	930023	1921	85	688	304	387	150	75	0.0	0.0	0.058	0.282	-0.224
