pos	region	seqclass	seqname	values
20	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
21	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
22	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
23	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
24	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
25	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
26	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
27	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
28	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
29	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
30	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
31	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
32	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
33	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
34	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
35	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
36	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
37	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
38	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
39	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
40	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
41	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
42	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
43	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
44	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
45	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
46	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
47	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
48	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
49	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
50	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
51	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
52	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
53	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
54	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
55	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
56	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
57	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
58	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
59	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
60	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
61	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
62	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
63	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
64	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
65	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
66	seq1	lessincluded	chr3R:-:6002062-6003911:6002062-6003098:6003672-6003911	0.0
