ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1166	"FBgn0260486"	"Ziz"	chr2L	-	7472512	7473889	7472512	7473199	7473297	7473889	1166	39,74,44	30,60,40	173,148,239	20,11,38	172	74	0.0	0.0	0.359,0.347,0.321	0.788,0.853,0.73	-0.448
1248	"FBgn0034946"	"CG3065"	chr2R	+	23970304	23972233	23970304	23970685	23970755	23972233	1248	263,384,260	9,28,7	211,185,209	52,43,43	144	74	0.0	0.0	0.938,0.876,0.95	0.676,0.689,0.714	0.228
1282	"FBgn0261564"	"CG42678"	chr2R	+	22925106	22925612	22925106	22925484	22925548	22925612	1282	63,120,81	13,27,12	64,52,67	109,84,63	138	74	0.0	0.0	0.722,0.704,0.784	0.239,0.249,0.363	0.453
1376	"FBgn0010551"	"Phb2"	chr2R	+	18821183	18821839	18821183	18821283	18821489	18821839	1376	3386,4675,3410	6,5,17	3594,2720,3712	96,97,97	280	74	0.0	0.0	0.993,0.996,0.981	0.908,0.881,0.91	0.09
1414	"FBgn0027932"	"Akap200"	chr2L	+	8427614	8429462	8427614	8428067	8428319	8429462	1414	1117,1360,1127	469,596,444	558,547,571	536,518,554	326	74	0.0	0.0	0.351,0.341,0.366	0.191,0.193,0.19	0.161
1450	"FBgn0035165"	"CG13887"	chr3L	+	837860	838624	837860	837945	838048	838624	1450	233,305,250	246,359,317	744,687,786	339,270,376	177	74	0.0	0.0	0.284,0.262,0.248	0.479,0.515,0.466	-0.222
1480	"FBgn0003074"	"Pgi"	chr2R	-	8913432	8914069	8913432	8913570	8913709	8914069	1480	485,577,429	2,4,5	494,433,462	36,26,29	213	74	0.0	0.0	0.988,0.98,0.968	0.827,0.853,0.847	0.136
399	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267918	27267255	27267455	27267513	27267918	399	224,337,240	103,153,107	587,421,504	78,59,74	132	74	0.0	0.0	0.549,0.553,0.557	0.808,0.8,0.792	-0.247
469	"FBgn0039266"	"CG11791"	chr3R	+	25050242	25051556	25050242	25050617	25051180	25051556	469	664,870,694	198,275,203	603,413,600	436,381,404	637	74	0.0	0.0	0.28,0.269,0.284	0.138,0.112,0.147	0.145
513	"FBgn0024807"	"DIP1"	chrX	-	21628360	21630148	21628360	21628754	21629973	21630148	513	775,937,643	3,5,3	805,707,605	69,47,49	1293	74	0.0	0.0	0.937,0.915,0.925	0.4,0.463,0.414	0.5
552	"FBgn0026573"	"ADD1"	chr2R	+	11971724	11973040	11971724	11972148	11972586	11973040	552	282,356,215	1,8,3	202,185,141	45,56,41	512	74	0.0	0.0	0.976,0.865,0.912	0.393,0.323,0.332	0.568
561	"FBgn0250753"	"kra"	chr3R	-	5600037	5600571	5600037	5600308	5600487	5600571	561	889,1176,820	3,7,9	1209,942,982	66,46,59	253	74	0.0	0.0	0.989,0.98,0.964	0.843,0.857,0.83	0.134
565	"FBgn0037890"	"CG17734"	chr3R	-	11242207	11243013	11242207	11242563	11242823	11243013	565	128,188,141	348,440,343	319,341,346	294,318,395	334	74	0.0	0.0	0.075,0.086,0.083	0.194,0.192,0.163	-0.102
746	"FBgn0037074"	"CG7324"	chr3L	-	21338869	21339555	21338869	21339220	21339325	21339555	746	405,490,376	86,82,87	818,747,803	47,30,39	179	74	0.0	0.0	0.661,0.712,0.641	0.878,0.911,0.895	-0.223
1156	"FBgn0004403"	"RpS14a"	chrX	+	7933741	7934270	7933741	7933774	7934008	7934270	1156	233,337,217	373,920,630	294,194,290	1473,1114,1628	308	74	1.11022302463e-16	7.75675819875e-15	0.13,0.081,0.076	0.046,0.04,0.041	0.053
1295	"FBgn0004179"	"Csp"	chr3L	+	22271557	22273745	22271557	22271762	22272368	22273745	1295	593,837,558	294,366,245	336,330,345	347,385,324	680	74	2.22044604925e-16	1.36883968213e-14	0.18,0.199,0.199	0.095,0.085,0.104	0.098
1512	"FBgn0261673"	"nemy"	chr2R	-	12664984	12665799	12664984	12665232	12665744	12665799	1512	773,1169,945	30,45,29	750,719,635	99,71,72	586	74	2.22044604925e-16	1.36883968213e-14	0.765,0.766,0.804	0.489,0.561,0.527	0.253
224	"FBgn0032000"	"CG8372"	chr2L	-	8212038	8212902	8212038	8212692	8212766	8212902	224	105,169,136	34,69,37	69,56,69	90,57,101	148	74	3.33066907388e-16	1.93918954968e-14	0.607,0.55,0.648	0.277,0.329,0.255	0.315
787	"FBgn0260742"	"CG12213"	chr3R	-	11965544	11966739	11965544	11966286	11966454	11966739	787	43,53,32	84,122,93	140,125,140	90,76,118	242	74	8.881784197e-16	4.89900517813e-14	0.135,0.117,0.095	0.322,0.335,0.266	-0.192
869	"FBgn0037262"	"MED31"	chr3R	+	4641962	4642428	4641962	4642008	4642283	4642428	869	386,582,448	23,34,31	365,309,359	68,65,81	349	74	1.44328993201e-15	7.56283924373e-14	0.781,0.784,0.754	0.532,0.502,0.484	0.267
1399	"FBgn0020306"	"dom"	chr2R	+	21340683	21341847	21340683	21341076	21341419	21341847	1399	683,863,731	35,31,22	903,883,1062	8,2,7	417	74	2.22044604925e-15	1.1081083141e-13	0.776,0.832,0.855	0.952,0.987,0.964	-0.147
472	"FBgn0035253"	"CG7971"	chr3L	-	1660598	1661165	1660598	1660857	1661108	1661165	472	290,292,269	1,5,1	304,250,260	25,18,28	325	74	2.44249065418e-15	1.16351372981e-13	0.985,0.93,0.984	0.735,0.76,0.679	0.242
279	"FBgn0259740"	"CG42394"	chr3R	+	10851284	10851788	10851284	10851488	10851548	10851788	279	314,415,356	123,121,110	550,433,574	72,49,68	134	74	3.21964677141e-15	1.46703905063e-13	0.585,0.654,0.641	0.808,0.83,0.823	-0.194
517	"FBgn0031995"	"CG8475"	chr2L	-	8193124	8195569	8193124	8193229	8195020	8195569	517	87,119,79	62,53,46	262,244,201	50,39,34	1865	74	1.09023901018e-13	4.76071034445e-12	0.053,0.082,0.064	0.172,0.199,0.19	-0.121
1134	"FBgn0034138"	"RpS15"	chr2R	-	16570916	16571230	16570916	16571005	16571188	16571230	1134	1413,1374,1319	4378,7663,5590	1222,893,1357	9640,6854,11076	257	74	1.18793863635e-13	4.97983876358e-12	0.085,0.049,0.064	0.035,0.036,0.034	0.031
285	"FBgn0085638"	"CG41378"	chr2R	-	2830707	2831043	2830707	2830781	2830865	2831043	285	133,251,199	11,23,8	118,119,129	39,32,42	158	74	3.22852855561e-13	1.30134535626e-11	0.85,0.836,0.921	0.586,0.635,0.59	0.265
1526	"FBgn0035232"	"CG12099"	chr3L	-	1557788	1558484	1557788	1558214	1558322	1558484	1526	364,493,343	2,3,1	617,500,486	22,33,19	182	74	4.26658708363e-13	1.65606787542e-11	0.987,0.985,0.993	0.919,0.86,0.912	0.091
438	"FBgn0039644"	"CG11897"	chr3R	+	29158121	29158690	29158121	29158347	29158498	29158690	438	36,82,51	81,101,92	303,286,174	163,178,118	225	74	1.19226850614e-12	4.46249069441e-11	0.128,0.211,0.154	0.379,0.346,0.327	-0.186
625	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20349206	20348354	20348385	20348941	20349206	625	217,279,232	29,68,38	181,134,152	110,76,95	630	74	1.58439927844e-12	5.72569118553e-11	0.468,0.325,0.418	0.162,0.172,0.158	0.24
