ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1166	"FBgn0260486"	"Ziz"	chr2L	-	7472512	7473889	7472512	7473199	7473297	7473889	1166	38,65,36	30,60,40	140,116,203	20,11,38	148	74	0.0	0.0	0.388,0.351,0.31	0.778,0.841,0.728	-0.433
1248	"FBgn0034946"	"CG3065"	chr2R	+	23970304	23972233	23970304	23970685	23970755	23972233	1248	263,384,260	9,28,7	211,185,209	52,43,43	143	74	0.0	0.0	0.938,0.876,0.951	0.677,0.69,0.716	0.227
1282	"FBgn0261564"	"CG42678"	chr2R	+	22925106	22925612	22925106	22925484	22925548	22925612	1282	63,120,81	13,27,12	64,52,67	109,84,63	137	74	0.0	0.0	0.724,0.706,0.785	0.241,0.251,0.365	0.453
1376	"FBgn0010551"	"Phb2"	chr2R	+	18821183	18821839	18821183	18821283	18821489	18821839	1376	1480,2132,1534	6,5,17	1734,1315,1839	96,97,97	148	74	0.0	0.0	0.992,0.995,0.978	0.9,0.871,0.905	0.096
1450	"FBgn0035165"	"CG13887"	chr3L	+	837860	838624	837860	837945	838048	838624	1450	171,253,182	246,359,317	612,565,654	339,270,376	148	74	0.0	0.0	0.258,0.261,0.223	0.474,0.511,0.465	-0.236
1480	"FBgn0003074"	"Pgi"	chr2R	-	8913432	8914069	8913432	8913570	8913709	8914069	1480	317,411,314	2,4,5	346,306,304	36,26,29	148	74	0.0	0.0	0.988,0.981,0.969	0.828,0.855,0.84	0.138
399	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267918	27267255	27267455	27267513	27267918	399	224,337,240	103,153,107	587,421,504	78,59,74	131	74	0.0	0.0	0.551,0.554,0.559	0.81,0.801,0.794	-0.247
552	"FBgn0026573"	"ADD1"	chr2R	+	11971724	11973040	11971724	11972148	11972586	11973040	552	73,112,67	1,8,3	69,68,46	45,56,41	148	74	0.0	0.0	0.973,0.875,0.918	0.434,0.378,0.359	0.532
561	"FBgn0250753"	"kra"	chr3R	-	5600037	5600571	5600037	5600308	5600487	5600571	561	518,660,446	3,7,9	638,523,545	66,46,59	148	74	0.0	0.0	0.989,0.979,0.961	0.829,0.85,0.822	0.143
746	"FBgn0037074"	"CG7324"	chr3L	-	21338869	21339555	21338869	21339220	21339325	21339555	746	378,443,342	86,82,87	728,664,722	47,30,39	148	74	0.0	0.0	0.687,0.73,0.663	0.886,0.917,0.902	-0.208
224	"FBgn0032000"	"CG8372"	chr2L	-	8212038	8212902	8212038	8212692	8212766	8212902	224	105,169,136	34,69,37	69,56,69	90,57,101	147	74	3.33066907388e-16	3.16110773921e-14	0.609,0.552,0.649	0.278,0.331,0.256	0.315
279	"FBgn0259740"	"CG42394"	chr3R	+	10851284	10851788	10851284	10851488	10851548	10851788	279	314,415,356	123,121,110	550,433,574	72,49,68	133	74	3.21964677141e-15	2.80109269113e-13	0.587,0.656,0.643	0.81,0.831,0.824	-0.193
1134	"FBgn0034138"	"RpS15"	chr2R	-	16570916	16571230	16570916	16571005	16571188	16571230	1134	1397,1354,1296	4378,7663,5590	1167,840,1291	9640,6854,11076	148	74	3.88578058619e-15	3.12058071691e-13	0.138,0.081,0.104	0.057,0.058,0.055	0.051
1399	"FBgn0020306"	"dom"	chr2R	+	21340683	21341847	21340683	21341076	21341419	21341847	1399	225,271,240	35,31,22	288,300,332	8,2,7	148	74	6.99440505514e-15	5.21582776969e-13	0.763,0.814,0.845	0.947,0.987,0.96	-0.157
513	"FBgn0024807"	"DIP1"	chrX	-	21628360	21630148	21628360	21628754	21629973	21630148	513	24,28,18	3,5,3	44,24,34	69,47,49	148	74	9.10382880193e-15	6.33626484614e-13	0.8,0.737,0.75	0.242,0.203,0.258	0.528
869	"FBgn0037262"	"MED31"	chr3R	+	4641962	4642428	4641962	4642008	4642283	4642428	869	184,296,231	23,34,31	173,163,193	68,65,81	148	74	3.48610029732e-14	2.274680444e-12	0.8,0.813,0.788	0.56,0.556,0.544	0.247
1156	"FBgn0004403"	"RpS14a"	chrX	+	7933741	7934270	7933741	7933774	7934008	7934270	1156	188,272,181	373,920,630	249,162,239	1473,1114,1628	148	74	4.37427871702e-14	2.68632175328e-12	0.201,0.129,0.126	0.078,0.068,0.068	0.081
469	"FBgn0039266"	"CG11791"	chr3R	+	25050242	25051556	25050242	25050617	25051180	25051556	469	203,281,215	198,275,203	207,152,198	436,381,404	148	74	8.65973959208e-14	5.02264896341e-12	0.339,0.338,0.346	0.192,0.166,0.197	0.156
1526	"FBgn0035232"	"CG12099"	chr3L	-	1557788	1558484	1557788	1558214	1558322	1558484	1526	308,408,281	2,3,1	488,410,392	22,33,19	148	74	2.20601314993e-13	1.21214617291e-11	0.987,0.986,0.993	0.917,0.861,0.912	0.092
285	"FBgn0085638"	"CG41378"	chr2R	-	2830707	2831043	2830707	2830781	2830865	2831043	285	130,236,187	11,23,8	114,117,123	39,32,42	148	74	6.3071770029e-13	3.29234639551e-11	0.855,0.837,0.921	0.594,0.646,0.594	0.26
472	"FBgn0035253"	"CG7971"	chr3L	-	1660598	1661165	1660598	1660857	1661108	1661165	472	78,93,74	1,5,1	102,80,81	25,18,28	148	74	8.53983550542e-13	4.24551822269e-11	0.975,0.903,0.974	0.671,0.69,0.591	0.3
