ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	S1.Rep1	S1.Rep2	S1.Rep3	S2.Rep1	S2.Rep2	S2.Rep3	eventID	s1reads	s2reads	readcountpass
1168	FBgn0005672	spi	chr2L	-	19571571	19571767	19567899	19569226	19577185	19577315	1168	852,1347,1073	61,107,95	1091,910,972	357,222,206	148	74	0.0	0.0	0.875,0.863,0.85	0.604,0.672,0.702	0.203	0.875	0.863	0.85	0.604	0.672	0.702	chr2L:-:19567899-19569226:19571571-19571767:19577185-19577315	913,1454,1168	1448,1132,1178	pass
1362	FBgn0025741	PlexA	chr4	-	1014582	1014728	1014317	1014526	1014777	1014908	1362	416,599,460	1,2,1	928,446,406	42,19,27	148	74	0.0	0.0	0.995,0.993,0.996	0.917,0.921,0.883	0.088	0.995	0.993	0.996	0.917	0.921	0.883	chr4:-:1014317-1014526:1014582-1014728:1014777-1014908	417,601,461	970,465,433	pass
1553	FBgn0034072	Dg	chr2R	-	16086930	16087725	16085563	16085620	16088304	16088365	1553	30,38,34	125,153,105	150,159,166	128,111,99	148	74	0.0	0.0	0.107,0.11,0.139	0.369,0.417,0.456	-0.295	0.107	0.11	0.139	0.369	0.417	0.456	chr2R:-:16085563-16085620:16086930-16087725:16088304-16088365	155,191,139	278,270,265	pass
1704	FBgn0032694	MESR3	chr2L	+	18631742	18631774	18617255	18617724	18649597	18649627	1704	299,455,384	18,6,10	419,213,291	73,46,45	105	74	0.0	0.0	0.921,0.982,0.964	0.802,0.765,0.82	0.16	0.921	0.982	0.964	0.802	0.765	0.82	chr2L:+:18617255-18617724:18631742-18631774:18649597-18649627	317,461,394	492,259,336	pass
1950	FBgn0003507	srp	chr3R	+	16001188	16001406	15999845	16000059	16001751	16001916	1950	329,377,293	0,2,0	331,148,144	36,13,7	148	74	0.0	0.0	1.0,0.99,1.0	0.821,0.851,0.911	0.136	1.0	0.99	1.0	0.821	0.851	0.911	chr3R:+:15999845-16000059:16001188-16001406:16001751-16001916	329,379,293	367,161,151	pass
1962	FBgn0003495	spz	chr3R	-	27067357	27067495	27066607	27066665	27069143	27070070	1962	203,293,268	593,754,620	318,250,240	349,255,223	148	74	0.0	0.0	0.146,0.163,0.178	0.313,0.329,0.35	-0.168	0.146	0.163	0.178	0.313	0.329	0.35	chr3R:-:27066607-27066665:27067357-27067495:27069143-27070070	796,1047,888	667,505,463	pass
2032	FBgn0024807	DIP1	chrX	-	21628919	21629792	21628360	21628754	21629973	21630148	2032	40,41,24	3,5,3	42,59,39	84,53,57	148	74	0.0	0.0	0.87,0.804,0.8	0.2,0.358,0.255	0.554	0.87	0.804	0.8	0.2	0.358	0.255	chrX:-:21628360-21628754:21628919-21629792:21629973-21630148	43,46,27	126,112,96	pass
2034	FBgn0024807	DIP1	chrX	-	21628843	21629792	21628360	21628754	21629973	21630148	2034	51,51,25	3,5,3	51,64,41	84,53,57	148	74	0.0	0.0	0.895,0.836,0.806	0.233,0.376,0.265	0.554	0.895	0.836	0.806	0.233	0.376	0.265	chrX:-:21628360-21628754:21628843-21629792:21629973-21630148	54,56,28	135,117,98	pass
2035	FBgn0024807	DIP1	chrX	-	21628847	21629792	21628360	21628754	21629973	21630148	2035	58,81,43	3,5,3	101,75,51	84,53,57	148	74	0.0	0.0	0.906,0.89,0.878	0.375,0.414,0.309	0.525	0.906	0.89	0.878	0.375	0.414	0.309	chrX:-:21628360-21628754:21628847-21629792:21629973-21630148	61,86,46	185,128,108	pass
2100	FBgn0027492	wdb	chr3R	-	27580156	27580325	27568278	27568591	27582001	27582241	2100	23,31,37	194,233,140	126,161,144	220,263,273	148	74	0.0	0.0	0.056,0.062,0.117	0.223,0.234,0.209	-0.144	0.056	0.062	0.117	0.223	0.234	0.209	chr3R:-:27568278-27568591:27580156-27580325:27582001-27582241	217,264,177	346,424,417	pass
2208	FBgn0003475	spir	chr2L	+	20344654	20345458	20343742	20343947	20345524	20345670	2208	112,131,93	13,18,15	121,49,48	110,40,41	148	74	0.0	0.0	0.812,0.784,0.756	0.355,0.38,0.369	0.416	0.812	0.784	0.756	0.355	0.38	0.369	chr2L:+:20343742-20343947:20344654-20345458:20345524-20345670	125,149,108	231,89,89	pass
2259	FBgn0261113	Xrp1	chr3R	+	18920412	18921319	18918259	18918625	18925077	18925796	2259	988,1296,864	7,5,3	1896,1046,999	68,52,36	148	74	0.0	0.0	0.986,0.992,0.993	0.933,0.91,0.933	0.065	0.986	0.992	0.993	0.933	0.91	0.933	chr3R:+:18918259-18918625:18920412-18921319:18925077-18925796	995,1301,867	1964,1098,1035	pass
2263	FBgn0261113	Xrp1	chr3R	+	18919422	18919512	18918259	18918625	18925077	18925796	2263	621,733,529	7,5,3	1308,729,612	68,52,36	148	74	0.0	0.0	0.978,0.987,0.989	0.906,0.875,0.895	0.093	0.978	0.987	0.989	0.906	0.875	0.895	chr3R:+:18918259-18918625:18919422-18919512:18925077-18925796	628,738,532	1376,781,648	pass
2387	FBgn0260462	CG12163	chr3R	-	5243837	5244254	5239491	5239619	5251423	5251745	2387	59,76,69	418,435,365	20,10,18	692,508,617	148	74	0.0	0.0	0.066,0.08,0.086	0.014,0.01,0.014	0.065	0.066	0.08	0.086	0.014	0.01	0.014	chr3R:-:5239491-5239619:5243837-5244254:5251423-5251745	477,511,434	712,518,635	pass
2776	FBgn0264953	Piezo	chr2L	+	8181983	8182049	8179871	8180029	8182304	8182450	2776	199,294,183	0,0,0	297,191,139	37,23,14	139	74	0.0	0.0	1.0,1.0,1.0	0.81,0.816,0.841	0.178	1.0	1.0	1.0	0.81	0.816	0.841	chr2L:+:8179871-8180029:8181983-8182049:8182304-8182450	199,294,183	334,214,153	pass
2855	FBgn0015286	Rala	chrX	-	3707367	3707491	3704983	3706251	3708743	3708918	2855	836,1045,852	36,43,24	1137,842,719	316,228,242	148	74	0.0	0.0	0.921,0.924,0.947	0.643,0.649,0.598	0.301	0.921	0.924	0.947	0.643	0.649	0.598	chrX:-:3704983-3706251:3707367-3707491:3708743-3708918	872,1088,876	1453,1070,961	pass
2876	FBgn0014133	bif	chrX	+	11687461	11687635	11681717	11684254	11689200	11689543	2876	740,904,630	2,2,5	740,305,239	37,18,15	148	74	0.0	0.0	0.995,0.996,0.984	0.909,0.894,0.888	0.095	0.995	0.996	0.984	0.909	0.894	0.888	chrX:+:11681717-11684254:11687461-11687635:11689200-11689543	742,906,635	777,323,254	pass
2881	FBgn0261553	CG42671	chr3L	+	11227672	11228088	11226635	11226801	11229112	11229635	2881	118,161,117	1,1,3	143,106,107	29,19,25	148	74	0.0	0.0	0.983,0.988,0.951	0.711,0.736,0.682	0.264	0.983	0.988	0.951	0.711	0.736	0.682	chr3L:+:11226635-11226801:11227672-11228088:11229112-11229635	119,162,120	172,125,132	pass
305	FBgn0020279	lig	chr2R	+	8073366	8073471	8073126	8073234	8073599	8073700	305	994,1275,925	1,9,3	2004,957,965	111,57,67	148	74	0.0	0.0	0.998,0.986,0.994	0.9,0.894,0.878	0.102	0.998	0.986	0.994	0.9	0.894	0.878	chr2R:+:8073126-8073234:8073366-8073471:8073599-8073700	995,1284,928	2115,1014,1032	pass
328	FBgn0266694	CR45184	chr3L	-	827645	827697	827422	827469	827876	829851	328	226,369,321	0,0,1	202,81,78	23,16,9	125	74	0.0	0.0	1.0,1.0,0.995	0.839,0.75,0.837	0.19	1.0	1.0	0.995	0.839	0.75	0.837	chr3L:-:827422-827469:827645-827697:827876-829851	226,369,322	225,97,87	pass
