ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1017	"FBgn0029002"	"miple2"	chr3L	+	274594	274813	274594	274807	274866	275018	1017	27,50,35	391,527,433	334,243,327	751,509,707	80	74	0.0	0.0	0.06,0.081,0.07	0.291,0.306,0.3	-0.229
1086	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20348650	20348354	20348421	20348941	20349206	1086	113,183,162	36,96,55	63,61,84	156,198,194	303	74	0.0	0.0	0.434,0.318,0.418	0.09,0.07,0.096	0.305
1090	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20348650	20348354	20348385	20348941	20349206	1090	113,183,162	29,68,38	64,61,84	131,155,182	339	74	0.0	0.0	0.46,0.37,0.482	0.096,0.079,0.092	0.348
1244	"FBgn0013263"	"Trl"	chr3L	-	14757483	14757962	14757907	14757962	14756903	14757330	1244	181,260,152	3,8,4	306,261,327	64,59,83	498	74	0.0	0.0	0.9,0.828,0.85	0.415,0.397,0.369	0.466
1245	"FBgn0013263"	"Trl"	chr3L	-	14757841	14757962	14757907	14757962	14756903	14757330	1245	103,156,81	3,8,4	202,180,176	64,59,83	140	74	0.0	0.0	0.948,0.912,0.915	0.625,0.617,0.528	0.335
1437	"FBgn0015279"	"Pi3K92E"	chr3R	-	20634126	20634732	20634545	20634732	20631777	20633713	1437	48,76,51	56,87,42	18,20,32	97,131,148	493	74	0.0	0.0	0.114,0.116,0.154	0.027,0.022,0.031	0.101
2002	"FBgn0040309"	"Jafrac1"	chrX	+	13329823	13330030	13329823	13329964	13331121	13331994	2002	79,148,92	1682,2395,1766	456,426,578	2922,2262,2954	140	74	0.0	0.0	0.024,0.032,0.027	0.076,0.091,0.094	-0.059
210	"FBgn0035438"	"PHGPx"	chr3L	+	3326264	3326712	3326264	3326367	3327859	3328183	210	2002,2698,2095	588,870,639	1715,1780,2076	1334,1355,1744	419	74	0.0	0.0	0.376,0.354,0.367	0.185,0.188,0.174	0.183
2150	"FBgn0004657"	"mys"	chrX	+	8061644	8061870	8061644	8061725	8063839	8064459	2150	224,320,247	58,109,65	190,142,183	223,248,338	219	74	0.0	0.0	0.566,0.498,0.562	0.224,0.162,0.155	0.362
2152	"FBgn0004657"	"mys"	chrX	+	8061644	8062080	8061644	8061725	8063839	8064459	2152	155,167,161	58,109,65	142,131,129	223,248,338	429	74	0.0	0.0	0.316,0.209,0.299	0.099,0.084,0.062	0.193
2245	"FBgn0010408"	"RpS9"	chr3L	-	9510281	9510651	9510464	9510651	9509889	9510158	2245	1063,1824,1356	6484,8309,6351	194,392,339	3700,5923,5425	257	74	0.0	0.0	0.045,0.059,0.058	0.015,0.019,0.018	0.037
2580	"FBgn0030151"	"CG1354"	chrX	+	9778867	9778933	9778867	9778913	9779051	9779242	2580	62,81,72	221,319,241	12,11,11	155,224,219	94	74	0.0	0.0	0.181,0.167,0.19	0.057,0.037,0.038	0.135
702	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267459	27267255	27267283	27267591	27267918	702	502,768,572	91,142,92	709,726,889	538,785,898	250	74	0.0	0.0	0.62,0.616,0.648	0.281,0.215,0.227	0.387
2342	"FBgn0027081"	"Aats-thr"	chr2L	+	12103750	12104056	12103750	12103834	12104491	12104552	2342	304,405,278	173,260,184	533,410,547	686,649,841	296	74	1.11022302463e-16	1.35373194137e-14	0.305,0.28,0.274	0.163,0.136,0.14	0.14
488	"FBgn0003392"	"shi"	chrX	+	15892199	15892417	15892199	15892251	15892827	15893150	488	202,245,200	13,26,18	164,217,235	87,68,92	240	74	1.11022302463e-16	1.35373194137e-14	0.827,0.744,0.774	0.368,0.496,0.441	0.347
1958	"FBgn0036967"	"CG6597"	chr3L	+	20302430	20302837	20302430	20302502	20303066	20303115	1958	54,47,26	51,70,67	11,19,30	112,144,184	409	74	3.33066907388e-16	3.58340808007e-14	0.161,0.108,0.066	0.017,0.023,0.029	0.089
